"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Caprifoliaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern","Hedera","Hypericum undif.","Juglans","Lamiaceae undif.","Malva undif.","Morus","Musci","Olea t.","Ostrya","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (>40 Âµm)","Polygonum t.","Potamogeton","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Rutaceae undif.","Salix","Sarcopoterium","Scrophulariaceae undif.","Typha","Ulmus t.","Unknown","Unknown (monolete) undiff.","Urtica t."
"725",NA,NA,"240","  0","  0","  0","  0","  6","  4","  0","  6","  0","  0","  3","  0","  0","  0","  0","  2","  5","  0","  0","208","  0","  0"," 86","  0","  2","  0","287","  1","  0","  0","  1","  0","  0","  1"," 10","  2","  0","  0","  6","  0","  0"," 27"," 36","  0","  1","  0","109"," 51","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0"," 56","  0"
"741",NA,NA,"245","  0","  0","  0","  2","  4","  5","  0","  6","  0","  0","  5","  0","  0","  1","  0","  9"," 16","  1","  1","227","  0","  0","121","  0","  8","  0","386","  0","  0","  0","  4","  0","  0","  9","  2","  0","  2","  0","  6","  1","  0"," 19"," 45","  0","  0","  0"," 51"," 29","  0","  0","  0","  1","  0","  1","  0","  0","  3","  0","  0","  0","  0"," 68","  0"
"757",NA,NA,"250","  0","  0","  0","  0","  4","  1","  0","  7","  0","  0","  6","  0","  0","  0","  0","  2","  0","  2","  1","143","  0","  1","143","  0"," 13","  0","215","  0","  0","  0","  5","  0","  0","  2","  3","  2","  0","  0","  4","  3","  1"," 18"," 45","  0","  1","  0","132"," 46","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0"," 58","  0"
"773",NA,NA,"255","  1","  2","  2","  0"," 48","  8","  0"," 13","  0","  0","  2","  0","  0","  2","  0","  4"," 22","  2","  0","103","  1","  0","100","  0"," 43","  0","182","  0","  1","  0","  4","  0","  0","  4"," 13","  0","  1","  1","  7","  0","  3"," 21"," 25","  0","  0","  0","133"," 40","  2","  0","  0","  2","  0","  1","  0","  0","  3","  0","  0","  0","  0"," 55","  0"
"789",NA,NA,"260","  0","  0","  1","  1","  6","  1","  0","  3","  0","  0","  4","  0","  0","  1","  0","  1"," 30","  1","  0","204","  0","  0"," 83","  0"," 11","  0","268","  0","  0","  0","  6","  0","  0","  2"," 11","  2","  0","  0","  2","  0","  1"," 28"," 35","  0","  0","  0","122"," 28","  0","  0","  0","  0","  0","  2","  0","  0","  6","  0","  0","  0","  0"," 42","  0"
"805",NA,NA,"265","  0","  0","  0","  0","  6","  0","  0","  7","  0","  0","  0","  0","  0","  2","  1","  2"," 22","  0","  0","174","  0","  0","156","  8"," 27","  0","235","  0","  5","  0","  8","  0","  0","  4"," 11","  1","  0","  3","  2","  0","  1"," 25"," 40","  0","  0","  0"," 60","  8","  0","  0","  0","  0","  0","  2","  0","  0","  7","  0","  0","  0","  0"," 17","  0"
"821",NA,NA,"270","  0","  1","  0","  0","  6","  4","  0"," 22","  0","  4"," 12","  0","  0","  0","  0","  4"," 47","  0","  0"," 69","  0","  0","214","  0"," 21","  0","101","  0","  6","  0"," 14","  0","  0","  2","  4","  0","  1","  0","  1","  0","  0"," 17","  9","  0","  1","  0"," 33","  7","  1","  0","  0","  1","  7","  4","  1","  0","  5","  0","  0","  0","  0"," 18","  0"
"836",NA,NA,"275","  0","  0","  0","  1","  1","  0","  0","149","  0","  0","  0","  0","  0","  2","  0","  9"," 13","  0","  0","147","  0","  0","127","  1","  8","  0","197","  0","  2","  0","  3","  0","  0","  2"," 10","  0","  0","  2","  5","  4","  0"," 14"," 53","  0","  0","  0"," 17"," 12","  1","  1","  0","  1","  0","  0","  0","  0","  1","  3","  0","  0","  0"," 12","  0"
"852",NA,NA,"280","  0","  0","  0","  0","  2","  7","  0","  4","  1","  0","  2","  0","  0","  1","  0","  3"," 21","  0","  0","155","  0","  1","115","  0","  4","  0","197","  0","  0","  0","  4","  0","  0","  1","  6","  2","  0","  0","  5","  0","  1"," 13"," 15","  0","  0","  0","119"," 24","  2","  0","  0","  2","  0","  0","  0","  0","  4","  1","  0","  0","  0"," 15","  0"
"868",NA,NA,"285","  0","  0","  0","  1","  4","  3","  0","  6","  0","  0","  2","  0","  0","  0","  0","  3"," 14","  0","  0","264","  0","  0"," 88","  0","  8","  0","330","  0","  1","  0","  3","  0","  0","  0","  6","  0","  2","  2","  5","  0","  0"," 35"," 30","  0","  0","  0"," 65"," 20","  1","  0","  0","  1","  0","  1","  0","  0","  6","  0","  0","  0","  0"," 30","  0"
"884",NA,NA,"290","  0","  0","  0","  1","  5","  6","  1","  2","  0","  0","  9","  0","  0","  0","  0","  4"," 11","  0","  0","226","  0","  0"," 71","  0","  7","  0","271","  0","  0","  0","  3","  0","  0","  5","  6","  0","  0","  3","  4","  0","  3"," 25"," 68","  0","  0","  0"," 57"," 29","  5","  0","  0","  5","  0","  6","  0","  0","  3","  0","  0","  0","  0"," 26","  0"
"900",NA,NA,"295","  0","  1","  1","  2","  8","  2","  0","  1","  0","  1","  0","  0","  0","  0","  0","  9"," 10","  0","  0","220","  0","  0"," 90","  0"," 12","  0","307","  1","  0","  0","  4","  0","  0","  3","  0","  0","  0","  0","  0","  0","  3"," 26"," 72","  0","  0","  0"," 70"," 39","  0","  0","  0","  0","  0","  2","  0","  0","  5","  0","  0","  0","  0"," 44","  0"
"916",NA,NA,"300","  0","  0","  2","  1","  4"," 10","  0","  3","  0","  0","  9","  0","  0","  4","  0","  3","  0","  1","  2"," 73","  0","  0"," 83","  0"," 14","  0","176","  0","  0","  0","  5","  0","  0","  0","  5","  2","  1","  0","  2","  0","  3"," 42"," 73","  1","  0","  0","141"," 34","  7","  0","  0","  7","  0","  1","  0","  0","  5","  0","  0","  0","  0"," 29","  0"
"929",NA,NA,"305","  0","  0","  0","  4","  6","  0","  5","  6","  0","  0"," 10","  0","  0","  4","  0","  2","  6","  0","  0"," 41","  0","  0","117","  1"," 21","  0"," 71","  0","  2","  0"," 11","  0","  0","  1","  3","  3","  0","  0","  5","  3","  3"," 63"," 58","  0","  6","  0","177"," 72"," 10","  1","  0"," 10","  0","  4","  0","  0","  4","  0","  0","  0","  0"," 19","  0"
"942",NA,NA,"310","  0","  1","  2","  0","  2","  1","  0","  3","  0","  0","  2","  0","  0","  0","  0","  0","  9","  0","  0"," 18","  0","  0"," 76","  0","  3","  0"," 47","  0","  0","  0","  1","  0","  0","  2","  2","  1","  0","  0","  8","  0","  0"," 35","  3","  0","  0","  0","257","113","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0"," 11","  0"
"955",NA,NA,"315","  0","  0","  1","  1","  3","  2","  1","  1","  0","  0","  0","  0","  0","  1","  0","  3","  8","  0","  0"," 13","  0","  0"," 49","  0","  5","  0"," 30","  0","  1","  0","  5","  0","  0","  1","  4","  0","  1","  0","  8","  0","  0"," 11"," 12","  0","  0","  0","356"," 71","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0"," 14","  0"
"968",NA,NA,"320","  0","  0","  0","  1","  3","  0","  0","  2","  0","  0","  6","  0","  0","  2","  0","  3","  2","  0","  0"," 25","  0","  0"," 51","  0","  6","  0"," 37","  0","  1","  0","  6","  0","  0","  1"," 15","  0","  0","  0","  4","  3","  3"," 11"," 22","  0","  0","  0","250","160","  8","  0","  0","  8","  0","  1","  0","  0","  3","  0","  0","  0","  0","  5","  0"
"981",NA,NA,"325","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  4","  0","  0","  0","  0","  3","  6","  0","  1"," 23","  0","  0"," 49","  0","  3","  0"," 36","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","  0","  7","  0","  0"," 28","  8","  0","  0","  0","376"," 58","  0","  0","  0","  0","  0","  1","  0","  0","  4","  0","  0","  0","  0","  8","  0"
"994",NA,NA,"330","  0","  0","  0","  4","  4","  3","  0","  2","  0","  0","  2","  0","  0","  2","  0","  1","  4","  0","  0"," 32","  0","  0"," 85","  0"," 11","  0"," 59","  0","  0","  0","  5","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  6"," 15","  0","  0","  0","284"," 72","  0","  0","  0","  0","  0","  3","  0","  0","  5","  0","  0","  0","  0"," 11","  0"
"1007",NA,NA," 335","   0","   0","   3","   1","   1","   1","   0","   4","   0","   0","   2","   0","   0","   0","   0","   3","  13","   0","   0","  14","   0","   0"," 154","   0","   0","   0","  37","   0","   0","   0","   2","   0","   0","   0","   9","   0","   1","   0","  10","   0","   0","  11","  14","   0","   0","   0"," 222","  77","   2","   0","   1","   2","   0","   2","   0","   1","   2","   0","   0","   0","   0","   9","   0"
"1020",NA,NA," 340","   0","   0","   0","   2","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   7","   0","   1","  10","   0","   0","  91","   0","   2","   0","  22","   0","   0","   0","   2","   0","   0","   0","   6","   5","   0","   0","   9","   0","   0","  23","  14","   0","   0","   0"," 206"," 171","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0"
"1046",NA,NA," 350","   0","   0","   0","   2","   1","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   9","   1","   0","  31","   0","   0","  61","   0","   1","   0","  51","   0","   0","   0","   2","   0","   0","   1","   7","   1","   0","   1","   1","   0","   1","   0","  15","   0","   0","   0"," 331","  54","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0"
"1059",NA,NA," 355","   0","   0","   0","   1","   0","   6","   0","   2","   0","   0","   6","   0","   1","   2","   0","   4","   6","   0","   0","  17","   0","   0","  64","   1","   1","   0","  26","   0","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   9","   0","   0","  16","   7","   0","   0","   0"," 370","  59","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","   0","   7","   0"
"1072",NA,NA," 360","   0","   1","   0","   0","   1","   9","   0","   2","   0","   0","   2","   0","   0","   2","   0","   1","  17","   1","   0","   4","   0","   0"," 172","   0","   5","   0","  20","   0","   1","   0","   6","   0","   0","   0","   3","   0","   0","   0","   3","   0","   0","   3","   7","   0","   0","   0"," 458","  49","   0","   0","   0","   0","   0","   2","   0","   0","   3","   1","   0","   0","   0","  12","   0"
"1085",NA,NA," 365","   0","   0","   0","   2","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   2","   1","   0","  13","   0","   0","  72","   0","   4","   0","  35","   0","   0","   0","   2","   0","   0","   0","   5","   0","   0","   0","   9","   0","   0","  18","   6","   0","   1","   0"," 338","  54","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","  10","   0"
"1098",NA,NA," 370","   0","   0","   0","   3","   4","   5","   0","   4","   0","   0","   8","   0","   0","   3","   0","   3","   0","   2","   0","  36","   0","   0","  90","   0","  27","   0","  68","   0","   0","   0","   3","   0","   0","   0","   4","   3","   0","   0","   3","   0","   3","  19","  28","   0","   2","   0"," 187"," 143","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","   0","  18","   0"
"1124",NA,NA," 380","   0","   0","   0","   6","   1","   3","   0","   1","   1","   0","   0","   0","   0","   0","   0","   1","   6","   3","   0","  27","   0","   0","  80","   0","  10","   0","  46","   0","   0","   0","   0","   0","   0","   2","   3","   1","   0","   0","   4","   0","   1","   9","  17","   0","   0","   0"," 303","  57","   5","   0","   0","   2","   0","   1","   0","   0","   4","   0","   0","   0","   0","   9","   0"
"1137",NA,NA," 385","   0","   0","   0","   0","   2","   7","   0","   2","   0","   0","   3","   0","   0","   0","   0","   1","   3","   0","   0","  47","   0","   0","  89","   0","   2","   0","  87","   1","   0","   0","   5","   0","   0","   0","  11","   0","   0","   3","   1","   0","   2","  12","  22","   0","   0","   0"," 242","  75","   3","   0","   0","   0","   0","   3","   0","   0","   2","   0","   0","   0","   0","  16","   0"
"1150",NA,NA," 390","   0","   0","   0","   0","   1","   2","   0","   2","   0","   0","   2","   0","   0","   1","   0","   1","   6","   0","   0","  14","   0","   0","  61","   0","   1","   0","  46","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   4","   0","   0","  19","   3","   0","   0","   0"," 382","  44","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","  12","   0"
"1163",NA,NA," 395","   0","   0","   0","   2","   1","   4","   0","   1","   0","   0","   1","   0","   0","   2","   0","   1","   3","   0","   0","  12","   0","   0","  54","   0","   1","   0","  44","   0","   0","   0","   0","   0","   0","   1","   8","   0","   0","   0","   3","   0","   1","  19","   5","   0","   0","   0"," 393","  43","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  21","   0"
"1176",NA,NA," 400","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   2","   0","   0","  14","   0","   0","  76","   0","   7","   0","  38","   0","   0","   0","   3","   0","   0","   0","   4","   0","   0","   0","   4","   0","   4","  11","  17","   0","   0","   0"," 208"," 155","   5","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  18","   0"
"1189",NA,NA," 405","   0","   0","   0","   1","   0","   3","   0","   1","   1","   0","   2","   0","   0","   0","   0","   4","  10","   0","   0","  42","   0","   0","  68","   0","   6","   0","  81","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   0","   1","  20","   5","   0","   0","   0"," 343","  42","   0","   0","   0","   0","   0","   1","   0","   0","   6","   0","   0","   0","   0","  17","   0"
"1202",NA,NA," 410","   0","   0","   0","   1","   1","   2","   0","   2","   0","   0","   8","   0","   0","   0","   0","   3","   0","   0","   0","  44","   0","   0","  60","   0","   3","   0","  78","   0","   0","   0","   5","   0","   0","   0","   3","   3","   0","   0","   1","   0","   1","  10","  22","   0","   0","   0"," 338","  26","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  16","   0"
"1215",NA,NA," 415","   0","   0","   0","   0","   1","   2","   0","   2","   0","   0","   2","   0","   0","   0","   0","   2","   5","   0","   0","  11","   0","   0","  63","   0","   7","   0","  37","   0","   1","   0","   0","   0","   0","   2","   4","   0","   0","   0","   9","   0","   0","  23","   4","   0","   0","   0"," 371","  39","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  12","   0"
"1228",NA,NA," 420","   0","   0","   0","   0","   1","   2","   0","   3","   0","   0","   3","   0","   0","   0","   0","   2","  11","   0","   0","  25","   0","   0"," 129","   0","   2","   0","  39","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  13","   6","   0","   0","   0"," 363","  26","   0","   0","   0","   1","   0","   1","   0","   0","   1","   0","   0","   0","   0","  12","   0"
"1241",NA,NA," 425","   0","   0","   2","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   3","   7","   0","   0","  12","   0","   0"," 100","   0","   3","   0","  30","   0","   0","   0","   4","   0","   0","   0","   4","   0","   0","   0","   4","   0","   1","   6","  17","   0","   0","   0"," 274"," 123","   8","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  16","   0"
"1254",NA,NA," 430","   0","   0","   3","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   8","   3","   0","  15","   0","   0"," 108","   0","   5","   0","  57","   1","   0","   0","   3","   0","   0","   0","   4","   0","   0","   0","   6","   0","   0","  13","   4","   0","   0","   0"," 299","  75","   1","   0","   0","   1","   0","   1","   0","   0","   3","   0","   0","   0","   0","  24","   0"
"1267",NA,NA," 435","   0","   0","   0","   2","   0","   4","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","  12","   1","   0","  19","   0","   0"," 131","   0","   3","   0","  58","   0","   0","   0","   2","   0","   0","   0","   5","   0","   0","   0","   3","   0","   0","   7","   9","   0","   0","   0"," 248","  61","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  31","   0"
"1280",NA,NA," 440","   0","   0","   0","   0","   2","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","  17","   0","   0","  35","   0","   0","   0","  74","   1","   0","   0","   3","   0","   0","   2","   3","   1","   0","   0","   0","   0","   1","  22","   8","   0","   0","   0"," 393","  37","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","  43","   0"
"1293",NA,NA," 445","   0","   0","   1","   0","   0","   4","   0","   2","   0","   0","   0","   0","   0","   1","   0","   3","   4","   1","   0","   4","   0","   0","  66","   0","   2","   0","  55","   0","   2","   0","   1","   0","   0","   0","   4","   0","   0","   0","   8","   0","   0","  32","   7","   0","   0","   0"," 361","  71","   0","   0","   0","   2","   0","   0","   0","   0","   6","   0","   0","   0","   1","  46","   0"
"1306",NA,NA," 450","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   5","   0","   0","   0","   0","   0","   4","   0","   0","  16","   0","   0","  73","   0","   3","   0","  49","   0","   0","   0","   1","   0","   0","   0","   6","   0","   0","   0","   4","   0","   0","  26","  18","   0","   0","   0"," 244"," 212","   7","   0","   0","   3","   0","   2","   0","   0","   2","   0","   0","   0","   0","  27","   0"
"1319",NA,NA," 455","   0","   1","   0","   0","   2","  14","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   1","   0","   0","  12","   0","   0","  67","   0","   9","   0","  39","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","  15","  10","   0","   0","   0"," 341","  53","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  27","   0"
"1342",NA,NA," 460","   0","   0","   0","   1","   3","   3","   0","   0","   0","   0","   6","   0","   0","   0","   0","   1","   5","   0","   0","  27","   0","   0","  91","   0","   6","   0","  44","   0","   0","   0","   7","   0","   0","   0","   3","   2","   0","   0","   3","   0","   0","  20","   7","   0","   0","   0"," 321","  46","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   1","   0","  13","   0"
"1404",NA,NA," 465","   0","   1","   1","   1","   0","   4","   0","   3","   0","   0","   5","   0","   0","   0","   0","   0","   6","   3","   0","   9","   0","   1","  73","   0","   5","   0","  26","   0","   0","   0","   5","   0","   0","   0","   9","   0","   0","   0","   3","   0","   0","  18","   7","   0","   0","   0"," 309","  96","   2","   0","   0","   0","   0","   1","   0","   0","   6","   0","   0","   0","   0","  15","   0"
"1453",NA,NA," 469","   0","   0","   0","   3","   0","   0","   2","   3","   0","   0","   3","   0","   0","   0","   0","   4","   5","   0","   0","  10","   0","   0"," 108","   0","   7","   0","  36","   0","   0","   0","   1","   0","   0","   0","   4","   0","   0","   0","   3","   0","   2","  28","  25","   0","   0","   0"," 127"," 221","   8","   0","   0","   8","   0","   0","   0","   0","   1","   0","   0","   0","   0","  20","   0"
