"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Caprifoliaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern","Hedera","Hypericum undif.","Juglans","Lamiaceae undif.","Malva undif.","Morus","Musci","Olea t.","Ostrya","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (>40 Âµm)","Polygonum t.","Potamogeton","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Rutaceae undif.","Salix","Sarcopoterium","Scrophulariaceae undif.","Typha","Ulmus t.","Unknown","Unknown (monolete) undiff.","Urtica t."
"120",NA,NA," 50","  0","  0","  3","  1","  2","  5","  2","  7","  0","  0","  2","  0","  0","  4","  0","  0","  3","  1","  1","161","  0","  0","192","  0","  4","  0","245","  0","  0","  0","  3","  0","  0"," 46"," 18","  1","  0","  0","  5","  0","  2","  4"," 53","  0","  0","  0"," 60"," 39","  6","  0","  0","  0","  0","  5","  0","  0","  3","  0","  0","  0","  0"," 16","  0"
"136",NA,NA," 55","  0","  0","  2","  2","  3","  6","  5","  5","  0","  0","  8","  1","  0","  3","  0","  9"," 12","  0","  0","149","  0","  1","167","  6","  5","  0","337","  0","  1","  0","  8","  0","  0"," 85"," 16","  1","  1","  2","  9","  4","  1","  6"," 31","  1","  3","  0"," 78"," 26","  0","  0","  0","  0","  0","  0","  0","  1"," 18","  0","  0","  0","  0"," 25","  0"
"152",NA,NA," 60","  0","  0","  2","  2","  1","  3","  0","  6","  0","  0","  2","  0","  0","  5","  0","  8"," 13","  0","  0","187","  0","  0","171","  0","  9","  1","276","  0","  1","  1","  7","  0","  0","  7","  6","  2","  0","  3","  4","  1","  6","  0"," 44","  0","  1","  0"," 69"," 13","  1","  0","  0","  2","  0","  2","  0","  0","  6","  0","  0","  0","  0"," 22","  0"
"168",NA,NA," 65","  0","  0","  0","  4","  0","  5","  0","  8","  0","  0","  3","  0","  0","  3","  0","  6","  8","  0","  0","146","  0","  0","180","  0","  5","  0","260","  0","  0","  0","  4","  0","  0"," 22"," 11","  0","  3","  1","  9","  1","  3","  3"," 27","  0","  0","  0"," 74"," 16","  0","  0","  0","  1","  0","  2","  0","  0"," 14","  0","  1","  0","  0"," 21","  2"
"184",NA,NA," 70","  0","  0","  2","  1","  3"," 10","  0","  8","  1","  0","  5","  0","  0","  0","  1"," 33"," 14","  0","  0","207","  1","  0","169","  0","  8","  0","340","  0","  1","  0","  6","  0","  0"," 21","  7","  0","  5","  0","  7","  0","  0","  3"," 37","  0","  0","  0"," 60"," 14","  0","  0","  0","  0","  0","  2","  0","  0","  8","  0","  0","  0","  0"," 16","  0"
"199",NA,NA," 75","  0","  0","  0","  0","  3","  9","  1","  5","  0","  0","  5","  0","  0","  3","  0","  8","  3","  0","  1","196","  0","  0","176","  0","  6","  0","253","  1","  0","  1","  0","  0","  0","  8","  7","  1","  1","  1"," 11","  0","  2","  4"," 42","  0","  0","  0"," 72"," 19","  1","  0","  0","  1","  0","  1","  0","  0","  4","  0","  0","  0","  0"," 15","  0"
"215",NA,NA," 80","  1","  1","  1","  4","  6"," 46","  1","  4","  0","  0","  8","  0","  0","  0","  0","  8","  9","  0","  1","102","  0","  0","203","  2"," 19","  0","165","  1","  1","  0","  6","  0","  0"," 20","  3","  0","  0","  2","  4","  8","  0","  8"," 31","  1","  3","  0"," 57","  9","  5","  0","  0","  4","  0","  2","  0","  0"," 18","  0","  0","  0","  0"," 15","  0"
"231",NA,NA," 85","  0","  0","  3","  6","  3"," 10","  0","  4","  0","  0","  5","  0","  0","  2","  1","  8"," 19","  0","  1","102","  0","  0","245","  0"," 13","  0","186","  2","  4","  0","  8","  0","  0"," 23"," 13","  0","  0","  3","  6","  3","  2","  2"," 26","  0","  0","  0"," 49"," 25","  0","  0","  0","  4","  0","  6","  0","  0","  6","  0","  0","  0","  2"," 23","  0"
"247",NA,NA," 90","  0","  0","  1","  0","  5"," 14","  0","  5","  0","  0","  0","  0","  0","  3","  0","  9"," 20","  1","  1","112","  0","  0","197","  0"," 10","  0","190","  2","  1","  0","  8","  0","  0","  6","  4","  1","  0","  0"," 10","  0","  2"," 19"," 55","  0","  0","  0"," 29"," 14","  0","  0","  0","  1","  0","  4","  0","  0","  7","  0","  0","  0","  0"," 58","  0"
"263",NA,NA," 95","  0","  0","  2","  2","  5"," 21","  0","  8","  1","  0","  3","  0","  0","  4","  0","  8"," 27","  0","  1","101","  0","  0","296","  3","  3","  0","199","  0","  2","  0","  4","  0","  0","  6","  4","  0","  2","  0","  9","  2","  3"," 10"," 38","  0","  0","  0"," 23","  9","  0","  0","  0","  2","  0","  2","  0","  0","  2","  0","  0","  0","  0"," 34","  0"
"279",NA,NA,"100","  0","  0","  0","  0","  0"," 13","  1"," 10","  0","  0","  4","  0","  0","  3","  0"," 18"," 14","  0","  0","136","  0","  1","192","  0"," 12","  0","189","  0","  0","  0","  3","  0","  0","  6","  3","  0","  0","  0","  4","  0","  6","  7","108","  0","  0","  0"," 21","  5","  1","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0"," 25","  0"
"295",NA,NA,"105","  0","  0","  5","  1","  4"," 11","  0","  2","  0","  0","  4","  0","  0","  1","  0"," 10"," 28","  0","  0","152","  0","  0","188","  1","  9","  0","314","  0","  1","  0","  3","  0","  0"," 18","  5","  1","  0","  0","  5","  1","  5"," 12"," 54","  1","  0","  0"," 27","  5","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0"," 50","  0"
"311",NA,NA,"110","  0","  0","  0","  0","  9"," 10","  0","  6","  0","  0","  2","  0","  0","  2","  0","  7"," 16","  1","  0","119","  0","  1","247","  0","  6","  0","158","  0","  0","  0","  3","  0","  0","  9","  0","  2","  0","  0"," 10","  0","  1","  4"," 31","  0","  1","  0"," 30","  5","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0"," 10","  0"
"327",NA,NA,"115","  0","  0","  6","  0","  2","  8","  0","  3","  0","  0","  2","  0","  0","  3","  1","  8"," 12","  0","  1","173","  0","  0","204","  0","  9","  0","287","  0","  1","  0","  0","  0","  0"," 18","  5","  0","  0","  0","  9","  2","  0"," 11"," 69","  0","  0","  0"," 39","  8","  0","  0","  0","  1","  0","  4","  0","  0","  5","  0","  0","  0","  0"," 36","  0"
"343",NA,NA,"120","  0","  0","  5","  1","  3"," 14","  0","  6","  0","  0","  0","  0","  0","  0","  1","  6"," 21","  0","  1","168","  0","  0","190","  0","  5","  0","285","  0","  3","  0","  0","  0","  0"," 13"," 11","  1","  0","  1","  6","  3","  3"," 13"," 52","  0","  1","  0"," 25","  4","  0","  0","  0","  1","  0","  1","  0","  0","  8","  0","  0","  0","  0"," 46","  0"
"359",NA,NA,"125","  0","  0","  1","  0","  3","  9","  0","  6","  0","  0","  0","  0","  0","  1","  1","  7","  8","  1","  0","193","  0","  0","180","  0","  6","  0","257","  0","  0","  0","  3","  0","  0","  3","  4","  0","  1","  1","  8","  1","  1","  7"," 52","  0","  1","  0"," 26","  6","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0"," 31","  1"
"375",NA,NA,"130","  0","  0","  1","  3"," 12","  8","  0"," 14","  0","  0","  0","  0","  0","  0","  0"," 17","  9","  0","  0","228","  3","  1"," 80","  0","  6","  0","422","  0","  2","  0","  3","  0","  0","  2","  3","  1","  0","  0","  4","  0","  2","  9"," 59","  0","  0","  0"," 38"," 17","  0","  0","  0","  2","  0","  2","  0","  0","  4","  0","  0","  0","  0"," 14","  0"
