"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Angelica palustris-type","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Berula erecta","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Centaurea","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Echium t.","Ephedra","Erica t.","Faboideae Undif.","Fagus","Fern","Filipendula t.","Frangula","Fraxinus","Fumaria","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hepaticae","Hypericum undif.","Ilex","Juglans","Lamiaceae undif.","Lemnaceae","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Menyanthes","Musci","Myriophyllum alterniflorum t.","Myrtus","Nymphaea","Olea t.","Paronychieae","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Reseda/Sesamoides","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Sparganium","Spergularia t.","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Ulmus t.","Viburnum","Viola","Vitis"
"4779.01",NA,NA,"310","0.282","0","0","13","1","0","0","4","2","0","2","0","248","0","11","1","1","0","1","0","0","0","0","7","1","4","0","0","64","0","0","11","0","1","2","0","0","3","0","0","0","0","0","0","0","0","0","107","0","0","0","0","3","1","0","0","1","0","1","6","0","8","32","2","0","0","249","0","0","0","0","193","19","1","0","0","1","27","2","0","0","0","0","5","0","0","0","1","0","0","0","0","0"
"4912.63",NA,NA,"320","0.282","0","0","22","1","0","0","3","2","4","1","0","191","0","10","1","0","1","0","0","0","0","5","7","0","1","1","0","46","0","0","5","0","1","0","0","0","1","0","0","0","3","0","0","0","0","0","68","0","0","0","0","4","0","0","0","0","0","0","7","0","4","21","1","3","0","167","0","0","0","0","183","12","2","1","0","0","21","2","0","0","0","1","5","0","1","0","0","0","2","0","0","0"
"5075.12",NA,NA,"330","0.282","0","0","15","0","0","0","10","2","1","1","0","248","0","6","1","1","0","0","0","0","0","1","4","0","1","0","0","46","0","0","7","0","5","1","0","0","0","0","0","0","0","0","0","0","1","0","81","0","0","0","0","0","0","0","0","0","0","2","3","0","6","27","0","1","0","252","0","0","0","0","266","8","1","0","0","0","19","2","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"5237.62",NA,NA,"340","0.282","0","0","21","1","0","0","8","4","2","1","0","273","0","2","0","0","1","2","0","0","2","3","4","0","1","0","0","52","0","0","15","0","1","0","0","0","7","0","0","0","0","0","0","0","0","0","78","0","0","0","0","0","0","0","0","2","0","0","3","0","1","26","1","0","0","250","0","0","0","0","218","12","3","0","0","0","13","2","0","0","1","0","2","0","0","0","0","0","0","0","0","0"
"5400.11",NA,NA,"350","0.282","0","0","6","0","0","0","8","1","0","0","0","206","0","1","1","0","1","0","0","0","1","2","2","0","4","0","0","57","0","0","12","0","1","0","0","0","3","1","0","0","0","1","0","0","0","0","88","0","0","0","0","0","0","0","0","2","0","0","5","1","4","32","4","0","0","250","0","0","0","1","295","15","1","0","1","2","29","2","0","1","1","0","0","0","1","0","0","0","0","0","0","0"
"5562.60",NA,NA,"360","0.282","0","0","14","2","0","0","11","5","1","1","0","212","0","2","1","0","0","0","0","0","0","1","3","1","0","0","0","52","0","0","17","0","3","2","0","1","2","0","1","1","0","0","0","0","0","0","84","0","0","0","0","0","0","0","1","3","0","0","2","0","5","36","1","1","0","263","0","0","0","0","340","10","0","0","0","0","19","1","0","0","2","0","2","0","0","0","0","0","1","0","0","0"
"5725.10",NA,NA,"370","0.282","0","0","10","0","0","0","13","1","1","0","0","170","0","4","1","1","0","0","0","0","0","2","4","2","2","0","0","38","0","0","6","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","46","0","0","0","0","0","0","0","0","1","0","0","4","2","3","31","2","2","1","173","0","0","0","0","233","9","1","0","0","0","14","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0"
"5887.59",NA,NA,"380","0.282","1","0","4","1","0","0","3","2","1","1","0","148","0","2","1","0","0","1","0","0","0","1","1","1","1","0","0","34","0","0","7","0","5","0","0","0","2","0","0","0","0","0","0","0","0","0","74","0","0","0","0","1","0","0","0","2","0","0","1","0","0","23","0","3","0","210","0","0","0","0","222","8","3","0","0","0","15","0","0","1","0","0","1","0","0","0","0","0","0","0","2","0"
"6050.08",NA,NA,"390","0.282","0","0","11","1","0","0","5","1","1","1","1","156","0","2","0","0","0","1","0","1","0","0","4","2","0","1","0","33","0","0","15","0","3","0","0","0","6","1","0","0","0","0","0","0","0","0","54","0","0","0","0","3","0","0","0","0","0","1","3","0","2","20","0","3","0","183","0","0","0","0","213","7","1","0","0","2","22","2","0","0","3","0","1","0","0","0","0","0","0","0","0","0"
"6212.57",NA,NA,"400","0.282","0","0","14","0","0","0","8","3","1","0","0","218","0","1","1","0","0","2","0","0","0","1","3","0","2","0","0","38","0","0","10","0","1","0","0","0","3","2","0","0","0","0","0","0","0","0","75","0","0","0","0","5","0","0","0","2","0","0","3","0","3","31","1","1","0","220","0","0","0","0","265","7","0","0","0","0","14","2","0","0","1","0","5","0","0","0","0","0","0","0","0","0"
"6375.07",NA,NA,"410","0.282","0","0","11","0","0","0","9","6","1","0","0","204","0","4","1","0","0","0","0","1","0","4","4","0","9","1","0","34","0","1","8","0","3","1","0","2","6","0","0","0","0","0","0","0","0","0","76","0","0","0","0","1","0","0","0","0","0","1","3","0","2","44","1","2","0","216","0","0","0","0","235","10","3","0","1","1","24","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0"
"6537.56",NA,NA,"420","0.282","0","0","8","0","0","0","8","3","1","2","0","194","0","2","2","0","0","0","0","0","0","2","2","0","2","0","0","50","0","0","15","0","1","0","0","1","5","0","0","0","0","0","0","0","0","0","76","0","0","0","0","2","0","0","0","2","0","0","1","0","4","23","3","0","0","172","0","0","0","0","202","11","0","0","1","0","29","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"6645.31",NA,NA,"430","0.282","0","0","15","0","0","1","6","0","0","1","0","223","0","0","0","0","0","0","0","0","0","1","3","0","0","1","0","35","0","0","13","0","2","1","0","1","2","1","0","0","0","0","0","0","0","0","64","0","0","0","0","0","0","0","0","0","0","0","3","0","1","33","1","0","0","174","0","0","0","0","221","10","0","0","0","0","12","1","0","1","0","0","3","0","0","0","0","0","0","0","0","0"
"6753.05",NA,NA,"440","0.282","0","0","10","1","0","0","8","1","3","4","0","328","1","0","0","0","0","2","0","0","0","3","1","1","3","0","0","43","0","0","9","0","3","2","0","0","2","1","0","0","0","0","0","0","0","0","67","0","0","0","0","0","0","0","0","2","0","3","5","1","6","58","0","0","0","223","0","0","0","0","371","20","0","0","0","1","21","2","0","1","2","0","4","0","4","0","0","0","0","0","0","0"
"6860.80",NA,NA,"450","0.282","0","0","34","0","0","0","15","2","0","2","0","324","1","0","3","0","0","0","0","0","1","0","4","0","2","0","0","46","0","0","6","0","6","2","0","1","5","0","0","0","0","0","0","0","0","0","130","0","0","0","0","0","0","0","0","3","0","0","1","0","14","65","0","1","1","348","0","0","0","1","292","10","2","0","0","0","25","0","0","0","2","0","6","0","1","0","0","0","0","0","0","0"
"6968.54",NA,NA,"460","0.282","0","0","21","0","0","0","2","2","0","2","0","217","0","0","0","0","0","0","0","0","0","10","3","0","3","0","0","44","0","0","5","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","89","0","0","0","0","0","0","0","0","1","0","0","1","1","9","53","1","0","0","234","0","0","0","0","307","12","0","0","0","0","16","1","0","0","0","0","5","0","0","0","0","0","1","0","0","0"
"7076.29",NA,NA,"470","0.282","0","0","29","1","0","0","4","1","1","1","0","318","0","0","1","0","0","1","0","0","1","0","9","1","1","0","0","47","0","0","13","0","4","2","0","0","5","0","0","0","0","0","0","0","0","0","115","0","0","0","0","0","0","0","1","5","0","0","4","3","16","78","2","1","0","276","0","0","0","0","433","7","5","0","0","0","21","0","0","0","1","0","17","0","2","0","0","0","1","0","0","0"
