"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Callitriche","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Erica t.","Fabaceae Undif.","Fagus","Fraxinus","Lamiaceae undif.","Myriophyllum undif.","Nuphar","Nymphaea","Olea t.","Ostrya","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Primulaceae undif.","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae undif.","Solanaceae undif.","Sparganium","Taxus","Thalictrum","Tilia","Typha","Ulmus t.","Urtica t.","Utricularia","Vitis","cf. Hottonia"
"2089","2435","1738","  75","   0","   0","   0","   0","   0","   4","  10","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","  57","   0","   0","   0","   0","   0","  12","   0","   9","  28","   0","   0","   0","   9","   0","   1","   0","  71","   0","   0","   0","   0","   9","  14","   0","   0","   0","   2","   0","   0","   0","   0","   0","  49","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2256","2589","1915","  81","   4","   0","   0","   1","   2","   4","   6","   0","   3","   4","   0","   0","   0","   5","   0","   0","   0","   1","   0","  21","   2","   1","   0","   7","   0","  46","   0","   1","  17","   0","   0","   0","  19","   0","   0","   0","  13","   0","   0","   0","   0","  10","   6","   0","   0","   0","   1","   0","   0","   0","   0","   0","  87","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"2423","2744","2093","  87","   2","   0","   0","   0","   3","   2","  25","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   3","   1","  46","   3","   0","   0","   0","   0","   9","   0","   5","   4","   0","   0","   4","   5","   1","   0","   0","  38","   0","   0","   0","   0","   6","  18","   0","   0","   0","   2","   0","   2","   1","   0","   0","  73","   0","   0","   0","   1","   1","   0","   0","   0","   0"
"2784","3084","2478"," 100","   0","   0","   0","   0","   2","  10","   8","   0","   0","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0","  13","   4","   4","   0","   0","   0","   2","   0","   0","  14","   0","   0","   0","   8","   0","   0","   0","  11","   0","   0","   0","   0","  11","  12","   0","   0","   0","   1","   0","   1","   0","   0","   0","  41","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2951","3242","2656"," 106","   0","   0","   0","   0","   1","   3","  14","   0","   0","   0","   0","   0","   0","   0","   1","   4","   0","   0","   0","  61","   1","   0","   0","   0","   1","   5","   0","  12","   8","   0","   0","   0","   7","   0","   0","   0","  49","   1","   0","   5","   0","  10","  20","   0","   0","   0","   1","   0","   0","   2","   0","   0","  37","   1","   1","   0","   0","   0","   0","   1","   0","   0"
"3285","3560","3010"," 118","   0","   0","   0","   1","   4","   5","  30","   0","   1","   3","   0","   0","   1","   1","   1","   3","   1","   2","   0","   8","   4","   0","   0","   0","   0","  14","   0","   1","   0","   5","   0","   0","  14","   0","   4","   0","  97","   0","   1","   0","   0","  12","  17","   2","   2","   0","   0","   0","   0","   3","   0","   0","  21","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"3952","4208","3701"," 142","   0","   0","   0","   0","   2","   4","   8","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   1","  11","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   2","   0","   0","   0","  58","   0","   0","   0","   0","  20","  23","   1","   0","   0","   1","   0","   1","   0","   0","   0","  13","   0","   0","   0","   2","   0","   0","   0","   0","   0"
"4341","4589","4092"," 156","   1","   0","   1","   0","   2","   3","   2","   0","   1","   0","   0","   0","   0","   1","   0","   2","   1","   4","   0","  15","   2","   2","   0","   0","   0","   9","   0","   0","   1","   0","   0","   0","  10","   0","   0","   0"," 109","   0","   1","   1","   0","  11","   9","   0","   0","   1","   3","   0","  10","   0","   0","   0","  35","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"4675","4917","4420"," 168","   0","   1","   0","   2","   3","   3","   7","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","  28","   0","   0","   0","   1","   2","   3","   0","  11","   6","   2","   0","   0","   7","   1","   2","   0","  91","   1","   0","   1","   1","  14","  37","   1","   0","   0","   3","   0","   1","   0","   0","   0","  42","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"5036","5282","4776"," 181","   5","   0","   0","   0","   0","   2","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   2","   0","   6","   3","   0","   5","   0","   0","   0","   2","   0","   0","  13","   0","   0","   0","  51","   0","   4","   1","   0","  23","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","  88","   0","   0","   0","   0","   1","   0","   0","   0","   0"
"5398","5657","5132"," 194","   1","   0","   0","   1","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   4","  10","   0","   0","   0","   0","   0","   5","   2","   9","   7","   3","   0","   1","   7","   0","   3","   0"," 121","   0","   0","   1","   0","  18","  21","   0","   0","   0","   2","   0","   0","   1","   0","   0","  40","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"5564","5832","5295"," 200","   0","   0","   0","   0","   2","   2","   4","   5","   2","   0","   0","   0","   1","   1","   1","   1","   0","   1","   0","  23","   4","   1","   0","   1","   0","   3","   0","   9","  15","   2","   0","   1","  11","   1","   1","   0","  87","   2","   0","   0","   0","  64","   4","   0","   0","   0","   1","   1","   0","   3","   1","   0","  15","   0","   0","   0","   1","   2","   0","   0","   1","   0"
"6061","6343","5784"," 218","   0","   0","   0","   1","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","  92","   1","   0","   0","   0","   0","   7","   0","  46","   2","   4","   0","   0","   9","   0","   2","   0","  58","   0","   0","  35","   0","  37","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   1","   0","   0","   0","   0"
"6406","6658","6158"," 231","   3","   0","   0","   2","   8","   4","   1","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   1","   0","   8","   0","   0","   0","   1","   0","   5","   0","   0","   0","   1","   0","   0","  12","   0","   1","   0","  55","   0","   0","   0","   0","  94","   9","   0","   0","   0","   1","   0","   4","   2","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"7070","7312","6842"," 256","   0","   0","   5","   1","   1","   1","   3","   8","   0","   0","   0","   1","   0","   0","   0","   1","   0","   2","   0","   5","   3","   0","   0","   1","   0","   3","   0","   1","   0","   5","   0","   0","   5","   2","   1","   0","  51","   0","   0","   0","   0"," 142","  12","   0","   0","   1","   2","   1","   0","   1","   6","   1","  12","   0","   0","   3","   0","   2","   0","   0","   0","   0"
"7733","8010","7487"," 281","   0","   0","   0","   1","   2","   1","   4","   2","   3","   0","   0","   0","   0","   0","   1","   0","   0","   2","   1","   3","   0","   2","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","  16","   3","   2","   0","  34","   0","   0","   0","   0","  39","  69","   1","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   1","   0","   2","   0","   0","   0","   0"
"8238","8568","7967"," 300","   0","   0","   1","   2","   1","   4","   3","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   4","   0","   0","  32","   0","   0","   0","   0","  24"," 112","   8","   0","   0","   0","   1","   0","   7","   0","   0","   3","   0","   0","   0","   0","   3","   0","   0","   0","   0"
"8397","8748","8115"," 306","   0","   0","   0","   1","   2","   2","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   2","   0","   0","  18","   0","   0","   0","   0"," 161","   1","  10","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0"
"8556","8928","8260"," 312","   1","   0","   4","   0","   7","   0","   5","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","  16","   6","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   4","   5","   1","   0","  47","   0","   0","   0","   0","   9"," 134","  16","   0","   0","   1","   2","   0","   2","   0","   0","   6","   0","   0","   1","   0","   3","   0","   0","   0","   0"
"8715","9110","8402"," 318","   1","   0","   4","   1","   3","   1","   4","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   8","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   7","   1","   0","  40","   1","   0","   0","   0","   6"," 127","  14","   0","   0","   4","   6","   0","   5","   0","   0","   5","   0","   1","   1","   0","   1","   0","   0","   0","   0"
"8901","9324","8566"," 325","   0","   0","   1","   0","   4","   4","   3","   0","   4","   0","   0","   0","   0","   0","   1","   2","   0","   0","  36","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   5","   0","   0","  46","   0","   0","   0","   0","   9"," 119","   5","   0","   0","   0","   0","   0","   3","   0","   0","  10","   0","   0","   0","   0","   2","   0","   0","   0","   0"
