"Depth","Giesecke et al. 2014 (MADCAP) - Calibrated radiocarbon years BP","EPD - Radiocarbon years BP","Sample quantity","Acer","Alchemilla t.","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Angelica archangelica-type","Angelica palustris-type","Angelica sylvestris","Anthemideae undif.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Berula erecta","Betula","Brassicaceae","Buxus","Calluna","Campanulaceae","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cicuta virosa","Cistaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Fabaceae Undif.","Faboideae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Halimium/Tuberaria","Hedera","HippophaÃ« rhamnoides","Hydrocotyle","Hypericum undif.","Ilex","IsoÃ«tes","Jasminum","Juglans","Lamiaceae undif.","Laserpitium","Linum t.","Lonicera","Lotus t.","Lycopodium spike...112","Lycopodium spike...113","Lysimachia","Lythrum","Menyanthes","Mercurialis","Morella","Musci","Myriophyllum alterniflorum t.","Myrtus","Nymphaea","Olea t.","Onagraceae","Papaver t.","Parnassia","Paronychieae","Pedicularis","Pentaglottis sempervirens","Petaloid monocot","Phillyrea","Physospermum cornubiense","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Portulacaceae t.","Potamogeton","Potentilla t.","Prunus t.","Quercus undif.","Ranunculaceae undif.","Reseda/Sesamoides","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Selinum carvifolia","Silaum silaus-type","Solanum","Sparganium","Spergularia t.","Spike tablets","Taxus","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Trinia glauca-type","Typha","Ulmus t.","Urtica t.","Valeriana","Valerianella","Viburnum","Viola","Vitis","Zea"
" -36.0","-0.000447883","--/-146/--",NA,"0","0","1","3","0","0","0","0","0","0","1","0","0","0","0","0","0","3","1","0","0","0","0","0","1","1","0","2","0","1","0","1","2","0","0","7","0","0","0","51","2","0","1","0","0","4","0","0","0","0","1","5","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","2","84","11329","1","0","0","0","0","0","0","0","0","81","0","0","0","1","0","0","0","0","0","0","269","0","6","0","42","8","0","0","0","0","0","32","78","0","0","0","0","20","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -34.0","-0.000452037","--/-135/--",NA,"0","0","3","1","0","0","0","0","0","1","1","0","0","1","0","0","0","1","1","0","2","1","0","0","1","3","1","4","0","0","0","0","0","5","0","4","0","0","0","45","3","0","0","0","0","3","0","0","0","0","2","3","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","69","11329","0","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","1","0","0","291","0","5","0","154","10","0","0","0","1","0","29","45","0","0","0","0","19","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
" -32.0","-0.000450755","--/-124/--",NA,"0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","2","0","0","0","1","0","0","2","0","0","0","0","0","0","0","1","0","1","0","35","0","0","0","0","0","1","0","0","0","0","2","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","59","11329","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","237","0","2","0","170","7","0","0","0","1","0","12","47","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -30.0","-0.00040833","--/-114/--",NA,"0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","4","0","0","4","0","0","0","0","2","0","0","0","0","0","0","0","2","0","3","0","0","0","45","2","0","2","0","0","3","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","78","11329","0","0","0","0","0","1","0","0","0","29","0","0","0","0","0","0","0","0","0","0","129","0","3","0","162","11","0","0","0","0","0","11","53","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -28.0","-0.000415282","--/-103/--",NA,"0","0","3","0","0","0","0","0","0","1","4","0","0","0","0","3","0","10","5","0","3","0","0","0","1","3","0","5","0","0","0","0","2","0","0","4","0","2","0","67","1","0","2","0","0","3","0","0","0","0","1","3","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","213","11329","0","0","0","0","0","1","0","0","0","49","0","0","0","1","0","0","0","0","0","2","180","0","4","0","382","14","0","0","0","0","0","10","96","0","0","0","0","33","1","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
" -26.0","-0.0003125","--/-92/--",NA,"0","0","4","2","0","0","0","0","0","5","5","0","0","2","0","1","0","17","0","0","5","0","0","0","5","0","0","5","0","0","0","1","0","2","0","6","0","0","1","112","0","0","0","0","0","8","0","0","0","0","3","10","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","1","64","11329","1","0","0","0","0","1","0","0","0","65","0","0","0","0","0","0","1","2","0","0","251","0","8","0","460","50","0","0","0","0","0","33","81","0","0","0","0","39","0","0","0","6","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
" -24.0","-0.00020284","--/-81/--",NA,"0","0","0","1","0","0","0","0","0","3","3","0","0","0","1","0","0","17","3","0","4","0","2","0","4","1","2","2","0","0","0","0","2","4","0","1","0","1","0","125","1","0","1","1","0","7","0","0","0","1","8","5","0","0","16","0","0","0","0","0","0","0","0","2","0","0","0","0","74","11329","1","0","0","0","0","3","0","0","0","47","0","0","0","0","1","0","0","1","0","0","157","0","8","0","522","58","0","0","0","0","0","32","61","0","0","0","0","25","2","2","0","11","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
" -22.0","0/-75/-149","--/-71/--",NA,"0","0","3","1","0","0","0","0","0","5","5","0","0","0","0","0","0","30","5","0","5","2","3","0","8","1","1","6","0","0","0","0","3","2","0","6","0","2","0","193","0","0","1","0","0","19","0","0","0","0","10","7","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","69","11329","1","0","0","0","0","4","0","0","0","60","0","0","0","1","0","0","2","0","0","0","131","0","8","1","597","76","1","0","0","1","0","26","66","0","0","1","0","33","0","1","0","9","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -20.0","3/-63/-130","--/-60/--",NA,"0","0","3","1","0","0","0","0","0","3","3","0","0","2","1","1","0","22","3","0","5","0","1","0","6","1","0","3","0","1","0","0","6","5","0","6","0","1","0","113","0","0","2","0","0","10","0","0","0","0","5","4","0","0","16","0","0","0","1","0","0","0","0","1","0","0","0","0","52","11329","0","0","0","0","0","4","0","0","0","35","0","0","0","1","0","0","0","1","0","0","52","0","8","1","449","46","0","0","0","2","0","28","42","0","0","0","0","17","0","0","0","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
" -18.0","6/-51/-112","--/-49/--",NA,"0","0","3","1","0","0","0","0","0","3","6","0","0","0","0","2","0","11","8","0","3","0","0","0","4","2","0","5","0","0","0","0","5","2","0","5","0","0","0","138","0","0","0","0","0","11","0","0","0","0","4","3","3","0","11","0","0","0","0","0","0","0","0","1","0","0","0","0","95","11329","0","0","0","0","0","7","0","0","0","41","0","0","0","4","0","0","0","1","0","0","108","1","5","0","478","41","0","0","0","0","0","31","53","0","0","0","0","21","0","1","0","4","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
" -16.0","12/-39/-94","--/-38/--",NA,"0","0","5","0","0","0","0","0","0","0","4","0","0","4","1","3","0","22","2","0","4","0","1","0","9","0","0","6","0","0","0","0","7","2","0","5","0","0","0","180","0","0","1","0","0","13","0","0","0","0","12","11","0","0","24","0","0","0","1","0","0","0","0","1","0","0","0","0","97","11329","0","0","0","0","0","9","0","0","0","55","0","0","0","2","0","0","1","0","0","0","127","0","11","0","586","61","0","0","0","0","0","50","53","0","0","1","0","20","0","0","1","13","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0"
