"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Fumaria","Galium t.","Gentiana t.","Geranium","Gossypium","Hydrocotyle","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Liquidambar","Lysimachia","Lythrum","Malva","Matthiola","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Ononis t.","Oxalis","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pterocarya","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Tamarix","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianella","Viburnum","Viscum","Vitis"
"   2"," 467","-458","  5","0","0","5","21","1","5","0","1","7","0","0","0","3","6","0","0","2","1","0","0","1","1","2","4","6","0","1","0","2","0","0","1","128","0","0","0","0","3","0","1","0","6","0","0","0","0","0","0","0","0","11","1","1","3","0","1","0","4","0","1","1","0","0","0","7","3","16","1","0","0","0","0","1","0","536","6","1","2","0","74","2","1","0","1","0","1","0","65","4","3","0","2","0","1","0","1","1","0","0","162","0","0","1","0","0","0","3","2","0","0","0","0","0"
"  30"," 470","-404"," 10","0","0","8","24","0","2","0","6","11","0","3","0","0","1","0","0","2","0","0","0","0","0","2","9","16","1","0","0","1","0","0","3","182","2","0","0","0","2","0","2","0","4","2","0","0","0","0","0","1","0","1","1","1","1","1","2","0","8","2","2","0","0","0","0","11","3","15","8","0","0","1","1","2","0","684","2","10","5","0","129","3","0","0","1","0","0","0","60","3","1","0","0","0","0","0","2","2","0","0","197","0","0","1","0","0","0","7","4","0","0","1","0","1"
"  87"," 475","-296"," 20","0","0","4","25","0","2","0","0","4","0","1","0","0","1","0","0","2","0","0","0","0","0","1","1","16","0","0","0","0","0","0","3","158","1","1","1","0","0","0","2","0","9","2","0","0","0","0","0","0","0","0","0","1","1","0","4","1","2","2","0","0","0","0","0","3","3","10","8","0","0","0","0","0","1","555","5","8","4","0","88","4","1","0","0","0","0","0","66","0","0","0","3","0","0","0","5","2","0","0","170","0","0","0","0","7","0","6","6","0","0","1","0","1"
" 144"," 481","-187"," 30","0","0","6","56","0","0","0","5","10","0","4","0","1","1","0","0","0","0","0","0","0","0","1","9","7","0","0","0","0","0","0","0","114","2","1","0","1","2","0","1","0","8","2","0","0","0","0","0","0","1","0","1","4","2","0","0","0","2","1","0","0","0","0","0","1","1","4","4","0","0","0","0","0","2","331","1","4","3","0","118","3","0","1","3","0","0","0","59","0","0","1","0","0","0","1","0","0","0","1","344","0","0","0","0","0","0","4","0","0","0","1","0","4"
" 201"," 487"," -79"," 40","0","0","3","11","0","1","0","2","4","0","1","0","0","1","0","0","0","0","0","0","0","0","2","7","6","0","0","0","1","0","0","3","131","3","0","0","1","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","5","1","0","0","0","0","0","1","1","1","7","0","0","0","0","0","0","228","2","6","1","0","53","1","0","0","2","0","0","0","28","1","2","0","1","0","0","1","1","0","1","2","215","0","0","1","0","1","0","4","0","0","0","0","0","4"
" 258"," 492","  28"," 50","0","0","9","18","2","0","0","7","5","0","3","0","0","3","0","0","0","0","0","0","0","1","1","2","6","0","0","0","0","0","0","2","186","2","0","0","0","1","0","3","0","1","2","0","1","1","0","1","0","0","0","0","3","0","0","1","0","4","0","0","0","0","0","0","2","2","5","6","0","0","0","0","0","1","129","4","7","1","0","61","1","1","0","1","0","1","0","46","1","1","0","2","0","0","0","5","1","0","1","295","0","0","0","0","1","0","4","2","0","0","0","0","4"
" 314"," 497"," 136"," 60","0","0","6","12","0","2","0","1","4","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","1","1","0","1","130","2","0","0","0","0","1","4","0","2","0","0","0","0","0","0","0","1","0","1","3","0","0","0","0","3","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","231","2","6","2","0","62","2","0","0","0","0","0","0","46","0","2","0","0","0","1","0","4","0","0","0","738","0","0","0","0","0","0","1","0","0","0","0","0","5"
" 371"," 502"," 242"," 70","0","0","3","4","0","1","0","1","4","0","1","0","0","4","0","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","52","0","0","1","0","1","0","0","0","1","0","0","0","2","0","1","0","0","0","1","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","102","1","0","1","0","16","1","0","0","0","0","0","0","20","0","1","0","0","0","3","0","3","0","0","0","366","0","0","0","0","0","0","3","0","0","0","0","0","4"
" 485"," 520"," 448"," 90","0","0","2","8","0","0","0","3","6","0","1","0","1","0","0","0","0","0","0","0","0","1","46","1","1","0","0","0","1","0","0","0","48","0","0","0","0","2","0","0","0","2","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","26","1","0","0","0","0","0","0","165","2","2","0","0","35","2","0","0","0","0","0","0","35","0","0","0","1","0","0","0","0","0","0","1","167","0","0","0","0","0","0","2","0","0","0","0","0","1"
" 606"," 631"," 580","105","0","0","3","9","1","1","0","2","6","0","4","0","0","0","0","0","0","0","0","0","0","0","4","11","0","0","0","0","0","0","0","1","121","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","1","1","1","19","2","0","0","0","0","0","0","202","2","3","0","0","93","2","0","0","0","0","0","0","10","0","0","0","0","0","0","0","2","1","0","0","209","0","0","0","0","0","0","2","0","1","0","0","0","6"
