"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentianaceae undif.","Geraniaceae undif.","Hedera","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Juncaginaceae","Lamiaceae undif.","Lemnaceae","Ligustrum","Lotus t.","Lythrum","Malva undif.","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Ononis t.","Pediastrum longicorne","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Prunus t.","Pseudopediastrum brevicorne","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Tamarix","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Valeriana t.","Viburnum","Vitis"
"6866","7259","6442"," 312","   7","   0","   0","   0","   7","   8","   0","   0","   8","   7","   0","  25","   1","  13","   0","   2","   0","   0","   0","   0","   0","   2","  11","   0","   0","   4","  36","   0","   1","   0","   0","  15","   6","   3","   0","   2","   0","   0","   1","   0","   0"," 188","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 316","   0","  13","   0","   0","  63","  13","  93","   0","   0","   0","   0","   0"," 262","   1","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   1","   1"," 210","   0","   0","   0"
"6916","7289","6510"," 340","  13","   1","   5","   0","   4","  10","   0","   0","   0","   0","   0","   6","   0","  35","   0","   1","   0","   0","   0","   0","   0","   3","   3","   0","   0","   0","  16","   1","   0","   0","   0","   8","   6","  10","   0","   0","   0","   0","   0","  13","   0"," 123","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 182","   1","   3","   0","   0","  30","   7","  18","   0","   1","   0","   0","   0"," 130","   1","   0","   0","   0","   1","   7","   0","   1","   0","   0","   2","   0","   0","   1","   0","   2","   0","  20","   1"," 100","   0","   0","   0"
"6952","7311","6558"," 360","   6","   0","   0","   0","  14","  14","   0","   0","   4","   8","   0","   7","   3","  28","   0","   4","   0","   0","   1","   0","   0","   1","   1","   0","   0","   2","  26","   0","   0","   0","   0","   7","   4","  13","   1","   1","   0","   0","  16","   3","   0"," 134","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 235","   1","  11","   0","   0","  54","  15","  61","   0","   0","   0","   0","   0"," 150","   0","   3","   0","   0","   7","   3","   0","   4","   0","   0","   1","   1","   0","   1","   0","   1","   0","   0","   2","  84","   0","   0","   1"
"6988","7333","6607"," 380","   2","   0","  10","   0","  21","   8","   0","   0","   2","   4","   0","   4","   3","  48","   0","   0","   0","   1","   0","   1","   0","   9","   4","   0","   0","   5","   8","   0","   0","   0","   1","  26"," 125","   8","   0","   1","   1","   0","   5","   5","   0","  51","   0","   0","   4","   0","   0","   0","   1","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  66","   0","  12","   0","   0","  29","   1","  39","   0","   0","   0","   0","   0"," 283","   2","   3","   0","   2","   3","  12","   0","   0","   0","   0","   2","   1","   0","   0","   0","   1","   0","   0","   2","  86","   0","   0","   2"
"7031","7359","6665"," 404","   5","   0","   3","   0","  33","  19","   1","   1","   3","  10","   0","   4","   0","  28","   0","   1","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","  14","   0","   0","   0","   0","  26","   3","  38","   0","   0","   2","   0","   1","   2","  29","  76","   0","   0","   1","   1","   0","   0","   0","   0","   1","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0"," 176","   0","   6","   0","   0","  56","   4","  56","   0","   0","   0","   0","   0"," 129","   0","   2","   0","   0","   1","  16","   0","   0","   0","   0","  14","   0","   0","   0","   0","   1","   0","   0","   4","  80","   0","   0","   4"
"7113","7410","6776"," 450","   3","   0","   2","   0","  71","  13","   1","   2","   5","  13","   0","   7","   0","  55","   0","   4","   0","   0","   0","   0","   0","   7","   2","   0","   0","   1","  13","   0","   0","   0","   0","  26","   4","  22","   0","   2","   1","   0","   2","  10","  39","  31","   0","   0","   9","   1","   0","   0","   0","   1","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  39","   0","  13","   0","   0"," 471","   3","  60","   0","   0","   0","   0","   0"," 123","   0","   1","   0","   1","  12","  63","   0","   0","   0","   1","  21","   0","   0","   0","   0","   1","   0","   3","  16","  38","   0","   0","   9"
"7202","7468","6899"," 500","   5","   0","   2","   0","  41","  20","   0","   1","   2","   7","   0","   0","   1","  28","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   3","  74","   0","   0","   4","   0","   0","  17","   1","  36","   0","   0","   6","   1","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   3","   0","   0","   4","   1","   0","   0","   0","   0","   1","   0","   0","  92","   1","   2","   0","   0"," 435","   0","   2","   0","   0","   0","   0","   1"," 157","   1","   0","   0","   0","   3","   7","   0","   0","   0","   0"," 294","   0","   0","   0","   0","   1","   0","   3","  16","  16","   0","   0","   2"
"7288","7524","7017"," 548","  17","   1","   2","   0","  25","  42","   0","   2","   0","  11","   0","   5","   0","  56","   0","   1","   0","   0","   0","   0","   1","   2","   0","   0","   1","   1","   2","   0","   0","   0","   0","  13","   1","  10","   0","   0","   5","   0","   0","   0","   0","  70","   1","   0","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   1"," 253","   0","   2","   0","   0"," 181","   2","   3","   0","   0","   0","   0","   0"," 267","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0","   3","   0","   0","   0","   0","  13","   0","   0","  17","  68","   0","   0","   4"
"7346","7565","7098"," 580","  20","   0","   0","   0","  71","  57","   0","   1","   4","   6","   0","   2","   2"," 129","   1","   0","   0","   0","   0","   0","   1","  26","   0","   0","   0","   2","   3","   0","   2","   0","   0","  57","   3","  17","   0","   0","   4","   0","   0","   3","   2","  50","   0","   1","  20","   1","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 224","   2","   3","   0","   2"," 742","   0","   0","   0","   0","   0","   0","   0"," 417","   2","   3","   0","   1","   5","   6","   0","   2","   1","   0","   8","   0","   1","   0","   0","   4","   0","   0","  25"," 106","   0","   0","  15"
"7381","7591","7148"," 600","  20","   0","   0","   0","  29","  62","   0","   0","  13","   7","   0","   6","   1","  63","   0","   2","   0","   0","   0","   0","   0","  11","   0","   0","   0","   2","   0","   1","   0","   0","   0","  42","   1","  12","   0","   0","   3","   0","   0","   3","   0"," 173","   0","   0","   5","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2"," 292","   0","   6","   0","   2"," 347","   4","   0","   0","   0","   0","   0","   0"," 226","   1","   2","   0","   0","   3","   0","   0","   2","   0","   0","   5","   0","   0","   0","   0","  13","   0","   1","  25","  16","   0","   0","   6"
