"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Callitriche","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Centranthus t.","Ceratonia","Ceratophyllum","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Erodium","Eucalyptus","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fraxinus","Fungi","Genisteae","Gentiana t.","Geranium","Heliotropium","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Lemnaceae","Linum t.","Lycopodium spike","Lycopodium tablets","Lythrum","Malva undif.","Mercurialis","Morus","Myriophyllum alterniflorum t.","Olea t.","Ophioglossum vulgatum","Papaver t.","Paronychieae","Pediastrum angulosum","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Portulacaceae t.","Potamogeton","Potentilla t.","Prunus t.","Pseudopediastrum boryanum var. boryanum sensu lato","Pseudopediastrum boryanum var. longicorne","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Robinia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Saxifragaceae","Scrophulariaceae undif.","Sparganium","Spergularia t.","Taxus","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Vitis"
"  -4.52",NA,NA,"  5","1","0","0","1","6","6","6","0","27","1","4","0","5","0","0","1","0","0","25","0","0","0","0","2","0","0","0","0","5","0","0","19","1","0","16","0","0","1","1","0","2","0","0","2","1","1","5","1","0","0","0","0","0","0","0","0","1","0","0","708","0","4","0","1","1","0","3","0","0","1","0","0","1","0","19","1","35","0","0","171","4","0","0","294","5","0","0","0","5","7","6","1","0","0","1","0","1","2","1","0","0","0","0","1","0","0","0","0","0","0","7","0","0"
"  98.44",NA,NA," 15","1","0","0","1","2","1","6","0","15","3","1","0","10","0","0","0","1","0","1","0","0","0","2","12","3","0","0","0","26","0","1","12","1","0","16","0","0","0","0","0","1","0","0","0","1","2","13","0","0","0","0","0","0","0","0","0","0","0","0","719","0","0","0","1","0","0","7","0","0","1","0","1","0","0","4","0","56","0","0","116","3","0","1","59","2","0","0","0","10","5","0","3","0","0","0","0","2","1","2","0","0","0","1","2","0","0","1","7","0","0","1","0","0"
" 201.40",NA,NA," 25","1","0","0","2","3","3","10","0","29","5","4","1","3","1","0","0","0","0","10","0","0","1","0","6","0","0","1","2","20","0","2","14","1","0","49","0","0","0","2","0","1","0","0","2","2","3","18","0","0","0","0","0","0","0","2","0","6","0","0","758","0","7","0","2","0","0","3","0","0","2","4","0","0","0","5","0","58","1","0","179","7","0","0","83","3","0","0","0","11","5","2","1","0","1","0","0","3","2","1","0","0","0","0","2","0","1","0","3","0","0","2","0","1"
" 304.36",NA,NA," 35","1","0","0","0","6","4","14","0","26","3","4","2","5","2","1","0","1","0","5","0","5","0","1","5","3","0","0","2","21","0","2","7","4","0","60","1","0","0","2","0","0","1","2","2","1","2","32","0","0","0","1","0","0","0","0","1","6","0","0","839","0","4","0","1","0","0","13","0","0","4","2","2","2","0","3","2","104","0","0","185","2","2","0","84","3","0","0","0","6","5","1","0","0","0","1","0","7","3","0","0","0","0","0","4","0","0","0","7","0","0","3","0","0"
" 407.33",NA,NA," 45","1","0","0","0","2","6","39","0","21","1","8","3","11","0","0","0","4","0","0","0","8","0","3","2","2","0","0","6","69","0","4","4","1","0","53","0","1","0","1","0","0","0","2","2","1","1","50","1","0","0","1","0","0","0","0","1","0","0","0","632","0","9","0","0","0","0","10","0","0","17","41","2","0","0","2","0","98","0","0","244","2","1","0","48","2","0","0","0","5","2","4","5","1","0","0","0","6","3","1","1","0","0","1","2","0","0","0","12","0","0","5","0","0"
" 510.29",NA,NA," 55","1","0","0","0","6","4","3","0","11","3","9","0","2","0","0","0","3","0","0","1","0","0","0","4","0","0","0","3","10","1","3","6","0","0","71","1","0","0","4","0","0","1","1","3","2","2","6","1","1","0","1","0","0","0","0","3","7","0","0","571","0","4","0","4","0","0","11","0","0","1","630","0","2","1","0","1","62","0","0","97","2","0","0","208","0","0","0","0","4","6","0","3","0","0","0","0","3","2","11","0","0","2","0","0","0","0","0","0","0","0","5","0","0"
" 613.25",NA,NA," 65","1","0","0","1","2","3","11","0","17","7","7","1","4","0","1","0","3","0","2","0","0","0","2","4","3","0","0","17","18","0","0","3","0","0","60","0","0","0","1","0","0","1","2","0","1","1","15","0","0","0","0","0","0","0","1","12","14","0","0","796","0","8","0","0","0","0","12","0","0","6","26","0","2","0","2","1","39","0","0","132","3","0","0","575","0","1","0","1","4","3","1","2","0","0","0","0","5","7","1","1","0","0","0","2","0","2","0","0","0","0","2","0","2"
" 716.21",NA,NA," 75","1","0","0","0","0","1","34","0","21","1","2","2","9","0","0","0","0","0","0","0","2","0","5","0","4","0","0","3","67","0","1","0","0","0","4","0","0","0","2","0","0","2","0","0","0","0","42","2","0","0","0","0","0","0","0","0","2","0","0","251","0","1","0","0","0","0","7","0","0","1","10","0","0","0","2","0","80","0","0","203","3","1","0","30","0","0","0","0","3","0","0","1","0","0","0","0","1","1","1","0","0","0","0","3","0","0","0","7","1","0","0","0","0"
" 819.17",NA,NA," 85","1","0","0","4","0","2","14","0","15","8","10","0","5","0","0","1","2","0","0","1","4","0","3","0","1","0","0","13","36","0","0","1","0","0","20","0","0","0","0","0","0","0","0","0","2","1","20","0","0","0","1","0","1","0","1","2","4","0","0","382","0","6","0","0","0","0","4","0","0","5","0","0","0","0","0","0","42","0","0","139","4","0","0","264","0","0","0","0","1","2","0","1","0","0","0","1","3","4","0","0","0","1","0","1","0","0","0","5","0","0","0","0","0"
" 922.13",NA,NA," 95","1","0","0","1","0","4","1","0","6","1","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","113","5","0","0","2","0","0","12","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","589","0","0","0","0","0","0","3","0","0","5","0","0","0","0","0","0","12","0","0","58","2","0","0","77","0","0","19","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1025.09",NA,NA,"105","1","0","0","0","0","2","16","0","14","2","5","0","8","0","0","0","3","1","0","2","1","0","2","1","1","0","0","3","20","0","0","2","0","0","30","0","0","0","1","0","0","0","0","1","1","0","16","0","0","0","0","0","0","1","0","3","3","1","0","565","0","2","0","1","0","7","8","0","0","3","0","1","0","0","1","0","70","0","0","280","2","0","0","137","0","0","1","0","6","4","5","3","0","0","0","0","3","7","0","0","0","0","1","4","1","1","0","3","0","1","0","0","0"
"1128.06",NA,NA,"115","1","0","0","2","1","5","29","1","18","1","5","1","9","1","0","0","3","0","0","0","2","0","1","0","7","0","0","1","61","0","0","2","0","1","14","1","1","1","1","1","0","0","2","1","1","0","28","0","0","0","0","1","0","0","0","1","5","0","0","442","0","4","0","0","0","2","2","0","0","7","0","0","0","0","1","0","62","0","0","205","3","0","0","295","2","0","0","0","8","3","3","5","0","0","0","0","6","5","1","0","1","0","0","10","0","0","0","7","1","1","1","0","0"
"1231.02",NA,NA,"125","1","0","0","4","1","2","30","0","27","0","4","1","22","0","1","0","1","0","1","0","5","1","6","0","19","0","0","0","94","0","1","1","1","0","8","0","0","1","1","0","0","0","0","2","0","0","57","0","0","0","0","0","0","0","1","0","1","0","1","219","0","6","0","0","0","1","2","0","0","2","0","1","0","0","0","0","88","0","0","265","2","0","0","13","2","0","0","31","17","3","0","4","0","0","0","0","1","0","0","0","0","0","0","10","0","0","0","17","1","0","0","1","0"
"1333.98",NA,NA,"135","1","0","0","0","0","1","24","0","20","0","3","0","10","0","0","0","6","0","0","0","10","0","8","0","17","0","0","0","100","1","0","0","1","0","11","0","0","0","1","2","0","0","0","0","0","0","91","0","0","1","1","0","0","0","0","0","1","0","0","132","0","1","0","0","0","0","2","0","0","0","0","1","0","0","1","0","49","0","0","322","2","0","0","1","1","0","41","0","2","3","1","3","0","0","0","0","2","2","0","0","0","0","0","4","0","0","0","8","0","0","0","0","0"
"1436.94",NA,NA,"145","1","0","0","0","1","0","18","0","12","0","1","3","3","0","0","0","5","0","0","0","1","0","11","0","21","0","0","0","105","0","0","0","0","0","4","0","0","1","0","4","0","2","0","0","0","0","213","0","0","0","0","0","0","0","0","0","0","0","0","80","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","53","0","0","186","2","0","0","0","0","0","0","0","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","10","0","0","0","0","0"
"1539.90",NA,NA,"155","1","0","0","0","1","0","34","0","17","0","2","1","7","0","0","0","14","0","0","0","12","0","6","0","19","0","0","0","87","0","1","0","0","0","3","0","0","0","0","1","0","0","0","0","1","0","109","0","0","0","0","0","0","0","0","0","0","0","0","111","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","50","0","0","366","4","0","0","0","0","0","0","0","4","1","1","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","17","0","0","0","0","0"
"1642.86",NA,NA,"165","1","0","0","0","1","2","40","0","8","0","3","2","23","0","0","0","2","0","0","0","6","0","10","0","20","0","0","0","103","0","0","1","0","0","10","1","0","0","2","0","0","0","0","1","1","0","24","0","0","0","0","0","0","0","0","0","1","0","0","97","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0","0","67","0","0","300","5","0","0","0","0","0","0","0","6","2","0","0","0","0","0","0","2","1","0","0","0","0","0","3","0","0","0","11","0","0","0","0","0"
"1745.82",NA,NA,"175","1","0","0","0","1","1","40","0","13","0","3","5","13","0","0","0","3","0","0","0","11","0","6","0","9","0","0","0","90","1","2","0","1","0","6","0","0","1","4","0","0","0","0","2","0","0","18","1","0","0","0","0","0","0","0","0","0","0","0","147","0","0","0","0","0","0","1","0","0","0","0","4","0","0","1","0","77","0","0","278","1","0","0","0","0","0","0","0","24","2","1","0","0","0","0","0","4","0","0","0","0","0","0","1","0","0","0","11","0","0","0","0","0"
"1848.79",NA,NA,"185","1","0","0","0","1","0","26","0","7","0","3","6","28","0","0","0","0","0","0","0","6","0","11","0","5","1","0","0","77","0","0","0","0","0","4","0","0","1","1","0","0","2","0","8","3","0","3","0","0","1","0","0","0","0","1","0","0","0","0","127","0","0","0","0","0","0","1","0","0","0","0","2","0","0","1","0","68","0","0","212","1","0","0","0","0","0","0","0","18","2","1","4","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0"
"1951.75",NA,NA,"195","1","0","0","0","2","2","42","0","5","0","5","2","21","0","1","0","1","0","0","0","18","0","13","0","7","1","0","0","34","1","1","0","0","0","4","0","0","1","0","0","0","0","0","1","4","0","0","1","0","1","0","0","0","0","0","0","0","0","0","159","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","0","72","0","0","208","0","0","0","0","0","0","0","0","28","2","3","2","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0"
"2054.71",NA,NA,"205","1","0","0","0","1","0","36","0","18","0","4","2","29","0","0","0","4","0","0","0","8","0","12","1","10","1","0","1","94","0","0","1","0","0","10","0","0","0","1","1","0","0","0","1","0","0","75","1","0","1","0","0","0","0","0","1","0","0","0","131","0","0","0","0","0","0","1","0","0","0","0","3","0","0","3","0","67","0","0","282","6","0","0","0","0","0","0","0","10","3","1","1","0","0","0","0","1","2","0","0","0","0","0","8","0","0","1","10","0","0","0","0","0"
"2157.67",NA,NA,"215","1","0","0","0","0","0","59","0","13","0","1","1","28","0","1","0","0","0","0","0","5","0","21","0","10","0","0","0","28","0","1","0","0","0","1","0","0","0","0","1","0","0","0","6","4","0","1","0","0","2","0","0","0","0","2","0","0","0","0","125","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","125","0","0","121","3","0","0","0","0","0","0","0","24","2","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0"
"2260.63",NA,NA,"225","1","0","0","0","1","0","140","0","4","0","1","2","27","0","0","0","0","0","0","0","5","0","4","0","3","1","0","1","27","0","0","0","0","0","2","0","0","0","1","0","0","0","1","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","89","0","1","0","0","0","0","0","0","0","0","0","2","0","0","1","0","116","0","0","180","1","0","1","0","0","0","0","0","12","0","1","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0"
"2363.59",NA,NA,"235","1","1","0","0","2","0","370","0","9","0","3","0","17","1","0","0","0","0","0","0","7","0","9","0","4","0","0","0","32","0","0","0","0","0","0","0","0","2","0","0","0","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","159","0","0","0","0","0","0","2","0","0","0","0","1","0","0","2","0","52","0","0","153","11","0","0","0","0","0","0","0","10","1","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0"
"2466.55",NA,NA,"245","1","0","0","0","0","0","142","0","3","0","1","0","4","0","0","0","0","0","0","0","7","0","4","0","5","0","0","0","12","0","2","0","0","0","1","0","0","0","2","0","0","0","0","4","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","473","0","0","0","0","0","0","1","1","0","0","0","4","0","0","1","0","17","0","1","33","0","0","0","0","0","0","0","0","3","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140","0","0","0","0","0"
