"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Geranium","Hedera","Heliotropium","Hymenophyllum","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lobelia","Loranthus","Lotus t.","Lysimachia","Malva","Mercurialis","Morus","Myriophyllum spicatum/verticillatum t.","Nymphaea","Nymphoides","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex subg. Emex","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis","Zea"
NA,NA,NA,"399","  0","  0","  0"," 19","  4","  1","  0","  1","  0","  0"," 16","  0","  0","  1"," 99","  0","  0","  0","  4","  0","  2","  0","  0","  1","  0","  2","  0","  0","  0","  5","  2","  9","  0","  0","  0"," 22","  0","  0","  0"," 25","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  3"," 64","  3"," 11","  9"," 70","  2","  0","  0","  0"," 54","292","  0","  0","  0","  0","  1","  1","  0","  1","  0","  0"," 14","  0","  0","  0","  0","  0","  0","  0"," 14","  6","  0","  0","  0","  0"
NA,NA,NA,"460","  0","  0","  0"," 45","  2","  0","  0","  0","  0","  0","  5","  0","  1","  5"," 57","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0"," 11"," 22","  6","  0","  0","  1"," 20","  0","  1","  0"," 26","  4","  1","  0","  5","  0","  0","  0","  0","  0","  1","  1","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2"," 28","  2","  6","  9"," 58","  0","  2","  0","  0"," 76","301","  0","  0","  0","  0","  1","  3","  0","  2","  2","  0"," 14","  0","  0","  0","  0","  0","  0","  1","  7"," 18","  0","  0","  6","  0"
NA,NA,NA,"380","  1","  0","  0"," 33","  5","  0","  0","  1","  4","  0"," 17","  0","  0","  1","108","  2","  0","  0","  1","  0"," 13","  0","  0","  1","  3","  2","  0","  0","  0","  5","  1","  5","  0","  0","  0"," 30","  0","  0","  1"," 47","  4","  0","  1","  5","  1","  1","  0","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  1","  2","108","  0","  8"," 13"," 75","  7","  4","  0","  0"," 33","359","  2","  0","  0","  0","  2","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0"," 15"," 18","  0","  0","  2","  0"
NA,NA,NA,"440","  0","  1","  0"," 43","  3","  1","  0","  0","  1","  0","  3","  0","  0","  7"," 61","  1","  0","  0","  1","  0","  5","  2","  0","  1","  1","  0","  0","  0","  0","  5","  6"," 11","  0","  0","  0"," 19","  0","  1","  0"," 21","  8","  0","  0","  5","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  1","  0","  1","  0","  0","  0","  1","  1","  0","  1"," 37","  0","  2","  7"," 67","  1","  0","  0","  0"," 49","310","  0","  0","  0","  0","  2","  2","  0","  0","  8","  0","  9","  0","  0","  0","  0","  0","  0","  0"," 10"," 10","  1","  0","  5","  0"
NA,NA,NA,"500","  0","  0","  0","  6","  4","  0","  0","  0","  0","  0"," 10","  0","  0","  1","  7","  1","  0","  0","  2","  0","  0","  1","  1","  1","  2","  1","  0","  0","  0","  4"," 11"," 11","  0","  0","  1"," 30","  0","  0","  0","  5"," 14","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  6","  0","  0","  0","  0","  2","  0","  1","  0"," 14","  2"," 31","  8","  9","  0","  0"," 40","112","  1","  0","  1","  0","  3","  0","  0","  1","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0"," 32","  1","  0","  3","  0"
NA,NA,NA,"540","  1","  1","  0"," 20","  8","  0","  0","  0","  1","  0"," 13","  0","  1","  4"," 14","  1","  0","  0","  4","  0","  2","  2","  0","  1","  2","  0","  0","  0","  0","  0"," 14","  8","  0","  0","  0"," 25","  0","  1","  0","  7"," 15","  0","  0","  1","  1","  0","  1","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  8","  0","  0","  0","  0","  0","  0","  3","  0"," 16","  4"," 58"," 15","  5","  0","  0"," 50","168","  0","  0","  0","  0","  5","  6","  0","  4","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  2"," 14","  2","  0","  2","  0"
NA,NA,NA,"600","  1","  0","  0"," 12"," 10","  0","  0","  2","  3","  0"," 11","  0","  0","  0"," 36","  0","  0","  0","  1","  0","  0","  3","  1","  1","  2","  0","  0","  0","  0","  3","  6"," 14","  0","  0","  0"," 24","  0","  0","  0"," 10"," 12","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 12","  0","  1","  0","  0","  3","  0"," 15","  1"," 13","  0"," 75"," 18"," 13","  0","  0"," 59","163","  1","  0","  0","  0"," 15","  1","  0","  4","  2","  0","  4","  0","  0","  0","  1","  1","  0","  0","  3"," 16","  0","  0","  3","  0"
NA,NA,NA,"80"," 0"," 0"," 0"," 1"," 7"," 1"," 0"," 0"," 1"," 0"," 7"," 0"," 2"," 0","16"," 0"," 0"," 0"," 3"," 1"," 0"," 0"," 0"," 2"," 3"," 2"," 0"," 0"," 0"," 6","22","15"," 0"," 0"," 1","15"," 0"," 0"," 0","14","10"," 4"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 2"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0","10"," 0"," 0"," 0"," 1"," 2"," 1","46"," 0","13","16","58"," 8"," 6"," 0"," 1","38","31"," 0"," 0"," 3"," 0"," 6"," 0"," 0"," 2"," 1"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","10"," 0"," 0"," 0"," 2"
NA,NA,NA,"360","  3","  0","  0","  8","  8","  0","  0","  2","  1","  0"," 11","  0","  2","  1"," 65","  1","  0","  0","  7","  0"," 12","  1","  0","  3","  4","  2","  0","  0","  0","  9","  1"," 11","  0","  0","  0"," 31","  0","  0","  0"," 54"," 25","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0"," 11","  2","  3","152","  4"," 12","  8"," 69","  9","  0","  1","  0"," 28","367","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  7","  0","  1","  0","  0","  0","  0","  3"," 10"," 12","  0","  0","  1","  0"
NA,NA,NA,"240","  2","  0","  0"," 22","  6","  0","  0","  6","  0","  0"," 26","  0","  1","  2"," 53","  2","  0","  0","  6","  1","  9","  1","  1","  0","  6","  0","  0","  0","  0"," 11","  1"," 14","  0","  0","  0"," 27","  0","  1","  0"," 32"," 12","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  4","  1","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0"," 10","  0","  0","  1","  1","  1","  2"," 94","  3"," 15"," 16"," 95"," 11","  2","  1","  0"," 51","261","  0","  0","  0","  0","  4","  1","  0","  0","  4","  0","  3","  0","  0","  1","  0","  0","  0","  0","  4"," 18","  0","  0","  4","  0"
