"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acalypha","Adenium","Aerva type","Aeschynomene","Alchornea","Allophylus t.","Aloe","Amaranthaceae undif.","Anopyxis","Anthocleista","Anthospermum","Apiaceae undif.","Apocynaceae undif.","Artemisia","Asteroideae undif.","Balanites","Bombax","Brassicaceae","Bridelia","Cadaba","Capparis","Cassia","Catunaregam-type","Celosia type","Celtis","Cissus t.","Cleome","Combretaceae","Commiphora","Convolvulaceae","Cyperaceae","Ekebergia","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Ficus","Hygrophila","Hymenocardia","Hypericum undif.","Indeterminable","Indigofera","Irvingia","Ixora","Justicia t.","Kohautia","Lamiaceae undif.","Lannea","Laportea","Lawsonia","Leonotis-type","Lepisanthes","Lophira","Macaranga","Maerua","Mansonia altissima-type","Markhamia","Meliaceae undif.","Menispermaceae undif.","Mitragyna/Hallea","Monoletes","Morelia","Myriophyllum alterniflorum t.","Nauclea","Nymphaea","Olea t.","Onagraceae","Pausinystalia","Pavetta","Petaloid monocot","Phyllanthus undif.","Plantago","Poaceae","Podocarpus","Polygala","Polygonum t.","Prosopis t.","Psydrax","Pycnanthus","Rubiaceae undif.","Rubiaceae undiff. [undefined]...97","Rubiaceae undiff. [undefined]...98","Rubiaceae undiff. [undefined]...99","Salvadora","Sapotaceae undiff. Chrysophylum","Scrophulariaceae undif.","Securinega  t.","Sideroxylon t.","Spergularia t.","Striga","Syzygium t.","Tamarix","Tapinanthus","Tephrosia","Treculia","Triletes","Typha","Uapaca","Uncaria","Urtica t.","Urticaceae undiff. [undefined]...118","Urticaceae undiff. [undefined]...119","Vernonieae","Zanthoxylum","Ziziphus/Paliurus","Zygophyllum t."
"5040.00","  10.25","   0.00","   0.00","   0.00","   0.00","   2.00","   3.00","   0.00","   0.00","  16.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  10.00","   0.00","   0.00","  17.00","   1.00","   0.00","  67.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  98.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","  21.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"5156.00","  15.25","   0.00","   1.00","   1.00","   2.00","   0.00","   8.00","   0.00","   0.00","  15.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","  10.00","   0.00","   1.00","  22.00","   0.00","   0.00","  89.00","   0.00","   0.00","   0.00","   0.00","   3.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   1.00","   0.00","   2.00","   0.00","   2.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00"," 119.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   5.00","  33.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   2.00"
"5271.00","  20.25","   0.00","   0.00","   0.00","   1.00","   0.00","   5.00","   1.00","   0.00","  15.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   2.00","   0.00","   0.00","  14.00","   1.00","   0.00","  20.00","   0.00","   0.00","  89.00","   0.00","   1.00","   0.00","   0.00","   2.00","   2.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   4.00","   1.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   3.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00"," 144.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   6.00","  30.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00"
"5387.00","  25.25","   0.00","   0.00","   0.00","   2.00","   0.00","   4.00","   0.00","   0.00","  11.00","   0.00","   0.00","   1.00","   1.00","   0.00","   1.00","   2.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","  18.00","   1.00","   0.00","  19.00","   0.00","   0.00"," 102.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   7.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","   1.00","   0.00","   1.00","   0.00","   0.00","   3.00","   0.00","   0.00","   1.00","   0.00","   3.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00"," 148.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   6.00","  32.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   1.00","   0.00"
"5438.00","  30.25","   0.00","   3.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   5.00","   0.00","   0.00","  19.00","   2.00","   0.00","  22.00","   0.00","   0.00","  80.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   3.00","   2.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 161.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   9.00","  29.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00"
"5482.00","  35.25","   1.00","   3.00","   0.00","   2.00","   0.00","   5.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   4.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   6.00","   0.00","   0.00","  12.00","   0.00","   0.00","  25.00","   0.00","   0.00","  95.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00"," 133.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.00","  31.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"5537.00","  40.75","   0.00","   3.00","   0.00","   1.00","   0.00","   7.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   5.00","   0.00","   0.00","  15.00","   0.00","   0.00","  27.00","   0.00","   0.00","  67.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   4.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00"," 131.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","   7.00","  49.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"5642.00","  45.25","   2.00","   5.00","   0.00","   0.00","   0.00","   2.00","   0.00","   1.00","   7.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  10.00","   0.00","   0.00","  12.00","   2.00","   0.00","  21.00","   0.00","   0.00","  79.00","   0.00","   1.00","   1.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   1.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00"," 151.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","  45.00","   0.00","   1.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"5759.00","  50.25","   2.00","   2.00","   0.00","   2.00","   0.00","   2.00","   0.00","   0.00","  10.00","   0.00","   2.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","  12.00","   0.00","   0.00","  24.00","   0.00","   0.00","  75.00","   0.00","   2.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","   0.00","   4.00","   0.00","   0.00","   0.00","   2.00","   0.00","   2.00"," 152.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   1.00","   0.00","   0.00","   1.00","  13.00","  49.00","   0.00","   0.00","   0.00","   6.00","   0.00","   1.00","   0.00","   0.00"
"5864.00","  54.75","   0.00","   4.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","  11.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","  16.00","   0.00","   0.00","  24.00","   0.00","   0.00","  60.00","   0.00","   2.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   1.00","   1.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00"," 157.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","  50.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
