"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acanthus","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Asphodelus t.","Asteroideae undif.","Campanulaceae","Caryophyllaceae undif.","Cichorieae","Cistaceae","Corylus","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Geraniaceae undif.","Hypericum undif.","Lamiaceae undif.","Linum t.","Lythrum","Musci","Myriophyllum undif.","Myrtus","Olea t.","Petaloid monocot","Pinus mediterranea","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygala","Quercus deciduous","Quercus subgen. Cerris","Salix","Sambucus","Thymelaeaceae undif.","Typha","Unknown","Viburnum"
"103",NA,NA,"  0","  2","  0","  2","  2","  0","  0"," 12","  0","  4","  0","  4","  0","  0"," 55","  2","  0","  1","  0","  0","  2","  0","  0","  2","  2","  0","  0","  2","  2"," 46","  2","  0"," 86"," 65","  2","  0","  0","  6"," 74","  1"
"163",NA,NA,"  5","  0","  1","  4","  3","  1","  0","  9","  0","  1","  2","  1","  0","  0"," 50","  0","  7","  0","  0","  1","  1","  0","  0","  0","  2","  0","  0","  1","  2"," 50","  2","  0"," 81"," 50","  0","  0","  0","  2"," 34","  4"
"222",NA,NA," 10","  0","  0","  6","  3","  5","  0"," 23","  1","  1","  5","  2","  0","  0"," 60","  3","  8","  0","  0","  1","  0","  0","  0","  1","  1","  3","  0","  4","  0"," 54","  3","  0","113"," 55","  0","  1","  0","  0"," 58","  0"
"282",NA,NA," 15","  0","  1","  3"," 10","  3","  0"," 10","  0","  0","  2","  3","  0","  0"," 50","  2","  9","  0","  2","  1","  1","  0","  0","  0","  6","  3","  0","  2","  0"," 38","  1","  0"," 97"," 50","  2","  0","  0","  0"," 35","  0"
"342",NA,NA," 20","  0","  1","  4"," 11","  0","  0"," 10","  0","  0","  3","  0","  0","  0"," 48","  3"," 12","  0","  2","  0","  0","  0","  0","  1","  2","  2","  2","  1","  1"," 28","  4","  0"," 95"," 36","  1","  0","  0","  1"," 31","  0"
"402",NA,NA," 25","  0","  2","  0","  6","  3","  0","  1","  0","  0","  0","  0","  1","  0"," 85","  1","  5","  0","  2","  0","  1","  0","  0","  4","  4","  2","  1","  5","  1"," 34","  5","  0"," 99"," 35","  0","  1","  0","  1"," 47","  0"
"462",NA,NA," 30","  0","  2","  3","  6","  0","  0","  4","  0","  0","  4","  3","  0","  0"," 70","  0","  4","  1","  1","  0","  0","  0","  0","  0","  2","  2","  0","  2","  1"," 20","  2","  0"," 75"," 28","  4","  0","  0","  0"," 17","  0"
"522",NA,NA," 35","  0","  1","  3"," 12","  0","  0"," 10","  0","  0","  6","  7","  0","  0"," 80","  2","  1","  0","  7","  0","  0","  0","  3","  3","  2","  4","  0","  4","  7"," 25","  3","  0"," 96"," 30","  0","  0","  0","  0"," 16","  0"
"582",NA,NA," 40","  0","  1","  2"," 10","  1","  0"," 17","  0","  1","  5","  5","  3","  1"," 63","  2","  4","  1","  2","  0","  1","  0","  0","  3","  1","  3","  0","  0","  2"," 26","  0","  0"," 85"," 20","  0","  0","  0","  0"," 20","  0"
"641",NA,NA," 45","  0","  0","  0","  6","  4","  2"," 10","  0","  3","  8","  2","  6","  0"," 60","  2","  2","  0","  8","  0","  0","  0","  0","  1","  0","  4","  0","  1","  2"," 25","  1","  0"," 71"," 25","  0","  0","  0","  0"," 20","  0"
