"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Algae","Algae? (type 128A, HdV)","Algae? (type 128B, HdV)","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Butomus","Cannabaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Ceratophyllum","Cichorieae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Cystopteris fragilis-type","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Fungi","Galium t.","Gelasinospora-type","Geraniaceae undif.","Indeterminable","Indeterminable (crumpled)","Juglans","Lamiaceae undif.","Lemnaceae","Lycopodium spike","Lythrum","Mougeotia-type","Myriophyllum undif.","Nymphaea","Olea t.","Onagraceae","Pediastrum simplex-type","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Poaceae (Cerealia-type, broken)","Poaceae (Cerealia-type, corroded)","Poaceae (Cerealia-type, crumpled)","Potamogeton","Protist","Pseudopediastrum boryanum-type","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Sanguisorba t.","Sparganium","Spirogyra (type 132, HdV)","Thalictrum","Thelypteris phegopteris-type","Triletes","Typha","Ulmus t.","Unknown","Unknown (type 610)","Urtica t."
"297.375",NA,NA,"  0.500","  0.000","  7.000"," 15.000"," 35.000"," 42.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  1.000","  0.000","  2.000","  0.000","  0.000","  9.000","  0.000","  0.000","  0.000"," 65.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  1.000","  0.000","  7.000","  0.000","  2.000"," 12.000","  0.000","  0.000","  0.000"," 38.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","278.000","  0.000","  0.000","  0.000","  7.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  9.000","  2.000","  0.000","  0.000","  1.000","  0.000","  3.000","  7.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000"
"491.5179",NA,NA," 12.5000","  0.0000","  8.0000","  6.0000"," 52.0000"," 19.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  1.0000","  1.0000","  1.0000","  4.0000","  0.0000","  0.0000","  0.0000"," 74.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  7.0000","  9.0000","  0.0000","  0.0000","  0.0000"," 79.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","313.0000","  0.0000","  0.0000","  0.0000"," 10.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  4.0000","  1.0000","  0.0000","  1.0000","  3.0000","  0.0000"," 10.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"620.9464",NA,NA," 20.5000","  0.0000","  5.0000","  0.0000","  3.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  2.0000","  0.0000","  2.0000","  1.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  8.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000"," 68.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000","394.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  3.0000","  1.0000","  0.0000","  1.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"750.375",NA,NA," 28.500","  1.000"," 13.000","  2.000"," 12.000","  1.000","  0.000","  1.000","  1.000","  1.000","  0.000","  0.000","  0.000","  2.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000","  0.000","  8.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  2.000","  0.000","  0.000","  0.000","  5.000","  8.000","  0.000","  0.000","  0.000"," 50.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","314.000","  0.000","  0.000","  0.000"," 25.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  3.000","  0.000","  0.000","  0.000","  0.000","  2.000","  1.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000"
"879.8036",NA,NA," 36.5000","  0.0000","  5.0000","  0.0000"," 12.0000","  3.0000","  0.0000","  0.0000","  2.0000","  1.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000"," 29.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000"," 16.0000","  0.0000","  0.0000","  0.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000","110.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","318.0000","  0.0000","  0.0000","  0.0000","  8.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  1.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000","  1.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"944.5179",NA,NA," 40.5000","  0.0000","  3.0000","  0.0000"," 52.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  3.0000","  2.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000"," 47.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 13.0000","  0.0000","  0.0000","  0.0000","  5.0000","  3.0000","  0.0000","  0.0000","  0.0000"," 60.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","321.0000","  0.0000","  0.0000","  0.0000","  7.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"1073.946",NA,NA,"  48.500","   0.000","  36.000","   0.000","  42.000","   4.000","   3.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","   2.000","   8.000","   0.000","   2.000","   0.000","   0.000","   0.000"," 169.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  24.000","   0.000","   0.000","   0.000","   7.000","  10.000","   0.000","   0.000","   8.000"," 145.000","   0.000","   0.000","   1.000","   5.000","   1.000","   0.000","   0.000"," 297.000","   0.000","   1.000","   0.000","  31.000","   2.000","   0.000","   1.000","   0.000","   1.000","   0.000","   2.000","  14.000","   0.000","   0.000","   1.000","   1.000","  11.000","   5.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   2.000","   0.000"
"1332.804",NA,NA,"  64.500","   0.000","  17.000","   4.000","  90.000","  21.000","   1.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   2.000","  22.000","   2.000","   0.000","   0.000","   2.000"," 118.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","   1.000","   0.000","  21.000","  18.000","   1.000","   0.000","   0.000","  58.000","   1.000","   0.000","  11.000","  11.000","   0.000","   0.000","   0.000"," 134.000","   1.000","   0.000","   0.000","  30.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   7.000","   6.000","   1.000","   0.000","   7.000","   0.000","  34.000","   7.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   1.000","   0.000"
"1462.232",NA,NA,"  72.500","   0.000","  12.000","   0.000","  69.000","   4.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   1.000","  22.000","   2.000","   0.000","   0.000","   0.000"," 170.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","  15.000","  10.000","   1.000","   0.000","   0.000","  90.000","   0.000","   0.000","   3.000","  15.000","   0.000","   0.000","   1.000"," 316.000","   0.000","   0.000","   0.000","  36.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","  14.000","   7.000","   1.000","   4.000","  10.000","   1.000","  21.000","   7.000","   0.000","   0.000","   0.000","  26.000","   0.000","   0.000","   5.000","   1.000"
"1591.661",NA,NA,"  80.500","   0.000","  73.000","   0.000","  96.000","   6.000","   1.000","   0.000","   2.000","   1.000","   0.000","   0.000","   1.000","   7.000","   2.000","   3.000","   0.000","  16.000","   6.000","   0.000","   0.000","   1.000"," 526.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000","  19.000","  11.000","   3.000","   0.000","   3.000"," 202.000","   0.000","   2.000","   0.000"," 120.000","   5.000","   0.000","   0.000"," 153.000","   0.000","   0.000","   0.000","  43.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","  19.000","   5.000","   0.000","   3.000","  90.000","   0.000","  16.000","  12.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000"
