"depth","Abutilon t.","Acacia t.","Acanthaceae undif.","Alchornea","Allophylus t.","Amaranthaceae undif.","Apiaceae undif.","Asteroideae undif.","Bignoniaceae undif.","CRETACEOUS FOSSIL","Cadaba","Canthium","Cassia","Celastraceae undif.","Cichorieae","Combretaceae","Convolvulaceae","Cyperaceae","Dodonaea","Dracaena","Euphorbia t.","Fagonia","Fern","Ficus","Heliotropium","Hypoestes t.","Ilex","Indeterminable","Indigofera","Jatropha/Croton","Justicia t.","LYCOPODIUM tablets","Loranthaceae undif.","MIOCENE POLLEN GRAIN","Maerua","Mallotus","Malva undif.","Meliaceae undif.","Ocimum","Olea t.","Pinus","Plumbaginaceae","Poaceae","Podocarpus","Polygonum t.","Protist","Rutaceae undif.","Salvadora","Scrophulariaceae undif.","TERTIARY POLLEN GRAIN","Tamarix","Tintinnid","Tribulus","Typha","Ziziphus/Paliurus","cluster tamarix","diatoms"
"  2.5","  0.0","  0.0","  0.0","  0.0","  0.0"," 16.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"," 19.0","  0.0","  0.0","  0.0","  0.0"," 18.0","  0.0","  0.0","  2.0","157.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  9.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"
"  7.5","  0.0","  0.0","  0.0","  0.0","  1.0","107.0","  2.0","  4.0","  0.0","  8.0","  0.0","  0.0","  0.0","  0.0","  6.0","  5.0","  0.0"," 81.0","  0.0","  0.0","  0.0","  0.0"," 19.0","  0.0","  0.0","  0.0","  0.0"," 16.0","  0.0","  5.0","  3.0","465.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  2.0","  5.0"," 89.0","  0.0","  7.0"," 12.0","  0.0","  0.0","  0.0","  1.0","  1.0","  3.0","  0.0","  3.0","  0.0","  0.0","  6.0"
" 12.5","  0.0","  0.0","  0.0","  0.0","  0.0"," 62.0","  0.0","  2.0","  1.0"," 12.0","  0.0","  3.0","  1.0","  0.0","  1.0","  1.0","  1.0"," 18.0","  1.0","  0.0","  1.0","  2.0","  6.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  3.0","  0.0","424.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  4.0"," 57.0","  0.0","  5.0"," 17.0","  0.0","  2.0","  0.0","  0.0","  1.0"," 13.0","  0.0","  2.0","  0.0","  0.0","  9.0"
" 17.5","  0.0","  0.0","  0.0","  0.0","  0.0"," 50.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  1.0","  3.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0"," 12.0","  0.0","  4.0","  3.0","317.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0"," 21.0","  1.0","  2.0","  7.0","  0.0","  1.0","  0.0","  0.0","  2.0","  5.0","  0.0","  1.0","  1.0","  0.0","  1.0"
" 22.5","  0.0","  1.0","  0.0","  1.0","  1.0","132.0","  4.0","  3.0","  0.0","  2.0","  0.0","  1.0","  0.0","  0.0","  2.0","  3.0","  0.0","  8.0","  0.0","  0.0","  3.0","  0.0","  1.0","  3.0","  0.0","  0.0","  0.0"," 21.0","  0.0","  5.0","  3.0","428.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 41.0","  0.0","  2.0"," 42.0","  0.0","  2.0","  2.0","  0.0","  8.0"," 23.0","  0.0","  3.0","  0.0","  0.0","  0.0"
" 27.5","  0.0","  0.0","  0.0","  0.0","  0.0"," 99.0","  2.0","  1.0","  4.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  3.0","  3.0","440.0","  0.0","  1.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  3.0"," 19.0","  0.0","  1.0"," 39.0","  0.0","  0.0","  0.0","  0.0","  2.0"," 15.0","  0.0","  4.0","  0.0","  0.0","  1.0"
" 33.5","  0.0","  0.0","  1.0","  0.0","  0.0","230.0","  0.0","  3.0","  1.0","  2.0","  0.0","  1.0","  0.0","  0.0","  5.0","  1.0","  0.0","  3.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  5.0","  3.0","373.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 65.0","  0.0","  0.0"," 54.0","  0.0","  1.0","  1.0","  0.0","  3.0","  8.0","  0.0","  3.0","  0.0","  0.0","  0.0"
" 47.5","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","338.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
" 52.5","  0.0","  1.0","  0.0","  0.0","  0.0"," 16.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","355.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"
" 57.5","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","104.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  7.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0"
