"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cannabaceae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fraxinus","Hedera","Hypecoum","Lamiaceae undif.","Monoletes","Myriophyllum undif.","Olea t.","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus deciduous","Quercus evergreen","Rhamnus","Rumex t.","Sanguisorba t.","Secale","Sparganium","Tamarix","Thymelaeaceae undif.","Ulmus t.","Urtica t.","Vitis"
"-42",NA,NA,"  0","  0","  7","  2","  0","  8","  2","  3","  0","  5","  0","  0","  0","  0","  0","  3","  0","  9","  4"," 10","  2","  0","  0","  0","  0","  0","  0","  0","  0","  3","230","  0","  0"," 25","  0","  1"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
" 34.05263",NA,NA,"  5.00000","  0.00000","  1.00000","  0.00000","  0.00000"," 11.00000","  1.00000","  1.00000","  0.00000","  4.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 10.00000","  0.00000","  2.00000","  2.00000","  1.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  3.00000","235.00000","  0.00000","  0.00000"," 31.00000","  0.00000","  2.00000"," 25.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000","  0.00000","  2.00000","  0.00000","  0.00000","  1.00000"
"110.1053",NA,NA," 10.0000","  0.0000","  0.0000","  1.0000","  0.0000","  9.0000","  1.0000"," 15.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  1.0000","  0.0000"," 21.0000","  7.0000","  3.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  1.0000","  7.0000","173.0000","  1.0000","  0.0000"," 44.0000","  0.0000","  0.0000"," 40.0000","  0.0000","  0.0000","  0.0000","  2.0000","  1.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000"
"186.1579",NA,NA," 15.0000","  0.0000","  0.0000","  0.0000","  1.0000"," 12.0000","  0.0000","  9.0000","  0.0000","  2.0000","  2.0000","  0.0000","  0.0000","  0.0000","  4.0000","  0.0000","  1.0000"," 19.0000","  5.0000","  3.0000","  5.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","179.0000","  0.0000","  1.0000"," 45.0000","  0.0000","  3.0000"," 36.0000","  0.0000","  4.0000","  0.0000","  5.0000","  1.0000","  0.0000","  7.0000","  1.0000","  0.0000","  2.0000"
"254.3469",NA,NA," 20.0000","  0.0000","  1.0000","  0.0000","  0.0000","  5.0000","  0.0000","  0.0000","  3.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  3.0000","  8.0000","  3.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  4.0000","259.0000","  0.0000","  0.0000"," 16.0000","  2.0000","  1.0000"," 16.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000"
"327.8163",NA,NA," 30.0000","  0.0000","  2.0000","  0.0000","  0.0000","  5.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  6.0000","  4.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  4.0000","254.0000","  0.0000","  1.0000"," 24.0000","  0.0000","  0.0000"," 26.0000","  0.0000","  0.0000","  0.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"401.2857",NA,NA," 40.0000","  0.0000","  1.0000","  1.0000","  0.0000","  0.0000","  2.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000"," 11.0000","  2.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  3.0000","276.0000","  1.0000","  1.0000"," 12.0000","  0.0000","  1.0000"," 22.0000","  0.0000","  0.0000","  0.0000","  2.0000","  1.0000","  1.0000","  1.0000","  0.0000","  0.0000","  1.0000"
"474.7551",NA,NA," 50.0000","  1.0000","  1.0000","  0.0000","  0.0000","  2.0000","  4.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  9.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  3.0000","  1.0000","  1.0000","259.0000","  2.0000","  1.0000"," 27.0000","  2.0000","  4.0000"," 34.0000","  0.0000","  0.0000","  0.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"533.5306",NA,NA," 58.0000","  0.0000","  2.0000","  1.0000","  0.0000","  2.0000","  0.0000","  1.0000","  1.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  5.0000","  4.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","261.0000","  3.0000","  2.0000"," 24.0000","  2.0000","  4.0000"," 34.0000","  0.0000","  0.0000","  0.0000","  2.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"548.2245",NA,NA," 60.0000","  0.0000","  0.0000","  0.0000","  0.0000","  4.0000","  1.0000","  3.0000","  0.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  5.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","317.0000","  0.0000","  0.0000"," 15.0000","  0.0000","  3.0000","  9.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"
