"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Abutilon t.","Acacia t.","Aerva type","Amaranthaceae undif.","Ambrosia t.","Artemisia","Asteraceae","Balanites","Blepharis","Borreria t.","Boscia","Brassicaceae","Burkea","Cadaba","Capparis","Cassia","Celtis","Chrozophora","Cichorieae","Cleome","Combretaceae","Commiphora","Cucumis","Cyperaceae","Dalechampia","Ephedra","Erica t.","Grewioideae","Hyphaene t.","Hypoestes t.","Indigofera","Jacquemontia t.","Jatropha/Croton","Justicia t.","Lannea","Maerua","Mitracarpus","Mitragyna/Hallea","Myriophyllum alterniflorum t.","Nyctaginaceae","Oldenlandia","Pavonia","Phyllanthus undif.","Piliostigma","Poaceae","Polygala","Ruellia","Salvadora","Tamarix","Tephrosia","Tribulus","Typha","Vernonieae","Ziziphus/Paliurus"
"5186.85"," 170.00","   0.00","   2.00","   0.00","  43.00","   0.00","   0.00","   0.00","   3.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   2.00","   0.00"," 129.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  43.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00"
"5329.15"," 180.00","   0.00","   6.00","   0.00","  37.00","   0.00","   0.00","   0.00","   0.00","  21.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00"," 535.00","   0.00","   3.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 268.00","   1.00","   0.00","   0.00","   5.00","   0.00","   2.00","   0.00","   0.00","   8.00"
"5471.45"," 190.00","   5.00","  12.00","   4.00","  38.00","   0.00","   0.00","   0.00","   4.00","   9.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   8.00","   0.00"," 427.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00"," 190.00","   1.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00"
"5542.6"," 195.0","   4.0","  12.0","  22.0","  29.0","   3.0","   0.0","   4.0","   0.0","  17.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   8.0","   3.0","  11.0","   1.0","   0.0"," 873.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0"," 441.0","   0.0","   0.0","   2.0","   6.0","   0.0","   0.0","   6.0","   0.0","   0.0"
"5613.75"," 200.00","   0.00","   3.00","   0.00","  67.00","   3.00","   0.00","   8.00","   0.00","   9.00","   0.00","   0.00","  10.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   2.00","   0.00","1769.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  20.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","1145.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","  21.00","   0.00","   0.00"
"5684.9"," 205.0","   0.0","   7.0","   5.0","  28.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   5.0","   0.0"," 827.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  19.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0"," 694.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0"," 163.0","   0.0","   2.0"
"5756.05"," 210.00","   0.00","   4.00","   0.00","  83.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   6.00","   6.00","   0.00","1447.00","   0.00","   2.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00"," 776.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","  48.00","   0.00","   4.00"
"5827.2"," 215.0","   0.0","   7.0","   8.0","  15.0","   0.0","   0.0","   0.0","   1.0","  23.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  15.0","   0.0","   4.0","   6.0","   0.0"," 335.0","   0.0","   2.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0"," 228.0","   1.0","   0.0","   2.0","   4.0","   0.0","   0.0","  11.0","   0.0","   0.0"
"5898.35"," 220.00","   0.00","   0.00","   0.00","  20.00","   2.00","   0.00","   2.00","   0.00","  10.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   4.00","   0.00","   5.00","   1.00","   0.00"," 694.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00"," 361.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","  11.00","   0.00","   0.00"
"5969.5"," 225.0","   0.0","   3.0","   9.0","  17.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   4.0","   4.0","   5.0","   2.0","   0.0"," 374.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   1.0","   0.0"," 242.0","   0.0","   0.0","   3.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0"
