"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acalypha","Adina","Aerva type","Aizoaceae t.","Alchornea","Alismataceae","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Balanites","Bauhinia","Betula","Blepharis","Borreria t.","Boscia","Brassicaceae","Bridelia","Cadaba","Campanulaceae","Capparis","Cardiospermum","Caryophyllaceae undif.","Cassia","Celosia type","Celtis","Chrozophora","Cichorieae","Cissampelos","Cissus t.","Clematis-type","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Cucurbitaceae undif.","Cyperaceae","Desmodium","Dombeya","Echinules","Elaeis","Ephedra","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Fagonia","Faidherbia albida","Fern","Ficus","Fraxinus","Galium t.","Grewioideae","Heliotropium","Hibiscus","Hygrophila","Hymenocardia","Hyphaene thebaÃ¯ca","Hypoestes t.","Indeterminable","Indigofera","Ipomoea","Justicia t.","Lannea","Lemnaceae","Maerua","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Morelia","Myriophyllum alterniflorum t.","Nauclea","Neptunia","Nyctaginaceae","Nymphaea","Ocimum","Oldenlandia","Olea t.","Onagraceae","Pentodon","Petaloid monocot","Phyllanthus maderaspatensis","Piliostigma","Pinus undif.","Plantago","Poaceae","Podocarpus","Polygala","Polygonum t.","Prosopis t.","Riccia","Ricinus","Salix","Salvadora","Sapotaceae undif.","Scrophulariaceae undif.","Searsia","Securinega  t.","Sesbania","Spergularia t.","Sterculia","Syzygium t.","Tamarix","Tephrosia","Thymelaeaceae undif.","Tilia","Tinospora","Tribulus","Trichodesma","Triletes","Typha","Uapaca","Ulmus t.","Utricularia","Verbena t.","Vernonieae","Xeromphis nilotica","Ziziphus/Paliurus","Zygophyllum t."
" 565","  30","   3","   0","   0","   0","   0","   0","   0","   0","   0","  41","   0","   0","   0","   0","   0","   5","   0","   0","   0","   3","   0","   1","   0","   1","   0","   5","   0","   0","   0","  12","   0","   0","   5","   0","   0","   0","   3","   7","   0","   0","   0","   0"," 817","   0","   0","  25","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0"," 430","   3","   0","   0","   0","   0","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1021","   0","   0","   0","   0","   0","   0","   1"," 471","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","1373","   0","   0","   0","   0","   0","   0","   0","   0"
"759.625"," 60.000","  1.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  5.000","  0.000","  0.000","  0.000","  0.000","  0.000","  2.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  2.000","  0.000","  0.000","  0.000","  3.000","  1.000","  0.000"," 42.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","168.000","  0.000","  0.000","  5.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","142.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","327.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000"," 27.000","  0.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","530.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000"
" 954.25","  90.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 161.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00"," 877.00","   0.00","   0.00","  14.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  31.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 393.00","   0.00","   5.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   1.00","   1.00","   8.00","   0.00","   0.00","   0.00","   3.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","3832.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00"," 929.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"1148.875"," 120.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  42.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 193.000","   0.000","   0.000","   6.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000"," 321.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","1399.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 521.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"1343.5"," 150.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","  16.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  19.0","   1.0","   0.0","  54.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0"," 215.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 200.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0"," 276.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","  34.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","1107.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0"," 878.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"2040.214"," 170.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   5.000","   1.000","   1.000","   0.000"," 372.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","  21.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   2.000"," 176.000","   1.000","   5.000","   0.000","   1.000","   0.000","   0.000","   0.000","  48.000","   0.000","  69.000","   0.000","   0.000","   0.000","   0.000","   0.000","  27.000","   0.000","   0.000","   0.000","   3.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","1714.000","   0.000","   0.000","   6.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000"," 103.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 287.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2388.572"," 180.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","  21.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000"," 269.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 190.000","   1.000","   4.000","   2.000","   1.000","   0.000","   0.000","   0.000","  59.000","   0.000"," 220.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","2065.000","   0.000","   0.000","   3.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  61.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3433.643"," 210.000","   1.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   7.000","  21.000","   2.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000"," 837.000","   1.000","   2.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   1.000"," 323.000","   3.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","  28.000","   0.000","  38.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","3336.000","   1.000","   0.000","   7.000","   1.000","   0.000","   0.000","   0.000","   5.000","   0.000","   2.000","   0.000","   0.000","  69.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000"," 321.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"4141"," 230","   1","   0","   0","   0","   0","   0","   0","   0","   0","   6","  13","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   3","   0","   0","   0","   0","   0","   7","   0","   0","   0","1408","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","  24","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 188","   0","   2","   2","   0","   0","   0","   0","  31","   0","  15","   0","   0","   0","   1","   0","   9","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","2524","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","  34","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 256","   0","   0","   1","   0","   0","   0","   0","   0"
"4500"," 240","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   5","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   1","   4","   0","   1","   0","1056","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","  64","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 206","   2","   8","   0","   0","   0","   2","   0","  11","   0","  31","   0","   0","   0","   0","   0","   1","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","2360","   0","   0","  23","   0","   0","   0","   0","   1","   0","   0","   0","   0","  33","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 386","   5","   0","   0","   0","   0","   0","   0","   0"
