"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Cichorieae","Cistaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Erodium","Fabaceae Undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Fraxinus","Fungi","Galium t.","Gentiana t.","Geranium","Humulus","Hydrocharitaceae","Hypericum undif.","Ilex","Indeterminable","IsoÃ«tes","Juglans","Koenigia","Lamiaceae undif.","Lonicera","Malva undif.","Mimulus","Morus","Olea t.","Onagraceae","Ononis t.","Ostrya","Oxyria","Papaver t.","Pedicularis","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Polemoniaceae","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sarcobatus","Saxifragaceae","Scrophulariaceae undif.","Searsia","Solanaceae undif.","Spergularia t.","Symphoricarpos","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Zea"
"756.00",NA,NA," 17.69","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  2.00"," 77.00","  2.00","  0.00","  0.00"," 12.00","  1.00","  3.00","  0.00"," 12.00","  2.00","  0.00","  0.00"," 34.00","  0.00","  0.00","  0.00","  0.00","  6.00"," 24.00","  0.00","  2.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 21.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  7.00","  0.00","  0.00","  1.00","118.00","  0.00","  1.00","  4.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  5.00","  0.00","  0.00"
"1095.00",NA,NA,"  19.97","   0.00","   0.00","   1.00","   2.00","   0.00","   0.00","   1.00","  84.00","   1.00","   0.00","   0.00","   8.00","   1.00","   1.00","   0.00","   4.00","   1.00","   0.00","   0.00","  28.00","   0.00","   0.00","   0.00","   0.00","   2.00","  11.00","   0.00","   1.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  23.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  14.00","   0.00","   1.00","   0.00"," 174.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   2.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   1.00","   0.00","   0.00","  17.00","   0.00","   0.00"
"1355.00",NA,NA,"  21.68","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00"," 108.00","   1.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","  13.00","   3.00","   0.00","   0.00","  18.00","   0.00","   0.00","   0.00","   0.00","   2.00","  19.00","   2.00","   0.00","   1.00","   1.00","   0.00","   1.00","   0.00","   1.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  19.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  11.00","   0.00","   3.00","   0.00"," 154.00","   1.00","   0.00","   4.00","   0.00","   1.00","   0.00","   5.00","   4.00","   0.00","   7.00","   0.00","   0.00","   0.00","   1.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   5.00","   0.00","   0.00","   0.00","   0.00","  14.00","   0.00","   0.00"
"1613.00",NA,NA,"  23.38","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00"," 142.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","  25.00","   0.00","   0.00","   0.00","   0.00","   4.00","  17.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  14.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","  11.00","   0.00","   3.00","   0.00","  96.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","  18.00","   0.00","   0.00"
"1936.00",NA,NA,"  25.67","   2.00","   0.00","   1.00","   4.00","   0.00","   0.00","   0.00","  83.00","   0.00","   0.00","   0.00","  12.00","   2.00","   2.00","   0.00","  12.00","   0.00","   0.00","   0.00","  17.00","   0.00","   0.00","   0.00","   0.00","   6.00","  20.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  23.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  13.00","   0.00","   2.00","   2.00"," 160.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   2.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","  33.00","   0.00","   0.00"
"2142.00",NA,NA,"  27.38","   0.00","   0.00","   2.00","   7.00","   0.00","   0.00","   1.00","  61.00","   2.00","   0.00","   1.00","   2.00","   1.00","   0.00","   0.00","  25.00","   2.00","   0.00","   0.00","  27.00","   0.00","   0.00","   0.00","   0.00","  11.00","  14.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  35.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  29.00","   0.00","   2.00","   0.00"," 142.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  13.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","  62.00","   0.00","   0.00"
"2314.00",NA,NA,"  29.09","   0.00","   1.00","   0.00","   2.00","   0.00","   0.00","   2.00","  64.00","   4.00","   0.00","   0.00","   7.00","   1.00","   2.00","   0.00","   6.00","   1.00","   0.00","   0.00","  26.00","   0.00","   0.00","   0.00","   1.00","   3.00","  20.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  20.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  34.00","   0.00","   2.00","   0.00"," 172.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","   1.00","   5.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   1.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","  26.00","   0.00","   0.00"
"2494.00",NA,NA,"  31.37","   3.00","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","  79.00","   1.00","   0.00","   0.00","  13.00","   2.00","   1.00","   0.00","   4.00","   2.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   4.00","  14.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  19.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","  59.00","   0.00","   2.00","   0.00","  88.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   4.00","   9.00","   0.00","   0.00","   0.00","   0.00","   3.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   2.00","   1.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","  32.00","   0.00","   0.00"
"2608.00",NA,NA,"  33.08","   0.00","   0.00","   2.00","   4.00","   1.00","   0.00","   0.00","  54.00","   0.00","   0.00","   0.00","  11.00","   0.00","   1.00","   0.00","  14.00","   1.00","   0.00","   0.00","  13.00","   0.00","   0.00","   0.00","   0.00","   3.00","  13.00","   0.00","   3.00","   1.00","   5.00","   0.00","   0.00","   0.00","   1.00","   3.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  37.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","  67.00","   0.00","   2.00","   0.00"," 102.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","  12.00","   0.00","   0.00","   1.00","   0.00","   2.00","   1.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  25.00","   0.00","   0.00"
"2704.00",NA,NA,"  34.79","   3.00","   0.00","   2.00","   5.00","   0.00","   0.00","   0.00","  54.00","   1.00","   0.00","   0.00","  23.00","   1.00","   4.00","   1.00","  14.00","   2.00","   0.00","   0.00","  16.00","   0.00","   0.00","   0.00","   0.00","   4.00","  12.00","   0.00","   0.00","   0.00","   2.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  26.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","  42.00","   0.00","   1.00","   0.00","  84.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","  14.00","   0.00","   1.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   9.00","   0.00","   0.00","   0.00","   0.00","  24.00","   0.00","   0.00"
"2830.00",NA,NA,"  37.07","   2.00","   0.00","   1.00","  10.00","   0.00","   0.00","   2.00","  26.00","   1.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","  14.00","   1.00","   1.00","   0.00","  17.00","   0.00","   0.00","   0.00","   0.00","   8.00","  20.00","   3.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","   0.00","  28.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","  58.00","   1.00","   1.00","   1.00"," 148.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","  31.00","   0.00","   0.00"
"2924.00",NA,NA,"  38.78","   3.00","   0.00","   5.00","   8.00","   0.00","   0.00","   2.00","  28.00","   4.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","  18.00","   1.00","   0.00","   0.00","  25.00","   0.00","   0.00","   0.00","   0.00","   3.00","  20.00","   0.00","   0.00","   1.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  25.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","   0.00","  50.00","   1.00","   2.00","   2.00"," 162.00","   2.00","   0.00","   4.00","   0.00","   0.00","   2.00","   2.00","   7.00","   0.00","   0.00","   0.00","   0.00","   2.00","   3.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   9.00","   0.00","   0.00"
"3032.00",NA,NA,"  40.49","   1.00","   0.00","   2.00","   6.00","   1.00","   0.00","   4.00","  25.00","   1.00","   0.00","   0.00","   8.00","   1.00","   2.00","   0.00","   7.00","   3.00","   0.00","   0.00","  26.00","   0.00","   0.00","   0.00","   0.00","   4.00","  15.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  23.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","  41.00","   0.00","   1.00","   0.00"," 162.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   3.00","   8.00","   0.00","   0.00","   1.00","   0.00","   4.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","  20.00","   0.00","   0.00"
"3155.00",NA,NA,"  42.26","   0.00","   0.00","   4.00","   2.00","   0.00","   0.00","   2.00","  30.00","   1.00","   0.00","   0.00","   3.00","   1.00","   0.00","   0.00","   8.00","   1.00","   0.00","   0.00","  30.00","   0.00","   0.00","   0.00","   0.00","   3.00","  17.00","   1.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  27.00","   1.00","   0.00","   0.00","   4.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   1.00","   0.00","   0.00","  53.00","   0.00","   1.00","   0.00"," 150.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   2.00","   4.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   1.00","   2.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   1.00","   0.00","   0.00","  19.00","   0.00","   0.00"
"3450.00",NA,NA,"  46.19","   0.00","   0.00","   2.00","  14.00","   0.00","   0.00","   1.00","  38.00","   0.00","   0.00","   0.00","  15.00","   1.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","  18.00","   0.00","   0.00","   0.00","   0.00","   1.00","  14.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   3.00","  16.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","  91.00","   0.00","   0.00","   0.00"," 120.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","   1.00","   5.00","   0.00","   1.00","   1.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  34.00","   0.00","   0.00"
"3613.00",NA,NA,"  48.47","   0.00","   0.00","   1.00","   5.00","   0.00","   1.00","   2.00","  30.00","   1.00","   0.00","   0.00","   7.00","   0.00","   1.00","   0.00","   7.00","   2.00","   1.00","   0.00","  28.00","   0.00","   0.00","   0.00","   0.00","   5.00","  26.00","   1.00","   1.00","   0.00","   3.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  17.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  76.00","   0.00","   1.00","   0.00"," 120.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   2.00","   5.00","   0.00","   0.00","   1.00","   0.00","   1.00","   1.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","  24.00","   0.00","   0.00"
"3728.00",NA,NA,"  50.18","   0.00","   3.00","   1.00","   4.00","   0.00","   0.00","   2.00","  30.00","   1.00","   0.00","   0.00","  10.00","   0.00","   0.00","   0.00","  16.00","   1.00","   1.00","   0.00","  23.00","   0.00","   0.00","   0.00","   0.00","   5.00","  18.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  23.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00"," 112.00","   0.00","   2.00","   0.00"," 134.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00"
"3841.00",NA,NA,"  51.89","   0.00","   1.00","   2.00","   4.00","   0.00","   0.00","   3.00","  28.00","   1.00","   2.00","   0.00","   8.00","   0.00","   1.00","   0.00","  12.00","   3.00","   1.00","   0.00","  22.00","   0.00","   0.00","   0.00","   0.00","   7.00","  18.00","   0.00","   0.00","   2.00","   2.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  22.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  78.00","   1.00","   1.00","   0.00"," 144.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   4.00","   0.00","   2.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  21.00","   0.00","   0.00"
"3951.0",NA,NA,"  53.6","   0.0","   3.0","   0.0","   6.0","   0.0","   1.0","   2.0","  15.0","   3.0","   0.0","   0.0","   8.0","   0.0","   0.0","   1.0","  15.0","   1.0","   0.0","   0.0","  33.0","   2.0","   0.0","   0.0","   0.0","   5.0","  19.0","   1.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  41.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  78.0","   2.0","   1.0","   0.0"," 180.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","  10.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  19.0","   1.0","   0.0"
"4102.00",NA,NA,"  55.88","   0.00","   3.00","   4.00","   3.00","   0.00","   0.00","   4.00","  18.00","   0.00","   3.00","   0.00","   0.00","   1.00","   0.00","   0.00","  11.00","   0.00","   0.00","   2.00","  24.00","   0.00","   0.00","   0.00","   0.00","   8.00","  22.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  34.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","  97.00","   0.00","   2.00","   2.00"," 158.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   7.00","   6.00","   0.00","   0.00","   1.00","   1.00","   0.00","   1.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","  13.00","   0.00","   0.00"
"4293.00",NA,NA,"  58.73","   0.00","   0.00","   2.00","   4.00","   0.00","   0.00","   0.00","  19.00","   2.00","   3.00","   0.00","   7.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","  32.00","   0.00","   0.00","   0.00","   0.00","   5.00","  25.00","   0.00","   1.00","   0.00","   2.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","  24.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  76.00","   0.00","   3.00","   0.00"," 200.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   5.00","   0.00","   0.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","  20.00","   0.00","   0.00"
"4412.00",NA,NA,"  60.42","   2.00","   0.00","   1.00","   3.00","   0.00","   0.00","   1.00","  10.00","   4.00","   2.00","   0.00","   6.00","   0.00","   4.00","   0.00","  10.00","   1.00","   0.00","   0.00","  39.00","   0.00","   0.00","   0.00","   0.00","   6.00","  28.00","   0.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  39.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  79.00","   2.00","   0.00","   0.00"," 188.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   3.00","   0.00","   1.00","   0.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","  12.00","   0.00","   0.00"
"4496.00",NA,NA,"  61.58","   0.00","   1.00","   4.00","   6.00","   0.00","   0.00","   0.00","  34.00","   3.00","   1.00","   0.00","   4.00","   0.00","   0.00","   0.00","  14.00","   0.00","   1.00","   0.00","  32.00","   1.00","   0.00","   0.00","   0.00","   6.00","  15.00","   1.00","   2.00","   4.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  20.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00"," 160.00","   0.00","   5.00","   0.00"," 180.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   4.00","   9.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  27.00","   0.00","   0.00"
"4668.00",NA,NA,"  63.84","   2.00","   0.00","   1.00","   0.00","   0.00","   0.00","   3.00","  12.00","   3.00","   1.00","   0.00","   1.00","   0.00","   2.00","   1.00","   9.00","   0.00","   0.00","   0.00","  26.00","   0.00","   0.00","   0.00","   0.00","   5.00","  23.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","  18.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00"," 108.00","   0.00","   1.00","   0.00"," 146.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   2.00","   5.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  16.00","   0.00","   0.00"
"4803.00",NA,NA,"  65.57","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   1.00","  20.00","   3.00","   1.00","   0.00","   5.00","   0.00","   1.00","   0.00","   7.00","   1.00","   0.00","   0.00","  28.00","   1.00","   0.00","   0.00","   0.00","   3.00","  27.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  25.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","  74.00","   0.00","   1.00","   0.00"," 152.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   6.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   1.00","  11.00","   0.00","   0.00"
"4935.00",NA,NA,"  67.26","   1.00","   3.00","   2.00","   0.00","   0.00","   0.00","   2.00","  20.00","   0.00","   3.00","   0.00","   8.00","   0.00","   0.00","   0.00","   7.00","   0.00","   1.00","   0.00","  25.00","   0.00","   0.00","   0.00","   0.00","   7.00","  21.00","   1.00","   2.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  28.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00"," 141.00","   0.00","   2.00","   0.00"," 196.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   2.00","   9.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00"
