"Pollen Samples (PS)","Acacia t.","Acalypha","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Boraginaceae undif.","Boscia","Brassicaceae","Calligonum","Campanulaceae","Capparis","Capparis/Labiatae","Carex/Cyperus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Cleome","Commelina","Concentration (N° grains/g)","Cornus","Corylus","Cotinus coggygria","Cyperaceae","Delphinium/Scrophulariaceae","Echium t.","Ephedra","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Ficus","Genisteae","Grewioideae","Heliotropium","Hyphaene t.","Indeterminable","Indigofera","Juncaceae","Lamiaceae undif.","Lemnaceae","Leonotis-type","Licopods contati","Licopods messi","Lotus t.","Maerua","Malva undif.","Mercurialis","Morella","Olea t.","Onobrichis/Hediasarum (Onobrichis type)","Ononis t.","Ostrya","POLLEN SUM","Paronychieae","Petaloid monocot","Phoenix t.","Pistacia","Plantago","Poaceae","Polygonum t.","Potamogeton","Quercus evergreen","Quercus undif.","Rhamnus","Rumex t.","Salvadora","Saxifragaceae","Schinus-type","Searsia","Solanaceae undif.","Sparganium","Spergularia t.","Tamarix","Tilia","Tribulus","Tricolporato striato","Trifolium t.","Typha","Urtica t.","Ziziphus/Paliurus","Zygophyllum t.","grammi","location/depht (cm)","similar to Lonicera"
"     1.00","     0.00","     0.00","    22.00","     0.00","     0.00","     8.00","     1.00","    24.00","     0.00","     1.00","     3.00","     0.00","     0.00","     3.00","     0.00","     0.00","     5.00","     0.00","     2.00","     0.00","     1.00","     0.00","110782.15","     0.00","     0.00","     0.00","    48.00","     0.00","     1.00","     0.00","     0.00","     0.00","     2.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     1.00","     5.00"," 10679.00","     0.00","     0.00","     0.00","     0.00","     0.00","     2.00","     0.00","     1.00","     0.00","   333.00","     0.00","     2.00","     2.00","     3.00","     1.00","   167.00","     1.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     2.00","     0.00","    10.00","     0.00","     0.00","     0.00","     0.00","    11.00","     5.00","     0.00","     0.00","     6.42","     6.00","     0.00"
"     2.00","     9.00","     0.00","    19.00","     0.00","     0.00","     9.00","     0.00","    35.00","     0.00","     0.00","    20.00","     1.00","     0.00","     1.00","     0.00","     0.00","     3.00","     1.00","     5.00","     0.00","     0.00","     0.00","133890.79","     0.00","     3.00","     1.00","    12.00","     0.00","     1.00","     0.00","     2.00","     0.00","     3.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     7.00","     0.00","     0.00","     4.00"," 10679.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","   332.00","     1.00","     2.00","     2.00","     0.00","     0.00","   168.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","    10.00","     0.00","     0.00","     0.00","     0.00","     6.00","     6.00","     1.00","     0.00","     6.62","    11.00","     1.00"
"    3.00","    7.00","    3.00","    9.00","    0.00","    0.00","    5.00","    0.00","   34.00","    0.00","    0.00","   10.00","    0.00","    0.00","    2.00","    1.00","    0.00","    2.00","    1.00","    8.00","    0.00","    0.00","    0.00","43560.49","    0.00","    0.00","    0.00","   11.00","    0.00","    5.00","    1.00","    7.00","    0.00","    0.00","    2.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   12.00","10679.00","    7.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","  326.00","    0.00","    0.00","    0.00","    1.00","    0.00","  194.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    7.00","    2.00","    0.00","    0.00","    6.66","   18.50","    0.00"
"     4.00","     0.00","     0.00","    15.00","     0.00","     0.00","     3.00","     0.00","    11.00","     0.00","     1.00","     5.00","     0.00","     0.00","     3.00","     0.00","     0.00","     1.00","     1.00","     2.00","     0.00","     0.00","     0.00","168803.68","     1.00","     1.00","     0.00","    20.00","     0.00","     6.00","     0.00","     0.00","     0.00","     0.00","    17.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     4.00","     4.00","     0.00","     3.00"," 10679.00","     1.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","   331.00","     0.00","     2.00","     0.00","     0.00","     1.00","   203.00","     1.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","    15.00","     4.00","     4.00","     0.00","     6.98","    21.50","     0.00"
"     5.00","     6.00","     0.00","    18.00","     1.00","     0.00","     6.00","     0.00","     5.00","     0.00","     0.00","     8.00","     0.00","     0.00","     2.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","257030.37","     0.00","     0.00","     0.00","    13.00","     0.00","     2.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     2.00"," 10679.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","   336.00","     0.00","     1.00","     0.00","     0.00","     0.00","   251.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","    14.00","     5.00","     1.00","     0.00","     6.98","    26.50","     0.00"
"     6.00","     1.00","     0.00","    10.00","     1.00","     0.00","     3.00","     0.00","     6.00","     0.00","     0.00","     3.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     2.00","     0.00","     0.00","     1.00","564143.60","     0.00","     0.00","     0.00","    22.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     4.00","     0.00","     0.00","     1.00"," 10679.00","     2.00","     1.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","   355.00","     0.00","     0.00","     0.00","     0.00","     0.00","   271.00","     1.00","     2.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","    20.00","     0.00","     0.00","     0.00","     6.72","    32.50","     0.00"
"     7.00","     0.00","     0.00","     6.00","     0.00","     0.00","     0.00","     0.00","     7.00","     0.00","     0.00","     3.00","     0.00","     0.00","     1.00","     0.00","     2.00","     0.00","     0.00","     1.00","     0.00","     0.00","     2.00","191630.62","     0.00","     0.00","     0.00","    21.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     3.00"," 10679.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     2.00","     1.00","     0.00","   337.00","     0.00","     1.00","     0.00","     0.00","     0.00","   247.00","     0.00","     1.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","    37.00","     0.00","     1.00","     0.00","     6.26","    35.00","     0.00"
"     8.00","     1.00","     0.00","     0.00","     0.00","     0.00","     2.00","     0.00","     5.00","     0.00","     0.00","     3.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     3.00","     0.00","     0.00","     0.00","167483.60","     0.00","     1.00","     0.00","     6.00","     0.00","     0.00","     0.00","     2.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     3.00"," 10679.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","   327.00","     0.00","     2.00","     0.00","     1.00","     0.00","   285.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","    12.00","     1.00","     0.00","     0.00","     6.95","    42.50","     0.00"
"     9.00","     0.00","     0.00","     9.00","     1.00","     0.00","     3.00","     0.00","    10.00","     0.00","     1.00","    10.00","     0.00","     0.00","     3.00","     0.00","     1.00","     0.00","     0.00","     4.00","     0.00","     0.00","     1.00","289669.94","     0.00","     0.00","     0.00","    14.00","     0.00","     0.00","     0.00","     5.00","     0.00","     1.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     5.00","     0.00","     0.00","     2.00"," 10679.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     1.00","     0.00","   351.00","     1.00","     0.00","     0.00","     0.00","     0.00","   270.00","     1.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     2.00","     0.00","     0.00","     0.00","     0.00","     2.00","     1.00","     1.00","     0.00","     6.47","    49.00","     0.00"
"    10.00","     0.00","     0.00","     5.00","     1.00","     0.00","     2.00","     0.00","    19.00","     0.00","     0.00","     2.00","     0.00","     0.00","     0.00","     0.00","     0.00","     4.00","     1.00","     2.00","     0.00","     0.00","     1.00","103514.23","     0.00","     0.00","     0.00","    21.00","     0.00","     1.00","     1.00","     1.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     2.00","     0.00","     0.00","     5.00"," 10679.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","   316.00","     0.00","     4.00","     0.00","     0.00","     0.00","   238.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     9.00","     0.00","     1.00","     0.00","     6.52","    51.50","     0.00"
