"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Amaranthaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Berberis t.","Betula","Brassicaceae","Buxus","Caryophyllaceae undif.","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Desmidiaceae","Ephedra","Erica t.","Fraxinus","Fungi","Genisteae","Hedera","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Lycopodium spike","Lycopodium tablets","Myriophyllum undif.","Olea t.","Phillyrea","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Pseudoschizaea","Puccinia","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Riccia lamellosa-type","Salix","Taxus","Transeauina","Trichuris","Typha","Ulmus t.","Unknown (type 128, HdV)","Vitis","charcoal"
"  -50.5",NA,NA,"  2","1","92","8","0","18","12","1","4","0","0","0","1","7","21","38","0","5","10","10","99","3","0","0","12","3","2","150","0","0","11","11","88","37","2","10","131","2","18","11","26","6","16","39","2","1","28","0","0","2","0","12","0","0","1","435.29"
"  165.3",NA,NA,"  4","1","40","7","0","33","20","1","2","0","0","0","1","2","24","29","0","2","11","12","96","4","0","0","10","2","4","138","0","0","12","11","111","39","1","8","101","3","9","6","58","8","5","31","3","0","22","0","0","0","0","8","0","0","1","114.56"
"  336.0",NA,NA,"  6","2","71","12","0","31","13","1","1","0","0","0","1","2","14","25","0","0","11","11","57","3","0","0","9","0","5","144","0","0","13","12","166","39","0","7","77","2","12","10","12","10","5","24","2","1","18","1","0","1","1","7","0","0","1","265.84"
"  462.8",NA,NA,"  8","1","37","3","0","8","8","2","0","0","0","0","2","9","7","12","0","1","3","6","79","3","0","0","2","1","3","155","0","0","12","0","321","12","3","8","33","2","11","1","49","11","13","8","2","1","15","0","0","0","0","5","0","0","1","130.2"
"  587.0",NA,NA," 10","0","106","10","0","27","8","1","0","0","0","0","1","0","18","4","0","0","12","11","61","2","0","0","0","3","0","162","0","1","7","6","115","33","2","9","82","1","12","12","11","4","4","25","4","1","17","0","0","2","1","2","0","0","0","321.84"
"  691.7",NA,NA," 12","0","47","4","0","12","2","2","3","0","0","0","1","6","5","3","0","0","1","2","24","2","0","0","4","2","0","144","0","0","3","2","301","16","3","8","22","0","3","12","8","3","17","9","0","0","2","0","0","1","0","1","0","0","1","295.68"
"  796.2",NA,NA," 14","0","39","10","0","34","1","1","2","0","0","0","1","3","11","22","0","1","9","5","42","3","0","0","5","1","0","129","0","0","5","7","67","38","2","7","90","0","15","2","10","2","8","30","0","1","18","0","0","0","0","12","0","0","0","306.16"
"  890.9",NA,NA," 16","0","22","3","0","10","12","1","0","0","0","0","1","4","4","0","0","0","7","2","54","2","0","0","4","0","0","160","0","0","9","0","283","18","5","12","29","0","12","4","12","1","16","10","0","0","14","0","0","0","1","1","0","0","0","81.56"
"  977.6",NA,NA," 18","0","34","7","0","28","3","2","0","0","0","0","2","2","12","0","0","1","14","7","16","2","0","0","6","2","0","150","0","0","10","9","102","44","4","12","69","0","2","17","9","6","6","31","0","1","9","1","0","1","0","0","1","0","0","420"
" 1063.8",NA,NA," 20","0","79","4","0","7","2","2","0","0","0","0","1","8","3","6","0","0","3","1","22","1","0","0","7","0","0","152","0","1","5","1","246","12","6","13","38","0","2","18","8","2","11","6","1","1","3","1","0","0","0","1","1","0","0","242.81"
