"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calluna","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Hedera","HippophaÃ«","Hypericum undif.","Juglans","Lamiaceae undif.","Lemnaceae","Lobelia","Loranthus","Lotus t.","Lysimachia","Lythrum","Menyanthes","Mercurialis","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Onagraceae","Ononis t.","Orchidaceae","Papaver t.","Parnassia","Pedicularis","Persicaria t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Pterocarya","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Scrophulariaceae undif.","Solanaceae undif.","Sparganium","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianella","Viburnum","Vitis","Zygophyllum t."
" 3315"," 3614"," 3023"," 530","8","0","0","0","4","0","1","0","3","0","2","0","0","0","0","0","0","0","9","0","0","0","0","1","2","0","0","7","7","89","0","1","1","0","23","0","11","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","303","0","0","0","41","2","0","0","0","0","0","0","0","59","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1","2","20","0","0","1","0","0"
" 3631"," 3956"," 3312"," 580","14","0","0","5","4","0","1","0","3","0","1","1","0","0","0","0","0","0","24","0","0","0","0","1","1","0","0","14","6","30","0","0","0","0","36","0","9","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","194","0","4","1","38","0","0","2","0","0","0","0","0","44","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0"
" 3948"," 4299"," 3602"," 630","9","6","0","3","0","0","2","0","7","0","0","1","0","0","0","0","0","0","24","0","0","1","0","0","3","0","0","14","11","61","0","0","0","0","22","0","211","0","0","8","3","2","0","0","0","0","0","0","1","0","0","0","0","0","1","2","2","0","0","0","0","1","0","0","0","0","0","0","134","0","2","0","25","3","1","0","0","0","0","0","0","44","0","0","0","1","5","0","4","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","1","0"
" 4074"," 4437"," 3718"," 650","17","1","0","9","2","1","4","0","10","0","2","14","0","1","0","1","0","0","28","0","4","0","0","0","2","0","1","28","33","294","0","0","3","0","18","0","387","0","0","5","0","8","0","0","0","0","0","1","2","0","0","0","0","1","12","23","0","0","4","1","1","0","0","0","0","0","0","0","192","0","3","0","69","4","1","0","0","1","0","0","0","27","1","0","1","3","6","0","2","0","2","0","2","0","3","0","1","2","0","1","18","1","0","0","0","0"
" 4264"," 4642"," 3891"," 680","20","0","0","2","2","1","2","0","5","2","0","0","0","4","0","0","0","0","11","0","0","0","0","1","0","0","0","11","6","310","0","0","0","0","20","0","114","1","0","0","1","11","0","0","0","0","0","0","4","0","0","0","0","0","7","0","0","1","3","1","0","0","0","0","0","0","0","0","191","0","4","1","126","6","2","2","0","0","0","0","0","49","1","0","0","1","15","0","2","0","1","0","16","0","11","0","0","2","1","1","0","0","0","0","2","0"
" 4422"," 4814"," 4036"," 705","11","0","0","1","2","2","3","0","4","2","0","0","0","7","1","0","0","1","9","0","0","0","0","0","0","0","0","4","8","210","0","0","2","0","4","0","64","0","1","1","0","6","0","1","0","0","0","0","1","1","0","0","0","0","3","0","0","1","0","1","0","0","1","0","1","0","0","0","122","1","1","0","88","12","2","0","13","0","0","0","0","29","1","0","0","1","1","0","0","0","1","0","3","0","1","0","0","1","1","1","10","0","0","0","1","0"
" 4580"," 4985"," 4180"," 730","17","0","0","2","1","0","4","0","11","3","0","1","1","0","0","0","0","0","14","0","0","0","0","0","2","0","0","2","7","260","0","0","0","0","33","0","289","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","118","0","3","0","141","2","0","0","0","0","1","0","0","34","0","0","0","2","25","0","1","0","0","0","5","0","1","0","0","0","0","2","26","0","0","0","1","0"
" 4707"," 5122"," 4295"," 750","21","0","0","0","3","1","4","0","1","2","0","1","0","0","0","0","0","0","15","0","0","0","0","1","0","0","0","6","10","187","1","0","0","0","29","0","428","0","0","1","4","12","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","2","0","0","0","0","0","45","0","2","1","45","4","1","0","0","0","0","0","0","44","10","0","0","2","2","0","1","0","0","0","0","0","1","0","0","0","0","2","8","0","0","0","0","0"
" 4802"," 5225"," 4382"," 765","32","0","0","1","3","1","1","0","3","0","0","1","1","5","0","0","0","0","4","0","0","0","0","0","1","0","0","3","10","512","0","0","2","0","27","0","33","0","0","0","2","8","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","1","0","0","0","0","0","4","0","1","82","1","0","0","27","9","0","0","0","0","0","0","0","66","2","0","0","0","2","0","0","0","1","0","2","0","1","0","0","0","0","1","18","0","1","0","0","0"
" 4929"," 5362"," 4497"," 785","64","0","0","0","1","0","2","0","1","1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1","0","8","5","129","0","0","0","0","19","0","158","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","197","0","2","0","26","2","1","0","0","0","0","0","0","67","0","0","0","0","4","0","1","0","6","0","1","2","1","0","2","0","0","1","6","0","0","0","0","0"
