"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calligonum","Cannabis","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Chrozophora","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Geranium","Hedera","HippophaÃ«","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Littorella","Loranthus","Lythrum","Mercurialis","Morella","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (>37 Âµm)","Pollen concentration","Polygonum t.","Potamogeton","Pteridium aquilinum-type","Pterocarya","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhododendron","Riccia","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Taxus","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Unknown (monolete, non-psilate)","Unknown (monolete, psilate)","Unknown (trilete, non-psilate)","Unknown (trilete, psilate)","Urtica t.","Valerianella","Viburnum","Vitis"
"1053.0",NA,NA," 329.5","   4.0","   0.0","   0.0","   7.0","   2.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   6.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","  27.0","   6.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  31.0","   0.0","   3.0","   1.0","   9.0","   0.0","5625.0","   0.0","   0.0","   3.0","   0.0","  35.0","   0.0","   1.0","   3.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   3.0","   1.0","  40.0","   2.0","  35.0","   0.0","  10.0","   0.0","   0.0","   0.0","   2.0"
"1134.0",NA,NA," 362.5","   1.0","   0.0","   0.0","  23.0","   3.0","   0.0","   0.0","   1.0","   1.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","  18.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   7.0","   8.0","   0.0","   0.0","   0.0","   2.0","   1.0","   0.0","  22.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   9.0","   4.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  57.0","   0.0","   4.0","   6.0","  11.0","   0.0","7918.0","   0.0","   3.0","   2.0","   0.0"," 103.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   2.0","   3.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","   2.0","  40.0","   0.0","   1.0","   0.0","  11.0","   0.0","   0.0","   0.0","   5.0"
" 1211",NA,NA,"  394","    1","    0","    0","    4","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","   35","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    2","    6","    0","    0","    0","    3","    0","    0","  110","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  128","    0","    2","    2","    9","    0","11824","    0","    0","    3","    1","   80","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","   12","    0","    1","    0","    1","    0","    0","    0","    0"
" 1232.0",NA,NA,"  402.5","    0.0","    0.0","    0.0","   46.0","    2.0","    0.0","    0.0","    5.0","    2.0","    1.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","   48.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    9.0","   14.0","    7.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","   37.0","    0.0","    0.0","    0.0","    0.0","   10.0","    0.0","    0.0","    0.0","    0.0","    2.0","    2.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","   91.0","    0.0","    2.0","   11.0","   13.0","    1.0","35276.0","    0.0","    1.0","    7.0","    0.0","  194.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    1.0","    0.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","   13.0","   22.0","    0.0","    1.0","    0.0","    0.0","    1.0","    0.0","    0.0","    1.0"
" 1257",NA,NA,"  413","    1","    0","    0","    7","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","   76","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    1","    0","    0","    0","    3","    0","    0","   45","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   87","    1","    0","    0","    4","    1","23395","    0","    0","    2","    0","   86","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    3","   14","    0","    0","    0","    0","    0","    0","    0","    0"
" 1288.00",NA,NA,"  425.75","    2.00","    1.00","    0.00","   25.00","    0.00","    0.00","    0.00","    2.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   68.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","   11.00","    2.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","   22.00","    1.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","  153.00","    0.00","    1.00","    4.00","    9.00","    0.00","18620.00","    0.00","    0.00","    1.00","    0.00","   98.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","   10.00","   10.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    1.00"
" 1321",NA,NA,"  439","    2","    0","    0","    6","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","  101","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    2","   14","    0","    0","    0","    8","    0","    0","   92","    1","    1","    0","    0","    3","    0","    0","    1","    0","    1","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  286","    1","    0","    4","    9","    0","18342","    0","    0","    8","    1","  221","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    8","   70","    1","    1","    0","    2","    0","    0","    0","    0"
"1337",NA,NA," 445","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  53","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   3","   0","   0","  71","   5","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 138","   1","   0","   0","   1","   0","5013","   0","   0","   2","   0","  57","   0","   0","  10","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   4","  34","  14","  44","   0","   0","   0","   0","   0","   0"
"1352.0",NA,NA," 450.5","   2.0","   0.0","   0.0","   9.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  52.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   2.0","  10.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","  29.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  13.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0"," 140.0","   3.0","   1.0","   4.0","  12.0","   0.0","4866.0","   0.0","   2.0","   1.0","   0.0","  80.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   7.0","  40.0","   1.0","   1.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0"
"1369",NA,NA," 457","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   3","   1","   0","   0","   0","   0","   0","   9","   0","   0","   1","   1","   8","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","  59","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1"," 219","   0","   1","   0","  15","   0","2064","   0","   0","   0","   1","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1","   1","   3","  14","   0","   0","   0","   0","   0","   0","   0","   0"
"1385",NA,NA," 463","   5","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   6","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","  15","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 364","   0","   1","   0","   4","   0","3316","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","  30","   0","   0","   0","   0","   0","   0","   0","   0"
" 1406.00",NA,NA,"  470.75","    0.00","    0.00","    0.00","   11.00","    2.00","    0.00","    0.00","    2.00","    3.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   16.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    8.00","   13.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   29.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  134.00","    0.00","    0.00","    7.00","   17.00","    1.00","10741.00","    1.00","    0.00","    0.00","    0.00","   59.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    1.00","    4.00","   44.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    1.00"
"1423",NA,NA," 477","   1","   0","   0","   1","   1","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   7","   0","   2","   0","   4","   0","   0","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","  58","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 268","   1","   1","   0","   5","   0","1585","   1","   0","   0","   1","  32","   1","   0","   0","   0","   0","   0","   3","   1","   0","   2","   1","   0","   0","   0","   1","   1","   1","  32","   0","   0","   0","   0","   0","   0","   0","   0"
"1439",NA,NA," 483","   1","   0","   0","   1","   2","   0","   0","   3","   1","   1","   0","   1","   0","   0","   0","   0","  15","   1","   0","   1","   0","   0","   0","   7","   0","   0","   0","   1","   8","   0","   1","   0","   1","   0","   0","   6","   1","   1","   0","   0","   1","   0","   1","   0","   0","  25","   2","   3","   0","   0","   0","   0","   0","   0","   1","   1","   1","   0"," 271","   0","   1","   1","  16","   2","2550","   0","   0","   1","   0","  57","   0","   0","   0","   0","   0","   0","   1","   1","   0","   5","   0","   0","   0","   0","   0","   1","   3","  52","   1","   0","   2","   0","   1","   0","   0","   0"
"1447.0",NA,NA," 485.8","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   3.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  18.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   3.0","   0.0","   6.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  12.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  71.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0"," 202.0","   0.0","   4.0","   0.0","   9.0","   0.0","1980.0","   2.0","   3.0","   1.0","   0.0","  29.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   8.0","  22.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   1.0"
