"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Atraphaxis","Berberis t.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Buxus","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Frankenia","Galium t.","Geranium","HippophaÃ«","Lamiaceae undif.","Leontice","Linum t.","Lotus t.","Lysimachia","Lythrum","Malva","Matthiola","Musci","Myriophyllum spicatum/verticillatum t.","Nitraria","Nuphar","Nymphaea","Olea t.","Paronychieae","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex subg. Emex","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Spergularia t.","Tamarix","Thalictrum","Theligonum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianella","Viola","Vitis"
"166","266"," 74","  5","  1","  0","  0","  0","  0","  7","  1","  1","  0"," 17","  1","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  3","  2","  1","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","152","  0","  0","  0","  8","  0","  1","  0","  2","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0"
"1802","1916","1693","  45","   0","   0","   0","   0","   0","   5","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   2","   0","   6","   0","   0","   0","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  45","   0","   1","   0","  89","   3","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0","   0"
"4749","4979","4539"," 117","   0","   1","   0","   0","   0","  71","   8","   0","   1"," 184","  36","   0","   0","   0","   0","   8","   0","   0","   0","   0","   5","   0","   1","  16","   8","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  87","   0","   0","   0","  18","   2","   1","   1","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 244","   0","   0","   0","   0","   0"
"5199","5451","4972"," 128","   2","   0","   0","   0","   1","  40","   0","   0","   0","  21","   4","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","  19","   0","   2","   0","   0","   0","   1","   0","  46","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 187","   0","   7","   1","  43","   2","   0","   0","   1","  18","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   0","   0","   0"
"5485","5751","5247"," 135","   1","   0","   3","   0","   0","  80","   1","   0","   0","  89","   4","   0","   0","   0","   2","   1","   0","   0","   0","   1","   1","   0","   6","   0","  10","   0","   0","   0","   0","   3"," 342","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   5","   0","   1","   0"," 120","   0","   8","   0","  84","   0","   1","   0","   5","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   2","   0","   0","   0","   0","   0","   0","   0","  68","   0","   0","   0","   0","   0"
"6508","6823","6227"," 160","   1","   0","   0","   0","   1","  61","   1","   1","   0","  35","   1","   0","   0","   0","   0","   1","   0","   0","   1","   0","   2","   0","   5","   3","   2","   0","   0","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  13","   0","   1","   0","   0","   0"," 125","   0","   4","   0","  28","   0","   0","   0","   3","  27","  10","   0","   0","   0","   0","   0","   0","   1","   0","  70","   0","   0","   0","   0","   0","   0","   0","   0","  74","   0","   0","   0","   0","   0"
"6917","7252","6619"," 170","   0","   0","   2","   0","   0","  43","   1","   0","   1","  22","   6","   0","   0","   0","   0","   1","   0","   0","   2","   0","   1","   0","   7","   0","   1","   0","   0","   0","   0","  15","  23","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","  79","   0","   2","   0","  26","   0","   0","   0","   1","  11","   8","   0","   0","   0","   0","   0","   1","   0","   0","  66","   0","   0","   0","   0","   0","   0","   0","   0","  38","   0","   0","   0","   0","   0"
"7327","7682","7011"," 180","   1","   0","   0","   0","   2","  36","   2","   2","   0","  13","   5","   0","   0","   0","   2","   2","   0","   0","   0","   0","   1","   0","   7","   2","   0","   0","   0","   0","   0","   6","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 115","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","  66","   0","   0","   0","  25","   1","   0","   0","   2","  24","   0","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","   0","   0","   0","   1","   0","   0","   0","  12","   0","   0","   0","   0","   0"
"8022","8411","7676"," 197","   0","   0","   0","   0","   0","  25","  20","   3","   0"," 158","   2","   0","   0","   0","   1","   0","   0","   0","   3","   0","   1","   0","  15","   4","   2","   0","   0","   0","   0","  10","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","  66","   0","   1","   0","  22","   2","   0","   0","   2","  45","   1","   0","   1","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","  40","   0","   0","   0","   0","   0"
"8554","8970","8185"," 210","   0","   0","   0","   0","   0","  12","   1","   0","   0","  13","   3","   0","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0","  15","   1","   0","   0","   0","   0","   1","  10","   7","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   7","   0","   0","   0","   0","   1"," 107","   0","   0","   0","  58","   0","   0","   0","   4","  32","   6","   0","   0","   0","   1","   0","   0","   0","   0"," 141","   0","   0","   0","   0","   0","   0","   0","   0","  22","   0","   0","   0","   0","   0"
