"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acanthus","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Asphodelus t.","Asteroideae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cistaceae","Convolvulaceae","Corylus","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Hypericum undif.","Indeterminable","Lamiaceae undif.","Lythrum","Myriophyllum undif.","Myrtus","Olea t.","Persicaria t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Salix","Sambucus","Thymelaeaceae undif.","Typha","Unknown","Valerianaceae undif.","Viburnum"
"585",NA,NA,"  5","  0","  4","  2"," 14","  3","  0"," 18","  1","  0","  0"," 13","  0","  1","  0","  0","100","  7","  8","  0","  2","  0","  5","  8"," 16","  5","  0","  0","  2","  4","  5"," 62","  1"," 17","  4"," 92","  7","  3","  0","  0","  3","  0","  0"
"640",NA,NA," 10","  0","  0","  5","  7","  3","  0"," 31","  0","  0","  0"," 12","  0","  1","  0","  0","154","  2"," 10","  0","  2","  2"," 11","  0","  8","  9","  0","  0","  1","  3"," 11"," 60","  3"," 27"," 25"," 80","  6","  1","  0","  1","  7","  0","  1"
"694",NA,NA," 15","  0","  1","  2"," 16","  3","  0"," 17","  1","  0","  0"," 15","  0","  1","  0","  0","105","  2","  4","  1","  1","  0","  3","  2"," 10","  2","  0","  0","  1","  3","  3"," 51","  2"," 25","  9"," 82","  6","  2","  0","  9","  7","  0","  0"
"749",NA,NA," 20","  0","  5","  5"," 16","  4","  0","  7","  0","  0","  1","  3","  0","  1","  0","  1","109","  5","  1","  1","  2","  1","  2","  4"," 23","  1","  0","  1","  0","  3","  2"," 42","  6"," 15"," 10"," 67"," 19","  0","  3"," 21","  3","  0","  0"
"804",NA,NA," 25","  0","  5","  2"," 47","  5","  0"," 14","  3","  0","  0"," 24","  0","  1","  0","  2","164","  8"," 10","  9","  2","  0","  9","  4"," 47","  7","  0","  0","  2","  2","  9"," 50","  2"," 20"," 25"," 70"," 16","  1","  1","  2","  3","  0","  0"
"859",NA,NA," 30","  0","  4","  4"," 21","  5","  0","  5","  0","  0","  0","  7","  0","  3","  0","  0"," 52","  1","  1","  1","  1","  0","  2","  1"," 18","  3","  0","  3","  0","  1","  2"," 20","  1"," 20","  4"," 80","  6","  1","  1","  0","  0","  0","  0"
"913",NA,NA," 35","  0","  3","  2","  4","  3","  0","  2","  0","  0","  0","  6","  0","  3","  0","  3"," 73","  6","  0"," 10","  3","  0","  0","  2"," 23","  3","  0","  4","  0","  0","  0"," 30","  1"," 21"," 13"," 75","  3","  1","  2"," 12","  0","  0","  0"
"968",NA,NA," 40","  0","  6","  4"," 10","  0","  0","  2","  0","  0","  0","  6","  0","  0","  0","  0"," 62","  4","  0"," 10","  0","  0","  4","  9"," 12","  4","  0","  3","  3","  0","  4"," 16","  3"," 25","  8"," 60"," 10","  0","  0","  0","  0","  0","  0"
"1023",NA,NA,"  45","   0","   0","   4","  16","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","  90","   0","   0","   0","   4","   0","   4","   0","  12","   0","   0","   0","   0","   0","   4","  18","   1","  12","   4","  81","   4","   0","   0","  17","   0","   0","   0"
"1077",NA,NA,"  50","   0","   1","   1","  20","   2","   2","   6","   0","   0","   1","   4","   0","   2","   0","   0"," 100","   6","   1","   4","   1","   1","   1","   3","  19","   1","   0","   0","   2","   0","   1","  15","   1","  22","  10","  72","   9","   0","   1","   6","   0","   0","   0"
