"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alnus","Amaranthaceae undif.","Anagallis t.","Angiospermae undiff. (herbs)","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Calligonum","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Eucalyptus spike","Eucalyptus tablets","Euphorbia t.","Fabaceae Undif.","Fagus","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Hedera","HippophaÃ«","Lamiaceae undif.","Linum t.","Mercurialis","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Onagraceae","Ononis t.","Ostrya","Papaver t.","Petaloid monocot","Picea","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Polygonum t.","Polypodiophyta (monolete) undiff.","Polypodiophyta (trilete) undiff.","Polypodiophyta undiff.","Potamogeton","Potentilla t.","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Vitis"
"27143.05",NA,NA,"1463.200","2.1","6","0","12","83","3","1","17","4","243","0","4","0","0","0","0","0","14","0","3","0","0","2","3","18","0","67","14","0","4","0","86","0","2","0","5","6","1","0","2","0","2","0","0","0","0","0","0","0","3","1","0","0","35","12","0","315","0","0","0","0","0","1","0","13","4","1","2","2","0","0","0","0","3","0","7","0","1","3","3","0","0"
"27148.45",NA,NA,"1463.000","1.4","2","0","14","49","0","0","17","5","214","0","4","4","0","3","0","0","2","1","16","0","0","4","4","10","0","121","8","0","2","0","203","0","0","0","4","0","0","0","6","0","6","1","0","2","0","0","0","0","1","0","0","0","28","4","0","324","0","0","0","0","0","0","0","20","0","1","4","1","0","0","0","0","0","0","4","0","1","1","1","0","0"
"27153.85",NA,NA,"1462.800","1.5","1","0","6","43","3","0","7","3","186","0","3","4","0","2","0","0","1","0","11","0","0","3","2","3","0","98","4","0","1","0","239","0","0","0","8","0","0","0","11","0","2","0","0","0","0","0","0","0","0","0","0","0","24","0","0","294","1","0","0","0","0","0","0","15","1","0","5","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"27157.45",NA,NA,"1462.600","1.5","10","0","13","72","1","0","14","3","188","0","9","6","0","7","0","0","1","1","2","0","0","4","3","10","0","121","7","0","3","1","211","0","0","0","8","1","2","0","9","0","6","1","0","1","0","0","0","0","3","0","0","0","30","17","0","294","0","1","1","0","0","0","0","11","2","0","3","0","2","0","0","0","0","0","2","0","0","1","0","0","0"
"27162.85",NA,NA,"1462.400","1.4","6","0","10","77","1","2","17","10","275","0","8","7","0","2","0","0","1","1","6","0","0","1","6","8","0","179","5","0","3","0","323","0","2","0","5","2","3","0","14","1","3","1","0","0","1","0","0","0","0","0","0","0","42","9","0","357","1","0","1","0","0","1","0","24","4","0","4","2","0","0","0","1","4","0","6","2","0","1","2","0","0"
"27168.25",NA,NA,"1462.200","1.8","10","2","15","82","0","0","15","7","257","0","1","3","0","4","0","0","7","0","9","0","0","2","5","17","0","97","8","0","6","0","190","0","0","0","6","1","1","1","7","0","1","0","0","2","0","0","0","0","1","0","1","0","55","9","0","351","0","0","0","0","1","0","0","32","7","4","5","0","0","0","0","0","0","0","4","0","0","1","4","0","0"
"27173.65",NA,NA,"1462.000","1.2","11","0","12","101","3","1","13","5","203","0","3","0","0","0","0","0","2","1","3","0","0","4","3","9","0","70","8","0","4","0","163","0","2","0","6","3","1","0","10","0","5","1","0","0","0","0","0","0","0","1","0","0","38","8","0","374","0","1","0","0","0","1","0","17","6","0","2","0","0","1","0","0","1","0","7","1","0","2","3","0","0"
"27179.05",NA,NA,"1423.125","2.8","1","0","3","86","0","0","11","2","225","0","9","3","0","7","0","0","26","0","11","0","0","13","19","2","0","23","5","0","3","0","327","0","0","0","2","1","0","0","4","0","3","0","0","0","0","0","0","0","0","1","0","1","24","2","0","185","0","0","0","0","4","0","0","0","10","2","4","0","0","0","0","0","2","0","2","0","0","1","0","0","0"
"27184.45",NA,NA,"1423.425","3.0","3","0","3","84","1","0","8","4","130","0","9","0","0","11","0","0","16","0","56","0","0","19","26","1","0","11","0","0","4","0","186","0","0","0","0","0","0","0","16","0","1","1","0","0","0","0","0","0","1","0","1","1","25","1","1","208","1","0","0","1","3","0","0","6","3","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"27189.85",NA,NA,"1423.725","1.9","2","0","0","52","0","0","8","35","111","0","4","0","2","12","0","0","12","0","12","0","0","9","17","1","0","16","1","0","2","0","789","0","0","0","2","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","4","4","0","175","0","0","0","0","5","0","0","2","9","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
