"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Alchemilla t.","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cyclamen","Cyperaceae","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geraniaceae undif.","Hedera","Hypericum undif.","Indeterminable","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Linum t.","Lythrum","Matthiola","Mercurialis","Musci","Myriophyllum undif.","Olea t.","Onagraceae","Osmunda regalis-type","Paeonia","Papaver t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Primulaceae undif.","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Sarcopoterium","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanum","Spergularia t.","Styrax","Tamarix","Thalictrum","Theligonum","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianaceae undif.","Vitex","Vitis"
"-11",NA,NA,"  1","  0","  0","  1","  0","  0","  3","  0","  0","  0","  2","  0","  1","  1","  6","  0","  1","  1","  8","  0","  0","  3","  0","  0","  0","  1","  6","  3","  0","  0","  0"," 12","  0"," 22","  0","  0","  0","  0"," 13","  0","  1","  0","  0","115","  0","  1","  0"," 12","  0","  0","  0","  1"," 29","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1"," 31","  0","  0","  0","  0","  0","  1"," 10","  4","  3","129"," 30","  0","  0","  0","  0","  0","  0"," 10"," 58"," 13","  1","  0","  0","  7"," 29","  1","  0","  0","  1","  3","  0","  0","  1","  0","  0","  1","  0","  0","  8","  1","  0","  0","  0","  0"
" -5.00",NA,NA,"  2.25","  0.00","  0.00","  0.00","  0.00","  2.00","  2.00","  0.00","  0.00","  0.00","  1.00","  1.00","  1.00","  2.00","  7.00","  0.00","  1.00","  3.00","  0.00","  0.00","  0.00","  1.00","  0.00","  2.00","  0.00","  1.00"," 10.00","  2.00","  0.00","  0.00","  0.00","  5.00","  1.00"," 42.00","  0.00","  0.00","  0.00","  0.00"," 21.00","  0.00","  1.00","  0.00","  0.00","397.00","  0.00","  0.00","  3.00","  7.00","  0.00","  0.00","  0.00","  0.00"," 10.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00"," 49.00","  0.00","  1.00","  0.00","  0.00","  0.00","  5.00"," 11.00","  0.00","  1.00"," 59.00"," 12.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00"," 37.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 32.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00"
" 18",NA,NA,"  5","  0","  0","  0","  0","  0","  3","  1","  0","  1","  5","  0","  1","  0","  6","  1","  0","  0","  0","  0","  0","  3","  2","  5","  0","  0"," 18","  3","  0","  0","  0","  3","  0"," 41","  0","  0","  0","  0"," 36","  1","  1","  0","  0","436","  0","  0","  5","  1","  0","  0","  0","  1"," 16","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0"," 48","  0","  0","  0","  0","  0","  2","  8","  3","  3","168"," 13","  0","  0","  0","  0","  0","  0","  1"," 68","  9","  0","  0","  0","  2"," 33","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"
"29",NA,NA," 6"," 0"," 0"," 0"," 1"," 2"," 2"," 0"," 0"," 0"," 1"," 2"," 3"," 0"," 2"," 0"," 2"," 2"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 3"," 0"," 5"," 0"," 0"," 0","18"," 0"," 0"," 0"," 1","17"," 0"," 1"," 0"," 0","81"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","10"," 0","38"," 0"," 0"," 0"," 0"," 0"," 1"," 2"," 0"," 2","90"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 5","41"," 7"," 0"," 1"," 0"," 0","26"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
" 89.0",NA,NA," 10.5","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  1.0","  2.0","  5.0","  2.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","  0.0","  5.0"," 16.0","  0.0","  0.0","  0.0","  1.0","  0.0","655.0","  0.0","  0.0","  0.0","  0.0","148.0","  0.0","  2.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  8.0","  0.0","  5.0","  1.0"," 60.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","232.0","  3.0","  0.0","  1.0","  1.0","  0.0","  7.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 20.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0"
"127.0",NA,NA," 13.5","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0"," 12.0","  3.0","  2.0","  2.0"," 11.0","  1.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  1.0","  1.0","  2.0","  1.0"," 11.0","  5.0","  0.0","  1.0","  1.0","  2.0","  0.0","574.0","  0.0","  0.0","  0.0","  1.0","130.0","  0.0","  6.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  6.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  3.0","  1.0","  9.0","  1.0","102.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","273.0","  3.0","  1.0","  2.0","  0.0","  1.0","  8.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"
"155",NA,NA," 16","  0","  0","  0","  0","  1","  1","  0","  0","  1","  5","  1","  2","  4","  9","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  1","  8"," 20","  0","  1","  1","  3","  0","257","  0","  0","  0","  0","238","  0","  5","  0","  0"," 22","  0","  0","  3","  0","  0","  0","  0","  1","  7","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  7","  0","253","  0","  0","  0","  0","  3","  1","  2","  0"," 68","  0","  0","  0","  0","  0","  0","  0","142","  1","  0","  0","  0","  3","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 31","  0","  0","  2","  3","  0","  0","  0","  0"
"186",NA,NA," 19","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  1","  3","  2","  0","  0","  0","  4","  0","  0","  0","  0","  2","  0","  0","  7"," 13","  0","  1","  2","  1","  0","300","  0","  1","  0","  1","241","  0","  1","  0","  0"," 27","  0","  0","  1","  0","  0","  0","  0","  1","  5","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  1","  0","273","  0","  0","  0","  1","  4","  0","  2","  0"," 34","  3","  0","  0","  0","  0","  0","  1"," 45","  0","  1","  0","  1","  0","  3","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  1","  0","  0","  0","  0","  1","  0","  0"
"240",NA,NA," 24","  0","  0","  0","  0","  1","  4","  0","  0","  0","  5","  0","  3","  3","  1","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  1","  9","  7","  0","  0","  0","  4","  0","512","  0","  0","  0","  0","177","  0","  1","  0","  0"," 20","  0","  0","  1","  0","  0","  0","  0","  0","  2","  1","  0","  8","  1","  0","  0","  0","  0","  3","  0"," 12","  0","412","  0","  0","  0","  0","  3","  0","  3","  0"," 41","  0","  0","  0","  0","  0","  0","  1","150","  2","  0","  2","  0","  2","  3","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  1"
"279",NA,NA," 27","  0","  0","  0","  0","  1","  2","  0","  0","  1","  5","  1","  3","  2","  6","  0","  0","  0","  4","  0","  0","  2","  3","  1","  0","  2"," 12"," 16","  0","  0","  0","  2","  0","839","  0","  0","  0","  1","291","  0","  6","  0","  0"," 26","  0","  0","  0","  2","  0","  0","  0","  3"," 17","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0"," 11","  0"," 92","  0","  0","  0","  0","  7","  1","  5","  1"," 70","  0","  0","  0","  1","  0","  0","  0"," 98","  1","  0","  0","  0","  3","  4","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0"
