"sample_name","depth","Hagenia","Acacia t.","Acanthaceae undif.","Acritarcha","Aerva type","Aizoaceae t.","Algae","Amaranthaceae undif.","Anacardiaceae undiff.","Animalia","Animalia ","Apiaceae undif.","Artemisia","Asclepiadaceae undif.","Asteroideae undif.","Avicennia","Blepharis","Blighia","Brassicaceae","Cadaba","Calligonum","Capparaceae undif.","Capparis","Caryophyllaceae undif.","Cassipourea","Celosia type","Centaurea","Cichorieae","Cleome","Combretaceae","Commiphora","Convolvulaceae","Cupressaceae","Cyperaceae","Diospyros/Euclea t.","Dipterygium glaucum","Dodonaea","Echinidinium aculeatum","Echinidinium delicatum","Echinidinium granulatum","Echinidinium transparantum","Echinidinium undiff","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagonia","Fern","Fungi","Hyphaene t.","Hypoestes t.","Indeterminable","Macaranga","Meliaceae undif.","Mollugo cerviana-type","Monoletes","Morella","Oethe-type","Olea t.","Operculodinium centrocarpum","Operculodinium israelianum","Petaloid monocot","Pinus undif.","Plantago","Poaceae","Podocarpus","Polysphaeridium zoharyi","Protist","Prunus t.","Resedaceae undiff.","Rhizophora","Rosa t.","Rosaceae undif.","Rumex t.","Sapindaceae undif.","Sapotaceae undif.","Schefflera","Schrankia leptocarpa","Selenopemphix quanta","Sideroxylon t.","Solanum","Tamarix","Tintinnid","Tribulus","Triletes","Trinovantedinium applanatum","Trinovantedinium capitatum","Trinovantedinium spp.","Tuberculodinium vancampoae","Typha","Unknown","Verbena t.","Votadinium","Votadinium calvum","Xylia-type","Zygophyllum t.","charcoal"
NA,"  27",NA,"   3","   0","   8","   5","   0","  79","  27","   0","1318","   7","   0","   4","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","  11","   1","   0","   1","   0","   1","   0","   0","   2","   0","   0","   1","   0","   0","   1","  10","   5","   0","   5","   0","   0","   0","   0","   0","   0","   1","   1","   2","   0","   4","   0","  63","   4","  17"," 694","   0","   0","   1","   0","   0","   0","   0","   1","   0","   4","   2","   0","   0","   0","  26","   5","   1","   1","   0","   0","   8","   1","   2","   0","   0","   0","   0","   0"," 638"
NA," 53",NA,"  0","  0","  1","  2","  0"," 22"," 40","  0","103","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 11","  0","  3","  3","  0","  2","  0","  0","  1","  0","  0","  8","  0","  0","  1","  5","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 40","  2"," 12","304","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 21","  2","  1","  0","  0","  0","  3","  0","  2","  0","  0","  0","  0","  0","146"
NA," 54",NA,"  4","  0","  3","  1","  0"," 60"," 62","  0","452"," 13","  0","  4","  0","  6","  1","  2","  0","  4","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0"," 52","  0","  5","  4","  2","  0","  3","  0","  1","  0","  0","  1","  0","  0","  0","  8","  2","  2"," 10","  0","  0","  5","  0","  0","  0","  0","  5","  1","  0","  0","  0"," 42","  5"," 26","613","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  6","  0","  0","  0"," 15","  4","  2","  5","  1","  1","  2","  0","  4","  0","  0","  0","  0","  0","820"
NA," 69",NA,"  0","  0"," 11","  3","  0"," 45"," 46","  0","632"," 13","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0"," 32","  0","  0","  0","  1","  1","  0","  0","  4","  0","  0","  2","  0","  0","  0"," 16","  1","  0","  7","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0"," 43","  3"," 43","460","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0"," 32","  2","  5","  0","  0","  0"," 12","  1","  6","  0","  1","  0","  0","  1","652"
NA,"  75",NA,"   0","   1","   6","   1","   0","  66","  24","   0"," 263","   6","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  25","   0","   0","   1","   0","   0","   0","   0","   7","   0","   0","   3","   0","   0","   5","   7","   0","   0","   7","   0","   0","   0","   2","   0","   0","   0","   3","   0","   0","   0","   0","  41","   3","  70","1019","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","  33","   4","   4","   3","   0","   0","   6","   0","   6","   0","   0","   0","   0","   0"," 182"
NA,"  86","   3","   2","   0","  11","   4","   0","  57","  29","   0"," 746","   8","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  19","   0","   0","   1","   0","   3","   0","   0","   7","   0","   0","   4","   0","   0","   0","   4","   1","   0","  19","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","  27","   4","  26"," 390","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","  34","   2","   4","   0","   0","   0","   6","   0","   0","   0","   3","   0","   0","   0","1302"
NA," 98",NA,"  0","  0","  7","  2","  0"," 31"," 30","  1","195"," 17","  1","  2","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0"," 12","  0","  3","  0","  0","  0","  0","  0","  2","  0","  0","  4","  0","  0","  1"," 13","  0","  0","  4","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  2","  0"," 42","  0"," 60","267","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 21","  3","  1","  0","  0","  0","  7","  0","  4","  0","  0","  0","  0","  0","167"
NA,"119",NA,"  2","  0"," 11","  1","  0"," 53"," 31","  0","540","  8","  0","  0","  0","  1","  3","  2","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 25","  0","  0","  1","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  9","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0"," 29","  2"," 24","363","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0"," 14","  4","  3","  3","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","576"
NA,"127",NA,"  0","  0","  7","  0","  0","131"," 56","  0","442","  0","  0","  4","  0"," 10","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 39","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 26","  0","  2","  8","  0","  0","  0","  0","  0","  0","  0"," 15","  3","  0","  0","  0"," 19","  1"," 12","934","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  5"," 15","  0","  2","  0","  2","  0","  3","  0","  0","  0","  0","  0","  0","  0","905"
NA," 139",NA,"   0","   1","  10","   0","   0","  53","  40","   0"," 609","   6","   0","   0","   0","   4","   0","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","  20","   0","   0","   0","   0","   9","   0","   0","   6","   0","   0","   0","   0","   0","   0","  11","   0","   0","  11","   0","   0","   4","   0","   0","   0","   0","   2","   0","   0","   0","   0","  26","   2","  39"," 359","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","  27","   1","   2","   2","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","1347"
NA,"145",NA,"  1","  0","  8","  1","  0"," 34"," 35","  0","230","  1","  0","  1","  0","  4","  1","  1","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0"," 27","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3"," 19","  0","  0"," 14","  0","  0","  0","  0","  0","  0","  2","  2","  0","  0","  0","  0"," 34","  2"," 37","339","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 26","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","840"
NA,"170",NA,"  2","  0","  9","  5","  0"," 38"," 74","  2","127"," 12","  0","  3","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  5","  0","  0","  0"," 46","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  8","  0","  0","  4"," 11","  0","  0"," 22","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0"," 66","  1"," 28","200","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 22","  0","  3","  0","  0","  0","  4","  0","  6","  0","  0","  0","  1","  0","304"
NA,"183",NA,"  0","  0","  5","  0","  0"," 64"," 56","  1","629"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  1","  0"," 32","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  4","  0","  0","  0"," 15","  0","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 35","  4"," 36","302","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 37","  3","  4","  3","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","874"
NA,"195",NA,"  0","  0"," 17","  9","  0"," 42"," 34","  0","508"," 12","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 24","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  4"," 20","  1","  0"," 12","  0","  2","  0","  1","  0","  0","  4","  3","  0","  0","  0","  0"," 30","  3"," 32","313","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0"," 22","  0","  1","  0","  0","  0","  1","  0","  0","  0","  3","  2","  0","  0","787"
NA,"201",NA,"  1","  0","  3","  1","  0"," 36"," 46","  0","348","  2","  0","  0","  0","  2","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  1","  0","  0","  0","  5","  0"," 21","  0","  0","  1","  0","  0","  0","  2","  2","  0","  0","  2","  0","  0","  0"," 19","  0","  0","  8","  0","  0","  1","  0","  0","  0","  0","  2","  1","  0","  0","  0"," 37","  1"," 24","173","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0"," 19","  2","  2","  1","  0","  0","  3","  0","  6","  0","  2","  0","  0","  0","827"
NA,"220",NA,"  2","  1","  8","  0","  0"," 33"," 46","  0","403"," 12","  0","  1","  0","  1","  3","  1","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0"," 26","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  6"," 25","  2","  0"," 14","  0","  0","  0","  0","  0","  0","  1","  4","  0","  0","  0","  0"," 34","  9","122","262","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0"," 28","  1","  0","  0","  0","  0","  5","  0","  2","  0","  0","  0","  1","  0","341"
NA," 230",NA,"   0","   0","  13","   0","   0","  42","  46","   1"," 442","   7","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   1","   0","  24","   0","   2","   0","   0","   0","   0","   0","   2","   0","   0","   4","   0","   0","   2","  25","   0","   2","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  33","   3","  98"," 156","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","  21","   2","   0","   2","   0","   0","   3","   0","   6","   0","   0","   0","   0","   0","1203"
NA," 245",NA,"   0","   0","   9","   2","   0","  82","  43","   4"," 414","  17","   0","   6","   0","   2","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","  65","   0","   0","   0","   0","   9","   3","   0","   0","   0","   0","   0","   0","   3","   4","   8","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0","   4","   5","   0","   0","   0","  33","   5"," 148"," 345","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   5","   4","   0","   2","   0","   0","   3","   0","   6","   0","   3","   0","   0","   0","1205"
NA," 255",NA,"   0","   0","   6","   1","   0","  20","  54","   0"," 326","   8","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  44","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   5","  18","   0","   0","   5","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","  19","   1"," 102"," 143","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","  13","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","1294"
NA,"270",NA,"  2","  0"," 10","  1","  0"," 62"," 29","  0","631","  3","  0","  0","  0","  2","  2","  4","  0","  0","  0","  0","  0","  2","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0"," 50","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  8"," 17","  2","  0"," 12","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0"," 49","  2","133","366","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0"," 19","  0","  0","  0","  0","  0","  3","  0","  6","  0","  2","  0","  0","  2","391"
NA," 281",NA,"   0","   0","  19","   0","   0","  58","  34","   0"," 503","   5","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  39","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   3","  37","   0","   0","   9","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","  24","   2"," 139"," 228","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  24","   1","   2","   0","   0","   0","   9","   0","   6","   0","   0","   0","   0","   1","1898"
NA," 294",NA,"   0","   0","  13","   5","   0","  71","  37","   1"," 380","  10","   0","   1","   0","   4","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   2","   2","   0","   0","  48","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","  23","   1","   0","  13","   0","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","  63","   1"," 343"," 355","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   1","   2","   0","   0","  19","   0","   8","   0","   0","   0","   7","   0","   4","   3","   0","   0","   0","   1","1073"
NA," 301",NA,"   0","   0","  12","   0","   0","  29","  30","   0"," 364","   5","   0","   1","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","  24","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","  35","   1","   0","  12","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  48","   3"," 142"," 233","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","  15","   1","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","2052"
NA,"314",NA,"  0","  0","  6","  2","  0"," 48"," 25","  0","368"," 10","  0","  0","  0","  2","  1","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0"," 32","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1"," 24","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 48","  1"," 73","278","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  7","  2","  0","  0"," 11","  0","  0","  0","  0","  0","  2","  0","  0","  0","  2","  0","  1","  1","401"
NA," 326","   1","   2","   0","  10","   0","   0","  24","  36","   0"," 318","   4","   0","   0","   0","   1","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  39","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","  33","   0","   0","   5","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","  57","   2","  45"," 251","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","  18","   0","   3","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","1850"
