"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Alnus","Amaranthaceae undif.","Angelica palustris-type","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Fern","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Halimium/Tuberaria","Heliotropium","Hepaticae","Hypericum undif.","Lamiaceae undif.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Mercurialis","Musci","Nymphaea","Olea t.","Paronychieae","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Sparganium","Spergularia t.","Spermatophyta indet.","Thapsia maxima-type","Trifolium t.","Ulmus t.","Vitis"
"   -6.71",NA,NA,"  1.0","0.282","0","2","2","0","0","17","0","0","0","4","7","4","2","0","6","0","1","5","0","0","0","14","1","9","0","0","42","0","27","2","0","13","3","0","1","0","0","0","0","0","6","62","0","1","2","0","2","0","39","6","2","0","0","0","46","0","6","2","656","0","8","0","111","0","21","0","0","23","1","0","0","0","0","2","0","2","0","0","0","0"
"  114.45",NA,NA,"  5.0","0.282","0","11","0","0","0","15","0","0","0","6","1","9","4","0","10","0","1","4","2","0","0","16","0","27","0","0","53","1","14","1","0","11","5","0","0","1","0","0","0","0","0","58","0","0","0","0","0","0","12","5","0","0","0","0","11","0","13","2","588","0","5","3","100","0","16","0","0","14","0","0","0","6","0","1","0","3","0","0","0","0"
"  265.91",NA,NA," 10.0","0.282","0","7","0","0","0","18","0","0","0","9","3","10","4","0","8","0","2","4","0","0","2","26","0","33","0","0","36","0","21","0","0","18","2","0","0","0","0","0","0","0","0","78","0","0","0","0","2","0","11","8","7","0","0","0","18","0","2","0","480","2","1","4","83","3","43","0","0","10","0","0","0","1","0","5","0","1","0","0","0","0"
"  417.36",NA,NA," 15.0","0.282","0","21","3","0","0","11","0","0","0","11","1","16","5","0","13","0","0","4","0","0","4","19","3","27","0","0","80","0","22","0","0","17","0","2","0","2","0","0","0","1","0","78","0","1","0","0","1","0","37","8","4","0","0","9","8","0","12","1","700","2","2","4","77","5","56","0","0","13","0","2","1","7","0","4","0","2","0","0","0","0"
"  568.82",NA,NA," 20.0","0.282","0","6","0","0","0","11","1","0","0","6","2","12","6","0","8","2","1","8","0","0","0","11","2","23","0","0","50","0","21","0","1","12","1","4","0","2","0","0","0","1","0","71","0","1","0","0","2","0","25","5","3","0","0","5","7","0","9","5","645","3","0","1","52","6","37","0","0","6","0","0","1","8","0","1","0","1","0","0","0","0"
"  720.27",NA,NA," 25.0","0.282","0","13","2","0","0","13","11","0","0","9","9","18","4","0","34","0","0","17","0","0","1","28","0","25","0","0","184","0","23","3","0","33","2","5","0","7","0","0","0","0","0","137","0","0","0","0","1","0","76","20","3","0","0","11","3","0","26","3","1354","1","0","14","101","17","111","0","0","14","2","0","0","27","0","1","0","2","0","0","0","2"
"  989.14",NA,NA," 30.0","0.282","0","16","4","0","0","32","4","0","0","25","2","10","4","0","16","0","0","8","3","0","1","32","1","32","0","0","74","0","18","2","0","30","1","2","0","6","0","0","0","1","0","84","0","0","0","0","2","1","17","17","2","0","0","9","2","0","27","1","1000","6","1","6","131","23","89","0","0","30","0","0","1","7","0","2","0","3","0","0","0","1"
" 1375.43",NA,NA," 35.0","0.282","0","11","1","0","0","41","2","0","0","25","4","18","2","0","9","0","2","7","0","0","1","26","0","25","0","0","88","0","28","5","0","23","0","4","0","7","0","0","0","4","0","91","0","0","0","0","1","0","5","15","6","0","0","6","3","0","24","4","800","3","0","8","103","16","44","0","0","16","0","0","1","2","0","7","0","7","0","0","0","3"
" 1761.71",NA,NA," 40.0","0.282","0","16","1","0","0","40","7","0","0","13","3","16","3","0","9","0","1","6","0","0","0","18","0","35","0","0","44","0","14","2","0","19","0","2","0","0","0","0","2","0","0","100","0","0","0","0","2","0","6","1","5","0","0","7","6","0","7","4","1250","2","5","3","115","9","17","0","0","9","0","0","0","5","0","9","1","5","0","0","0","1"
" 2148.00",NA,NA," 45.0","0.282","0","18","0","0","0","82","3","0","0","6","11","12","20","0","28","0","4","8","1","0","3","52","2","25","0","0","56","0","36","2","0","61","2","1","0","1","0","0","2","0","0","133","0","0","0","0","3","0","3","12","14","0","0","21","14","0","109","4","1530","4","6","8","153","18","27","0","0","12","0","0","1","17","0","8","7","6","0","0","0","0"
" 2534.29",NA,NA," 50.0","0.282","0","23","1","0","0","96","7","0","0","10","6","22","24","0","31","0","3","18","0","0","1","56","12","30","0","0","110","0","103","1","0","42","11","3","0","4","0","0","2","0","0","86","0","0","0","0","1","0","3","4","14","0","0","23","24","0","82","13","687","4","9","8","184","18","73","0","0","14","2","0","0","13","0","114","10","7","0","1","0","0"
" 2920.57",NA,NA," 55.0","0.282","0","34","1","0","0","21","6","0","0","35","2","22","5","0","16","0","1","0","0","0","1","31","14","13","0","0","166","0","48","0","0","18","4","0","0","1","0","0","0","0","0","94","0","0","0","0","2","0","8","5","6","0","0","33","28","0","25","1","2681","3","2","2","194","6","69","0","0","9","0","0","1","6","0","19","2","4","0","0","0","0"
" 3306.86",NA,NA," 60.0","0.282","0","27","2","0","0","25","1","0","0","34","1","16","4","0","7","0","1","2","0","0","3","22","4","29","0","0","138","0","74","0","0","12","6","0","0","1","0","0","0","0","0","101","0","0","0","0","6","0","4","4","7","0","0","21","54","0","23","3","1740","2","8","7","210","26","37","0","0","12","0","0","0","2","0","22","3","10","0","0","0","0"
" 3603.57",NA,NA," 65.0","0.282","0","54","3","0","0","43","4","0","0","88","0","20","2","0","6","0","0","1","0","0","4","40","2","26","1","0","118","0","61","1","0","6","8","1","0","0","0","0","0","0","0","84","0","0","0","0","1","0","3","0","5","0","0","29","58","0","14","1","2431","3","1","0","317","26","69","0","0","8","0","0","0","3","0","9","2","8","0","0","0","0"
" 3810.71",NA,NA," 70.0","0.282","0","38","2","0","0","33","5","0","0","73","1","36","0","0","4","0","0","0","0","0","8","28","6","35","0","0","100","0","47","0","0","14","3","0","0","0","0","0","0","0","0","59","0","0","0","0","1","0","8","2","7","0","0","17","32","0","13","1","2455","1","0","2","291","12","78","0","0","9","0","0","0","1","0","19","1","5","0","0","0","1"
" 4017.86",NA,NA," 75.0","0.282","0","40","2","0","0","40","2","0","0","39","0","18","0","0","6","0","2","0","0","0","5","23","2","30","0","0","88","0","35","0","0","6","6","1","0","2","0","0","0","0","0","81","0","0","0","0","3","0","3","3","5","0","0","19","32","0","13","1","1680","2","3","6","283","16","64","0","0","9","1","0","0","3","0","11","0","6","0","0","0","0"
" 4225.00",NA,NA," 80.0","0.282","0","48","0","0","0","50","6","2","0","104","3","30","0","0","8","0","1","5","0","0","12","20","3","34","0","0","78","0","90","0","0","5","0","5","0","1","0","0","0","0","0","79","0","0","0","0","7","0","3","0","6","0","0","36","49","0","21","1","1915","2","1","8","341","10","40","0","0","12","0","0","0","3","0","32","0","4","0","0","0","0"
" 4432.14",NA,NA," 85.0","0.282","0","32","1","0","0","48","2","0","0","61","2","15","0","1","3","0","1","4","0","0","3","15","1","28","0","0","68","0","33","0","0","1","3","2","0","0","0","0","0","0","0","54","0","0","0","0","3","0","0","1","7","0","0","10","21","0","7","0","1192","0","1","3","188","3","28","0","0","7","0","0","0","0","0","22","2","3","0","0","0","0"
" 4639.29",NA,NA," 90.0","0.282","0","40","0","0","0","34","3","2","0","81","2","16","0","0","4","0","0","1","0","0","12","20","2","17","1","0","84","0","54","0","0","4","6","1","0","0","0","1","0","0","0","72","0","0","0","0","5","0","3","0","5","0","0","13","44","0","7","1","1279","1","2","2","317","7","25","0","0","18","3","0","0","1","0","31","0","4","0","0","0","0"
" 4846.43",NA,NA," 95.0","0.282","0","32","0","0","0","35","7","2","0","70","1","8","1","0","4","0","4","2","0","0","2","14","4","16","0","0","66","0","69","0","0","6","8","1","0","0","0","0","0","0","0","119","0","0","0","0","3","0","3","0","4","0","0","27","45","0","6","0","1591","4","0","1","326","10","26","0","0","23","1","0","0","0","0","30","0","6","0","0","0","0"
" 5063.94",NA,NA,"100.0","0.282","0","17","2","0","0","22","5","1","0","71","1","22","0","0","2","0","1","0","0","0","2","13","0","10","1","0","14","0","28","0","0","1","4","3","0","1","0","0","0","0","0","113","0","0","0","0","3","0","5","0","1","0","0","14","23","0","7","0","855","2","2","5","186","4","13","0","0","19","1","0","0","2","0","16","0","3","0","0","0","0"
" 5291.81",NA,NA,"105.0","0.282","0","12","0","0","0","20","3","1","0","38","0","8","0","0","3","0","1","1","0","0","3","11","1","6","0","0","9","0","8","0","0","1","3","0","0","0","0","0","0","0","0","85","0","0","0","0","2","0","0","2","2","0","0","9","11","0","1","0","471","0","1","1","167","5","10","0","0","11","1","0","0","0","0","4","0","0","0","0","0","0"
" 5519.69",NA,NA,"110.0","0.282","0","40","1","0","0","32","5","1","0","90","1","28","1","1","6","0","6","2","2","0","3","20","2","15","0","0","30","0","30","0","0","0","8","4","0","0","0","0","0","0","0","252","0","0","0","0","1","0","2","3","8","0","0","13","36","0","5","1","876","2","1","7","383","12","35","0","0","22","2","2","0","2","0","12","0","6","0","0","0","0"
" 5747.57",NA,NA,"115.0","0.282","0","24","0","0","0","27","9","0","0","61","0","20","1","0","4","0","1","5","0","0","6","10","1","13","0","0","42","0","38","0","0","5","6","2","0","0","0","0","0","0","0","107","0","0","0","0","1","0","5","3","6","0","0","14","20","0","7","0","1076","2","1","8","252","13","17","1","0","23","0","0","0","2","0","38","0","4","0","0","0","0"
" 5975.44",NA,NA,"120.0","0.282","0","15","1","0","0","23","4","0","0","93","0","16","2","0","3","0","0","1","0","0","6","15","1","7","0","0","14","0","20","0","0","1","3","1","0","0","0","0","0","0","0","110","0","0","0","0","0","0","1","0","1","1","0","11","32","0","6","2","843","2","0","1","185","8","11","0","0","16","0","0","3","1","0","12","0","0","0","0","0","1"
" 6248.89",NA,NA,"126.0","0.282","0","18","0","0","0","30","2","1","0","40","0","14","2","0","3","0","0","1","0","0","1","13","0","11","0","0","20","0","23","0","0","6","1","3","0","0","0","0","0","0","0","148","0","0","0","0","1","0","2","2","5","4","0","8","18","0","5","2","905","1","0","0","183","7","17","0","0","14","0","0","0","1","0","8","0","0","0","0","0","0"
" 6476.77",NA,NA,"131.0","0.282","0","19","0","0","0","24","1","0","0","64","0","8","4","0","3","0","1","0","0","0","3","15","0","8","0","0","20","0","19","0","0","2","2","2","0","0","0","0","0","0","0","118","0","0","0","0","3","0","3","0","1","0","0","9","22","0","2","0","877","7","0","2","200","7","8","0","0","21","0","1","0","2","0","6","0","0","0","0","0","0"
" 6704.65",NA,NA,"136.0","0.282","0","83","6","0","0","101","7","7","0","36","2","42","0","0","10","0","5","1","1","0","11","18","0","15","0","0","60","0","92","0","1","10","3","8","0","0","0","0","2","0","0","135","0","0","0","0","7","0","10","2","4","0","0","53","159","0","8","3","1904","6","0","6","570","19","5","0","0","40","0","0","1","0","0","24","0","1","0","0","0","2"
" 6886.95",NA,NA,"140.0","0.282","0","33","0","0","0","31","9","5","0","21","0","4","1","0","3","0","4","0","0","0","5","13","1","3","0","0","26","0","35","0","0","8","1","3","0","0","0","0","0","0","0","103","0","0","0","0","2","0","2","1","4","0","0","22","62","0","5","0","798","4","0","3","194","5","2","0","0","7","0","0","0","0","0","18","0","3","0","0","0","0"
" 7114.82",NA,NA,"145.0","0.282","0","29","2","0","2","35","3","2","3","23","2","22","1","0","5","0","2","1","0","5","2","14","4","1","0","0","23","0","70","1","3","2","7","1","0","0","0","1","0","0","0","51","0","0","0","0","4","0","3","1","7","1","3","32","77","2","0","0","360","0","0","3","238","11","0","1","0","28","0","0","0","1","0","10","0","0","0","0","0","0"
" 7251.55",NA,NA,"148.0","0.282","0","33","0","0","2","27","0","0","2","18","0","15","0","0","6","0","0","0","0","4","5","11","3","2","0","0","14","0","47","0","2","2","6","3","0","0","0","0","4","0","0","47","0","0","0","0","3","0","2","0","0","1","0","24","80","1","2","0","214","0","0","3","292","12","5","2","0","84","0","0","0","2","0","7","0","0","1","0","0","0"
" 7342.70",NA,NA,"150.0","0.282","0","33","0","0","1","19","2","2","1","17","1","13","1","0","4","0","0","0","0","3","0","14","6","2","0","1","7","0","41","0","2","2","5","3","0","0","1","0","0","0","0","51","0","0","0","0","2","0","2","1","4","0","2","29","94","0","0","0","235","0","0","2","264","13","0","0","0","23","1","0","0","1","0","13","0","0","0","0","1","1"
" 7479.42",NA,NA,"153.0","0.282","0","33","0","1","0","16","1","1","2","16","1","7","2","0","3","0","0","4","0","0","3","10","4","1","0","0","9","0","25","0","2","2","6","1","0","0","0","0","0","0","0","39","0","0","0","0","2","0","4","0","4","0","0","28","76","0","1","1","274","0","0","4","233","7","0","1","1","36","0","0","0","1","0","11","0","0","0","0","0","0"
" 7564.92",NA,NA,"155.0","0.282","0","14","0","0","0","12","0","0","1","4","0","4","0","0","1","0","0","2","0","1","0","14","0","4","0","0","6","0","13","0","4","3","5","0","0","0","0","0","1","0","0","18","0","0","0","0","2","0","2","0","5","0","0","48","57","0","0","0","255","0","0","1","246","6","0","0","0","24","1","0","0","0","0","6","0","0","0","0","0","0"
" 7664.71",NA,NA,"157.5","0.282","1","12","0","0","0","9","2","0","2","5","0","2","0","0","1","0","0","1","0","0","1","9","2","1","1","0","3","0","12","0","0","5","1","0","0","0","0","0","2","0","0","21","0","0","0","0","1","0","2","1","5","0","0","52","82","0","0","1","300","0","0","1","238","14","0","0","0","18","0","0","0","0","0","3","1","0","1","0","0","0"
