"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Geraniaceae undif.","Hedera","Juglans","Lamiaceae undif.","Ligustrum","Lotus t.","Lythrum","Malva undif.","Myriophyllum undif.","Myrtaceae undif.","Nuphar","Nymphaea","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sparganium","Tamarix","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Vitis"
"2358","3062","1695"," 100","   0","   0","  57","  35","   0","  11","   0","   0","   0","   3","   1","   0","   0","   0","  16","   3","   0","   0","   0","   0","   0","  10","   0","   2","  95","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   5","  19","   1","   0","   0","   0","   0","  14","   5","   2","   0","   0","   0","   0","   0","   0","  33","   0","   0","   0","   0","   0","   0","   7","   0","   0"
"2458","3138","1815"," 125","   0","   0","   0","  22","   2","   7","   0","   0","   0","   0","   0","   0","   0","   0","   4","   4","   0","   0","   0","   0","   0","  15","   0","   3"," 205","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   1","  10","   0","   1","   0","   0","   0","  13","   1","   8","   0","   0","   0","   0","   0","   0"," 127","   0","   0","   0","   0","   0","   0","   6","   0","   0"
"2657","3292","2058"," 175","   0","   0","   2"," 201","   2","   7","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   3","   0","   0","  72","   0","   3","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","  14","   0","   2","  10","   0","   0","   0","   0","   0","   0","   7","  19","   0","   0","   0","   8","   0","   0"," 148","   0","   0","   0","   0","   7","   0","   0","   0","   0"
"2836","3431","2276"," 220","   0","   0","   4"," 183","   4","  12","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","  54","   0","   1","  89","   0","   1","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","  18","   3","  21","   0","  44","  31","   1","   2","   0","   0","   0","   0","   2","  13","   0","   0","   0","   9","   0","   0"," 165","   3","   1","   1","   0","  21","   0","   2","   0","   1"
"2896","3476","2348"," 235","   0","   2","  19","  30","   0","  25","   0","   0","   0","   3","   0","   0","   1","   0","   2","   1","   0","   1","   2","   0","   0","  19","   0","   3"," 205","   0","  16","   0","   2","   2","   0","   4","   4","   0","   0","   0","   0","   0","   0","   0","  64","   9","  21","   3","  31","  22","   0","   0","   0","   1","   0","  20","   7","  48","   0","   0","   0","   0","   0","   0","  14","   0","   0","   2","   1","   0","   0","   4","   0","   0"
"2955","3522","2420"," 250","   0","   6","  30","  16","  14","  35","   1","   0","   3","   0","   0","   0","   0","   0","   2","   6","   0","   3","   3","   0","   0","   8","   0","   3"," 185","   0","   7","   5","   2","   6","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  31","   8","   4","   1","  21","   6","   1","   1","   0","   0","   0","   9","  10","  34","   1","   0","   0","   3","   0","   0","  21","   4","   0","   0","   0","   0","   0","  11","   0","   2"
"3015","3569","2494"," 265","   0","   3","   7","  11","   1","  22","   0","   0","   0","   2","   0","   0","   1","   0","  16","   6","   0","   0","   1","   0","   0","  10","   0","   0","  35","   0","   2","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","  15","   2","  17","   9","   4","   6","   0","   0","   0","   0","   0","  10","   0","  14","   0","   0","   0","   4","   0","   0","   1","   3","   0","   0","   1","   0","   0","  16","   0","   0"
"3075","3615","2566"," 280","   0","   1","   8","  14","   7","  18","   1","   0","   0","   1","   0","   0","   1","   0","   3","   8","   0","   0","   1","   0","   0","  15","   0","   0"," 104","   0","  11","   0","   1","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","  19","   3","   6","   0","  14","  16","   2","   0","   0","   2","   0","  19","   7","  39","   0","   0","   0","   0","   1","   0","   5","   0","   2","   0","   0","   1","   0","  11","   0","   3"
"3134","3661","2638"," 295","   0","   4"," 110","   3","   7","   8","   0","   0","   0","   0","   0","   0","   0","   0","   6","   1","   0","   0","   2","   0","   0","  24","   0","   0","  45","   0","  15","   0","   0","   8","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","  25","   3","  68","   0","  13","   7","   1","   0","   0","   2","   0","   2","   1","  12","   0","   0","   0","   2","   0","   0","  77","   4","   0","   0","   2","   0","   0","   0","   0","   2"
"3194","3707","2711"," 310","   0","   8","  35","  14","   6","  31","   2","   0","   1","   0","   0","   0","   0","   0","   5","   9","   0","   0","  16","   0","   0","  19","   0","   3"," 106","   0","  15","   0","   3","   2","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","  17","   3","  13","   1","  22","  20","   4","   2","   0","   0","   0","   8","   9","  25","   0","   0","   0","   1","   0","   0","   2","   4","   1","   0","   0","   0","   1","  14","   0","   4"
"3254","3753","2783"," 325","   0","   0","   8","   9","   8","   9","   0","   0","   0","   0","   1","   0","   0","   0","  12","   2","   0","   2","   2","   0","   0","  16","   0","   0"," 140","   0","  15","   0","   0","   1","   1","   3","   1","   0","   0","   0","   0","   0","   0","   0","  19","   3","   3","   1","  13","  10","   3","   3","   0","   3","   0","  10","   0","  33","   0","   0","   1","   1","   0","   0","   9","   0","   0","   0","   0","   0","   0","   4","   0","   8"
"3313","3799","2855"," 340","   0","   3","  15","   9","  10","  32","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","   3","   0","   0","   4","   0","   2","  90","   0","  35","   1","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  14","  10","   2","   0","  43","  12","   1","   0","   0","   0","   0","   6","   1","   2","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   1","   0","   0","   5","   0","   1"
"3373","3845","2927"," 355","   0","   0","   2","  12","   0","  63","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   3","   0","   4","   3","   0","  14","  77","   0","  95","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  36","   9","  14","   0","  63","  13","   5","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","  14","   0","   0","   0","   0","   0","  55","   0","   0"
"3433","3892","3000"," 370","   0","   3","   4","  24","   0","  96","   0","   0","   1","   0","   2","   0","   2","   0","  13","   0","   0","   0","   6","   0","   1","   4","   0","   9"," 136","   0","  35","   0","   2","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  28","   1","   6","   0","  63","  20","   2","   6","   0","   0","   1","   9","   0","  11","   0","   0","   0","   2","   0","   0","   0","   1","   0","   2","   4","   0","   0","  27","   0","   2"
"3552","3984","3144"," 400","   0","   4","   6","   7","   2","  93","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  14","   0","   8","   3","   0","   4","  46","   0","  63","   1","   0","   1","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","  79","  19","  17","   1","  15","  12","   0","   0","   0","   0","   0","   1","  11","   8","   2","   0","   0","   0","   0","   0","  13","   8","   0","   1","   0","   0","   0","  38","   0","   0"
"3691","4093","3313"," 435","   0","   2","   1","  13","   2","  67","   0","   0","   0","   0","   0","   1","   0","   0","   4","   0","   0","   0","   1","   0","   3","   0","   0","   6","  81","   0","  97","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  82","  10","   3","   2","  56","  10","   1","   4","   0","   0","   0","   3","   2","   8","   0","   0","   0","   1","   0","   0","   2","  21","   0","   0","   1","   0","   0","  52","   0","   0"
