"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Animalia","Anthemideae","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Callitriche","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratophyllum","Cercis","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentiana t.","Geranium","Hedera","Hypericum undif.","Ilex","Indeterminable","Juglans","Juncaceae","Lamiaceae undif.","Lemnaceae","Ligustrum","Loranthus","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Matthiola","Mercurialis","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Olea t.","Onagraceae","Ophioglossum vulgatum","Paronychieae","Pedicularis","Petaloid monocot","Phillyrea","Picea","Pinus nigra/sylvestris t.","Pinus subg. Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Populus","Portulacaceae t.","Potamogeton","Potentilla t.","Primula","Protist","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Spergularia t.","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Viburnum","Viola","Vitis"
" -56.00",NA,NA,"  0.0","1","0","0","0","0","0","11","3","0","0","4","15","2","5","0","6","2","1","0","22","1","0","6","0","0","3","3","1","1","0","0","10","0","4","2","7","2","0","52","0","1","2","0","0","0","98","7","0","0","1","1","0","0","0","1","0","7","0","0","0","0","0","0","0","629","0","1","2","0","1","0","45","9","1","3","0","0","0","2","3","5","0","1","7","0","29","214","6","0","0","0","0","0","0","0","69","11","9","3","0","0","1","1","2","2","0","0","0","0","1","0","3","1","0","2","0","0","0","0","27","0","10","0","0","0"
" 278.44",NA,NA,"  5.0","1","0","1","0","9","1","2","4","0","0","6","3","3","12","0","5","0","2","1","0","2","0","0","0","0","2","0","0","0","0","0","9","2","1","0","0","0","0","50","0","0","1","0","0","0","57","5","0","0","1","2","0","0","0","0","1","9","0","0","0","3","0","0","0","82","0","0","10","0","0","0","35","0","0","4","0","0","0","0","2","0","0","0","0","0","66","174","3","0","0","14","2","0","0","0","27","2","2","3","0","0","3","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","13","0","0","0","0","0"
" 612.89",NA,NA," 10.0","1","0","0","0","39","0","9","3","0","0","3","9","3","3","0","3","0","3","0","3","0","0","0","0","0","9","3","0","0","0","0","2","0","3","0","0","0","0","30","0","0","0","0","0","0","90","27","0","0","5","0","0","0","0","0","0","2","0","0","0","0","0","0","0","78","0","0","3","0","0","0","48","18","0","9","0","0","0","0","0","0","0","0","0","0","17","126","18","0","0","0","0","0","0","0","18","3","9","3","0","0","0","0","0","0","6","3","0","0","0","0","0","12","0","3","0","0","0","0","42","0","0","0","0","0"
" 947.33",NA,NA," 15.0","1","0","1","0","17","2","5","2","0","0","3","9","3","10","0","2","0","0","0","3","15","0","0","0","0","0","2","0","1","0","0","6","1","1","0","2","0","0","78","1","1","1","0","1","0","181","5","0","0","0","0","0","0","0","0","0","7","0","1","0","1","2","0","0","51","0","0","62","0","1","0","36","0","0","14","0","0","0","0","1","2","0","0","1","0","50","166","2","0","0","14","0","0","0","0","53","10","1","7","0","0","2","0","4","0","1","1","0","0","0","0","0","8","1","0","0","0","0","1","23","1","1","0","0","0"
"1281.78",NA,NA," 20.0","1","0","0","0","3","0","1","2","0","0","6","1","0","3","0","2","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","16","0","0","2","0","0","1","151","7","0","0","1","0","0","0","0","2","1","5","0","1","0","1","3","0","0","33","0","0","18","0","0","0","13","0","0","6","0","0","0","0","1","0","0","0","1","0","12","106","1","0","0","7","2","0","0","0","61","6","10","7","0","0","5","0","2","1","0","0","0","0","0","0","0","9","0","0","0","0","0","1","0","0","1","0","0","0"
"1616.22",NA,NA," 25.0","1","0","0","0","1","2","5","2","0","0","3","2","1","4","0","2","0","0","0","2","3","0","0","0","0","2","0","0","0","0","0","5","1","0","0","0","0","0","15","0","1","2","0","0","1","240","7","0","0","1","0","0","0","0","2","0","7","0","0","0","8","1","0","1","56","0","0","26","0","0","0","24","0","0","11","0","0","0","0","0","0","0","0","0","0","18","171","0","0","0","1","2","0","0","0","94","7","2","4","0","0","1","0","1","2","0","0","1","0","0","0","0","24","1","0","0","0","0","0","0","0","0","0","0","0"
"1980.45",NA,NA," 30.0","1","0","3","0","4","0","5","0","0","0","3","4","0","4","1","1","0","1","0","3","19","0","0","1","1","1","0","0","0","0","0","2","0","5","1","0","0","0","24","0","1","2","0","0","0","195","25","0","0","1","0","0","1","1","1","0","16","0","0","0","1","0","0","0","55","0","0","8","0","0","1","0","0","0","12","0","0","0","0","1","0","0","0","1","0","1","132","2","1","0","0","0","0","0","0","142","3","33","12","0","0","0","0","0","0","0","0","0","3","0","0","0","7","0","0","0","0","0","0","0","1","0","0","0","0"
"2364.54",NA,NA," 35.0","1","2","1","0","0","0","2","3","0","0","2","7","0","5","2","6","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","1","0","2","0","1","2","0","0","0","227","4","0","0","1","0","0","0","0","0","0","5","0","0","0","2","0","0","0","40","0","0","1","0","0","0","0","0","0","8","0","0","0","0","0","1","0","0","0","0","4","307","0","0","0","1","0","0","0","0","65","9","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","1","0","0","0","0"
"2748.64",NA,NA," 40.0","1","1","2","0","0","0","1","2","0","0","4","1","0","3","0","6","0","2","0","0","22","0","0","0","1","1","0","0","0","0","0","1","1","1","0","0","0","0","28","0","1","2","0","0","0","150","9","0","0","3","0","0","0","0","0","0","5","0","0","0","5","0","0","0","20","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","1","1","7","191","0","0","0","0","0","0","0","0","41","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3132.73",NA,NA," 45.0","1","1","3","0","0","0","1","2","0","0","1","9","0","6","0","2","0","2","0","0","10","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","8","0","1","3","0","0","0","181","42","0","0","1","0","0","0","0","0","0","0","22","0","0","0","0","0","0","30","0","0","0","0","1","0","0","0","0","6","0","0","0","0","0","1","0","0","1","1","2","104","1","0","0","0","0","0","0","0","114","3","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","3","3","0","0","0"
