"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Asphodelus t.","Asteroideae undif.","Campanulaceae","Caryophyllaceae undif.","Cedrus","Cichorieae","Cistaceae","Corylus","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Hypericum undif.","IsoÃ«tes","Lamiaceae undif.","Linum t.","Lythrum","Myriophyllum undif.","Olea t.","Pinus undif.","Pistacia","Plantago","Poaceae","Polygala","Polygonum t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Salix","Sambucus","Typha","Unknown"
"106",NA,NA,"  0","  0","  0","  0","  2","  0"," 20","  4","  2","  0","  2","  0","  0","  0","  0"," 38","  0","  0","  0","  2","  2","  0","  0","  0","  8","  4","  2","  4"," 80","  0","  0","  0","  0"," 40","  2","  0","  0","430"
"246",NA,NA,"  5","  0","  2","  0","  0","  0"," 12","  2"," 30","  0","  4","  0","  0","  6","  0"," 40","  0","  4","  2","  2","  2","  0","  2","  2","  4","  8","  1","  4"," 88","  2","  0","  6","  0"," 44"," 18","  0","  0","570"
"387",NA,NA," 10","  0","  0","  0","  2","  0"," 12","  2"," 25","  0","  3","  0","  0","  5","  0"," 23","  0","  6","  2","  1","  2","  0","  1","  2","  6","  2","  0","  2"," 66","  0","  0","  8","  0"," 27","  8","  0","  0","413"
"527",NA,NA," 15","  0","  0","  0","  2","  0"," 19","  0"," 28","  0","  0","  1","  0","  6","  0"," 37","  0","  8","  7","  0","  0","  0","  4","  0"," 11","  4","  1","  4"," 82","  0","  0","  2","  5"," 44"," 10","  2","  1","559"
"668",NA,NA," 20","  0","  0","  0","  4","  1"," 12","  0"," 28","  0","  4","  1","  0","  3","  0"," 39","  0","  4","  5","  0","  1","  0","  2","  1"," 10","  2","  1","  1"," 80","  0","  0","  4","  1"," 40"," 11","  1","  0","512"
"808",NA,NA," 25","  0","  0","  2","  1","  2"," 15","  2"," 16","  0","  1","  0","  0","  0","  0"," 42","  0","  5","  5","  2","  1","  0","  0","  0"," 12","  3","  2","  8"," 92","  0","  0","  0"," 15"," 45","  5","  1","  0","560"
"949",NA,NA," 30","  0","  0","  0","  4","  0"," 21","  1"," 21","  0","  3","  0","  0"," 10","  0"," 52","  0","  8","  1","  1","  1","  0","  2","  0","  3","  6","  0","  2"," 62","  0","  0","  9","  4"," 68","  1","  0","  0","563"
"1090",NA,NA,"  35","   0","   0","   0","   2","   4","  25","   4","   8","   0","  12","   0","   0","  14","   4","  36","   0","   4","   2","   4","   2","   0","   2","   0","  10","   4","   8","   2","  75","   0","   0","   0","   2","  50","   0","   2","   4"," 578"
"1230",NA,NA,"  40","   0","   0","   0","   3","   1","  16","   1","  12","   0","   6","   0","   0","   8","   0","  37","   0","   6","   3","   0","   1","   0","   1","   1","   4","   3","   1","   5","  90","   1","   0","   4","  15","  40","   0","   2","   3"," 534"
"1371",NA,NA,"  45","   0","   1","   4","   9","   4","  28","   3","  26","   0","   6","   0","   0","  26","   0","  35","   1","   6","   8","   0","   0","   0","   3","   0","  10","   3","   0","   7","  94","   5","   0","   4","  18","  55","   0","   0","   1"," 720"
"1511",NA,NA,"  50","   0","   5","   1","  11","   6","  41","   4","  25","   0","  17","   0","   0","  38","   0","  32","   5","   4","   6","   2","   0","   0","   2","   1","  16","   6","   0","   9"," 111","   1","   0","   0","  17","  38","   0","   0","   0"," 799"
"1652",NA,NA,"  55","   0","   1","   1","   8","   2","  27","   4","  13","   0","  12","   0","   0","  24","   0","  20","   0","   2","   0","   1","   1","   0","   4","   0","   5","   1","   0","  14","  75","   0","   0","   0","  16","  22","   0","   1","   2"," 515"
"1792",NA,NA,"  60","   0","   0","   0","   7","   4","  24","   2","  14","   0","   6","   1","   0","  31","   0","  25","   0","   6","   7","   1","   1","   0","   0","   0","   4","   5","   1","   6","  70","   0","   0","   0","   4","  33","   0","   0","   0"," 504"
"1933",NA,NA,"  65","   0","   0","   0","   8","   7","  25","   1","  19","   0","  25","   1","   0","  15","   0","  20","   0","   4","   4","   0","   1","   0","   1","   0","   1","   3","   0","   3","  68","   0","   0","   0","   1","  37","   1","   0","   0"," 493"
"2073",NA,NA,"  70","   0","   3","   0","  27","   6","  46","   2","  40","   0","  64","   0","   0","  58","   0","  15","   1","   4","   4","   0","   1","   1","   0","   0","   1","   5","   0","   5"," 130","   3","   0","   0","   5","  20","   0","   0","   1"," 884"
