"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alchemilla t.","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Chamaerops","Cicendia filiformis","Cichorieae","Cistaceae","Cistaceae undif.","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Frankenia","Fraxinus","Fumaria","Galium t.","Genisteae","Gentiana t.","Geranium","Gynandriris sisyrinchium","Halimium/Tuberaria","Hedera","Hypecoum","Ilex","Indeterminable","IsoÃ«tes","IsoÃ«tes undiff.","Lamiaceae undif.","Linum t.","Lotus t.","Lythrum","Mercurialis","Morella","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Ononis t.","Operculodinium centrocarpum","Operculodinium israelianum","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (>37 Âµm)","Polygonum t.","Polysphaeridium zoharyi","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhamnus","Riccia","Rosaceae undif.","Rumex t.","Salix","Sambucus","Samolus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Spergularia t.","Tamarix","Thymelaeaceae undif.","Trifolium t.","Triletes","Typha","Valerianella","Viburnum","Vitis"
"8174",NA,NA,"1705","   0","   0","  41","   0","   6","  27","   0","   0","  16","   3","   0","   4","   0","  58","   0","   0","  13","   0","   0","   2","   1","   0","   2","   0","   0"," 148","   3","   0","   0","   0","   0","   3"," 109","   0","   0","   0","   8","   0","   0","   0","   1","  24","   0","   0","  14","   0","   0","   0","   3","   0","   0","   0","   0","   2","   0","  60","   1","1840","   3","   1","   0","   1","   3","   3","   1","   0","   0","   0","   1","  13","   0","   0","   0","   0","   0","   4","  19","  57","   9","   5","   0","  97","   0","   0","   0","   2","  77","   0","  50","  20","  31","  23","   8","   0","   6","   0","  11","   5","   0","   3","   2","   0","   0","   0","   1","   1","   1","  40","   1","   0","   0","   2"
"8265",NA,NA,"1795","   0","   0","  33","   0","   2","  16","   0","   0","  17","   3","   0","   2","   1","  34","   0","   0","   5","   0","   0","   3","   1","   0","   0","   0","   0"," 113","   3","   0","   0","   0","   0","   1","  81","   0","   1","   0","  17","   1","   0","   0","   0","   9","   0","   0","  15","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  34","   0","2004","   2","   4","   0","   0","   1","   0","   4","   0","   0","   0","   0","  19","   0","   0","   0","   0","   0","   4","  10","  76","   5","   4","   1","  82","   1","   0","   1","   0"," 157","   0","  33","  28","   8","  43","   9","   0","   8","   0","  13","   7","   0","   0","   0","   0","   0","   0","   3","   0","   0","  40","   3","   0","   0","   0"
"8492.5",NA,NA,"1865.0","   0.0","   0.0","  52.0","   0.0","   3.0","  22.0","   0.0","   0.0","  33.0","   0.0","   1.0","   0.0","   2.0","  70.0","   0.0","   0.0","   9.0","   0.0","   0.0","   5.0","   1.0","   0.0","   0.0","   0.0","   0.0"," 165.0","   4.0","   0.0","   0.0","   0.0","   0.0","   1.0"," 122.0","   0.0","   0.0","   0.0","   5.0","   0.0","   1.0","   3.0","   1.0","  29.0","   0.0","   0.0","  12.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  42.0","   0.0","2366.0","   3.0","   2.0","   0.0","   2.0","   0.0","   1.0","   3.0","   2.0","   0.0","   0.0","   2.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   8.0","  60.5","  10.0","  14.0","   1.0","  96.0","   0.0","   0.0","   0.0","   3.0","  26.0","   0.0","  59.0","  13.0","  16.0","  16.0","   8.0","   0.0","   9.0","   0.0","  20.0","   2.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   3.0","   0.0","   0.0","  53.0","   2.0","   0.0","   0.0","   2.0"
"8801.3",NA,NA,"1960.0","   0.0","   0.0","  36.0","   0.0","   2.0","  30.0","   1.0","   0.0","  17.0","   1.0","   1.0","   2.0","   2.0","  77.0","   0.0","   0.0","   7.0","   0.0","   0.0","   5.0","   2.0","   0.0","   4.0","   0.0","   0.0"," 192.0","   8.0","   1.0","   0.0","   0.0","   0.0","   2.0","  96.0","   1.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","  37.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  44.0","   0.0","2475.0","   2.0","   0.0","   0.0","   2.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   2.0","   4.0","   1.0","   0.0","   1.0","   0.0","   0.0","   5.0","   5.0","  60.0","   6.0","   3.0","   0.0","  86.0","   0.0","   0.0","   0.0","   0.0","  32.0","   0.0","  47.0","  20.0","  25.0","  20.0","   2.0","   0.0","  16.0","   0.0","   5.0","   2.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   7.0","   1.0","   0.0","  50.0","   3.0","   0.0","   0.0","   1.0"
"8996.3",NA,NA,"2020.0","   0.0","   1.0","  62.0","   0.0","   2.0","  35.0","   2.0","   0.0","  28.0","   0.0","   0.0","   0.0","   1.0","  43.0","   0.0","   1.0","  20.0","   0.0","   0.0","   3.0","   3.0","   0.0","   1.0","   0.0","   2.0"," 132.0","   6.0","   1.0","   0.0","   0.0","   0.0","   1.0","  90.0","   0.0","   1.0","   1.0","  13.0","   0.0","   1.0","   0.0","   0.0","  36.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  42.0","   0.0","1913.0","   1.0","   3.0","   1.0","   2.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   2.0","   9.0","   0.0","   1.0","   0.0","   0.0","   1.0","   1.0","   9.0","  70.0","   9.0","   6.0","   1.0","  95.0","   1.0","   0.0","   0.0","   0.0","  19.0","   0.0","  26.0","  20.0","  14.0","  38.0","   8.0","   0.0","  12.0","   0.0","  10.0","  10.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","  33.0","   3.0","   0.0","   0.0","   0.0"
"9246.5",NA,NA,"2100.0","   1.0","   1.0","  83.0","   0.0","   3.0","  66.0","   0.0","   0.0","  32.0","   0.0","   0.0","   2.0","   4.0","  86.0","   0.0","   0.0","  10.0","   0.0","   0.0","   8.0","   1.0","   0.0","   3.0","   0.0","   0.0"," 398.0","   5.0","   1.0","   0.0","   1.0","   0.0","   1.0"," 148.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","   2.0","   0.0"," 110.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  57.0","   0.0","5417.0","   3.0","   2.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   2.0","   6.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","  11.0","  94.5","   0.0","   4.0","   0.0","  72.0","   0.0","   0.0","   0.0","   0.0","  25.0","   0.0","  28.0","  20.0","   4.0","  28.0","   3.0","   0.0","  10.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   3.0","   0.0","   1.0","  91.0","   2.0","   0.0","   0.0","   0.0"
" 9427.3",NA,NA," 2240.0","    0.0","    0.0","  132.0","    0.0","    3.0","  165.0","    0.0","    0.0","   26.0","    0.0","    0.0","    1.0","    1.0","   99.0","    0.0","    0.0","   11.0","    0.0","    0.0","    7.0","    1.0","    0.0","    1.0","    0.0","    0.0","  527.0","   14.0","    2.0","    0.0","    0.0","    0.0","    1.0","  165.0","    0.0","    4.0","    0.0","    9.0","    1.0","    0.0","    2.0","    2.0","  178.0","    0.0","    0.0","    5.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   51.0","    0.0","10042.0","    1.0","    4.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    1.0","    5.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    5.0","   97.5","    1.0","    2.0","    3.0","   48.0","    0.0","    0.0","    0.0","    0.0","   19.0","    0.0","   20.0","   26.0","    6.0","   22.0","    3.0","    0.0","   15.0","    0.0","    0.0","    2.0","    0.0","    1.0","    0.0","    0.0","    0.0","    3.0","    3.0","    0.0","    0.0","  117.0","    4.0","    0.0","    0.0","    0.0"
"9680.6",NA,NA,"2436.0","   0.0","   0.0"," 146.0","   1.0","   3.0","  50.0","   1.0","   0.0","  38.0","   4.0","   0.0","   0.0","   4.0","  93.0","   0.0","   0.0","  16.0","   1.0","   0.0","  14.0","   1.0","   0.0","   1.0","   0.0","   0.0"," 499.0","   5.0","   0.0","   0.0","   0.0","   1.0","   2.0"," 172.0","   0.0","   2.0","   0.0","   6.0","   1.0","   0.0","   2.0","   2.0"," 132.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  86.0","   0.0","8127.0","   2.0","   4.0","   0.0","   0.0","   0.0","   0.0","   3.0","   2.0","   0.0","   0.0","   0.0","   3.0","   1.0","   0.0","   0.0","   0.0","   1.0","   4.0","   4.0","  99.5","   5.0","   2.0","   1.0","  51.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","  23.0","  19.0","  11.0","  28.0","   7.0","   0.0","  22.0","   0.0","   6.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0"," 152.0","   5.0","   0.0","   0.0","   0.0"
"10215.4",NA,NA," 2850.0","    0.0","    0.0","   21.0","    0.0","    1.0","    0.0","    0.0","    0.0","    5.0","    0.0","    0.0","    2.0","    0.0","   19.0","    0.0","    0.0","    1.0","    0.0","    0.0","    2.0","    0.0","    0.0","    2.0","    0.0","    0.0","  373.0","    5.0","    1.0","    0.0","    0.0","    0.0","    0.0","   41.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","    2.0","    0.0","   66.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   54.0","    0.0"," 2895.0","    0.0","    1.0","    0.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    2.0","    8.5","    0.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0","    1.0","   27.0","    0.0","    1.0","    4.0","    1.0","    5.0","    0.0","    0.0","    4.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","   68.0","    0.0","    0.0","    0.0","    0.0"
"10472.5",NA,NA," 3049.0","    0.0","    0.0","   28.0","    0.0","    0.0","   21.0","    0.0","    0.0","   11.0","    2.0","    0.0","    0.0","    1.0","   19.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0","    1.0","    0.0","    4.0","    0.0","    0.0","  280.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","   53.0","    0.0","    1.0","    0.0","    1.0","    3.0","    0.0","    4.0","    2.0","   90.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   38.0","    0.0"," 1606.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","   24.5","    0.0","    1.0","    0.0","    9.0","    0.0","    0.0","    0.0","    0.0","   65.0","    0.0","    4.0","    4.0","    0.0","    6.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    6.0","    0.0","    0.0","    0.0","   47.0","    0.0","    0.0","    0.0","    0.0"
