"Depth (cm)","Acacia t.","Algae","Amaranthaceae undif.","Annonaceae","Artemisia","Asteroideae undif.","Boreria spermacore (Rubeacea)","Boscia","Canthium","Clematis-type","Cosmanium","Cuviera","Cyperaceae","Euphorbia t.","Faboideae Undif.","Fraxinus","Fungi","Galium t.","Indeterminable","Indigofera","Lycopodium counted","Mitracarpus","Olea t.","Phoenix t.","Piliostigma","Pinus undif.","Poaceae","Pollen flux (/cm2/yr)","Protist","Rhizophora","Rubiaceae undif.","Sideroxylon t.","Spores","Stereospermum","Tamarindus","Typha","Uapaca","Vernonieae","Ziziphus/Paliurus","pill lycopodium added","pollen concentration volumétrique (/ml)","volume (ml)"
"   21.000","    4.000","    0.000","    4.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","    0.000","   13.000","    2.000","    0.000","    0.000","    1.000","    0.000","    2.000","    0.000","  149.000","    0.000","    0.000","    0.000","    0.000","    0.000","   48.000"," 2368.264","   56.000","    0.000","    1.000","    0.000","   17.000","    0.000","    0.000","    0.000","    0.000","    0.000","    2.000","10672.000"," 5447.007","    1.000"
"   41.0000","    3.0000","    3.0000","    6.0000","    0.0000","    1.0000","    3.0000","    1.0000","    0.0000","    0.0000","    0.0000","    2.0000","    0.0000","   16.0000","    5.0000","    0.0000","    0.0000","    7.0000","    0.0000","    4.0000","    0.0000","  984.0000","    1.0000","    2.0000","    0.0000","    0.0000","    1.0000","  138.0000","  896.5226","   92.0000","    4.0000","    1.0000","    0.0000","    1.0000","    0.0000","    0.0000","    6.0000","    0.0000","    0.0000","    2.0000","10672.0000"," 2062.0020","    1.0000"
"   51.000","   15.000","    0.000","   23.000","    0.000","    0.000","    1.000","    1.000","    0.000","    1.000","    0.000","    0.000","    0.000","   13.000","   12.000","    0.000","    0.000","   11.000","    0.000","   16.000","    0.000","  652.000","    5.000","    1.000","    0.000","    0.000","    0.000","  184.000"," 1972.581","   35.000","    3.000","    4.000","    0.000","   24.000","    0.000","    0.000","    3.000","    0.000","    0.000","    3.000","10672.000"," 4536.937","    1.000"
"   81.0000","    8.0000","   16.0000","    2.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","   12.0000","    1.0000","    0.0000","    0.0000","   10.0000","    0.0000","   18.0000","    1.0000","  481.0000","    0.0000","    0.0000","    0.0000","    0.0000","   10.0000","   80.0000","  394.7454","  109.0000","    1.0000","    4.0000","    0.0000","   12.0000","    0.0000","    0.0000","    3.0000","    0.0000","    0.0000","    0.0000","10672.0000"," 2819.6112","    1.0000"
"   91.0000","    2.0000","    7.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    2.0000","    0.0000","    9.0000","    0.0000","    0.0000","    0.0000","    1.0000","    0.0000","    7.0000","    0.0000","  367.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","   44.0000","  244.4239","   49.0000","    0.0000","    1.0000","    0.0000","    4.0000","    0.0000","    0.0000","    3.0000","    0.0000","    0.0000","    0.0000","10672.0000"," 1745.8856","    1.0000"
"  101.0000","    5.0000","    0.0000","    3.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    0.0000","    9.0000","    0.0000","    0.0000","    0.0000","    3.0000","    0.0000","    0.0000","    0.0000","  329.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","   33.0000","  254.4782","   27.0000","    2.0000","    0.0000","    0.0000","    8.0000","    0.0000","    0.0000","    3.0000","    0.0000","    0.0000","    0.0000","10672.0000"," 1817.7021","    1.0000"
"  121.0000","    2.0000","    3.0000","    3.0000","    0.0000","    0.0000","    3.0000","    3.0000","    0.0000","    2.0000","    0.0000","    1.0000","    0.0000","   10.0000","    8.0000","    0.0000","    0.0000","    0.0000","    0.0000","   14.0000","    0.0000","  860.0000","    3.0000","    0.0000","    0.0000","    0.0000","    0.0000","   54.0000","  173.8441","   27.0000","    3.0000","    2.0000","    0.0000","    5.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","    0.0000","10672.0000"," 1241.7442","    1.0000"
"  131.0000","    1.0000","    2.0000","    4.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    2.0000","    2.0000","    0.0000","    0.0000","   14.0000","    4.0000","    0.0000","    0.0000","    5.0000","    0.0000","    7.0000","    0.0000","  589.0000","    2.0000","    0.0000","    0.0000","    0.0000","    0.0000","   91.0000","  340.1328","   54.0000","    3.0000","    0.0000","    0.0000","    8.0000","    0.0000","    0.0000","   10.0000","    0.0000","    0.0000","    0.0000","10672.0000"," 2429.5178","    1.0000"
"  141.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    9.0000","    1.0000","    0.0000","    0.0000","   18.0000","    0.0000","   10.0000","    0.0000","  278.0000","    0.0000","    1.0000","    0.0000","    0.0000","    0.0000","   56.0000","  767.4646","   35.0000","    0.0000","    0.0000","    0.0000","    9.0000","    1.0000","    0.0000","    2.0000","    0.0000","    0.0000","    0.0000","10672.0000"," 2996.2662","    1.0000"
"  151.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    4.000","    1.000","    0.000","    0.000","    0.000","    0.000","    4.000","    0.000","  408.000","    1.000","    0.000","    0.000","    0.000","    0.000","   39.000","  362.028","   16.000","    0.000","    2.000","    0.000","    8.000","    0.000","    0.000","    4.000","    0.000","    0.000","    0.000","10672.000"," 1413.397","    1.000"
