"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Algae","Alnus","Amaranthaceae undif.","Anthemideae","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Chamaerops","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fagus","Fern","Ficus","Fraxinus","Galium t.","Hedera","Heliotropium","Lamiaceae undif.","Lycopodium tablets","Mercurialis","Olea t.","Onagraceae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rumex t.","Sanguisorba t.","Saxifragaceae","Sparganium","Spike","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Vitis"
"  -58",NA,NA,"  0","1","0","1","225","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","14","0","0","0","6","15","1","10","0","0","0","0","26","0","0","4","0","0","2","161","1","0","0","0","0","1","0","0","0","3"
"  226",NA,NA,"  8","1","0","0","175","5","6","0","11","0","0","0","0","0","1","1","0","0","0","0","4","5","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","3","36","0","0","0","5","8","6","15","3","0","0","2","11","4","0","29","0","0","7","503","1","0","0","0","0","0","0","0","0","2"
"  387",NA,NA," 16","1","0","2","18","4","13","0","42","0","0","0","0","0","16","0","0","0","0","0","14","10","4","2","0","0","0","12","0","2","0","0","0","0","0","2","0","0","0","6","90","0","0","0","12","44","14","84","12","0","0","10","28","12","0","28","0","0","18","712","8","0","2","0","0","0","0","16","6","0"
"  711",NA,NA," 32","1","0","2","20","4","16","0","40","4","4","0","0","0","2","2","0","0","0","2","6","4","2","0","0","8","0","16","0","0","0","0","0","4","0","2","0","14","0","2","22","0","6","2","8","16","6","96","8","0","0","2","32","2","0","24","0","0","50","1400","4","16","4","0","0","0","0","45","0","0"
" 1359",NA,NA," 64","1","0","1","5","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","12","0","7","0","0","0","0","0","0","0","1","0","0","0","1","26","0","0","0","3","71","3","13","4","0","0","1","21","7","0","0","0","0","6","301","4","0","0","0","0","0","0","40","0","0"
" 1682",NA,NA," 80","1","0","0","5","0","5","0","4","0","2","0","0","0","0","0","0","0","0","0","2","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","3","9","0","0","0","1","199","6","13","2","0","0","0","14","0","0","0","0","0","2","339","1","1","0","0","0","0","0","0","0","0"
" 2006",NA,NA," 96","1","0","0","2","0","0","0","10","0","2","0","0","0","0","0","0","0","0","0","2","4","2","0","0","4","0","10","0","0","0","0","0","2","0","0","0","0","0","2","10","0","0","0","0","180","4","20","2","0","0","2","10","10","0","6","0","0","4","320","0","0","0","0","0","1","0","0","0","2"
" 2178",NA,NA,"112","1","0","0","9","1","1","0","15","0","1","0","0","0","0","0","0","2","0","0","2","3","1","1","0","3","0","6","0","0","0","0","0","2","0","0","0","0","0","0","62","0","0","1","3","138","6","16","0","0","0","14","69","10","0","1","0","0","2","264","1","0","0","0","0","1","0","2","0","0"
" 2299",NA,NA,"128","1","0","1","7","0","1","0","4","0","1","0","1","0","0","0","0","0","2","0","5","2","0","1","0","6","1","4","0","1","1","0","0","3","0","0","0","0","0","0","24","0","0","0","2","124","3","80","0","0","0","3","6","2","0","2","0","0","3","370","1","0","0","0","0","0","0","0","0","0"
" 2542",NA,NA,"160","1","0","0","2","3","3","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","0","0","0","6","0","5","0","0","2","0","0","4","0","0","0","0","0","0","44","0","0","0","0","66","3","24","0","0","0","6","96","11","0","0","0","0","0","408","1","1","0","0","0","0","0","1","0","0"
" 2663",NA,NA,"176","1","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","35","0","0","0","0","140","5","15","0","0","0","3","56","30","0","0","0","0","0","400","5","0","0","0","0","0","0","16","0","0"
" 2784",NA,NA,"192","1","0","0","3","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","5","2","0","3","0","2","0","8","0","0","5","0","0","4","0","0","0","0","0","1","156","0","0","1","3","107","1","19","3","0","0","7","54","18","0","1","0","0","1","133","3","0","0","0","0","0","0","0","0","0"
" 3003",NA,NA,"224","1","0","0","8","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","2","0","1","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","1","103","0","1","2","4","126","2","11","0","0","0","16","108","2","0","0","0","0","0","404","1","1","0","0","0","1","0","0","0","0"
" 3108",NA,NA,"240","1","0","2","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","74","0","1","14","2","58","2","2","1","0","0","7","102","16","0","0","0","0","13","213","4","0","0","0","0","0","0","2","0","0"
" 3213",NA,NA,"256","1","0","0","5","0","2","0","4","0","0","0","1","0","0","0","0","0","0","0","4","1","1","1","0","3","1","11","0","1","0","0","0","2","0","0","0","0","0","0","28","0","0","0","6","118","5","15","0","0","0","9","73","19","0","2","0","0","13","851","2","0","0","0","0","0","0","16","0","1"
" 3424",NA,NA,"288","1","0","0","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","6","0","4","0","1","0","0","0","2","0","0","0","0","0","0","28","0","0","0","0","138","2","35","0","0","0","6","22","8","0","6","0","0","19","556","0","0","0","0","0","0","0","4","0","0"
