"age_NA","ageolder_BP","ageyounger_BP","depth","Acanthus","Alnus","Amaranthaceae undif.","Apiaceae undif.","Asphodelus t.","Asteroideae undif.","Campanulaceae","Caryophyllaceae undif.","Cichorieae","Cistaceae","Corylus","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Hypericum undif.","Lamiaceae undif.","Linum t.","Lythrum","Myrtus","Olea t.","Petaloid monocot","Pinus pinaster","Plantago","Poaceae","Polygala","Quercus evergreen","Quercus subgen. Cerris","Typha","Unknown"
NA,NA,NA,"110","  0","  0","  0","  0","  0"," 28","  0","  0","  8","138","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6"," 16","  0","  6","  0"," 22","476"
NA,NA,NA,"115","  0","  0","  2","  0","  0"," 14","  0","  0"," 12","150","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  8"," 24","  0","  2","  0"," 26","514"
NA,NA,NA,"180","  0","  0","  0","  2","  2"," 25","  0","  0"," 36","  4","  0","  0","  0","  2","  0","  4","  0","  0","  0","  0","  0","  0","  0"," 46","  8"," 42","  0","  8","  0","  0","463"
NA,NA,NA," 80","  0","  0","  0","  6","  0"," 38","  0","  0"," 26"," 78","  0","  0","  0"," 20","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  6"," 38","  0","  4","  0"," 17","512"
NA,NA,NA," 60","  0","  0","  0"," 28","  0"," 20","  0","  0"," 13"," 29","  0","  3","  0"," 15","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0"," 30","  0"," 37","  4"," 30","568"
NA,NA,NA," 75","  0","  0","  0","  0","  0"," 43","  0","  0"," 23"," 55","  0","  0","  4"," 15","  3","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0"," 29","  0","  8","  0"," 36","465"
NA,NA,NA," 65","  0","  3","  0","  5","  0"," 40","  0","  0"," 23"," 38","  0","  0","  3"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0"," 40","  0"," 20","  0"," 58","539"
NA,NA,NA,"140","  3","  3","  3"," 56","  0"," 60","  0","  0"," 46"," 18","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 49","  0","  6","  0"," 12","551"
NA,NA,NA," 85","  0","  0","  0","  4","  0"," 36","  0","  2"," 22","100","  0","  2","  0"," 16","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  2"," 44","  0"," 10","  0","  2","536"
NA,NA,NA,"145","  0","  2","  0"," 30","  4"," 84","  0","  0"," 66"," 10","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  2"," 74","  0"," 10","  0"," 10","676"
NA,NA,NA,"160","  0","  2","  0"," 27"," 10"," 72","  0","  2"," 54","  9","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0"," 40","  0","  3","  0","  8","507"
NA,NA,NA,"130","  3","  0","  3"," 33","  9"," 69","  0","  0"," 30"," 27","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0"," 42","  0","  3","  0"," 11","514"
NA,NA,NA,"100","  0","  0","  0","  2","  0","112","  0","  0"," 20","114","  0","  0","  0"," 20","  0","  2","  0","  0","  0","  0","  2","  0","  0","  2"," 12"," 18","  0","  8","  0"," 14","682"
NA,NA,NA," 90","  0","  2","  0","  4","  0"," 40","  0","  0"," 24","102","  0","  0","  0"," 20","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  2"," 26","  0","  6","  2"," 16","522"
NA,NA,NA," 95","  0","  0","  0","  4","  0","110","  0","  0"," 22","100","  0","  0","  0"," 18","  4","  2","  0","  0","  0","  0","  2","  0","  0","  2","  4"," 20","  0","  8","  0","  6","628"
NA,NA,NA,"170","  0","  0","  2"," 90"," 12"," 36","  4","  0"," 36","  4","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  0"," 41","  0","  5","  0","  8","522"
NA,NA,NA,"135","  0","  2","  0"," 28","  6"," 93","  0","  0"," 37"," 12","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  2","  0","  5","  0"," 31","  0","  8","  3"," 12","543"
NA,NA,NA,"150","  0","  0","  0"," 75","  4"," 38","  0","  3"," 29","  5","  2","  0","  0"," 12","  0","  0","  0","  2","  0","  0","  0","  0","  0","  8","  2"," 35","  0","  6","  0","  5","452"
NA,NA,NA,"105","  0","  0","  2","  2","  0"," 20","  0","  0"," 14","135","  2","  0","  2"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  3"," 31","  0","  5","  2"," 25","550"
NA,NA,NA,"120","  0","  1","  0"," 23","  9"," 65","  0","  0"," 50"," 50","  3","  0","  0","  5","  0","  0","  0","  2","  0","  0","  0","  1","  1","  3","  3"," 52","  0","  6","  0","  0","593"
NA,NA,NA," 55","  0","  0","  0"," 12","  0"," 12","  0","  0","  9"," 15","  3","  4","  0"," 12"," 18","  0","  0","  0","  0","  3","  0","  0","  0","  0","  3"," 39","  0"," 30","  3"," 63","497"
NA,NA,NA," 15","  0","  0","  0"," 15","  0"," 20","  0","  2"," 11","  2","  3","  0","  0"," 12"," 12","  0","  3","  0","  0","  0"," 11","  3","  5","  0","  0"," 67","  0"," 23","  4"," 52","583"
NA,NA,NA," 70","  0","  0","  0"," 11","  0"," 37","  0","  0"," 25"," 44","  0","  2","  2","  8","  0","  2","  0","  0","  0","  0","  2","  0","  3","  8","  0"," 40","  0"," 10","  3"," 51","538"
NA,NA,NA," 40","  0","  0","  0"," 18","  0"," 12","  0","  1","  3","  4","  0","  9","  0","  5"," 20","  0","  8","  0","  0","  6","  9","  0","  6","  3","  0"," 43","  0"," 39","  3"," 39","525"
NA,NA,NA,"125","  0","  2","  0"," 26"," 10"," 70","  0","  0"," 54"," 54","  4","  0","  0","  8","  0","  0","  0","  4","  0","  0","  0","  2","  2","  4","  6"," 56","  0","  9","  2"," 10","706"
NA,NA,NA,"  0","  0","  0","  0"," 12","  4"," 20","  0","  0","  8","  7","  0","  0","  0"," 14","  0","  8","  2","  0","  2","  0"," 10"," 14","  6","  0","  0"," 22","  0"," 74","  8"," 34","526"
NA,NA,NA," 10","  0","  0","  0"," 21","  7"," 16","  0","  3"," 10","  6","  0","  0","  0","  7","  3","  4","  3","  0","  0","  0"," 22"," 10","  0","  0","  6"," 48","  0"," 45","  3"," 36","527"
NA,NA,NA," 25","  0","  0","  0"," 10","  0"," 10","  0","  6","  4","  2","  6","  6","  0"," 16","  4","  0","  4","  0","  0","  4","  6","  2","  2","  0","  0"," 40","  0"," 50","  2"," 46","500"
NA,NA,NA," 20","  0","  0","  0"," 32","  4"," 24","  2","  4","  8","  8","  0","  0","  0","  8","  0","  2"," 12","  0","  0","  4","  4","  0","  6","  0","  0"," 70","  4"," 40","  6"," 50","642"
NA,NA,NA," 30","  0","  0","  0","  9","  4"," 11","  0","  5","  5"," 12","  0","  3","  0"," 13","  5","  0"," 12","  0","  0","  0","  8","  3","  2","  0","  3"," 51","  3"," 68","  3"," 46","562"
NA,NA,NA,"  5","  0","  0","  2"," 10","  6"," 12","  0","  2","  4"," 12","  0","  0","  0"," 10","  2","  4","  0","  0","  0","  2"," 10","  6","  0","  2","  0"," 40","  0"," 86","  8"," 22","498"
NA,NA,NA," 45","  0","  0","  2"," 40","  0"," 14","  0","  0","  8","  6","  0"," 10","  0"," 10"," 16","  6"," 26","  0","  0"," 10","  4","  0","  2","  2","  0"," 54","  2"," 60","  6"," 66","748"
NA,NA,NA," 50","  2","  2","  2"," 22","  0"," 13","  0","  0"," 10"," 11","  0","  8","  0","  5","  7","  2","  7","  0","  0","  2","  2","  0","  2","  2","  2"," 56","  0"," 48","  4"," 58","570"
NA,NA,NA," 35","  0","  0","  0"," 21","  4"," 17","  0","  1"," 10","  5","  0","  1","  0"," 15","  1","  1"," 13","  1","  0","  1","  6","  2","  5","  1","  2"," 32","  0"," 46","  1"," 47","499"
