"Depth (cm)","Acacia t.","Acalypha","Acanthaceae undif.","Afzelia","Aizoaceae t.","Alchornea","Alnus","Amaranthaceae undif.","Anthoceros t.","Antidesma t.","Apiaceae undif.","Apocynaceae undif.","Arecaceae undif.","Artemisia","Asteroideae undif.","Balanites","Betula","Bignoniaceae undif.","Blepharis","Boraginaceae undif.","Borreria t.","Boscia","Bosqueia","Boswellia","Brassicaceae","Bryonia","Cadaba","Calligonum","Capparaceae undif.","Carpinus","Cassia","Cedrus","Celastraceae undif.","Celtis","Chrysobalanus t.","Cichorieae","Cistaceae","Cleome","Cocculus","Coffea-type","Cola","Combretaceae","Commiphora","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dichrostachys","Diospyros/Euclea t.","Dobera-type","Dodonaea","Ephedra","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Fagonia","Fagus","Fern","Filipendula t.","Fraxinus","Geraniaceae undif.","Grewioideae","Hedera","Heliotropium","Hippocrateaceae","Hymenocardia","Hyphaene t.","Hypoestes t.","Icacinaceae","Ilex","Indeterminable","Indigofera","Isoberlinia","Jasminum","Jatropha/Croton","Juglans","Justicia t.","Lamiaceae undif.","Lannea","Maerua","Mallotus","Malva undif.","Manilkara","Mark added","Mark founded","Martretia","Monoletes","Morella","Myriophyllum undif.","Myrtaceae undif.","Neurada","Nitraria","Nyctaginaceae","Ochnaceae","Olax","Olea t.","Ostrya","Petaloid monocot","Phillyrea","Phoenix t.","Phyllanthus undif.","Picea","Pinus undif.","Plantago","Platanus","Plumbaginaceae","Poaceae","Podocarpus","Pterocarya","Quercus undif.","Ranunculaceae undif.","Rhizophora","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Sapium","Sapotaceae/Meliaceae","Searsia","Securinega  t.","Solanum","Sterculia","Symplocaceae","Tamarix","Thymelaeaceae undif.","Tilia","Tribulus","Triletes","Tsuga","Typha","Uapaca","Ulmus t.","Urtica t.","Vernonieae","Volume [ml]","Ziziphus/Paliurus"
"    1.4","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    8.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    5.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    8.0","    0.0","    0.0","   10.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","21700.0"," 4889.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    6.0","    0.0","    0.0","    0.0","   18.0","    0.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","   18.0","    0.0"
"   16.4","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    5.0","   13.0","    0.0","    0.0","    0.0","    0.0","    0.0","   12.0","    3.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    5.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","   27.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","21700.0","10459.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   15.0","    0.0","    0.0","    0.0","   38.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   16.0","    0.0"
"   31.4","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   32.0","    0.0","    0.0","    0.0","    0.0","    0.0","   10.0","   11.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","   17.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","21700.0"," 2103.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","   15.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","   16.0","    0.0"
"   46.4","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   45.0","    0.0","    0.0","    0.0","    0.0","    0.0","   31.0","    4.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   55.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","21700.0"," 3410.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   17.0","    0.0","    0.0","    0.0","   67.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","   16.0","    0.0"
"   61.4","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    6.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   11.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","21700.0"," 6716.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    7.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   13.0","    0.0"
"   95.5","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    5.0","    0.0","    0.0","    0.0","    0.0","    0.0","    6.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","21700.0"," 2109.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    8.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   16.0","    0.0"
"  109.9","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","   61.0","    0.0","    0.0","    0.0","    0.0","    0.0","   64.0","   10.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    6.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    8.0","    1.0","    0.0","    0.0","    0.0","   82.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    8.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","21700.0"," 4375.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   36.0","    0.0","    0.0","    0.0","   56.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   17.0","    0.0"
"  124.9","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","   32.0","    0.0","    0.0","    0.0","    0.0","    0.0","    9.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","    0.0","    0.0","    0.0","   52.0","    0.0","    1.0","    0.0","    0.0","    9.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","21700.0"," 6497.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    6.0","    0.0","    0.0","    0.0","   56.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","   12.0","    0.0"
"  140.4","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   83.0","    0.0","    0.0","    0.0","    0.0","    0.0","   45.0","    8.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   13.0","    2.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    2.0","    0.0","    0.0","   38.0","    0.0","    0.0","    0.0","    0.0","   82.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","21700.0"," 1194.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","   13.0","    0.0","    0.0","    0.0","   64.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   16.0","    0.0"
"  158.4","    0.0","    0.0","    1.0","    0.0","    0.0","    1.0","    0.0","  296.0","    0.0","    0.0","    1.0","    0.0","    0.0","  107.0","   41.0","    1.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","   18.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   21.0","    1.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    1.0","    0.0","    0.0","   90.0","    0.0","    0.0","    0.0","    1.0","  264.0","    0.0","    0.0","    1.0","    1.0","    0.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   20.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","21700.0"," 5469.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   24.0","    0.0","    0.0","    1.0","  199.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    2.0","    0.0","    1.0","    0.0","    0.0","   16.0","    0.0"
