"age_Calendar_years_AD/BC","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betulaceae undif.","Brassicaceae","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Cichorieae","Citrus","Corylus","Cupressaceae","Erica t.","Fabaceae Undif.","Fagus","Fraxinus","Galium t.","Hedera","Indeterminable","Juglans","Lamiaceae undif.","Myrtaceae undif.","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodiophyta (trilete)","Polypodiophyta undiff. (monolete, without perine)","Primula","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Tilia","Trifolium t.","Ulmus t.","Urtica t.","Vitis"
"903",NA,NA,"240","  4","  3","  2","  6","  0","  0","  1","  0","  0","  0","  1","  0","  0","  5","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 14","  0","  0","  0","  0","  0","  2","  0","  0","  9","  0","  0","  5"," 52","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  4","  0"
"935.0",NA,NA,"229.1","  3.0","  0.0","  2.0"," 28.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  4.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 18.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0"," 15.0","  2.0","  0.0","  4.0"," 55.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"
"1005.0",NA,NA," 208.8","   4.5","   2.0","   7.0","   5.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  14.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   9.0","   3.0","   0.0","  10.0","  49.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"1055.0",NA,NA," 195.3","  60.5","  21.0","  16.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   7.0","   1.0","   0.0","   0.0","  38.0","   0.0","   0.0","   0.0","   0.0","   0.0","  18.0","   0.0","   0.0","   9.0","   2.0","   0.0","  14.0","  71.0","   0.0","   8.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0"
"1110.0",NA,NA," 181.8"," 100.5","   8.0","   3.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   7.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","  16.0","   0.0","   0.0","   0.0","   0.0","   0.0","  14.0","   0.0","   0.0","   4.0","   1.0","   0.0","   5.0","  17.0","   0.0","  23.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0"
"1165.0",NA,NA," 169.6"," 104.0","   6.0","   4.0","   2.0","   1.0","   0.0","   0.0","   2.0","   0.0","   3.0","   3.0","   1.0","   0.0","   3.0","   0.0","   0.0","   5.0","   0.0","   0.0","   4.0","   4.0","   0.0","   0.0","  14.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   2.0","   3.0","   0.0","   4.0","  12.0","   0.0","  41.0","   0.0","   4.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"1190.0",NA,NA," 162.8"," 125.0","  12.0","   7.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   2.0","   4.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","  16.0","   0.0","   0.0","   0.0","   0.0","   0.0","  13.0","   0.0","   0.0","   4.0","   1.0","   0.0","   5.0","  30.0","   0.0","  23.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0"
"1248.0",NA,NA," 149.3"," 143.5","  16.0","   4.0","   1.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   3.0","   1.0","   0.0","   9.0","   7.0","   0.0","   0.0","  28.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   4.0","   5.0","   0.0","   0.0","  23.0","   0.0","  45.0","   5.0","   8.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   1.0","   0.0"
"1305.0",NA,NA," 135.8"," 102.0","  17.0","   7.0","   2.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   4.0","   1.0","   0.0","  17.0","   4.0","   0.0","   0.0","  31.0","   0.0","   0.0","   0.0","   0.0","   0.0","  10.0","   0.0","   1.0","   5.0","   4.0","   0.0","   2.0","  20.0","   0.0","  42.0","   1.0","  17.0","   1.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0"
"1360.0",NA,NA," 122.3","  99.5","   6.0","   5.0","   0.0","   0.0","   0.0","   0.0","   4.0","   2.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","  62.0","   3.0","   0.0","   0.0","  20.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   1.0","   5.0","   3.0","   0.0","   1.0","   3.0","   0.0","  19.0","   2.0","   4.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
