"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Caryophyllaceae undif.","Centaurea","Chamaerops","Cichorieae","Cistaceae","Coriaria","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fern","Fraxinus","Hedera","Hypecoum","Lamiaceae undif.","Myriophyllum undif.","Olea t.","Persicaria t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Quercus deciduous","Quercus evergreen","Rhamnus","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Tamarix","Thymelaeaceae undif.","Tilia","Typha","Vitis"
"287",NA,NA," 30","  0","756","  0"," 18"," 18","  0","  6","  0","  0","  0","  0","  0","  0"," 18","  4","  0","  0","  0"," 24","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","192","  0","  0","  0"," 48","  0","  0","  0","  4","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"383",NA,NA," 40","  0","186","  0"," 40"," 12","  0","  0","  0","  0","  0","  0","  0","  0"," 30","  0","  0","  1","  2","114","  0","  0","  1","  6","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","228","  0","  6","  0"," 42","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 18","  0"
"477",NA,NA," 50","  0"," 48","  0"," 40"," 12","  0","  0","  0","  0","  0","  0","  0","  0"," 20","  0","  0","  0","  4"," 44","  0","  0","  3","  8","  0","  0","  3","  0","  0","  0","  0","  0","  4","  0","  0","292","  0","  4","  0"," 36","  8","  0","  0","  8","  0","  0","  0","  0","  0","  0","  8","  0","  0"," 40","  0"
"572",NA,NA," 60","  0"," 96","  0"," 52","  4","  0","  0","  0","  0","  0","  0","  0","  0"," 24","  4","  0","  0","  4"," 48","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0","216","  0","  8","  0"," 56","  0","  0","  0"," 16","  0","  2","  1","  0","  0","  0","  0","  0","  0"," 20","  0"
"665",NA,NA," 70","  0","180","  0","240"," 45","  0","  0","  0","  0","  0","  0","  0","  0"," 95"," 25","  0","  0"," 10","125","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","375","  0"," 15","  0","135","  5","  0","  5"," 50","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  0"
"758",NA,NA," 80","  1","810","  0","140"," 20","  0","  1","  0","  0","  0","  0","  0","  0"," 60"," 10","  0","  5","  5","400","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","220","  0","  5","  0","220","  0","  0","  0"," 80","  0","  0","  0","  0","  0","  0","  5","  0","  0"," 60","  0"
"852",NA,NA," 90","  0","365","  0","105"," 30","  0","  0","  0","  0","  0","  0","  0","  0"," 45","  5","  0","  2","  0"," 55","  1","  0","  3"," 15","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","205","  0"," 10","  0"," 85","  5","  0","  2"," 25","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0"
" 945",NA,NA," 100","   0","1026","   0"," 102","  15","   3","   1","   0","   0","   0","   0","   0","   0","  66","  12","   0","   6","   1","  57","   0","   0","   3","   6","   0","   0","   0","   0","   0","   0","   4","   0","   3","   0","   0"," 171","   0","   9","   0","  99","   6","   0","   0","  54","   0","   0","   2","   0","   0","   0","   6","   0","   0","  18","   0"
"992",NA,NA,"105","  0","942","  0"," 39","  3","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  4","  0","  0","  0"," 36","  0","  0","  2","  3","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","102","  0","  6","  0"," 42","  3","  0","  0"," 24","  0","  0","  0","  0","  0","  0","  2","  0","  0","  3","  0"
"1039",NA,NA," 110","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1132",NA,NA," 120","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
