"Depth (cm)","Acacia t.","Acanthus","Acer","Alchornea","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Caesalpinioideae","Calligonum","Caryophyllaceae undif.","Celastraceae undif.","Centaurea","Chionanthus","Cichorieae","Cistaceae","Combretaceae","Corylus","Cupressaceae","Cyperaceae","Echiochilon","Echium t.","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Faboideae Undif.","Fagus","Fern","Galium t.","Gymnocarpos","Heliotropium","Juglans","Lamiaceae undif.","Lannea","Maerua","Malva undif.","Moltkia","Morella","Olea t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rumex t.","Salix","Sanguisorba t.","Searsia","Spergularia t.","Syzygium t.","Thymelaeaceae undif.","Tilia","Tribulus","Typha","Ulmus t."
"297.5","  0.0","  0.0","  0.0","  0.0","  0.0","227.0","  0.0"," 68.0","  0.0"," 10.0","  0.0","  2.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  1.0","  4.0"," 22.0","  0.0","  0.0"," 62.0","  2.0","  0.0","  1.0","  1.0","  0.0","  0.0","  2.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 72.0","  0.0","  0.0","  0.0"," 13.0","  0.0","  8.0","  2.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"337.5","  0.0","  0.0","  1.0","  0.0","  1.0","218.0","  2.0"," 68.0","  0.0","  8.0","  0.0","  3.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0","  3.0","  1.0","  0.0","  5.0","  2.0"," 31.0","  0.0","  0.0"," 53.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","101.0","  0.0","  0.0","  0.0"," 16.0","  0.0","  4.0","  2.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"
"377.5","  0.0","  0.0","  0.0","  0.0","  0.0","214.0","  4.0"," 75.0","  0.0","  7.0","  0.0","  4.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  5.0"," 36.0","  0.0","  1.0"," 66.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 80.0","  0.0","  0.0","  0.0"," 30.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"
"417.5","  0.0","  0.0","  0.0","  0.0","  0.0","165.0","  2.0"," 70.0","  0.0"," 11.0","  1.0","  4.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  2.0","  3.0"," 25.0","  0.0","  0.0"," 52.0","  1.0","  0.0","  0.0","  1.0","  2.0","  2.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","124.0","  0.0","  0.0","  0.0"," 22.0","  0.0","  3.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"
"457.5","  0.0","  0.0","  0.0","  0.0","  0.0","234.0","  3.0"," 43.0","  0.0","  5.0","  0.0","  5.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  3.0","  1.0","  0.0","  1.0","  3.0"," 78.0","  0.0","  0.0"," 43.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 65.0","  0.0","  0.0","  0.0"," 24.0","  0.0"," 12.0","  3.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0"
"497.5","  0.0","  0.0","  0.0","  0.0","  0.0","231.0","  5.0"," 84.0","  0.0","  1.0","  0.0","  5.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  1.0","  3.0","  0.0","  1.0","  2.0"," 47.0","  0.0","  0.0"," 27.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","119.0","  0.0","  0.0","  0.0"," 36.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  4.0","  0.0"
"517.5","  0.0","  0.0","  0.0","  0.0","  1.0","143.0","  1.0"," 83.0","  0.0"," 11.0","  0.0","  8.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  9.0"," 10.0","  0.0","  0.0"," 75.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","140.0","  0.0","  2.0","  0.0"," 10.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"
"537.5","  0.0","  0.0","  0.0","  0.0","  0.0","140.0","  1.0"," 97.0","  0.0","  2.0","  0.0","  3.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  1.0","  4.0","  0.0","  0.0"," 81.0","  5.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","150.0","  0.0","  1.0","  1.0"," 19.0","  1.0","  2.0","  1.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"557.5","  0.0","  0.0","  0.0","  0.0","  0.0","159.0","  0.0"," 93.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  8.0","  0.0","  0.0","  0.0","  3.0","  1.0","  1.0","  2.0","  2.0","  7.0","  0.0","  0.0"," 70.0","  8.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","152.0","  0.0","  7.0","  1.0"," 11.0","  0.0","  1.0","  5.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"577.5","  0.0","  0.0","  1.0","  1.0","  0.0","124.0","  1.0"," 46.0","  0.0"," 11.0","  0.0","  3.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0","  8.0"," 29.0","  0.0","  0.0"," 69.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","224.0","  0.0","  0.0","  0.0"," 13.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"
