"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Geranium","Haplophyllum","HippophaÃ«","Hippuris","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Loranthus","Lythrum","Malva","Menyanthes","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Ononis t.","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Prosopis t.","Pterocarya","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Scrophulariaceae undif.","Sparganium","Taxus","Thalictrum","Theligonum","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valerianella","Viburnum","Vitis"
"7682","7809","7568"," 290","   0","   5","   0","   0","   0","   1","  26","   0","  21","   3","   0","  12","   0","  14","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  15","   4","   0","   0","   1","  25"," 147","   0","   0","   1","   0","   2","   0","   0","   0","   3","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","  62","   1","   0"," 436","   2","   0","   0","   0","   0","   0","   4","  73","   3","   1","   0","   0","   0","   0","   0","   0","   0"," 292","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0"
"8579","8733","8440"," 305","   0","   0","   0","   0","   0","   2","   4","   0","  15","   1","   0","  22","   0","  40","   3","   0","   1","   0","   0","   1","   0","   3","   0","   0","   0","   0","   4","  60","   3","   0","   0","   2","   5","  17","   0","   0","   8","   0","  17","   0","   0","   0","   2","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","  60","   6","   0"," 186","   3","   3","   0","   1","   0","   0","   1","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 148","   0","   7","   0","   0","   0","   0","   2","   3","   0","   0","   0"
"9177","9350","9021"," 315","   0","   0","   0","   0","   0","   0","   6","   0","  12","   0","   0","  31","   0","  52","   3","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","  49","   4","   0","   0","   1","   8","  49","   0","   0","  19","   1","  21","   0","   0","   0","   2","  28","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  37","   0","   0"," 247","   2","   1","   0","   0","   0","   0","   0","  33","   2","   1","   0","   0","   1","   0","   0","   0","   0"," 187","   0","   5","   0","   2","   0","   0","   2","   6","   0","   0","   0"
"10373","10584","10184","  335","    0","    0","    0","    0","    0","    3","    3","    0","    6","    0","    0","   67","    0","   14","    2","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","   21","    1","    0","    0","    1","    3","    5","    0","    0","    4","    0","   14","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    7","    0","    0","   20","    0","    0","    0","    0","    0","    0","    2","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","   32","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"11569","11818","11346","  355","    0","    1","    0","    0","    0","    1","   39","    0","   11","    2","    0","  138","    0","    5","    4","    1","    0","    0","    0","    0","    0","    5","    0","    0","    1","    0","    1","   19","    1","    0","    0","    0","    1","   15","    0","    0","    7","    0","    5","    2","    0","    0","    1","    6","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    8","    0","    0","   20","    8","    4","    0","    0","    0","    0","    7","    9","    3","    0","    0","    0","    0","    0","    0","    0","    0","   43","    0","    2","    0","    0","    0","    0","    0","    2","    0","    0","    0"
"12167","12435","11928","  365","    0","    0","    0","    0","    0","    0","  119","    0","    9","    2","    0","  330","    0","    4","   10","    0","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    4","    6","    1","    0","    0","    0","    2","   17","    0","    0","    3","    0","    3","    0","    0","    0","    2","    9","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   18","    0","    0","    0","    0","    0","    0","    7","    0","    0","   26","    5","    6","    0","    0","    0","    0","    1","   16","    5","    0","    0","    0","    0","    0","    0","    0","    0","   84","    0","    0","    0","    0","    0","    0","    1","    4","    0","    0","    0"
"12766","13052","12509","  375","    0","    0","    0","    0","    0","    1","   92","    0","   11","    1","    0","  186","    0","   12","   10","    0","    0","    0","    0","    0","    1","    3","    0","    0","    4","    0","    9","   10","   14","    0","    0","    0","    0","   25","    0","    0","    3","    0","    6","    0","    0","    0","    1","   11","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","   20","    1","    0","   33","   10","    8","    0","    0","    0","    0","    2","   16","   15","    0","    0","    0","    0","    0","    0","    0","    0","  123","    0","    0","    0","    0","    0","    0","    1","    5","    0","    0","    0"
"13364","13669","13090","  385","    1","    0","    0","    0","    1","    0","   39","    0","   12","    1","    0","  134","    0","   20","    5","    0","    0","    1","    1","    0","    0","    2","    0","    0","    2","    0","    4","    9","   15","    0","    0","    0","    0","  226","    0","    0","    3","    0","   35","    0","    0","    0","    1","   19","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","   34","    2","    1","  101","    7","    5","    0","    0","    0","    1","    3","   14","   26","    0","    0","    1","    0","    0","    1","    0","    0","  173","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0"
"14560","14902","14251","  405","    0","    0","    0","    2","    0","    3","   19","    0","   21","    1","    0","   47","    0","   37","    1","    0","    0","    0","    0","    1","    0","    4","    0","    0","    2","    0","    9","   16","   66","    0","    0","    1","    6","   54","    0","    2","    0","    0","    2","    0","    0","    0","    3","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   26","    8","    0","    0","    0","    0","    0","   70","    0","    0","  139","    1","    1","    0","    0","    0","    0","    5","   47","   12","    0","    0","    0","    0","    0","    0","    0","    0","   75","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1"
"15158","15519","14832","  415","    0","    0","    0","    0","    0","    4","   16","    0","    3","    0","    0","   21","    0","   17","    4","    1","    0","    0","    0","    0","    1","    1","    0","    0","    1","    0","    1","    5","    7","    0","    0","    1","    1","    5","    0","    0","    1","    3","    2","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","    2","    0","    0","    0","    0","    0","    0","    8","    4","    0","   54","   21","    0","    0","    0","    0","    0","    5","    0","    0","    1","    0","    3","    0","    0","    0","    0","    0","    9","    0","    0","    0","    1","    0","    1","    0","   80","    0","    0","    0"
"16175","16569","15820","  432","    0","    0","    0","    0","    1","    1","   18","    0","   17","    0","    0","   32","    0","   27","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    1","    0","    1","   23","   14","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    5","    1","    1","    0","    0","    0","    0","    1","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0"
"16653","17062","16285","  440","    0","    0","    0","    0","    0","    1","   70","    0","   33","    2","    0","   42","    0","   58","    1","    0","    1","    0","    0","    0","    0","    3","    0","    0","    6","    0","    1","   31","   34","    0","    0","    0","    0","   13","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    1","    0","    4","    0","    0","    0","    0","    0","    0","    2","   39","    1","    0","    0","    1","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"17251","17680","16866","  450","    0","    0","    0","    0","    0","    0","   41","    0","   43","    5","    0","   53","    0","   49","    1","    0","    1","    0","    0","    0","    0","    9","    0","    0","    7","    0","    0","   31","   26","    0","    0","    0","    0","   12","    1","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    3","    0","    0","    4","    0","    0","    0","    0","    0","    0","    2","   89","    2","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0"
"17849","18297","17447","  460","    0","    0","    0","    0","    0","    1","   63","    0","   41","    2","    0","   51","    0","   70","    2","    0","    1","    0","    0","    0","    1","    7","    0","    0","    8","    0","    0","   47","   19","    0","    0","    1","    0","    6","    0","    0","    0","    0","    2","    0","    0","    0","    5","    0","    0","    0","    0","    1","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    5","    0","    0","    0","    0","    0","    0","    1","   82","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0"
"18746","19222","18318","  475","    0","    1","    0","    0","    0","    2","  150","    0","    8","   11","    0","  278","    0","   95","    2","    0","    0","    0","    0","    0","    0","    9","    0","    0","    9","    0","    0","   59","   37","    0","    1","    1","    0","    4","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","    5","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    7","    3","    0","   14","    4","    0","    0","    0","    1","    0","    2","  139","    1","    1","    3","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0"
"19344","19839","18899","  485","    0","    0","    0","    0","    0","    2","   60","    0","   33","    1","    0","   52","    0","   52","    0","    0","    4","    0","    0","    0","    0","    2","    0","    0","   10","    0","    1","   17","   64","    0","    0","    0","    1","   12","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    5","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    9","    2","    1","   10","    0","    0","    0","    0","    0","    0","    0","  149","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0"
"19942","20456","19480","  495","    0","    2","    0","    0","    0","    2","   85","    0","   26","   10","    0","   54","    0","   80","    2","    1","    2","    0","    0","    1","    0","    9","    0","    0","   10","    0","    1","   31","   45","    3","    0","    1","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    8","    6","    0","   10","    1","    0","    0","    0","    0","    0","    0","  184","    2","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"20541","21073","20061","  505","    0","    4","    1","    0","    0","    0","   95","    0","   52","    7","    0","   70","    0","   28","    1","    1","    1","    0","    0","    0","    0","    7","    0","    0","   11","    0","    6","   29","   30","    1","    0","    1","    0","    6","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    3","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","   18","    3","    0","   29","    1","    3","    0","    1","    0","    0","    0","  130","    5","    0","    0","    1","    0","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0"
"21139","21690","20642","  515","    1","    1","    0","    2","    0","    0","  108","    0","   53","    8","    0","  174","    0","   29","   10","    1","    0","    0","    0","    0","    0","    7","    0","    0","    8","    0","   11","   30","   23","    1","    0","    1","    6","   50","    0","    0","    3","    0","    0","    0","    0","    0","    3","    0","    0","    0","   11","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    4","    0","    1","    0","    0","    3","    0","   50","   10","    0","   71","    4","    6","    0","    1","    0","    0","    1","  145","    7","    0","    0","    0","    0","    0","    0","    0","    0","   21","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"21737","22307","21223","  525","    0","    2","    0","    1","    0","    0","  133","    0","   88","    7","    0","  330","    0","   41","    8","    6","    1","    0","    0","    0","    0","    8","    0","    0","   15","    0","   30","    9","   49","    1","    0","    0","    1","   66","    0","    1","    5","    0","    1","    0","    0","    0","    1","    0","    0","    0","   22","    1","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    2","    0","   96","   25","    0","  224","    5","    4","    0","    0","    0","    0","    2","  159","   16","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"22335","22925","21804","  535","    0","    0","    0","    0","    0","    0","  124","    0","   66","    2","    0","  310","    0","   18","    3","    3","    3","    1","    0","    0","    0","    9","    0","    0","   10","    0","   18","    9","   28","    0","    0","    0","    3","   51","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","   91","   15","    0","  189","    3","    1","    0","    0","    0","    0","    2","  121","    8","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0"
