"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Geranium","Haplophyllum","HippophaÃ«","Hippuris","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Loranthus","Lythrum","Malva","Menyanthes","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Ononis t.","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Prosopis t.","Pterocarya","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Scrophulariaceae undif.","Sparganium","Taxus","Thalictrum","Theligonum","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valerianella","Viburnum","Vitis"
"1490","1758","1217"," 105","   0","   0","   0","   0","   0","   1","   2","   0","   1","   4","   0","   3","   2","  14","   1","   0","   0","   0","   0","   0","   2","   7","   0","   0","   0","   0","  15","  16","  23","   0","   0","   1","   0","  45","   0","   2","   1","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   1","   0","   0","   0","   0"," 371","   7","   0","  16","   2","   3","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1632","1876","1381"," 115","   0","   0","   0","   0","   0","   1","   5","   0","   2","   3","   0","   4","   1","  20","   0","   0","   4","   0","   0","   0","   1","   9","   0","   0","   1","   0","  25","  17","  18","   0","   0","   0","   0","  28","   0","   3","   1","   0","   0","   0","   0","   0","   5","   1","   0","   0","   3","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"," 379","   9","   0","  28","   7","   8","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   2","   0","   0","  16","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0"
"1774","1995","1544"," 125","   0","   0","   0","   1","   0","   2","   3","   0","   4","   3","   0","  14","   1","  19","   1","   0","   7","   0","   0","   0","   0","  21","   0","   0","   1","   0","  33","  21","  37","   0","   0","   3","   0","  62","   0","   2","   0","   1","   2","   0","   0","   0","   5","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1"," 373","  17","   0","  28","  18","   7","   0","   0","   0","   0","   2","  11","   1","   0","   0","   0","   0","   0","   1","   0","   1","   7","   0","   0","   0","   0","   0","   1","   1","   2","   0","   0","   0"
"1917","2116","1707"," 135","   0","   0","   0","   0","   0","  17","  15","   0","   2","   3","   0","   7","   0","  15","  10","   2","   1","   0","   0","   0","   1","  14","   0","   1","   5","   0","  11","  40","  97","   0","   1","   6","   0","  28","   0","   1","   0","   0","   0","   0","   0","   0","  11","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   2","   0","   2","   3","   0","   0","   1","   0"," 172","   2","   0","  17","  11","  14","   0","   0","   0","   0","   2","  13","   0","   0","   0","   0","   0","   0","   1","   0","   0","   8","   0","   0","   0","   0","   1","   2","   4","   1","   1","   0","   0"
"2059","2238","1868"," 145","   0","   0","   0","   1","   0","  10","  21","   0","  25","  12","   0","  40","   0","  35","  18","   0","  29","   0","   0","   0","   2","  28","   1","   0","  17","   0","  20","  57","  74","   1","   2","   4","   1"," 130","   1","  15","   2","   0","  11","   6","   0","   0","  13","   0","   0","   1","  10","   1","   0","   0","   0","   0","   0","  14","   3","   0","   0","   0","   0","   0","   0","   7","  21","  17","   9","   0","   0","   0","   0"," 208","  81","   0"," 130","  71","  36","   0","   0","   0","   0","   3","  21","  14","   0","   0","   0","   0","   0","   9","   0","   1","  22","   0","   0","   1","   0","   0","   9","   2","   0","   1","   0","   1"
"2201","2364","2028"," 155","   0","   0","   0","   2","   0","   4","  12","   0","   9","   6","   0","  54","   0","  13","   6","   0","   6","   0","   0","   0","   4","   9","   0","   0","   5","   0","  10","  16","   9","   0","   2","   1","   3","  90","   0","   2","   1","   0","   1","   2","   0","   0","   8","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   1","   0","   3","  54","  34","   9","   1","   0","   1","   0","  50","  24","   0","  53","  17","  11","   0","   0","   0","   0","   9","  23","  23","   0","   0","   1","   0","   0","   3","   0","   0","   5","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   3"
"2343","2494","2188"," 165","   0","   0","   1","   1","   0","   4","  21","   0","   8","   6","   0","  41","   0","   6","   1","   2","  14","   0","   0","   0","   3","   7","   0","   0","   5","   0","  11","  21","  11","   1","   0","   3","   1"," 207","   0","   0","   3","   0","   1","   1","   0","   0","   5","   0","   0","   3","   5","   0","   0","   0","   0","   0","   0","   8","   4","   0","   0","   0","   0","   0","   0","   0"," 238","  96","  12","   0","   0","   3","   0","  63","  24","   0"," 104","  10","   7","   1","   0","   0","   0","  11","  22","  40","   0","   0","   4","   0","   0","   4","   0","   3","   8","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   2"
"2414","2560","2268"," 170","   0","   0","   0","   0","   0","   3","  14","   1","  11","   2","   0","  28","   1","   1","   1","   0","  18","   0","   0","   0","   8","   3","   1","   0","   7","   0","   4","  14","  18","   3","   1","   2","   0"," 441","   0","   1","   1","   0","   2","   0","   0","   0","  10","   1","   0","   2","   5","   0","   0","   0","   0","   0","   0","  16","   1","   0","   0","   0","   0","   0","   0","   2"," 238"," 218","  20","   0","   0","   0","   0"," 122","  13","   0"," 199","  27","   9","  28","   0","   0","   0","  19","  23"," 104","   0","   0","   2","   0","   1","   7","   0","   0","   5","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   1"
"2485","2629","2348"," 175","   0","   0","   0","   0","   0","   0","   7","   1","   7","   8","   0","  34","   0","   0","   0","   0","  14","   0","   0","   0","   1","   2","   0","   0","   1","   0","   5","  24","   7","   1","   1","   1","   2"," 455","   0","   0","   0","   1","   2","   0","   0","   0","   8","   0","   0","   7","   3","   0","   0","   0","   0","   0","   0","  10","   4","   0","   0","   0","   0","   0","   0","   0","  33"," 130","   8","   0","   0","   2","   0","  61","  10","   0"," 465","   9","   4","   0","   0","   0","   0","  20","  25"," 183","   0","   0","   0","   0","   0","   5","   0","   0","   6","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0"
"2557","2696","2425"," 180","   0","   0","   0","   0","   0","   1","  14","   1","   4","   4","   0","  40","   0","   5","   0","   0","  13","   0","   0","   0","   2","   2","   0","   0","   1","   0","   8","  13","   9","   2","   0","   2","   6"," 824","   1","   0","   1","   0","   2","   1","   0","   0","   5","   0","   0","  13","   5","   1","   0","   0","   0","   0","   3","  19","   0","   0","   0","   0","   0","   0","   0","   0"," 112"," 224","  23","   0","   0","   0","   0"," 103","  14","   0"," 275","  10","   1","   6","   0","   0","   0","  28","  34"," 120","   0","   0","   1","   0","   0","   2","   0","   0","  30","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1"
