"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteraceae (echinate)","Betula","Brassicaceae","Cannabis","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fraxinus","Lamiaceae undif.","Myrtaceae undif.","Olea t.","Pinus undif.","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Rhamnus","Salix","Thymelaeaceae undif.","Valerianella","Vitis"
"307",NA,NA,"109","  0"," 11"," 33","  0","  0"," 63","  0"," 11","  0","  4","  0","  0"," 35"," 26"," 45"," 15","  0"," 15"," 48","  0","  0","  0"," 26","  3","  0"," 31"," 51"," 48","  0","  0","  0","  0","  7"
"328",NA,NA,"119","  0","  9"," 34","  0","  0"," 72","  0","  0","  0"," 15","  0","  0","  9"," 15"," 40"," 20","  0","  8"," 60","  0","  0","  0","  9","  0","  0"," 11"," 30"," 24","  5","  0","  0","  0","  5"
"348",NA,NA,"129","  0"," 27"," 27"," 15","  0"," 60","  0","  4","  0","  0","  0","  0","  0"," 19"," 14"," 23","  0","  3"," 49","  0","  0","  0","  6","  1","  0"," 27"," 24"," 19"," 27","  0","  0","  0","  0"
"368",NA,NA,"139","  0"," 15"," 24"," 16","  0"," 46","  0","  1","  0","  7","  0","  0","  3"," 40"," 14"," 10","  0","  0"," 35","  0","  0","  0"," 13","  0","  0"," 10"," 31"," 24"," 37","  0","  0","  0","  0"
"389",NA,NA,"149","  0","  9"," 24"," 50","  0"," 26","  0","  2","  0"," 17","  0","  0","  2"," 25"," 29"," 11","  0","  3"," 35","  0","  1","  0","  8","  0","  0"," 27"," 52"," 23"," 41","  0","  0","  0","  0"
"410",NA,NA,"159","  0"," 27"," 42"," 28","  0"," 52","  0","  0","  0","  7","  0","  0","  0"," 10"," 40"," 15","  0","  0","  8","  0","  0","  0","  9","  0","  0","  3"," 42"," 29","  7","  0","  2","  0","  0"
"432",NA,NA,"169","  0"," 10"," 23"," 39","  0"," 52","  0","  0","  0","  0","  0","  0","  2"," 23"," 46","  9","  0","  2"," 30","  0","  0","  0","  6","  0","  0","  7"," 51"," 29","  4","  0","  3","  0","  0"
"456",NA,NA,"179","  0","  6"," 44"," 54","  0"," 49","  0","  1","  0","  3","  0","  0","  3"," 19"," 36"," 24","  0","  0"," 18","  0","  0","  0","  3","  0","  0","  0"," 25"," 27","  7","  0","  2","  0","  0"
"481",NA,NA,"189","  0","  3"," 11"," 48","  0"," 53","  4","  2","  0","  2","  0","  0"," 12"," 12"," 57"," 23","  0","  0","  8","  0","  0","  0","  0","  0","  0"," 11"," 30"," 24","  2","  0","  1","  0","  0"
"508",NA,NA,"199","  0","  5"," 11"," 55","  0"," 28","  3","  3","  0","  1","  0","  0"," 12"," 15"," 17","  4","  0","  0","  2","  0","  0","  0","  0","  0","  0"," 11"," 28"," 20","  1","  0","  0","  0","  0"
"538",NA,NA,"209","  0","  1"," 26"," 35","  3"," 35"," 17","  0","  0","  3","  0","  0"," 22"," 37"," 53","  1","  0","  2"," 10","  0"," 22","  0","  0","  0","  5"," 32"," 25"," 36","  0","  0","  0","  0","  0"
"570",NA,NA,"219","  0","  1"," 30"," 18","  2"," 40","  4","  0","  0","  0","  0","  0","  5"," 11"," 22","  7","  0","  0"," 14","  0"," 11","  0","  0","  0","  0","  3"," 23","  9","  0","  0","  0","  0","  0"
"606",NA,NA,"229","  0","  6"," 14","  6","  0"," 19","  0","  1","  0","  4","  0","  0"," 16"," 19"," 20"," 14","  0","  6","  5","  0","  7","  0","  0","  0","  4"," 20"," 19"," 11","  0","  0","  0","  0","  0"
