"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acacia t.","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Brassicaceae","Capparis","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Ephedra","Erodium","Fabaceae Undif.","Indeterminable","Lamiaceae undif.","Myriophyllum undif.","Olea t.","Paronychieae","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Quercus undif.","Rhamnus","Rosaceae undif.","Rumex t.","Searsia","Typha"
"190",NA,NA,"  6","  0"," 26","  1"," 93","  1","  2","  7","  1","  1","  1"," 11","  1","  3","  1","  7","  1","  1"," 11","  1","  1","  1","  6","  1"," 15","  0","  7"," 59","  7","  1","  1","  1","  1","  1"
"1178",NA,NA,"  36","   6","  31","   0","  34","   2","   3","  86","   2","   2","   2","  97","   0","   6","   0","   7","   0","   2","  17","   0","   0","  71","   1","   3","  70","   1","   3"," 125","  21","   0","   1","   1","   0","   2"
"1837",NA,NA,"  56","   1","  41","   1","  33","   3","  33","  71","   0","   3","   1","  39","   0","   8","   0","   6","   0","   1","  13","   1","   1","  23","   3","   1","  85","   0","   0"," 113","  45","   0","   3","   2","   0","   0"
"2496",NA,NA,"  76","   0","  16","   2","  21","   0","   3","  26","   0","   0","   0","  23","   0","   9","   3","  15","   0","   0","   9","   0","   0","   5","   0","   3","  76","   0","   2","  96","  45","   1","   1","   2","   0","   2"
"3155",NA,NA,"  96","   0","  20","   2","  12","   0","   4","  51","   0","   2","   0","  21","   1","  12","   0","  10","   0","   0","  12","   0","   0","   0","   0","   4","  59","   0","   5","  81","  36","   0","   1","   2","   0","   0"
"3649",NA,NA," 111","   0","  11","   1","  13","   0","   6","  28","   0","   0","   1","  22","   2","   5","   4","   3","   0","   0","   8","   0","   0","   0","   4","   0","  56","   0","   3","  54","  18","   0","   3","   2","   0","   0"
"4143",NA,NA," 126","   0","   4","   2","   6","   0","   2","   3","   0","   0","   0","   8","   1","  19","   0","   9","   0","   0","  14","   0","   0","   0","   0","   2","  96","   0","   0","  47","  45","   0","   1","   1","   0","   0"
"4638",NA,NA," 141","   0","  11","   1","  12","   0","   8","   9","   2","   2","   0","  16","   0","  16","   5","  12","   2","   0","  13","   0","   0","   0","   2","   3"," 155","   0","   0","  56","  55","   1","   2","   2","   0","   0"
"4880",NA,NA," 148","   0","   4","   2","   5","   0","   2","   6","   1","   0","   0","   9","   0","  17","   7","   7","   0","   0","   6","   0","   0","   0","   0","   1","  86","   0","   0","  29","  42","   0","   2","   3","   0","   0"
"5225",NA,NA," 158","   0","   5","   1","   6","   0","   3","   9","   0","   0","   0","   4","   0","  13","  14","  11","   0","   1","   9","   0","   0","   0","   0","   2"," 131","   0","   0","  31","  41","   0","   0","   2","   0","   1"
"5570",NA,NA," 168","   0","   1","   0","   5","   0","   2","   4","   0","   0","   0","   3","   0","   7","  10","   7","   0","   1","  14","   0","   0","   0","   1","   1","  91","   0","   0","  27","  39","   0","   0","   3","   0","   0"
"5899",NA,NA," 178","   0","   1","   0","   4","   0","   2","   3","   0","   0","   0","   2","   0","   9","   6","   4","   0","   0","   8","   0","   0","   0","   0","   0","  68","   0","   2","  23","  29","   0","   0","   2","   0","   0"
