"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acacia t.","Acer","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Eucalyptus spike","Eucalyptus tablets","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Galium t.","Hedera","Ilex","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Polypodiophyta (trilete)","Potamogeton","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Scrophulariaceae undif.","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Viscum","Vitis"
"101540",NA,NA,"80.0","0.5","33","0","4","42","3","0","1","6","0","0","2","14","0","2","1","0","7","0","0","0","0","0","0","0","3","1","0","2","128","0","0","0","34","1","1","0","2","1","0","1","0","8","0","0","36","1","0","186","0","0","0","0","0","0","0","0","0","13","4","0","0"
"101541",NA,NA,"80.2","0.5","18","0","2","44","2","2","2","2","0","0","3","13","1","0","0","0","11","0","0","0","1","0","0","1","2","2","1","0","216","0","1","0","16","1","0","0","1","0","0","0","1","6","0","1","35","0","0","171","0","0","0","0","1","0","0","1","0","9","2","0","0"
"101542",NA,NA,"80.4","0.5","72","0","2","32","1","0","1","5","0","0","5","17","0","3","0","1","11","0","0","0","1","0","0","2","1","2","1","1","143","0","0","0","34","0","0","0","1","2","0","1","0","5","0","2","32","3","0","287","1","0","0","1","0","0","0","6","0","11","0","0","0"
"101543",NA,NA,"80.8","0.5","67","0","5","48","1","0","6","6","0","0","5","10","0","0","1","0","10","0","0","0","0","0","0","3","1","1","0","1","151","0","0","0","31","1","0","1","0","1","0","1","0","7","0","2","33","3","0","292","1","0","0","0","0","0","1","3","0","19","0","0","0"
"101544",NA,NA,"81.3","0.5","50","0","4","66","3","0","1","3","0","1","5","14","0","1","0","0","20","0","0","0","0","0","0","1","0","1","0","1","180","0","0","0","36","2","0","0","0","0","1","0","0","13","0","1","42","2","0","301","0","0","1","0","1","0","0","4","1","3","0","1","1"
"101545",NA,NA,"81.8","0.5","78","0","8","40","5","0","5","14","0","0","1","30","0","0","2","1","27","0","0","1","0","0","1","4","0","1","0","2","103","0","0","0","62","1","0","3","1","3","0","0","0","12","0","0","31","1","1","420","0","0","0","0","1","0","0","2","2","31","2","1","0"
"101546",NA,NA,"82.1","0.5","39","0","2","51","4","0","8","9","0","0","3","19","0","2","0","1","24","1","0","0","0","0","0","1","0","0","1","1","247","0","0","0","58","1","0","0","4","1","0","0","0","7","0","1","35","2","0","295","0","0","3","0","1","0","2","4","0","11","0","0","1"
"101550",NA,NA,"82.3","0.5","30","0","5","50","3","1","7","3","0","2","2","14","0","2","0","1","22","1","0","1","3","0","0","3","1","1","0","2","155","0","0","0","30","0","0","0","1","2","1","0","0","10","0","2","52","4","0","354","0","0","0","1","2","1","2","3","0","12","0","0","0"
"101554",NA,NA,"82.5","0.5","10","0","0","35","2","0","1","6","0","0","6","18","0","0","1","0","20","0","0","0","0","0","0","2","0","0","0","2","364","0","0","0","15","1","0","0","1","3","0","0","0","14","0","2","31","0","0","293","0","0","0","0","0","0","0","3","2","9","0","0","2"
"101560",NA,NA,"82.7","0.5","26","0","4","31","1","2","4","10","0","1","3","24","1","1","1","0","8","1","0","0","1","0","0","0","1","1","0","0","225","0","0","0","19","0","0","1","1","0","0","0","0","4","1","4","35","2","0","256","0","0","0","1","2","0","0","5","2","8","0","0","0"
"101566",NA,NA,"83.0","0.5","15","0","4","35","0","2","4","7","0","1","3","17","0","0","0","0","21","0","0","0","0","1","0","0","2","0","0","1","515","0","0","0","19","1","0","0","2","0","0","1","0","4","0","1","28","1","0","202","0","0","1","0","2","1","0","2","1","9","2","0","0"
"101567",NA,NA,"83.2","0.5","19","1","3","23","2","0","1","5","0","0","2","16","0","0","1","0","15","0","0","0","1","0","0","2","0","1","0","0","543","0","0","1","20","2","0","0","1","1","0","0","0","5","1","1","27","0","0","214","0","0","1","0","1","0","0","3","0","5","0","0","0"
"101568",NA,NA,"83.4","0.5","11","0","5","38","2","1","0","1","0","1","5","16","0","1","1","0","14","0","0","1","1","0","0","4","1","1","0","1","350","0","0","0","18","0","0","0","0","0","0","0","0","7","0","1","14","2","0","187","0","0","1","0","2","1","0","2","2","7","2","0","0"
"101569",NA,NA,"83.7","0.5","39","0","2","49","0","0","0","8","0","1","6","20","0","0","1","0","24","0","0","0","1","1","0","5","0","0","0","0","198","0","0","0","43","0","0","1","0","2","2","0","0","10","0","1","32","4","0","297","0","0","0","2","1","1","0","3","1","14","0","0","0"
"101570",NA,NA,"83.9","0.5","12","0","3","29","2","0","2","3","0","1","6","9","0","1","0","0","10","1","0","0","1","0","0","0","0","1","0","0","238","0","0","0","31","0","0","0","1","0","0","0","0","8","0","1","32","0","0","236","0","0","0","0","2","0","0","0","2","6","0","0","0"
"101571",NA,NA,"84.1","0.5","11","0","1","40","1","0","3","3","0","0","2","16","0","0","0","0","26","0","0","0","1","0","0","3","0","0","0","1","394","0","0","0","25","0","0","0","1","3","1","2","0","2","0","0","28","1","0","237","0","0","0","0","1","0","0","3","1","15","0","0","0"
"101572",NA,NA,"84.4","2.0","30","0","0","40","0","1","1","5","0","1","6","16","0","0","0","0","24","0","0","0","1","0","0","0","0","1","0","0","330","0","0","0","19","1","0","2","0","1","0","0","0","6","0","0","28","1","0","265","0","0","0","0","2","0","0","3","1","17","0","0","0"
"101573",NA,NA,"92.0","1.0","60","0","3","46","3","0","2","2","0","1","0","11","0","0","0","0","13","1","0","0","1","0","0","0","1","1","0","2","52","0","0","0","30","1","0","0","0","0","0","0","0","4","0","1","26","2","0","285","0","0","0","0","1","0","0","0","2","11","0","0","0"
"101574",NA,NA,"92.4","1.0","16","0","4","34","1","1","1","5","0","2","4","11","0","0","2","0","21","0","0","0","0","0","0","0","0","2","0","1","45","0","0","0","33","0","0","2","1","0","0","0","0","10","0","3","23","4","0","268","0","0","0","0","0","0","1","5","3","8","2","1","0"
"101576",NA,NA,"92.8","1.0","72","0","4","47","2","0","5","1","0","0","1","16","0","0","0","0","18","0","1","0","2","0","0","2","0","2","0","0","69","0","1","0","52","0","0","1","0","1","1","0","1","11","0","2","39","0","0","279","1","0","0","0","1","1","0","0","0","10","0","0","0"
"101577",NA,NA,"93.0","0.5","25","0","8","33","2","1","2","7","1","2","3","15","0","1","1","0","17","0","0","1","2","1","0","2","0","2","0","1","151","0","0","0","36","0","0","0","1","2","0","0","1","7","0","2","31","1","2","284","1","0","0","0","0","1","1","2","0","12","0","0","0"
"101578",NA,NA,"93.2","0.5","29","0","0","35","0","0","2","7","0","1","2","14","0","1","0","0","10","0","0","0","0","0","0","1","2","2","0","2","157","0","0","0","29","1","0","2","0","1","0","0","1","8","0","0","24","0","0","245","0","1","0","1","1","0","0","1","0","9","2","0","0"
"101579",NA,NA,"93.4","0.5","21","0","0","25","0","0","3","5","0","2","3","12","0","1","0","0","10","0","0","0","4","1","0","1","1","0","0","2","203","0","0","0","38","1","0","3","0","0","0","0","0","8","0","1","37","1","0","257","0","0","0","1","0","0","0","1","1","8","0","0","0"
"101580",NA,NA,"93.6","0.5","39","0","6","28","2","0","3","3","0","0","1","13","0","1","1","0","30","0","0","0","2","0","0","0","1","0","0","0","169","0","0","2","25","0","0","0","0","1","0","0","0","9","0","4","25","0","0","297","0","0","0","0","0","0","0","4","1","7","0","0","0"
