"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Arum","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Carya","Caryophyllaceae undif.","Celtis","Centaurea","Centranthus t.","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Ephedra","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Genisteae","Gentiana t.","Hedera","HippophaÃ« rhamnoides","Hypericum undif.","Indeterminable","Indeterminable (immature)","Juglans","Lamiaceae undif.","Lemnaceae","Ligustrum","Linum t.","Loranthus","Lycopodiella-type","Lycopodium spike","Lythrum","Menyanthes","Mercurialis","Myriophyllum undif.","Olea t.","Ononis t.","Papaver t.","Paronychieae","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pterocarya","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Selaginella willdenowii","Solanaceae undif.","Sparganium","Spiniferites cruciformis","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Vaccinium","Valeriana t.","Vitis"
"9206.00000",NA,NA," 928.00000","  13.00000","   0.00000","   0.00000","  62.00000","   9.00000","   1.00000","   1.00000","   3.00000","   0.00000","   4.00000","   0.00000","  12.00000","   0.00000","   2.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   6.00000","   0.00000","   0.00000","   0.00000","  18.00000","   0.00000","   3.00000","   0.00000","   0.00000","   1.00000","   0.00000","   0.00000","  16.00000","   1.00000","   0.00000","   3.00000","   0.00000","   0.00000","   0.00000","   0.00000","   1.00000","  38.00000","   0.00000","   0.00000","   2.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","  36.33333","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","  10.00000","   1.00000","   1.00000","   1.00000","   0.00000","  53.00000","   3.00000","   0.00000","   0.00000","   4.00000","   0.00000","   0.00000"," 325.00000","   4.00000","   1.00000","   0.00000","   2.00000","   0.00000","   1.00000","   0.00000","   0.00000","  12.00000","   0.00000","   0.00000","   0.00000","   1.00000","   1.00000","   1.00000","   0.00000","  12.00000","   0.00000","   0.00000","  15.00000","   0.00000","   0.00000","   0.00000","   0.00000","   2.00000"
"9802",NA,NA," 957","  17","   0","   0"," 123","   6","   2","   1","   7","   0","   5","   1","  14","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   3","   0","   0","   0","  16","   1","   3","   1","   0","   0","   0","   1","   9","  10","   4","   0","   0","   0","   0","   0","   3","  59","   0","   1","   2","   0","   0","   0","   0","   0","  23","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   6","   4","   1","   0","   0","  65","   2","   0","   0","   1","   0","   0"," 291","   2","   1","   0","   0","   0","   2","   1","   0","  22","   0","   0","   0","   1","   0","   1","   0","   4","   0","   0","  12","   0","   0","   0","   0","   0"
"10309",NA,NA,"  980","    4","    1","    0","  125","   10","    4","    1","    9","    0","    8","    3","    5","    0","    1","    0","    0","    0","    0","    1","    0","    2","    0","    0","    1","    0","    0","    0","   11","    0","    5","    0","    0","    1","    0","    0","    3","    3","    5","    0","    0","    0","    0","    0","    1","   52","    0","    0","    1","    0","    0","    0","    0","    0","   22","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    4","    2","    2","    0","    0","   76","    2","    0","    0","    0","    0","    0","  288","    3","    2","    0","    0","    1","    6","    1","    0","   23","    0","    0","    0","    0","    0","    0","    0","    3","    0","    1","   11","    0","    1","    0","    0","    2"
"11218",NA,NA," 1004","   10","    1","    0","   39","   17","    6","    1","   12","    0","    4","    4","   13","    0","    1","    0","    0","    0","    0","    1","    0","    1","    1","    0","    9","    0","    0","    0","   27","    1","   14","    0","    0","    0","    0","    0","    3","    4","    4","    1","    0","    0","    0","    0","    0","   36","    0","    0","    3","    0","    0","    0","    0","    0","   22","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    5","    1","    2","    0","    0","   80","    3","    0","    1","    1","    0","    0","  273","    0","    1","    0","    0","    1","    6","    0","    0","   25","    0","    0","    0","    3","    0","    0","    1","    3","    0","    1","   16","    0","    5","    0","    0","    2"
"11994.0",NA,NA," 1024.5","    6.0","    1.0","    0.0","   29.0","   10.0","   18.0","    1.0","    6.0","    0.0","   12.0","    7.0","    5.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    1.0","    1.0","    0.0","    5.0","    0.0","    2.0","    0.0","    7.0","    1.0","    4.0","    0.0","    0.0","    2.0","    0.0","    0.0","    2.0","    1.0","    4.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   23.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","   33.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   10.0","    0.0","    0.0","    0.0","    0.0","   97.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","  300.0","    2.0","    2.0","    2.0","    1.0","    1.0","    6.0","    2.0","    0.0","    1.0","    1.0","    0.0","    0.0","   12.0","    0.0","    0.0","    1.0","    5.0","    0.0","    1.0","   26.0","    0.0","    1.0","    0.0","    0.0","    3.0"
"12202",NA,NA," 1030","    1","    2","    0","   21","    8","   35","    4","   28","    0","   15","    3","    4","    0","    1","    0","    1","    0","    0","    2","    0","    3","    0","    0","    6","    1","    0","    0","    5","    4","    5","    1","    0","    6","    0","    0","    2","    1","    1","    0","    0","    0","    0","    0","    0","   49","    0","    0","    1","    0","    0","    0","    0","    0","   74","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    2","    0","    0","  117","    2","    0","    0","    2","    0","    0","  203","    0","    3","    0","    0","    9","    4","    0","    0","    1","    0","    0","    0","    9","    0","    0","    1","    1","    0","    0","   15","    0","    1","    0","    0","    0"
"12259.0",NA,NA," 1031.5","    0.0","    1.0","    0.0","   74.0","    9.0","   33.0","    5.0","   37.0","    0.0","   21.0","    5.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    2.0","    0.0","    0.0","   10.0","    0.0","    0.0","    0.0","    6.0","   15.0","    4.0","    0.0","    1.0","    9.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   29.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","  101.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","   14.0","    0.0","    0.0","    0.0","    1.0","  131.0","    6.0","    0.0","    0.0","    1.0","    0.0","    0.0","  161.0","    0.0","    1.0","    0.0","    0.0","    5.0","    4.0","    3.0","    0.0","    1.0","    0.0","    0.0","    0.0","    1.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","   12.0","    0.0","    0.0","    0.0","    0.0","    0.0"
"12429",NA,NA," 1036","    9","    2","    0","  356","    6","   10","    0","   47","    0","   11","    4","    1","    0","    0","    0","    0","    0","    0","    1","    0","    3","    0","    0","    3","    0","    0","    0","    2","    9","    7","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","   48","    0","    0","    1","    1","    0","    0","    1","    0","   43","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   27","    1","    0","    1","    0","   72","    3","    0","    0","    0","    0","    0","  260","    3","    1","    0","    0","    2","    1","    1","    0","    0","    0","    0","    0","    2","    1","    0","    1","    2","    0","    0","    7","    0","    0","    0","    0","    0"
"12542",NA,NA," 1039","    5","    1","    0","  213","   16","   14","    0","   44","    0","   12","    4","    5","    0","    0","    0","    0","    2","    0","    1","    0","    4","    0","    0","    8","    0","    0","    0","    5","   16","    5","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","   34","    0","    0","    0","    0","    0","    0","    0","    0","   42","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   22","    0","    0","    0","    0","   77","    2","    0","    0","    0","    0","    0","  253","    0","    1","    0","    0","    1","    3","    1","    0","    0","    0","    0","    0","    4","    1","    0","    1","    1","    0","    0","    5","    0","    0","    0","    0","    0"
"12732",NA,NA," 1044","    5","    1","    0","  175","   22","   17","    0","   45","    0","   15","    6","    3","    0","    0","    0","    0","    2","    0","    1","    0","    3","    0","    0","    8","    0","    0","    0","    6","    3","    8","    0","    0","    1","    1","    0","    0","    2","    2","    0","    0","    0","    0","    0","    0","   72","    0","    0","    0","    0","    0","    0","    0","    0","   44","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   26","    0","    2","    0","    0","   75","    0","    0","    0","    0","    0","    0","  287","    1","    0","    0","    0","    3","    1","    1","    0","    0","    0","    0","    0","    3","    0","    2","    3","    1","    0","    1","    4","    0","    1","    0","    0","    0"
