"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Aesculus","Alchemilla t.","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Angelica palustris-type","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Calluna","Campanulaceae","Cannabis","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Drosera","Echium t.","Ephedra","Erica t.","Eucalyptus","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hedera","Hepaticae","HippophaÃ« rhamnoides","Humulus","Hypericum undif.","Juglans","Lamiaceae undif.","Lotus t.","Lycopodium spike","Lycopodium tablets","Mercurialis","Musci","Myrtus","Olea t.","Papaver t.","Paronychieae","Pedicularis","Petaloid monocot","Phillyrea","Physospermum cornubiense","Picea","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Platanus Ã acerifolia","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Portulacaceae t.","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Reseda/Sesamoides","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Ulmus t.","Urtica t.","Vaccinium","Valerianella","Viburnum","Viola","Vitis","Zea"
"-24.64",NA,NA," 1.5","2","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","11","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1440","0","0","0","0","20","0","1","0","0","0","0","1","0","0","0","1","0","0","8","0","0","0","1","19","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"-21.19",NA,NA," 2.0","2","0","0","8","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","34","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1170","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","1","2","0","12","0","0","0","0","17","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"-17.74",NA,NA," 2.5","2","0","0","1","1","0","0","0","2","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","2","0","0","49","0","0","0","0","5","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1212","0","0","0","0","22","0","1","0","0","0","0","1","0","0","0","2","0","0","31","0","0","0","2","16","10","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"-10.83",NA,NA," 3.5","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","2","0","0","179","3","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","794","0","0","0","0","46","0","1","0","0","0","0","0","0","0","0","2","2","0","61","0","0","0","2","8","9","1","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -7.38",NA,NA," 4.0","2","0","0","3","1","0","0","0","3","0","1","0","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","5","0","1","0","0","218","0","0","0","0","5","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","620","0","0","0","0","62","0","0","0","0","0","0","0","0","0","0","3","0","0","56","0","0","0","2","13","6","2","0","0","0","3","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -3.93",NA,NA," 4.5","2","0","0","4","1","0","0","0","3","0","1","0","0","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","0","2","0","0","181","0","0","0","0","3","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","342","0","0","0","0","67","0","0","0","0","0","0","0","0","0","0","7","0","0","69","0","0","0","0","21","13","0","0","0","0","4","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2"
" -0.48",NA,NA," 5.0","2","0","0","1","1","0","0","0","3","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","1","3","0","2","0","8","1","0","152","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","70","0","0","0","0","0","0","0","0","0","0","1","0","0","78","0","0","0","5","19","13","0","0","0","0","4","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"  2.98",NA,NA," 5.5","2","0","0","1","2","0","0","0","0","0","2","0","2","3","0","1","0","1","1","0","0","0","1","1","0","0","1","0","0","0","0","3","0","2","0","1","0","0","115","1","0","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","393","0","0","1","0","44","0","0","0","0","0","0","0","0","0","0","2","0","0","75","0","0","0","0","24","5","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  6.43",NA,NA," 6.0","2","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","1","0","5","0","0","0","4","0","0","179","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","496","0","0","0","0","60","0","0","0","0","0","0","0","0","0","0","5","0","0","106","0","0","0","2","13","1","0","0","0","0","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  9.88",NA,NA," 6.5","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","2","0","1","0","0","132","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","245","0","0","0","0","37","0","0","0","0","0","0","0","0","0","0","2","0","0","292","0","0","1","5","8","4","0","0","0","0","3","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
