"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Geranium","Haplophyllum","Hedera","Heliotropium","Hydrocotyle","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lotus t.","Lysimachia","Malva","Matthiola","Mercurialis","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Prunus t.","Pseudopediastrum brevicorne","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Theligonum","Tilia","Tribulus","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Valerianella","Viburnum","Vitis","Zea","Ziziphus/Paliurus"
"  62"," 263","-185","  30","   2","   0","   0","   0","   2","  24","   8","   0","   5","   2","   0","  55","   0","   5","   0","  26","   0","   6","   1","   0","   4","   0","   1","   8","   1","   0","   7","   8","   0","   0","   0","   0","   5","  69","   0","  15","   0","   0","   0","   1","   2","   0","   1","   1","  19","  26","   0","   0","   4","   2","   0","   0","   0","   0","   0","   0","   0","   0","   6","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   1","   0","   0","   2","   0"," 102","   3","  15","  14"," 126","  35","  18","   0","   0","   0","   0","   0","   0","  13","  52","   4","   0","   2","  17","   2","   0","   3","   0","   0","   0","   6","   0","   0","   0","   0","   0","   1","   0","   0","   2","   2","  38","   3","   0","   0","   0","   1","   1","   0"
"  98"," 292","-179","  50","   2","   0","   0","   0","   5","  18","   0","   0","   5","   3","   0","  56","   0","   3","   1","  41","   0","   6","   5","   0","   2","   0","   0","   6","   3","   2","   3","   8","   0","   0","   0","   0","  12","  43","   0","  37","   0","   0","   0","   1","   3","   0","   1","   1","  27","  16","   0","   0","   6","   3","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   2","   0","   1","   1","   2","   0","   0","   0","   2","   0","  95","   0","  23","  16"," 163","  18","  31","   0","   1","   0","   0","   0","   0","  17"," 117","   5","   0","   0","  11","   2","   0","   1","   3","   0","   1","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  74","   0","   0","   0","   1","   4","   0","   0"
"167","350","-56"," 80","  1","  0","  0","  0","  6"," 27","  0","  0"," 10","  3","  0"," 89","  0","  9","  3"," 60","  0","  4","  3","  0"," 15","  1","  6"," 12","  6","  0","  7"," 17","  0","  0","  0","  0"," 17"," 28","  1"," 35","  1","  0","  0","  0","  4","  0","  0","  5"," 25"," 24","  4","  0","  3","  5","  0","  0","  0","  0","  0","  0","  0","  0","  5","  1","  0","  0","  1","  0","  1","  1","  0","  0","  0","  2","  0","  0","  2","  0","  0"," 59","  3"," 41"," 14","197"," 29"," 88","  0","  2","  1","  0","  0","  0"," 11"," 89","  6","  0","  2"," 13","  4","  3","  9","  3","  0","  1","  3","  1","  0","  0","  2","  0","  0","  0","  1","  2","  3"," 54","  1","  0","  0","  1","  8","  0","  1"
"227","407"," 47","100","  0","  0","  0","  0","  2"," 15","  0","  0","  4","  3","  1"," 83","  0","  2","  4"," 36","  0","  3","  3","  0","  9","  3","  2","  5","  3","  1"," 11","  7","  1","  3","  0","  0","  9"," 16","  0"," 29","  0","  0","  0","  0","  2","  0","  1","  3"," 16"," 31","  0","  0","  6","  3","  0","  2","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  1","  0","  2","  0","  0","  0","  1","  0","  1","  0","  0","  0"," 33","  1"," 31","  8","135"," 16"," 66","  0","  0","  1","  0","  0","  0","  9"," 57","  5","  0","  2"," 19","  1","  0","  5","  0","  0","  2","  3","  0","  1","  0","  2","  0","  0","  0","  1","  0","  1"," 34","  1","  0","  0","  0","  7","  0","  2"
"301","481","148","120","  0","  1","  0","  0","  6"," 23","  1","  0","  4","  8","  0"," 57","  1"," 12","  1"," 44","  0","  6","  0","  0","  9","  0","  7","  6","  2","  0","  8"," 13","  3","  1","  2","  0","  3"," 19","  0"," 16","  0","  0","  0","  1","  1","  0","  0","  3"," 34"," 24","  0","  0"," 12","  2","  0","  0","  0","  0","  0","  0","  0","  0","  8","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  5","  0","  2","  0","  0"," 70","  5"," 34","  3","118"," 37"," 59","  0","  0","  0","  0","  0","  0","  8"," 56","  5","  1","  1"," 20","  2","  2","  5","  1","  0","  0","  3","  0","  0","  0","  3","  1","  0","  0","  2","  1","  0"," 48","  1","  0","  0","  0","  5","  0","  0"
"391","569","254","140","  2","  0","  0","  0","  9"," 12","  1","  0","  6","  1","  0"," 35","  0","  5","  0"," 35","  0","  3","  3","  0"," 19","  5","  1","  5","  2","  0","  3"," 16","  0","  1","  0","  0","  6"," 10","  0"," 16","  0","  0","  0","  0","  2","  0","  0","  1"," 19"," 35","  0","  0","  8","  3","  1","  0","  0","  0","  1","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","138","  3"," 29","  7","103"," 38"," 45","  0","  1","  0","  0","  0","  0","  3"," 58","  1","  0","  0"," 11","  2","  0","  5","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  1","  0","  1","  2"," 30","  0","  0","  0","  1","  5","  0","  0"
"502","672","371","160","  6","  0","  1","  1"," 20","  8","  0","  0","  7","  3","  0"," 42","  1","  8","  0"," 35","  0","  9","  0","  0"," 23","  2","  3","  3","  0","  0","  4"," 17","  0","  0","  0","  0","  8","  5","  0"," 15","  0","  0","  0","  0","  2","  0","  0","  0"," 39"," 46","  1","  0","  2","  2","  0","  1","  0","  0","  0","  0","  0","  0","  6","  2","  0","  1","  0","  0","  0","  1","  0","  0","  0","  3","  1","  0","  0","  0","  1","176","  2"," 22","  5","122"," 25"," 38","  0","  1","  2","  0","  0","  0","  4","130","  2","  0","  1"," 15","  1","  0","  5","  3","  0","  0","  1","  0","  0","  0","  2","  0","  1","  0","  0","  0","  1"," 42","  2","  0","  0","  1","  1","  0","  0"
"635","799","506","180","  1","  0","  1","  0","  7"," 12","  0","  0","  4","  1","  0"," 24","  0","  2","  3"," 28","  0","  4","  1","  1","  6","  0","  5","  5","  0","  1","  4","  8","  0","  0","  0","  0","  1","  8","  0"," 23","  0","  0","  0","  0","  2","  0","  0","  1"," 32"," 22","  1","  1","  6","  0","  0","  0","  0","  0","  0","  0","  1","  0","  7","  2","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  1","  0","  0","  1","  0","111","  2"," 12","  9"," 85","  8","  9","  0","  0","  0","  0","  0","  0","  4","244","  0","  0","  0","  4","  3","  0","  0","  1","  0","  0","  4","  0","  0","  0","  1","  0","  2","  0","  3","  0","  0"," 26","  0","  0","  0","  0","  2","  0","  0"
"760","909","629","196"," 29","  0","  0","  0","  4","  2","  0","  0","  1","  1","  0","  4","  0","  1","  0"," 54","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  6","  2","  0","  0","  0"," 16","  9","  0"," 21","  0","  0","  0","  0","  4","  0","  0","  1","  1"," 31","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","344","  3","  0","  0"," 49","  1","  2","  0","  0","  0","  0","  0","  0","  0","294","  0","  0","  0","  3","  2","  1","  1","  0","  0","  0","  3","  0","  0","  4","  0","  0","  4","  0","  0","  1","  7"," 12","  0","  0","  0","  0","  1","  0","  0"
"794","940","663","200","  4","  0","  1","  0"," 14","  8","  0","  0","  4","  2","  0"," 23","  0","  2","  1"," 37","  0","  1","  0","  0","  1","  1","  4","  0","  1","  0","  7","  9","  0","  0","  1","  0","  6","  4","  0"," 22","  1","  0","  0","  0","  1","  0","  0","  4"," 50"," 25","  0","  0","  6","  1","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  2","  0","  1","  0","  0","  0"," 75","  3","  7","  2","120"," 18","  4","  1","  1","  0","  0","  0","  0","  8","183","  1","  0","  0","  3","  5","  0","  1","  1","  0","  0","  7","  1","  0","  1","  1","  0","  1","  0","  0","  0","  3"," 16","  2","  1","  0","  0","  0","  0","  0"
" 981","1118"," 849"," 220","   3","   0","   0","   0","  10","  11","   2","   0","   6","   2","   0","  24","   0","   8","   1","  41","   0","   8","   0","   0","  10","   5","   5","  10","   0","   0","   7","  17","   3","   1","   1","   1","   4","   6","   0","  11","   0","   1","   0","   1","   0","   0","   0","   2","  61","  46","   0","   1","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   7","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0"," 145","   3","  13","   6"," 134","  57","  28","   0","   0","   1","   0","   0","   0","   1"," 142","   6","   0","   0","   8","   0","   0","   4","   1","   0","   0","   4","   0","   0","   0","   1","   0","   1","   0","   2","   0","   1","  50","   1","   0","   0","   0","   5","   0","   0"
"1196","1325","1061"," 240","  15","   1","   0","   0","  12","   8","   0","   0","   7","   0","   0","   6","   0","   2","   1","  62","   1","   6","   0","   0","   7","   1","   4","   3","   0","   0","   8","   4","   1","   0","   1","   0","  12","   1","   0","  12","   0","   0","   0","   0","   4","   0","   0","   3","  66","  32","   0","   0","   8","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0"," 165","   5","  11","   5"," 101","  17","  14","   0","   0","   0","   0","   0","   0","   4"," 267","   2","   0","   2","   4","   0","   0","   1","   3","   0","   0","   1","   0","   0","   0","   2","   0","   1","   0","   1","   2","   0","  28","   2","   0","   0","   1","   1","   0","   0"
"1231","1360","1096"," 243","   4","   1","   0","   0","  13","   6","   0","   0","   3","   1","   1","  15","   0","   0","   2","  83","   0","   1","   0","   0","   7","   0","   8","   2","   0","   0","   3","   4","   0","   0","   0","   0","   8","  24","   0","  12","   0","   0","   0","   0","   7","   0","   0","   0","  59","  41","   0","   0","   6","   1","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   2","   0","  68","   0","   9","   2","  61","  17","  12","   0","   2","   0","   0","   0","   0","  12"," 269","   3","   0","   1","   8","   0","   0","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3","  10","   0","   0","   0","   0","   4","   0","   0"
