"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Acorus","Alchemilla t.","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Bryophyta undiff.","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celastraceae undif.","Centaurea","Cichorieae","Cistaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus spike","Eucalyptus suspension","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Geranium","Hedera","HippophaÃ«","Hypericum undif.","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Larix","Lonicera","Malva undif.","Menyanthes","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Onagraceae","Oxyria","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Resedaceae undiff.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianaceae undif.","Viburnum","Viscum","Vitis"
"  -40","    8","  -89"," -20.0","3","3","0","0","0","54","3","0","3","10","0","1","4","23","0","1","0","0","0","0","0","4","1","11","0","0","0","1","0","0","9","3","12","0","0","0","0","0","0","1","0","17","0","0","0","5","2","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","0","4","0","4","0","10","0","0","56","0","0","0","2","0","0","0","105","0","0","2","0","4","3","0","0","0","0","0","0","0","0","0","1","3","14","0","0","0","0","1"
"  -20","   20","  -61"," -16.0","1","0","0","0","0","55","0","0","2","6","0","1","6","12","0","0","0","0","0","8","0","9","0","8","2","0","0","0","0","0","15","4","6","0","0","0","2","0","0","0","0","29","1","0","0","1","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","5","0","4","0","5","0","0","48","3","0","0","6","1","0","0","130","0","0","0","1","4","8","0","0","0","1","0","0","0","0","0","2","3","4","0","0","0","0","0"
"   -5","   30","  -39"," -13.0","1","0","0","0","0","85","2","1","4","2","2","0","3","15","0","2","0","0","0","5","0","11","0","5","0","0","0","1","0","0","10","0","6","0","0","0","1","0","0","1","2","16","0","0","0","0","0","0","0","1","0","0","0","2","3","0","0","0","0","0","3","3","0","0","3","3","0","0","0","0","1","3","0","5","0","7","0","0","55","1","0","0","0","1","0","0","79","1","0","0","0","1","5","0","0","0","1","0","0","0","1","0","1","1","6","0","0","0","0","3"
"   86","   87","   84","   5.0","0","2","0","0","0","74","2","0","0","1","0","2","0","20","0","0","0","0","0","0","0","12","0","0","0","0","1","0","0","0","12","0","2","0","0","0","2","0","0","0","0","19","0","0","0","3","0","0","0","2","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","3","2","6","0","0","38","2","0","0","1","2","0","5","148","0","0","0","1","2","5","0","0","0","0","0","0","0","0","0","2","5","6","2","0","0","0","1"
"  402","  409","  395","  25.0","0","0","0","0","0","70","1","0","3","2","0","1","0","21","0","0","0","0","0","3","1","13","1","3","0","0","0","0","0","0","6","0","1","0","0","0","1","125","0","0","0","30","0","0","0","3","0","0","0","4","0","0","0","3","5","0","0","0","0","0","0","2","0","0","3","3","0","0","0","0","0","2","0","0","2","4","1","0","57","2","0","0","0","0","0","3","67","0","0","0","2","0","4","0","1","0","0","0","0","0","0","0","2","0","18","0","0","0","0","1"
"  735","  745","  725","  45.0","0","0","0","0","0","96","3","3","2","4","0","0","1","29","0","1","0","0","0","5","1","13","1","4","0","0","0","2","0","0","6","0","4","0","0","0","0","142","0","0","2","24","3","0","0","3","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","2","1","0","5","2","0","0","0","0","0","0","0","0","0","1","0","0","54","10","0","0","1","0","0","1","77","0","0","0","1","0","5","0","1","0","0","0","0","0","0","0","3","1","17","0","0","0","0","0"
"  914","  927","  901","  60.0","2","0","0","0","0","94","2","1","4","4","0","1","2","17","0","1","0","0","0","5","1","15","0","7","0","0","0","1","0","0","5","1","6","0","0","1","2","119","0","1","0","34","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","3","0","0","48","3","0","0","0","0","0","0","81","0","0","0","1","2","5","0","1","1","4","0","0","0","0","0","2","2","13","2","0","0","0","3"
"  941","  960","  921","  65.0","1","0","0","0","0","87","2","0","0","1","0","0","1","54","0","0","0","0","0","4","0","33","0","0","0","0","0","0","0","0","4","1","1","0","0","0","2","103","0","0","2","47","8","0","0","4","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","2","0","0","2","3","0","0","0","0","0","4","0","0","0","3","0","0","9","0","0","1","1","1","0","3","165","0","0","0","1","0","4","0","0","0","0","0","0","0","1","0","0","4","6","0","0","0","0","1"
" 1222"," 1239"," 1205","  90.0","0","0","0","0","0","69","1","0","0","1","0","0","4","31","0","3","0","3","0","1","0","14","2","8","0","0","0","1","0","0","4","0","2","0","0","0","1","129","0","1","0","27","0","0","0","4","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","5","0","0","13","0","0","0","0","0","0","0","163","0","0","0","1","1","5","4","0","1","0","0","1","0","0","0","0","2","1","0","0","0","0","1"
" 1314"," 1334"," 1293"," 104.0","0","1","0","0","0","56","2","0","0","0","0","1","2","46","0","0","0","0","0","2","0","16","0","3","0","0","1","0","0","0","11","1","0","0","0","1","4","0","0","0","0","77","4","0","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","2","4","4","0","0","34","4","0","0","0","0","0","5","130","1","0","0","0","2","2","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0"
