"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Arbutus","Asteroideae undif.","Brassicaceae","Cardueae undif.","Chaetomium undiff.","Cichorieae","Cistaceae","Cupressaceae","Erica t.","Fern","Genisteae","Lamiaceae undif.","Neurospora undiff.","Olea t.","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Scrophulariaceae undif.","Sporormiella undiff.","Thymelaeaceae undif.","Urtica t."
"5532",NA,NA,"  89","  15","  11","  13","  11","   8","   9","  11","  25","  22","  11","  21","  45","  11","   7","  31","  45","   6","   9","   4","  13","  59","  13","  21","  55","  12","   4","   7","  55","  11","   9"
"6840",NA,NA,"  94","   9","   9","  21","  13","   7","  11","  13","  24","  33","  13","  13","  66","  21","   6","  44","  36","   7","  11","   3","  13","  37","  19","  33","  49","  15","   5","   8","  67","  13","   9"
"7102",NA,NA,"  95","  12","  11","  13","   4","   9","   2","   9","  11","   5","  13","   4","  21","   5","   8","  19","  59","   9","  13","   6","  16","  21","  15","  22","  63","  16","   6","   4","  33","   2","   5"
"8410",NA,NA," 100","  21","  13","   5","   5","  11","   2","   9","   4","   6","  15","   4","  11","   6","   8","  11","   6","   3","  13","   7","   0","  11","   0","  14","  55","  18","   7","   5","  11","   2","   0"
"9718",NA,NA," 110","  21","  15","   5","   6","   4","   1","   9","  11","   8","  16","   2","  13","   3","   5","  12","   4","   2","   9","  11","   1","  11","   0","  27","  67","  21","   4","   3","   5","   2","   0"
"10241",NA,NA,"  112","   24","    7","    2","    3","    5","    2","    3","    8","    2","    8","    1","    5","    3","    6","    2","    8","   11","   23","    8","    0","   13","    0","   32","   78","   23","    8","    3","    6","    0","    1"
