"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Ephedra","Euphorbia t.","Fagus","Fern","Filipendula t.","Fraxinus","Indeterminable","Indeterminable (crumpled)","Indeterminable (hidden)","Lamiaceae undif.","Lythrum","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Nuphar","Nymphaea","Oxyria","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Spike","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Vitis"
"9830",NA,NA,"1020","   1","  13","   0","   5","   1","   4","   2","   0","   1","  12","   0","   0","   0","   0","   0","   1","   0","   8","   0","  25","  20","   0","   0","   0","  26","   1","   7","   3","   1","   2","   0","   1","   7","   0","   3","   1","   1","   0"," 150","   2","   0","   0","  58","   0","  59","   1","   0","   0","   0","   0","   3","   2","   5","  57","   0","   2","   8","   3","   1","   0","   1"
"10136",NA,NA," 1040","    1","   13","    0","    2","    0","    5","    4","    5","    1","    1","    0","    0","    0","    0","    0","    0","    0","   13","    0","   28","   27","    0","    0","    0","   16","    0","   13","    7","    0","    1","    0","    1","    0","    0","    0","    0","    0","    1","   65","    5","    0","    0","   96","    0","   55","    1","    0","    0","    0","    3","    4","    0","    0","   64","    0","    2","    4","    4","    0","    0","    2"
"10441",NA,NA," 1060","    1","    7","    0","    1","    0","    2","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    8","    0","    8","   10","    0","    0","    0","  167","    0","    3","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   29","    0","    0","    0","   58","    0","   36","    0","    0","    0","    0","    1","    1","    0","    0","  108","    0","    4","    0","    0","    0","    0","    0"
"10747",NA,NA," 1080","    1","    0","    0","    4","    2","    1","    8","    7","   13","    2","    0","    0","    1","    0","    2","    2","    0","    1","    1","    0","   45","    0","    0","    0","    1","    1","    3","    4","    3","    0","    0","    0","    0","    0","    0","    0","    0","    1","   58","    1","    2","    0","   85","    0","  109","    2","    0","    0","    6","    5","    0","    1","    0","  257","    1","    3","    0","    5","    0","    0","    1"
"11053",NA,NA," 1100","    1","    6","    0","    5","    8","    3","    7","    2","    6","    1","    0","    0","    0","    1","    1","    1","    0","    1","    0","    1","   45","    1","    0","    0","    5","    0","    0","    7","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","   68","    0","    1","    0","  121","    0","   84","    0","    0","    0","    7","    0","    1","    0","    2","   87","    1","    1","    0","    4","    0","    0","    0"
"11358",NA,NA," 1120","    1","   10","    0","    1","   10","    1","   13","    6","    7","    9","    0","    0","    1","    0","    0","    0","    0","    8","    0","    3","   63","    0","    0","    0","    8","    2","    2","   11","    5","    2","    4","    0","    0","    2","    1","    2","    0","    0","   58","    2","    0","    1","   96","    0","   83","    0","    1","    0","    2","    0","    2","    0","    1","   69","    0","    1","    0","    2","    0","    0","    0"
"11664",NA,NA," 1140","    1","    0","    0","    1","    4","    1","    9","    1","    3","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","   66","    0","    0","    0","   10","    1","    0","    6","    1","    1","    2","    1","    0","    0","    0","    1","    0","    0","   23","    0","    1","    0","  190","    0","   51","    0","    1","    0","    9","    1","    0","    0","    0","  279","    0","    0","    0","    0","    0","    0","    0"
"11970",NA,NA," 1160","    1","    0","    0","    0","   34","    1","   49","    7","    3","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    1","   29","    2","    0","    0","    0","    0","    1","    2","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","   17","    0","    0","    0","  170","    0","   19","    0","    0","    0","    3","    0","    1","    0","    0","  201","    0","    0","    0","    0","    0","    0","    0"
"12276",NA,NA," 1180","    1","    1","    1","    4","   27","    1","   73","    6","    4","    0","    4","    0","    0","    4","    0","    0","    1","    1","    0","    2","   36","    6","    0","    0","    0","    2","    0","    1","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","   14","    0","    0","    0","  132","    0","   21","    0","    0","    0","    3","    2","    0","    0","    1","  150","    1","    1","    0","    1","    0","    0","    0"
"12581",NA,NA," 1200","    1","    1","    0","    1","   16","    2","   57","    4","    3","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    5","    7","    2","    5","    0","    0","    0","    0","    4","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","   16","    0","    0","    0","  182","    1","   11","    0","    0","    0","    3","    1","    1","    0","    0","   91","    0","    0","    4","    1","    0","    0","    0"
"13040",NA,NA," 1230","    1","    0","    0","    1","   23","    1","   65","    6","    2","    0","    3","    0","    0","    0","    0","    0","    0","    0","    1","    9","   78","    1","    0","    1","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","   16","    0","    1","    0","  190","    0","    7","    0","    0","    0","    4","    0","    4","    0","    0","  146","    0","    0","    0","    0","    0","    0","    0"
"13346",NA,NA," 1250","    1","    0","    0","    0","    2","    2","   14","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    3","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    1","    0","    1","    0","    0","    0","  287","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","   28","    0","    0","    4","    0","    0","    1","    0"
"13651",NA,NA," 1270","    1","    0","    0","    2","   15","    0","   27","    8","    0","    0","    2","    0","    0","    0","    0","    4","    0","    0","    0","    3","   18","    1","    0","    1","    0","    0","    1","    6","    3","    1","    0","    0","    0","    0","    0","    0","    0","    0","   22","    0","    0","    0","  235","    0","    6","    0","    0","    0","    1","    0","    0","    0","    0","  115","    0","    0","    4","    0","    0","    0","    0"
"13957",NA,NA," 1290","    1","    0","    0","    0","   30","    1","   50","    7","    1","    0","    1","    2","    0","    3","    0","    4","    0","    0","    0","    7","   19","    1","    0","    0","    0","    0","    0","    8","    2","    0","    1","    0","    0","    0","    0","    0","    0","    1","   31","    0","    0","    0","  179","    0","    1","    0","    0","    0","    0","    2","    0","    0","    5","   91","    5","    0","    0","    0","    0","    0","    0"
"14568",NA,NA," 1330","    1","    0","    0","    0","   24","    3","   42","    3","    8","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   17","   29","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   14","    0","    0","    0","  195","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","  117","    1","    0","    0","    0","    0","    0","    0"
"14874",NA,NA," 1350","    1","    0","    1","    1","   25","    2","   43","    1","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   14","   27","    1","    0","    0","    2","    0","    0","    4","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","   15","    0","    0","    0","  189","    0","    1","    0","    0","    1","    0","    0","    0","    0","    3","  162","    1","    0","    0","    0","    0","    0","    0"
"15180",NA,NA," 1370","    1","    0","    0","    0","   23","    1","   49","    1","    7","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   11","   28","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","  210","    0","    6","    0","    0","    0","    1","    0","    0","    0","    4","  158","    0","    0","    4","    0","    0","    0","    0"
"15485",NA,NA," 1390","    1","    0","    1","    0","   33","    1","   47","    2","    3","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    9","   35","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    1","    0","    1","    0","    0","    0","   16","    0","    0","    0","  185","    0","    4","    0","    0","    0","    3","    1","    1","    0","    0","  301","    0","    0","    8","    0","    0","    0","    0"
"16555",NA,NA," 1460","    1","    0","    8","    0","   34","    1","   55","    1","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    8","   38","    0","    0","    0","    0","    1","    0","    4","    2","    0","    1","    0","    1","    0","    0","    0","    1","    0","    6","    0","    1","    0","  196","    0","    0","    0","    0","    0","    2","    1","    2","    0","    3","  237","    0","    0","    0","    0","    0","    0","    0"
"16861",NA,NA," 1480","    1","    0","    2","    0","   25","    0","   63","    2","    2","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    5","   40","    0","    0","    0","    0","    0","    0","    5","    0","    1","    1","    0","    9","    0","    0","    0","    0","    0","    4","    0","    1","    0","  201","    0","    0","    0","    0","    0","    1","    0","    1","    0","    9","  151","    1","    0","   16","    0","    0","    0","    0"
"17167",NA,NA," 1500","    1","    3","    1","    1","   14","    1","   26","    3","    4","    5","    2","    0","    0","    1","    0","    0","    1","    1","    0","    8","   39","    1","    0","    0","    2","    0","    3","    4","    2","    0","    0","    0","    7","    1","    0","    3","    1","    0","   21","    0","    1","    0","  195","    0","   12","    0","    0","    0","    2","    0","    1","    0","    3","   89","    0","    0","    4","    1","    1","    0","    0"
"17473",NA,NA," 1520","    1","    0","    0","    1","    7","    0","   17","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","   37","    0","    0","    0","    0","    0","    0","    1","    1","    0","    1","    0","    8","    0","    0","    0","    0","    0","    5","    0","    0","    0","  265","    0","    4","    0","    0","    0","    1","    0","    0","    0","    0","   75","    0","    0","    0","    0","    0","    0","    0"
"17778",NA,NA," 1540","    1","    0","    1","    1","   12","    1","   22","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    1","    1","    5","   55","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    3","    4","    0","    0","    0","    0","   10","    0","    0","    0","  261","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","  127","    1","    0","    0","    0","    0","    0","    0"
"18084",NA,NA," 1560","    1","    0","    1","    0","   13","    3","   56","    5","    4","    0","    2","    0","    0","    1","    0","    0","    3","    0","    0","    0","   94","    0","    0","    0","    1","    0","    0","    4","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","   27","    0","    1","    0","  169","    0","    2","    0","    1","    0","    4","    1","    1","    0","    0"," 1002","    0","    0","    0","    0","    0","    1","    0"
