"depth","Abelia","Acacia t.","Acalypha","Acanthaceae undif.","Aeschynomene","Alchornea","Alnus","Amaranthaceae undif.","Aneilema","Antrocaryon-type","Arecaceae undif.","Artemisia","Asteroideae undif.","Balanites","Betula","Bombax/Ceiba","Borreria t.","Boscia","Bosqueia","Boswellia","Brassicaceae","Bridelia","Cadaba","Calligonum","Canthium","Capparis","Caryophyllaceae undif.","Cassia","Caylusea","Celtis","Cichorieae","Cissus t.","Cistaceae","Clematis-type","Cleome","Combretaceae","Commiphora","Connaraceae","Corylus","Crossopteryx","Crudia","Cuviera","Cyperaceae","Diospyros/Euclea t.","Dodonaea","Elaeis","Entada","Ephedra","Eugenia/Syzygium","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fungi","Gaertnera","Grewioideae","Heliotropium","Hibiscus","Hygrophila","Hymenocardia","Hyphaene t.","Ilex","Indeterminable","Indigofera","Iodes","Ixora","Justicia t.","Lannea","Limoniastrum/Limonium","Lophira","Macaranga","Maerua","Manilkara","Meliaceae undif.","Nauclea","Olea t.","Phyllanthus undif.","Picconia","Pinus undif.","Plantago","Poaceae","Podocarpus","Polygonum t.","Quercus undif.","Rhizophora","Rubiaceae undif.","Salvadora/Dobera","Sapium","Sapotaceae/Meliaceae","Searsia","Sesbania","Sideroxylon t.","Spergularia t.","Sterculia","Sterculia undif.","Tephrosia","Tetrorchidium","Tilia","Trichodesma","Typha","Uapaca","Vigna","Xylia/Mimosa","Ziziphus/Paliurus","Zygophyllum/Peganum"
" 2.5"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","26.0"," 1.0"," 7.0"," 1.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 2.0"," 1.0","10.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 8.0"," 0.0"," 0.0"," 1.0"," 2.0"," 0.0"," 0.0","19.0"," 0.0"," 0.0","26.0"," 0.0"," 1.0"," 0.0"," 1.0"," 0.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 1.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0","53.0"," 0.0"," 0.0"," 0.0","14.0"," 0.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"
"  7.5","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  2.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  3.0","  0.0","  0.0","  5.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 23.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","187.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"19"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","21"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"28.5"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 5.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","10.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0","34.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"
" 39.5","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  5.0","  0.0","  0.0","  0.0","  1.0","  7.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 25.0","  0.0","  0.0","  3.0","  0.0","  1.0","  0.0","  7.0","  0.0","  0.0","  8.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0"," 29.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 17.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  2.0","105.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
" 48.5","  0.0","  3.0","  0.0","  0.0","  0.0","  4.0","  0.0","  9.0","  0.0","  0.0","  0.0","  3.0","  9.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0"," 21.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 61.0","  0.0","  0.0","  5.0","  0.0"," 32.0","  0.0","  1.0","  0.0","  1.0","111.0","  0.0","  0.0","  2.0","  0.0","  0.0"," 14.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  3.0","337.0","  0.0","  0.0","  0.0","  3.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  1.0","  6.0","  0.0","  0.0","  0.0","  2.0","  1.0"
" 58.5","  0.0","  1.0","  0.0","  0.0","  0.0","  6.0","  0.0","  8.0","  0.0","  0.0","  0.0","  6.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  8.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 28.0","  0.0","  0.0","  3.0","  0.0"," 28.0","  0.0","  1.0","  0.0","  0.0","141.0","  0.0","  0.0","  1.0","  0.0","  0.0","  8.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","261.0","  0.0","  0.0","  0.0","  5.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  9.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  1.0","  1.0"
" 63.25","  0.00","  2.00","  0.00","  1.00","  1.00"," 13.00","  2.00"," 24.00","  0.00","  0.00","  3.00","  0.00"," 13.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  9.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 37.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 19.00","  0.00","  0.00","  1.00","  0.00"," 35.00","  0.00","  1.00","  1.00","  3.00","104.00","  0.00","  0.00","  7.00","  0.00","  0.00"," 25.00","  0.00","  0.00"," 17.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  5.00","  1.00","  0.00","  2.00","  0.00","  1.00","  0.00","272.00","  0.00","  0.00","  0.00"," 18.00","  2.00","  0.00","  0.00","  0.00","  0.00","  3.00","  2.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  7.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"69.75"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 1.00"," 1.00"," 0.00"," 0.00"," 0.00","31.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 9.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 0.00","27.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 6.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 0.00"," 4.00"," 0.00","50.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 4.00"," 0.00"," 0.00"," 1.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"73.25"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00","37.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00","26.00"," 0.00"," 0.00"," 0.00"," 3.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
