"Site name","Acacia t.","Acanthaceae undif.","Amaranthaceae undif.","Anacardiaceae undiff.","Apiaceae undif.","Araliaceae undif.","Artemisia","Asclepiadaceae undif.","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Caesalpiniaceae undif.","Calligonum","Capparaceae undif.","Capparis","Caryophyllaceae undif.","Cassia","Celtis","Cichorieae","Cistaceae","Concentration (p/g)","Cucurbitaceae undif.","Cupressaceae","Cyperaceae","Echium t.","Ephedra","Euphorbiaceae undif.","Fabaceae Undif.","Fagonia","Ficus","Fraxinus","Hypericum undif.","Indeterminable","Juncaceae","Lamiaceae undif.","Lemnaceae","Lotus t.","Maerua","Moltkiopsis","Myrtus","Olea t.","Other herb plants","Other woody plants","Paronychieae","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Poaceae","Pollen sum (from Grandi, Lippi & Mercuri 1998)","Populus","Potamogeton","Quercus deciduous","Quercus evergreen","Rhamnaceae undif.","Ricinus","Rumex t.","Salvadora","Searsia","Tamarix","Trees","Tribulus","Trichodesma","Typha","Ulmus t.","Urtica t.","Vitaceae undif.","Ziziphus/Paliurus","Zygophyllum t.","herbs","shrubs"
"TH124-C","10","1","24","0","0","0","39","0","20","0","13","5","46","0","4","1","0","1","12","0","117090","1","0","12","2","0","2","2","0","1","0","0","12","0","7","0","3","14","45","0","0","32","2","32","0","0","0","0","12","375","0","0","0","0","0","0","0","0","6","11","41","2","6","0","0","1","0","0","0","154","180"
"TH124-P","11","0","17","4","1","0","43","0","30","0","6","2","59","0","3","3","0","0","8","0","165483","0","1","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","46","0","0","44","0","55","0","0","0","1","19","407","0","0","0","0","0","0","0","1","0","30","45","0","2","1","0","1","0","0","0","179","183"
