"Depth (cm)","Acacia t.","Alchornea","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Bignoniaceae undif.","Borreria t.","Boscia","Calligonum","Caryophyllaceae undif.","Cassia","Celtis","Centaurea","Cichorieae","Combretaceae","Commiphora","Corylus","Cyperaceae","Elaeis","Ephedra","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Jatropha/Croton","Lannea","Maerua","Manilkara","Meliaceae undif.","Mitracarpus","Monoletes","Nyctaginaceae","Olea t.","Phyllanthus undif.","Pinus undif.","Poaceae","Rhizophora","Rubiaceae undif.","Searsia","Solanum","Tamarix","Tarenna","Tilia","Tribulus","Triletes","Typha","Zygophyllum t.","indeterminata/varia"
"35.5"," 0.0"," 1.0"," 0.0","10.0"," 0.0"," 0.0"," 1.0"," 2.0"," 1.0"," 2.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.0"," 0.0"," 0.0"," 8.0"," 1.0"," 4.0"," 0.0"," 0.0"," 1.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 2.0"," 0.0"," 1.0"," 0.0"," 4.0","17.0"," 6.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 5.0"," 0.0"," 0.0"
"56.5"," 0.0"," 3.0"," 0.0","22.0"," 0.0"," 0.0"," 2.0"," 5.0"," 0.0"," 1.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 3.0"," 0.0"," 4.0"," 1.0"," 0.0"," 0.0","32.0"," 1.0"," 5.0"," 3.0"," 0.0"," 2.0"," 7.0"," 1.0"," 1.0"," 0.0"," 2.0"," 1.0"," 5.0"," 6.0"," 0.0"," 1.0"," 2.0"," 5.0","41.0","31.0"," 3.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 1.0"," 4.0"," 0.0"," 7.0"
"65"," 0"," 4"," 0","37"," 2"," 0"," 2"," 9"," 0"," 4"," 0"," 0"," 0"," 0"," 2"," 8"," 0"," 4"," 0"," 2"," 0","41"," 0","17"," 0"," 2"," 3"," 5"," 0"," 0"," 1"," 3"," 1","14"," 5"," 0"," 1"," 0"," 3","86","43"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0","11"," 0"," 2"
"116.8","  3.0","  0.0","  1.0","102.0","  0.0","  1.0"," 16.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  3.0"," 12.0","  2.0","  0.0","  0.0","  8.0","  0.0","103.0","  0.0","  2.0","  0.0","  4.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 31.0","100.0","  1.0","  0.0","  2.0","  0.0","  1.0","  0.0","  1.0","  0.0","  4.0","  2.0","  1.0","  4.0"
"128.8","  3.0","  1.0","  0.0","161.0","  0.0","  0.0"," 12.0"," 12.0","  0.0","  0.0","  0.0","  1.0","  1.0","  1.0","  0.0","  0.0","  3.0","  9.0","  1.0","  0.0","  0.0","  3.0","  0.0"," 40.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 19.0"," 64.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  3.0","  0.0","  4.0"
"139.3","  1.0","  0.0","  0.0"," 95.0","  0.0","  0.0"," 20.0","  6.0","  1.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0"," 12.0","  3.0","  0.0","  2.0"," 39.0","  0.0"," 72.0","  1.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 33.0","115.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  4.0"
