"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Coriaria","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fraxinus","Hedera","HippophaÃ«","Juglans","Lamiaceae undif.","Ligustrum","Myriophyllum undif.","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Vitis"
"  93"," 552","-401"," 255","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   4","   0","   0","   2","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   6","   0","  13","   3","   0","   6","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0"
" 264"," 690","-194"," 265","   0","   0","   2","   8","   1","   7","   2","   2","   0","   0","   1","   0","   0","   0","   1","   0","   0","   1","   1","   7","   0","   1","  11","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  30","   1","  42","   2","  16","  25","   1","   0","   1","   4","  24","   0","   0","   0","   0","   2","   0","   0","  48","   1","   0","   0","   1","   0","   0","   0"
"434","830"," 12","275","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  4","  0","  0","  6","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 11","  0"," 15","  5","  1","  6","  0","  0","  0","  4"," 11","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0"
"605","970","217","285","  0","  0","  0","  1","  1","  2","  1","  2","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 23","  4"," 66","  0","  2"," 10","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  1","  0","  1","  9","  0","  0","  0","  0","  2","  0","  0"
" 776","1112"," 421"," 295","   0","   0","   0","   1","   1","   6","   3","   0","   0","   0","   0","   0","   0","   0","   9","   3","   0","   0","   2","   6","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","  20","   0","  28","   5","   1","   9","   0","   0","   1","   5","  13","   0","   0","   0","   0","   0","   0","   1","   7","   0","   1","   0","   0","   3","   0","   0"
" 947","1255"," 624"," 305","   0","   0","   0","  18","   4","   1","   2","   0","   0","   0","   0","   0","   0","   0","  59","   0","   0","   1","   0","   4","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","  19","   0","   2","   3","   0","   0","  28","   3","   6","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   3","   0","   0"
"1118","1402"," 826"," 315","   0","   0","   0","  22","   5","   1","  16","   0","   0","   0","   0","   0","   0","   0"," 637","   5","   0","   0","   4","   6","   0","   6","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","  19","   0","  36","   9","   0","  22","   0","   0","  39","   3","  15","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","  24","   0","   0"
"1289","1549","1024"," 325","   0","   0","   0","  10","   2","   0","   3","   0","   0","   0","   0","   0","   0","   0","  88","   0","   0","   0","   0","   3","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","  23","   0","   3","   1","   0","   0","   6","   0","   5","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   5","   0","   0"
"1460","1697","1219"," 335","   0","   0","   0","   5","   3","   7","   8","   0","   0","   1","   0","   0","   0","   0","  26","   4","   0","   1","   7","   7","   0","   9","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","  50","   0","  29","  12","   2","  27","   0","   0","  16","  17","  53","   0","   0","   0","   0","   2","   0","   0","  15","   0","   0","   0","   0","   4","   0","   1"
"1631","1849","1413"," 345","   0","   0","   0","   3","   0","  11","   1","   2","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   2","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  31","   0","  56","   0","   3","  13","   0","   0","   0","   7","  42","   0","   0","   0","   0","   4","   0","   0","  25","   0","   0","   0","   0","   0","   0","   1"
"1973","2167","1787"," 365","   0","   0","   2","   9","   3","  10","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   1","   0","   2","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  52","   0"," 104","   3","   6","   9","   0","   0","   0","  14","  22","   0","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"2144","2330","1965"," 375","   0","   0","   0","   7","   0","  14","   3","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","   5","   0","   1","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  59","   0","  98","  28","   3","  26","   1","   0","   2","   2","  23","   1","   0","   0","   0","   1","   0","   0","   8","   0","   0","   1","   0","   5","   0","   1"
"2315","2499","2138"," 385","   0","   0","   3","  47","   1","  17","   1","   4","   0","   0","   0","   0","   0","   0","   5","   1","   0","   5","   0","  10","   0","   2","   6","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","  88","   0"," 104","   2","   6","  11","   0","   0","   3","  14","  31","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2486","2677","2304"," 395","   0","   0","   3","  58","   5","  26","   0","   3","   0","   0","   0","   0","   0","   0","   2","   1","   0","   3","   3","   8","   0","   2","  12","   0","   0","   0","   1","   0","   0","   0","   0","   0","   4","   0","  41","   0","  46","  25","   3","  18","   0","   0","   3","  19","  25","   2","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   3","   0","   1"
"2743","2928","2566"," 405","   0","   0","   5","  32","   2","  19","   0","   4","   0","   0","   0","   0","   0","   0","   1","   1","   0","   7","   0","   5","   0","   0","   6","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","  39","   0","  39","   5","  14","  11","   0","   0","   0","  23","  58","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0"
"3029","3204","2862"," 415","   0","   0","   4","  41","   1","  15","   2","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   6","   2","  12","   0","   0","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","  29","   0","  82","  44","   3","   4","   0","   0","   2","   9","  37","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   5","   0","   0"
"3315","3482","3155"," 425","   1","   0","   3","  50","   3","  20","   2","   1","   0","   1","   1","   0","   0","   0","   4","   5","   0","  13","   3","   4","   0","   0","   5","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","  82","   0"," 164","   4","  25","  18","   0","   0","   0","  40","  44","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"
"3601","3763","3448"," 435","   0","   0","   1","  33","   3","  15","   0","   1","   0","   0","   0","   0","   0","   0","   0","   3","   0","   5","   2","   6","   0","   5","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","  57","   0","  76","  24","  10","   7","   0","   0","   0","  18","  20","  14","   0","   0","   0","   3","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0"
"3887","4046","3739"," 445","   0","   0","  10","  56","   1","  25","   1","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   3","   4","   0","   1","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  75","   0","  79","   4","  13","  14","   0","   0","   1","  57","  57","   0","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0","   2","   1","   0","   0"
