"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Berberis t.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Ceratonia","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Fraxinus","Fungi","Genisteae","Gentiana t.","Heliotropium","Hypericum undif.","Juglans","Lamiaceae undif.","Ligustrum","Lonicera","Lotus t.","Lycopodium spike","Lycopodium tablets","Lythrum","Malva undif.","Matthiola","Mercurialis","Microthyrium","Morus","Myrtus","Olea t.","Ononis t.","Paronychieae","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Scrophulariaceae undif.","Searsia","Thalictrum","Theligonum","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Urtica t.","Viola","Vitis"
" -47.3",NA,NA,"   8","1","0","0","0","0","1","3","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","650","0","0","0","0","0","0","0","0","7","0","0","0","0","0","36","3","3","0","0","1","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
" -42.5",NA,NA,"  12","1","0","0","6","0","2","7","3","0","0","1","10","3","0","1","0","0","8","0","0","0","0","0","0","0","0","0","0","2","1","1","0","3","0","4","0","0","0","15","0","1","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","1","830","0","0","0","0","0","0","0","0","12","0","0","0","11","0","37","8","2","0","0","20","1","0","0","0","0","0","14","0","0","0","0","0","1","0","1","11","0","0","1","0","0","0","0","0","0","10","1","1"
" -28.0",NA,NA,"  24","1","0","0","0","0","0","2","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","600","0","0","0","0","0","0","0","0","5","0","0","0","0","0","30","1","0","0","0","1","3","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -18.3",NA,NA,"  32","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","1","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1100","0","0","0","0","0","0","0","0","1","0","0","0","0","0","52","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  -8.6",NA,NA,"  40","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","7","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","1300","0","0","0","0","1","0","0","0","2","0","0","0","0","0","82","0","1","0","0","0","1","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"   1.0",NA,NA,"  48","1","0","0","0","0","0","3","1","0","0","1","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","3","0","0","0","0","3","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","649","0","0","0","0","2","0","0","0","13","0","0","0","0","0","55","1","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0"
"  10.7",NA,NA,"  56","1","0","0","0","0","0","4","2","0","0","12","23","1","0","1","0","0","9","0","0","1","0","0","0","0","0","0","0","3","3","2","0","0","0","8","0","0","3","5","0","0","0","0","5","0","0","0","1","0","0","0","0","0","1","0","0","0","1330","0","0","0","0","2","0","0","0","18","0","0","0","0","0","67","4","0","0","0","0","0","0","0","0","0","0","38","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"  20.4",NA,NA,"  64","1","0","0","0","0","0","4","3","0","0","7","4","0","0","0","0","0","7","0","0","1","0","0","0","0","0","0","0","1","5","0","0","0","0","14","0","0","1","4","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1648","0","0","0","0","1","0","0","0","10","0","0","0","0","0","43","5","1","0","0","0","4","0","0","0","0","0","17","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","4","0","0"
"  34.9",NA,NA,"  76","1","0","0","11","0","1","11","9","0","0","0","13","12","0","0","0","1","8","0","0","0","0","1","0","0","0","0","1","7","1","1","1","1","0","9","1","1","2","10","0","1","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","873","0","0","0","0","3","0","1","0","11","0","1","1","10","0","59","12","5","1","1","14","2","0","1","0","0","0","28","2","0","1","0","0","0","0","0","56","0","0","3","0","0","2","0","1","0","15","0","4"
"  54.2",NA,NA,"  92","1","0","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1042","0","0","0","0","0","0","0","0","2","0","0","0","0","0","62","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
