"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratonia","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Heliotropium","HippophaÃ«","Hydrocharitaceae","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Leontice","Linum t.","Loranthus","Lysimachia","Lythrum","Malva","Malva undif.","Matthiola","Menyanthes","Mercurialis","Morella","Musci","Myriophyllum spicatum/verticillatum t.","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Pediastrum undulatum","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Theligonum","Thelypteris palustris-type","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Valerianella","Viburnum","Vitis"
" 539","1021","  79","   0","  36","   0","   0","4559","   0","  23","  13","   0","   3","   7","   9","   0","   1","   0"," 117","   0","  31","   0","   0","   0","   0","   0","   0","   8","   2","   1","   0","   4","   0","   9","   1","   0","   0","   0","  16","   0","   5","  51","   0","   0","   0","   3","  12","   0","   0","   0","   0","   0","  14","  26","   0","   0","   0","   3","   1","   1","   0","   1","   0","   0","   0","   0","   0","   5","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  42","   0","   0","   0","   0","   0","   0","  17","   0","  67","   9","  24","   5","   0"," 155","   9","   5","   0","   0","   0","   0"," 721"," 138","   2","   3","   3","   2","   0","   6","   0","   5","   0","  27","   0","   0","   2","   0","   0","   0","   1","   0","   0","  17","  28","   0","   0","   0","   0","   4"
"1255","1716"," 811","  10","  14","   2","   0","1958","   0","   3","   8","   0","   4","   1","   5","   0","   1","   0","  51","   0","  27","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","   1","   0","   2","   1","   0","   0","   0","  20","   0","   2","  27","   0","   0","   0","   1","   5","   0","   0","   1","   0","   0","   5","  12","   0","   0","   0","   3","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","  13","   0","   0","   0","   0","   0","   0","   0","   0","  51","   2","   3","   0","   0","  48","   8","   6","   0","   0","   0","   0"," 250","  76","   2","   1","   0","   0","   0","   3","   0","   2","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   1","   9","  20","   0","   0","   0","   0","   0"
"2685","3108","2275","  30","  13","   0","   0","2780","   0","   8","   9","   0","   2","   5","   8","   0","   3","   1","  66","   0","   8","   0","   0","   0","   0","   0","   2","   7","   1","   0","   0","   4","   0","   5","   1","   0","   0","   0","  10","   0","   1","  30","   1","   0","   0","   1","   8","   0","   0","   1","   0","   0","   5","  17","   0","   0","   0","   1","   1","   0","   0","   0","   1","   0","   0","   0","   1","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","   2","   1","   0","   0","   0","   0","   0","   0","   1","   0","  58","   1","   8","   0","   0"," 103","   5","   6","   0","   0","   0","   0"," 255","  62","   4","   0","   5","   1","   0","   7","   0","   1","   0","  10","   0","   0","   1","   0","   0","   0","   2","   0","   1","   4","  26","   0","   0","   0","   0","   0"
"4115","4498","3737","  50","  57","   0","   0","  11","   0","  13","   3","   0","   0","   1","   3","   0","   1","   3","  75","   0","   1","   0","   0","   0","   0","   0","   0","   9","   1","   0","   0","   2","   1","   0","   0","   1","   0","   0","  22","   0","   1","  25","   0","   0","   0","   1","   6","   0","   0","   0","   0","   0","   4","  56","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 100","   0","  19","   0","   0"," 103","   5","   0","   0","   0","   1","   0"," 352","  13","   3","   1","   4","   0","   0","  13","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   7","   0","   2","   3","   2","   0","   0","   0","   0","   1"
"5759","6104","5420","  73","  33","   0","   1","   0","   0","  12","  43","   0","   3","  12","   2","   0","   9","   2","  66","   0","   9","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   8","   0","  14","   0","   0","   0","   0","  13","   0","   2","  31","   0","   0","   0","   0","   7","   0","   0","   1","   0","   0","   0","  10","   0","   0","   0","   2","   3","   0","   0","   1","   0","   1","   0","   0","   0","   1","   2","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   2","   1","   0","   0","   0","   0","   0","   1","   0","   1","  65","   3","  15","   0","   0","  95","   4","  18","   0","   0","   0","   0"," 311","  44","   6","   0","   2","   0","   0","  11","   0","   2","   0","  14","   0","   0","   1","   0","   0","   0","   2","   0","   1","   1","  40","   0","   0","   0","   0","   3"
"6260","6594","5932","  80","  23","   2","   0","  16","   0","  10","   3","   0","   0","   2","   1","   0","   0","   0","  86","   0","   2","   0","   0","   0","   1","   1","   0","   4","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  23","   0","   0","  21","   0","   1","   0","   1","  15","   0","   1","   0","   0","   0","   0","  11","   0","   0","   2","   5","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  66","   1","   6","   0","   0","  74","   4","   2","   0","   0","   0","   0"," 417","  42","   2","   0","   3","   0","   0","   7","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   3","   0","   0","  10","   4","   0","   0","   0","   0","   1"
"6975","7294","6662","  90","  38","   3","   0"," 184","   0","  12","   7","   0","   2","   6","   9","   0","   4","   5","  88","   0","   4","   0","   0","   0","   1","   0","   0","   8","   2","   0","   0","   3","   0","   0","   4","   0","   0","   0","  47","   0","   4","  17","   0","   0","   0","   1","  12","   0","   0","   0","   0","   0","   1","  25","   0","   0","   0","  27","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","  82","   8","   9","   0","   0"," 113","   3","   4","   0","   4","   0","   1"," 445","  30","   1","   1","   7","   1","   0","  16","   0","   0","   1","   7","   0","   0","   1","   0","   0","   0","   9","   0","   0","  22","   6","   0","   0","   0","   0","   7"
"7690","7996","7392"," 100","  19","   2","   0"," 784","   0","   5","   3","   0","   0","   6","   4","   0","   2","   1","  54","   0","   1","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  30","   0","  16","  14","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   7","   0","   0","   0","  14","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   2","   0","  52","   6","   4","   0","   0","  88","   2","   1","   0","   0","   0","   0"," 233","  12","   1","   1","   6","   1","   0","  14","   0","   0","   0","   6","   0","   0","   0","   1","   3","   0","   5","   0","   1","   7","   0","   0","   0","   0","   0","   1"
"8405","8700","8120"," 110","  41","   2","   0","1260","   0","  14","   7","   0","   4","   9","  17","   0","   3","   2","  72","   0","   5","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   1","   3","   4","   0","   0","   0","   0","  87","   0","   0","  29","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   6","   0","   0","   3","  36","   3","   0","   0","   0","   1","   0","   0","   0","   1","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   6","   0","  66","  28","  11","   0","   0"," 257","  13","   2","   0","   0","   0","   0"," 451","  16","   4","   0","   9","   0","   0","  25","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","  10","   0","   3","  25","   8","   0","   0","   0","   0","   6"
" 9835","10113"," 9569","  130","   35","    1","    0","  575","    0","   17","    4","    0","    1","    6","    9","    0","    1","    1","   51","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    2","    0","    7","    0","    0","    0","    0","   92","    0","    6","   25","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    1","   10","    0","    0","    0","   24","    4","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    3","    0","    0","    0","    0","    0","    0","    0","    3","    0","   60","   12","    9","    1","    0","  221","   12","    0","    0","    0","    0","    0","  393","    8","    5","    1","    7","    0","    0","   43","    0","    1","    0","    6","    0","    0","    0","    0","    0","    0","    6","    0","    2","   11","    8","    1","    0","    0","    0","    0"
