"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Centranthus t.","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Geranium","Hedera","IsoÃ«tes","Juncaginaceae","Lamiaceae undif.","Lythrum","Menyanthes","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nuphar","Nymphaea","Olea t.","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Spergularia t.","Taxus","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Vitis"
NA,NA,NA,"150","  1","  0","241","  0","  2","  0","  0","  0","  0","  0","  0","  7","  0","  8","  0","  2","  1","  0","  1","  0","  0"," 11","  0"," 15","  0","  0","  0"," 28","  0","  0","  4","  0","  0","  0","  1","  0"," 15","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 41","  0","  0","  0"," 28","  0","  1","  0","  0"," 17","  1","  4","  0","  0","  0","  0","  3","605","  0","  0","  0","  0","  0","  0"," 12","  0","  0"
NA,NA,NA,"170","  4","  0","  1","  0","  7","  4","  0","  0","  0","  2","  0"," 22","  1"," 10","  0","  0","  1","  2","  4","  0","  0"," 42","  0","  7","  0","  4","  0","  2","  0","  1","  9","  0","  0","  0","  0","  0"," 21","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","134","  0","  0","  0","  1","  0","  2","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0"," 36","  0","  0","  0","  3","  0","  1"," 96","  0","  0"
NA,NA,NA,"110","  0","  0"," 24","  0"," 21","  6","  0","  0","  6","  1","  0"," 37","  0"," 20","  0","  1","  0","  0","  3","  0","  0"," 66","  7"," 59","  0"," 30","  0"," 19","  0","  0"," 10","  0","  0","  0","  3","  0"," 18","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 48","  0","  1","  0"," 73","  1","  0","  0","  0"," 58","  0","  5","  0","  0","  0","  4","  2"," 18","  0","  0","  0","  0","  0","  1"," 20","  0","  0"
NA,NA,NA,"200","  8","  0","129","  0","  6","  4","  0","  0","  2","  0","  0"," 38","  0"," 10","  0","  0","  1","  0","  8","  0","  0"," 88","  0"," 57","  0","  1","  0"," 27","  0","  1","  3","  0","  0","  0","  1","  0"," 28","  6","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"," 77","  0","  2","  0"," 42","  2","  1","  0","  0"," 97","  0","  4","  0","  0","  0","  0","  3"," 26","  0","  0","  0","  6","  0","  0"," 62","  0","  0"
NA,NA,NA,"370","  3","  0"," 32","  0","  4"," 43","  0","  0","  2","  2","  0"," 37","  0"," 10","  0","  0","  0","  0","  1","  5","  0"," 32","  0","124","  0","  7","  0","279","  1","  1","  0","  0","  1","  0","  0","  0"," 19","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  1","  0","127","  0","  5","  0"," 47","  1","  0","  0","  0","124","  5","  0","  0","  0","  0","  0","  0"," 47","  0","  0","  1","  5","  0","  1","232","  0","  0"
NA,NA,NA,"  30","   7","   0"," 147","   1","   2"," 100","   0","   0","  56","   4","   0","  49","   0","   0","   0","   2","   0","   0","   2","   1","   0","  50","  17"," 632","   0","   0","   5","1742","   0","   1","   1","   0","   0","   0","   1","   0","  39","   4","   0","   0","   3","   0","   0"," 170","   1","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0"," 141","   0","   5","   0"," 316","   0","   2","   0","   0","  27","   0","   8","   0","   0","   0","   0","   0"," 122","   0","   0","   3","   0","   0","   1"," 164","   0","   0"
NA,NA,NA,"270"," 11","  0"," 66","  0","  7","139","  0","  2","  0","  4","  0"," 22","  0"," 42","  0","  3","  0","  1","  7","  2","  0"," 12","  0"," 29","  0"," 13","  0","125","  0","  0","  1","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","106","  0","  5","  0"," 89","  6","  1","  0","  2","248","  0","  0","  1","  0","  0","  3","  0"," 29","  0","  0","  1","  3","  1","  4","216","  0","  0"
NA,NA,NA," 80","  1","  0"," 31","  0","  4"," 24","  0","  0"," 16","  1","  0"," 41","  2","  3","  0","  0","  0","  0","  0","  3","  0"," 49","  4","180","  0","  2","  1"," 64","  0","  0","  2","  0","  6","  0","  1","  1"," 49","  5","  0","  0","  0","  0","  0"," 50","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0"," 65","  0","  3","  0","165","  0","  9","  0","  0"," 21","  0","  1","  0","  2","  0","  1","  0"," 25","  0","  0","  2","  2","  0","  0","180","  0","  0"
NA,NA,NA,"120","  1","  0"," 69","  0"," 24"," 43","  0","  0","  9","  5","  0"," 53","  2"," 90","  0"," 10","  0","  0"," 24","  3","  0","134"," 10","230","  0"," 41","  1","130","  0","  0"," 29","  0","  1","  0"," 26","  0"," 51","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","197","  0","  9","  0","333","  2","  2","  0","  0","295","  0","  0","  0","  8","  0","  5","  2"," 88","  0","  0","  0","  3","  0","  2","104","  0","  0"
NA,NA,NA,"400","  1","  1","217","  0","  6"," 37","  0","  0","  8","  5","  1"," 79","  0"," 12","  0","  3","  1","  0","  2","  4","  0","280"," 21","810","  0"," 26","  2"," 43","  0","  2","  0","  0","  2","  0","  0","  0"," 17","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0"," 25","  0","  0","  0","  0","  2","  1"," 86","  0"," 11","  0","158","  3","  5","  0","  0","  0","  1","  3","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  8","  0"," 12"," 98","  0","  0"
