"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fraxinus","Galium t.","Lamiaceae undif.","Lemnaceae","Malva undif.","Mercurialis","Myriophyllum undif.","Myrtaceae undif.","Olea t.","Pedicularis","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Populus","Potamogeton","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Scrophulariaceae undif.","Secale","Solanaceae undif.","Sparganium","Tamarix","Thymelaeaceae undif.","Tilia","Trapa natans","Typha","Ulmus t.","Urtica t.","Vitis"
" 0",NA,NA," 0"," 0"," 0"," 0"," 2","22"," 2"," 0"," 6"," 0"," 4"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 1"," 0"," 0"," 0"," 0"," 2"," 4"," 0"," 0"," 1"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","84"," 0"," 0","53"," 5"," 3"," 0","26"," 0"," 0"," 0"," 0"," 2","22"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"125",NA,NA," 10","  0","  0","  0","  1"," 24","  4","  0","  8","  0","  8","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  1","  0","  0","  1","  0","  1"," 10","  0","  0"," 11"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 82","  0","  0"," 41"," 15","  2","  0"," 13","  0","  0","  0","  0","  2"," 52","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1"
"250",NA,NA," 20","  0","  0","  0","  0"," 39","  4","  0","  5","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  0","  0","  0","  0","  5"," 11","  0","  0","  9","  9","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 68","  0","  0"," 48","  3","  3","  0"," 32","  2","  0","  0","  0","  1"," 31","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0"
"374",NA,NA," 30","  0","  0","  0","  1"," 17","  1","  0","  4","  0","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  1","  0","  2"," 11","  0","  0","  4","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 35","  0","  0"," 35","  0","  1","  0"," 12","  0","  0","  0","  0","  2"," 22","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"496",NA,NA," 40","  0","  0","  0","  2"," 48","  2","  0","  6","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  1","  0","  0","  0","  0"," 10"," 11","  0","  0"," 12"," 11","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 75","  0","  0"," 51","  3","  8","  0"," 42","  0","  0","  0","  0","  0"," 58","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0"
"618",NA,NA," 50","  0","  0","  0","  2"," 32","  4","  0"," 10","  0","  8","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  0"," 11","  9","  0","  0"," 12","  9","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 44","  0","  0"," 30","  5"," 14","  1"," 49","  0","  0","  0","  0","  7"," 60","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  2"
"739",NA,NA," 60","  0","  0","  0","  5"," 30"," 11","  0","  9","  0"," 11","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 32","  2","  0","  0","  1","  0"," 14","  7","  0","  0","  9"," 12","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1","107","  0","  0"," 16","  4"," 14","  0"," 55","  0","  0","  0","  0","  3"," 57","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0"
"860",NA,NA," 70","  0","  0","  0","  2"," 27","  7","  0"," 16","  0","  8","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 21","  4","  0","  0","  1","  0"," 11"," 12","  0","  0"," 13"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 98","  0","  0"," 23","  5"," 11","  0"," 39","  2","  0","  0","  0","  0"," 83","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1"
"979",NA,NA," 80","  0","  0","  0","  0"," 50","  4","  0"," 10","  0"," 10","  2","  0","  0","  2","  0","  0","  0","  1","  0","  1"," 50","  2","  0","  0","  0","  0"," 11"," 19","  0","  0","  7"," 24","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 22","  0","  0","  8"," 10","  4","  0"," 72","  0","  0","  5","  0","  2"," 21","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  2","  3","  0","  0","  0","  0","  0","  0","  0"
"1098",NA,NA,"  90","   0","   0","   0","   0","  60","   4","   0","   4","   0","  23","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","  99","   1","   0","   0","   1","   0","   2","  15","   0","   0","   3","  36","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","  11","   4","   3","   0","  70","   0","   0","   0","   0","   0","  18","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0"
