"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Callitriche","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Ceratonia","Ceratophyllum","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentiana t.","Geranium","Hedera","Heliotropium","Humulus","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Lemnaceae","Linum t.","Loranthus","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Matthiola","Mercurialis","Morus","Musci","Myriophyllum alterniflorum t.","Nymphaea","Olea t.","Onagraceae","Papaver t.","Paronychieae","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valerianaceae undif.","Viburnum","Viola","Vitis"
"  -48.82",NA,NA,"  1","1","0","3","0","0","6","9","47","0","4","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","9","0","0","0","3","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","-9999","0","0","0","0","0","0","0","360","0","3","0","0","0","0","12","0","0","0","12","0","187","0","0","0","0","0","0","3","2","9","0","0","0","3","0","0","0","0","0","0","0","3","0","0","14","0","0","0","0","0","3","0","0","0","0","0","0"
"  -17.90",NA,NA,"  6","1","0","0","8","5","2","3","24","0","6","0","2","0","1","0","2","0","1","0","0","0","0","0","4","0","21","14","0","3","1","12","0","0","17","0","0","0","2","1","0","0","0","0","6","0","1","5","0","1","0","0","0","0","0","1","0","0","0","0","4","0","0","0","890","0","0","0","0","3","0","1","326","0","25","0","0","4","0","0","0","8","0","27","1","140","1","0","1","1605","0","0","18","5","33","3","1","0","4","3","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","1","12","0","0","0","0","0"
"    6.84",NA,NA," 10","1","0","3","1","6","1","1","58","0","3","0","17","1","0","0","0","0","0","0","3","0","1","0","0","0","21","21","2","2","0","0","0","0","13","0","1","0","0","0","0","0","0","10","1","4","18","0","0","0","0","1","0","0","0","1","0","0","0","3","5","0","0","0","899","0","0","2","0","0","0","0","456","0","6","0","0","0","0","1","0","4","1","10","0","554","2","0","0","263","1","0","20","0","24","14","6","2","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0"
"   31.58",NA,NA," 14","1","0","0","19","5","4","7","95","0","5","0","4","0","0","0","1","0","1","0","2","1","0","1","0","0","2","17","1","3","0","4","0","0","15","0","0","1","1","2","0","0","0","3","3","0","1","4","1","0","0","0","0","0","0","0","2","0","0","0","100","0","0","0","435","0","0","0","0","2","0","0","261","0","21","0","0","2","1","0","0","2","6","33","0","283","1","0","0","1033","2","0","8","10","11","26","4","0","5","2","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","1","1","0","0","0","0"
"   81.05",NA,NA," 22","1","1","0","25","2","6","13","144","0","10","0","7","0","0","0","2","0","0","0","1","0","0","5","4","0","0","30","0","4","0","5","0","0","17","0","0","1","3","0","1","0","0","0","1","0","0","15","1","0","0","0","1","0","1","0","1","0","1","1","0","0","0","0","377","0","0","1","0","1","0","0","181","0","24","0","1","4","1","1","0","0","1","44","0","409","1","0","0","227","1","0","3","11","5","18","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","1","1","0","0","0","0","0"
"  130.52",NA,NA," 30","1","0","0","18","0","7","22","286","0","6","1","16","0","1","0","1","0","0","0","2","0","3","0","0","0","11","82","0","1","0","0","0","0","7","0","0","0","3","0","0","0","0","6","42","0","35","0","0","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","661","0","0","0","0","0","0","0","137","0","5","0","0","0","1","0","0","2","0","10","0","186","10","0","0","28","0","0","7","0","7","25","2","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","4","0","0","0","0","0","0"
"  179.99",NA,NA," 38","1","0","0","0","1","2","14","33","1","5","0","29","0","0","0","2","0","0","0","1","0","1","0","5","0","0","36","2","0","1","0","0","0","9","0","0","1","1","0","0","0","0","1","4","0","1","11","0","0","0","1","0","0","2","0","2","0","0","0","0","0","0","0","319","0","0","1","0","0","0","0","31","0","23","0","0","1","3","1","1","2","1","43","0","266","1","0","0","232","1","0","7","33","15","0","0","0","7","2","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0"
"  229.47",NA,NA," 46","1","0","0","1","3","1","24","31","0","6","1","14","0","0","0","3","0","1","1","1","0","4","1","2","0","0","63","2","0","0","2","0","0","9","0","1","1","2","0","0","1","3","0","15","0","0","7","2","0","0","1","0","1","0","0","3","0","0","0","0","0","0","0","322","0","0","3","0","2","0","0","10","0","15","0","0","6","0","1","0","1","1","54","0","203","3","0","0","663","1","0","14","26","20","7","0","0","6","2","0","0","0","0","0","0","2","0","0","0","0","1","0","6","0","0","0","0","0","0","0","1"
"  291.31",NA,NA," 56","1","0","0","62","0","9","5","679","0","5","0","17","0","1","0","0","0","0","0","1","0","3","11","0","0","3","27","0","1","0","0","0","0","19","0","0","0","5","0","0","0","0","6","28","0","24","0","0","0","0","3","0","0","2","1","0","0","0","0","1","1","0","0","223","0","0","0","0","0","0","0","155","0","5","0","0","0","0","0","0","1","0","18","0","156","11","0","0","18","0","0","35","0","10","30","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"  328.41",NA,NA," 62","1","0","0","26","4","4","22","502","55","8","1","12","0","0","0","4","0","0","2","1","0","2","1","3","0","0","21","0","0","0","0","1","0","24","1","0","0","0","0","0","0","0","5","20","0","2","10","1","1","1","3","0","0","0","3","0","0","0","0","2","0","2","0","87","0","0","11","0","0","0","1","27","0","6","0","0","17","0","2","0","1","0","16","0","330","1","0","0","1","0","0","53","33","89","25","2","0","7","0","0","0","0","0","0","0","18","0","0","0","0","0","0","13","3","0","3","0","0","1","0","1"
