"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Callitriche","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Ceratonia","Ceratophyllum","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentiana t.","Geranium","Hedera","Heliotropium","Humulus","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Lemnaceae","Linum t.","Loranthus","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Matthiola","Mercurialis","Morus","Musci","Myriophyllum alterniflorum t.","Nymphaea","Olea t.","Onagraceae","Papaver t.","Paronychieae","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valerianaceae undif.","Viburnum","Viola","Vitis"
"  377.88",NA,NA," 70","1","0","0","23","0","1","8","430","28","4","0","12","0","0","0","2","0","0","0","2","0","0","2","5","0","0","9","0","1","0","0","0","0","30","0","0","0","2","0","1","0","0","7","15","0","0","6","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","95","0","0","10","0","0","0","1","26","0","9","0","0","4","0","0","0","1","0","15","0","318","0","0","0","1","2","0","43","15","80","34","1","0","2","2","0","0","0","0","0","0","20","0","0","0","0","0","0","7","0","1","0","0","0","0","0","0"
"  427.36",NA,NA," 78","1","1","0","9","4","0","3","454","11","6","0","6","0","0","0","4","0","0","1","1","0","0","3","5","0","0","8","1","0","0","0","0","0","13","0","0","0","1","0","0","0","0","11","14","0","0","1","0","1","0","2","0","0","0","0","0","1","0","1","2","0","0","0","93","0","0","1","0","0","1","8","21","0","4","0","0","10","0","0","0","1","1","6","0","257","1","0","0","0","0","1","66","15","147","20","0","0","1","4","0","0","0","0","0","0","29","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0"
"  691.19",NA,NA," 86","1","0","0","2","3","7","8","726","0","6","0","9","0","1","0","0","0","0","0","1","0","0","2","2","0","0","4","1","4","0","0","0","0","14","0","0","0","7","0","0","0","0","23","34","0","3","0","0","0","0","6","0","0","0","1","1","0","0","1","3","0","0","0","164","0","0","0","0","0","0","5","63","0","4","0","0","0","0","0","0","2","0","4","0","101","25","0","0","41","2","0","56","1","94","16","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","2","15","2","1","0","0","0","0","0"
" 1337.03",NA,NA," 98","1","0","2","8","2","4","6","416","6","4","1","4","0","3","0","2","0","0","0","0","1","0","0","8","0","0","4","1","2","0","0","0","0","44","0","0","1","4","0","1","0","0","12","17","0","5","0","2","0","0","3","0","0","2","2","0","0","0","1","5","0","1","0","76","0","0","6","0","1","0","4","60","0","3","0","0","3","0","2","0","1","1","3","0","196","1","0","0","16","4","0","143","28","226","17","1","0","0","0","0","1","0","1","0","0","69","0","0","0","0","0","0","2","1","2","0","0","0","0","0","0"
" 1767.60",NA,NA,"106","1","0","0","4","2","0","3","340","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","11","0","0","0","6","0","0","0","0","27","21","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5","0","0","0","88","0","0","0","0","0","0","0","69","0","2","0","0","0","0","0","0","0","0","1","0","41","2","0","0","11","5","0","81","8","180","21","0","0","0","0","1","0","0","0","0","0","26","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0"
" 2413.44",NA,NA,"118","1","0","1","4","2","5","0","136","66","4","1","7","1","3","0","2","0","0","1","5","0","0","0","5","0","0","12","0","1","0","0","0","0","50","0","0","0","5","0","2","0","0","13","15","0","2","0","0","0","0","4","0","0","1","0","0","1","0","1","0","0","0","0","51","0","0","17","0","2","0","9","92","0","5","0","0","11","0","1","0","3","1","7","0","344","1","0","0","22","2","0","135","49","116","39","1","0","4","2","1","0","0","1","1","0","29","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0"
" 2844.00",NA,NA,"126","1","0","0","0","0","2","0","39","0","1","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","0","4","0","2","0","0","0","0","54","0","0","0","3","0","0","0","0","4","5","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","8","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","402","0","0","0","2","0","0","19","1","18","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
" 2995.31",NA,NA,"134","1","1","2","0","1","4","0","13","0","3","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","3","0","0","0","0","0","0","15","0","0","0","5","0","0","0","0","25","8","0","5","0","0","0","0","5","0","0","0","5","0","0","0","0","0","0","0","0","166","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","58","2","0","0","1","0","0","117","23","145","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
" 3146.63",NA,NA,"142","1","0","0","1","0","2","1","7","1","4","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","90","0","0","0","4","0","0","0","0","10","10","0","6","0","0","1","0","4","0","0","0","0","1","0","0","0","0","0","1","0","88","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","2","1","0","40","0","0","0","0","1","0","86","5","361","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
" 3297.94",NA,NA,"150","1","0","1","0","2","11","1","14","0","5","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","1","0","0","0","0","79","0","0","0","7","0","0","0","0","20","13","0","8","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","214","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","41","0","0","0","0","0","0","115","30","161","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
" 3449.26",NA,NA,"158","1","1","2","0","0","5","0","8","0","2","0","2","0","5","0","1","0","0","0","1","0","0","0","0","0","0","3","0","2","0","0","0","0","148","0","0","0","5","0","0","0","0","19","39","0","1","0","1","0","0","1","0","0","2","0","1","0","0","2","0","0","0","0","51","0","0","0","0","1","0","16","0","0","1","0","0","0","2","0","0","2","6","4","0","32","0","0","0","0","1","0","153","22","215","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","3","0","0","0","0","0"
" 3727.85",NA,NA,"166","1","0","0","0","0","3","2","4","0","3","0","8","1","4","0","0","0","0","0","1","0","1","0","0","2","0","6","0","3","0","0","0","0","357","0","0","0","7","0","0","0","0","36","44","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","361","0","0","1","0","0","0","2","0","0","3","0","0","0","0","0","0","1","1","1","0","105","4","0","0","2","0","0","37","13","177","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0"
" 4260.00",NA,NA,"174","1","0","0","0","2","1","0","5","17","1","0","6","0","2","1","0","0","0","0","3","0","0","0","0","0","0","11","0","0","0","1","0","1","118","1","0","1","1","0","0","0","0","10","35","0","2","5","0","0","1","2","0","0","2","0","1","0","0","0","0","0","0","0","131","0","0","28","0","1","0","9","0","0","1","0","0","0","0","2","0","0","2","4","0","278","2","0","0","12","2","0","93","22","74","1","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","4","0","2","2","0","0","0","0","0"
" 4349.04",NA,NA,"180","1","0","0","0","3","4","0","16","26","0","0","13","0","1","0","0","0","0","0","1","0","0","0","0","0","5","5","0","1","0","0","0","0","35","0","0","0","5","0","0","0","0","8","46","0","8","1","0","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","145","0","0","35","0","1","0","23","0","0","2","0","0","0","0","0","0","0","0","1","0","335","0","0","0","3","2","0","64","9","110","13","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","3","0","5","1","0","0","0","0","0"
" 4704.00",NA,NA,"188","1","0","1","0","0","1","0","2","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","5","52","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","150","0","0","0","0","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","303","1","0","0","3","0","0","26","5","48","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","7","0","0","0","0","0"
" 4834.20",NA,NA,"198","1","0","0","0","2","5","3","21","4","1","0","2","0","0","0","1","0","28","0","1","0","0","0","0","0","1","2","0","0","0","0","0","0","35","0","0","0","1","0","0","0","0","7","26","0","1","8","0","0","1","0","0","0","2","1","0","0","0","0","1","0","1","1","123","0","0","2","0","1","0","11","1","0","1","0","0","0","0","0","0","1","0","2","0","261","1","0","0","17","0","0","88","14","76","0","1","0","1","0","0","0","0","0","0","1","6","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0"
" 4912.33",NA,NA,"204","1","0","0","0","0","1","0","2","0","0","0","3","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","2","0","0","0","0","2","18","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","342","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","2","1","0","0","284","0","0","0","2","0","0","31","6","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","2","0","0","0","0","0","0"
" 5016.49",NA,NA,"212","1","0","0","0","4","5","2","9","0","3","0","7","0","2","0","1","0","0","0","0","1","0","0","0","0","0","2","0","2","0","1","1","0","2","0","0","1","9","0","0","0","1","19","270","0","4","117","0","0","0","2","0","0","4","0","0","0","0","0","0","0","0","0","178","0","0","0","1","0","0","21","0","0","3","6","0","0","0","1","0","1","2","5","0","215","1","0","0","0","0","0","58","47","54","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","5","0","0","0","0","0"
" 5120.65",NA,NA,"220","1","0","0","0","1","1","1","6","0","2","1","2","0","2","0","0","0","0","0","0","0","1","0","0","2","1","1","0","0","0","0","0","0","11","0","0","0","2","0","0","0","0","8","83","0","10","0","0","0","0","11","0","0","0","3","0","0","0","0","0","0","0","0","234","0","0","0","0","0","0","11","0","0","2","0","0","0","0","0","0","1","0","1","0","53","0","0","0","2","1","0","152","35","121","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
" 5224.82",NA,NA,"228","1","0","1","0","5","5","0","9","0","2","0","3","2","9","0","0","1","0","0","0","1","0","0","0","0","0","1","0","2","0","0","0","0","9","0","1","1","5","0","0","0","0","9","92","0","8","1","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","188","0","0","0","0","0","0","10","0","0","4","0","0","0","0","1","0","2","4","2","0","40","0","0","0","0","1","0","131","71","193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0"
" 5328.98",NA,NA,"236","1","2","2","0","3","0","0","3","0","1","0","6","0","4","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","21","68","0","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","293","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","1","9","0","140","1","0","0","1","0","0","69","11","111","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","9","6","0","0","0","0","0"
" 5433.14",NA,NA,"244","1","1","0","0","2","1","3","13","1","0","1","7","0","3","0","2","0","0","0","2","1","0","0","0","0","0","4","0","4","0","0","0","0","3","0","1","0","4","0","0","0","0","14","200","0","7","38","0","0","0","2","0","0","4","1","0","0","0","0","0","0","0","0","345","0","1","0","0","0","0","51","0","0","1","0","0","1","2","0","0","0","2","11","0","134","0","1","4","0","0","0","171","62","151","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","0","0"
" 5537.31",NA,NA,"252","1","1","5","0","3","1","1","3","0","0","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","2","0","0","0","3","0","1","0","0","6","126","0","6","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1199","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","2","2","6","0","79","0","0","0","0","0","0","48","40","167","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","12","1","0","0","0","0","0"
" 5641.47",NA,NA,"260","1","0","1","0","2","6","1","5","0","0","0","69","0","3","0","0","0","0","0","0","0","0","0","0","0","3","3","0","4","0","0","0","0","15","0","0","0","6","0","0","0","0","15","366","1","6","0","0","0","0","3","0","0","0","1","0","0","0","2","0","0","0","0","317","0","0","0","0","0","0","6","0","0","1","0","0","0","0","0","0","1","1","0","0","71","1","0","0","0","0","0","58","45","109","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
" 5745.63",NA,NA,"268","1","0","10","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","6","0","0","0","1","0","0","0","0","17","870","0","5","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","121","0","0","0","0","0","0","119","24","95","8","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
" 5849.80",NA,NA,"276","1","0","0","0","0","0","0","4","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","6","0","0","0","0","37","335","0","7","40","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","317","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","5","0","43","1","0","0","0","0","0","86","47","150","12","0","2","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
" 5953.96",NA,NA,"284","1","1","2","0","2","2","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","4","0","0","0","2","0","0","0","0","31","102","0","5","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","575","0","0","0","0","0","0","9","0","0","1","0","0","0","1","0","0","1","0","2","0","72","0","0","0","3","0","0","111","11","149","5","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","1","0","0","12","1","0","0","0","0","0"
" 6142.00",NA,NA,"292","1","1","0","0","2","1","1","0","0","0","0","4","0","2","0","0","0","0","0","4","0","0","0","0","0","5","0","0","2","0","0","0","0","6","0","0","0","3","0","0","0","0","16","181","0","3","2","0","0","0","0","0","0","1","162","0","0","0","0","0","0","0","0","122","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","32","0","0","0","0","0","0","51","27","80","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
" 6358.00",NA,NA,"300","1","0","0","0","1","2","0","6","0","1","0","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","4","0","0","0","0","17","926","0","8","10","0","0","0","4","0","0","0","57","0","0","0","0","0","0","0","0","253","0","0","0","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","61","2","0","0","0","0","0","115","11","102","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","2","1","0","9","0","0","0","0","0","0"
" 6574.00",NA,NA,"308","1","0","0","0","3","0","0","4","0","0","0","5","0","3","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","16","112","0","3","0","0","0","0","4","0","0","0","33","0","0","0","0","0","0","0","0","266","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","0","0","7","3","0","186","36","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0"
" 6601.00",NA,NA,"309","1","0","0","0","0","5","0","6","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","10","0","1","0","0","0","0","0","0","24","102","0","0","0","0","0","0","4","0","0","0","64","0","0","0","0","0","0","0","0","223","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","1","0","4","0","33","0","0","0","0","0","0","95","39","123","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","10","0","0","0","0","0","0"
" 6628.00",NA,NA,"310","1","0","0","0","3","0","0","5","0","0","0","10","0","2","0","0","0","0","0","3","0","0","0","0","0","0","1","0","3","0","0","0","0","14","0","0","0","0","0","0","0","0","32","168","0","2","4","0","0","0","3","0","0","0","97","0","0","0","0","0","0","0","0","124","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","4","0","33","0","0","0","0","0","0","125","17","78","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0"
" 6638.65",NA,NA,"311","1","0","0","0","0","3","0","1","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","3","0","0","0","0","8","335","0","0","44","0","0","0","2","0","0","0","143","0","0","0","0","0","0","0","0","168","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","1","0","65","1","0","0","0","0","0","176","12","72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","5","0","0","0","0","0","0"
" 6649.29",NA,NA,"312","1","0","0","0","1","3","0","5","0","0","0","18","0","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","4","0","0","0","0","1","0","0","0","3","0","0","0","0","14","303","0","1","4","0","0","0","1","0","0","0","56","0","0","0","0","0","0","0","0","213","0","0","0","0","0","0","700","0","0","0","0","0","0","0","0","0","0","0","1","0","89","1","0","0","0","0","0","138","17","67","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
" 6659.94",NA,NA,"313","1","0","0","0","1","2","0","5","0","1","0","15","0","1","0","0","0","0","0","0","0","0","0","0","0","14","0","0","1","0","0","0","0","12","0","0","0","2","0","0","0","0","18","112","0","4","0","0","0","0","3","0","0","0","31","0","0","0","0","0","0","0","0","200","0","0","0","0","0","0","230","0","0","0","0","0","0","0","0","0","0","0","0","0","106","1","0","0","0","1","0","92","7","102","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0"
" 6670.58",NA,NA,"314","1","0","0","0","0","1","0","0","0","0","0","14","0","1","0","0","0","0","0","0","0","0","0","0","0","7","0","0","2","0","0","0","0","10","0","0","0","1","0","0","0","0","12","142","0","2","0","0","0","0","3","0","0","0","27","0","0","0","0","0","0","0","0","224","0","0","0","0","0","0","127","0","0","0","0","0","0","0","0","0","0","0","0","0","200","0","0","0","0","0","0","74","7","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
