"Depth (cm)","Acacia t.","Acanthus","Acer","Aizoaceae t.","Alchornea","Alnus","Amaranthaceae undif.","Apiaceae undif.","Argania","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Calligonum","Caryophyllaceae undif.","Caylusea","Celastraceae undif.","Centaurea","Cichorieae","Cistaceae","Combretaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Echiochilon","Echium t.","Elaeis","Ephedra","Erica t.","Euphorbia t.","Faboideae Undif.","Fagus","Fern","Gymnocarpos","Heliotropium","Lamiaceae undif.","Molluginaceae","Moltkia","Olea t.","Ostrya","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rhizophora","Rubiaceae undif.","Rumex t.","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Spergularia t.","Tamarix","Tilia","Tribulus","Typha","Ulmus t.","Urtica t."
" 12.5","  3.0","  0.0","  0.0","  0.0","  0.0","  2.0"," 62.0","  1.0","  0.0","  5.0","  3.0","  7.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  2.0","  0.0"," 75.0","  3.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  4.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","130.0","  0.0","  4.0","  0.0"," 20.0","  0.0","  4.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  2.0","  0.0"
"32.5"," 2.0"," 1.0"," 0.0"," 0.0"," 0.0"," 7.0","24.0"," 0.0"," 0.0"," 5.0"," 1.0"," 6.0"," 3.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0","17.0"," 1.0","20.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 7.0"," 0.0"," 3.0"," 0.0"," 3.0"," 0.0"," 4.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"
" 52.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","250.0","  2.0","  0.0"," 18.0","  1.0","  7.0","  0.0","  1.0","  2.0","  1.0","  1.0","  0.0","  0.0","  1.0","  3.0","  3.0","  3.0","  5.0","  3.0"," 99.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 59.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 14.0","  0.0","  7.0","  0.0"," 31.0","  0.0","  3.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"
" 72.5","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","156.0","  0.0","  0.0"," 60.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  2.0","  3.0"," 14.0","  0.0","  0.0","  0.0","  0.0","  0.0","111.0","  1.0","  1.0","  2.0","  0.0","  0.0","  3.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","126.0","  0.0","  1.0","  0.0"," 16.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"
"107.5","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","185.0","  0.0","  0.0"," 82.0","  0.0","  4.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  1.0","  3.0","  0.0","  0.0","  0.0","  4.0"," 13.0","  0.0","  0.0","  2.0","  0.0","  0.0"," 78.0","  3.0","  3.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","115.0","  0.0","  1.0","  0.0"," 16.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0"
"132.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","221.0","  0.0","  0.0"," 90.0","  0.0","  2.0","  0.0","  0.0","  1.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  3.0"," 40.0","  1.0","  0.0","  0.0","  0.0","  0.0","138.0","  2.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 75.0","  0.0","  0.0","  1.0"," 17.0","  0.0","  3.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"
"152.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","201.0","  1.0","  0.0"," 60.0","  0.0","  4.0","  1.0","  0.0","  4.0","  0.0","  1.0","  0.0","  0.0","  0.0","  3.0","  1.0","  0.0","  3.0","  1.0"," 49.0","  0.0","  0.0","  0.0","  0.0","  0.0","102.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 98.0","  0.0","  3.0","  0.0"," 18.0","  0.0","  4.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"172.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","189.0","  1.0","  0.0"," 73.0","  0.0","  9.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  8.0"," 40.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 91.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","107.0","  2.0","  5.0","  0.0"," 21.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"202.5","  1.0","  0.0","  0.0","  0.0","  0.0","  3.0","195.0","  2.0","  0.0"," 54.0","  0.0","  7.0","  0.0","  0.0","  2.0","  3.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  7.0","  2.0"," 51.0","  0.0","  0.0","  0.0","  0.0","  0.0","117.0","  7.0","  0.0","  0.0","  0.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 45.0","  1.0","  2.0","  0.0"," 14.0","  1.0","  1.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0"
"221","  0","  0","  0","  0","  0","  0","199","  2","  0"," 47","  0","  7","  0","  0","  1","  0","  1","  0","  0","  0","  1","  1","  0","  4","  1"," 37","  0","  0","  0","  0","  0","132","  2","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0"," 51","  0","  0","  1"," 14","  0","  2","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"
