"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Hagenia","Abutilon t.","Acacia t.","Alnus","Amaranthaceae undif.","Anthocerotales (type 1)","Anthocerotales (type 2)","Anthocerotales (type 3)","Apiaceae undif.","Artemisia","Asteroideae undif.","Azolla nilotica","Boraginaceae undif.","Brassicaceae","Caesalpinia","Cannabaceae undif.","Capparaceae undif.","Caryophyllaceae undif.","Cichorieae","Convolvulaceae","Cucurbitaceae undif.","Cyperaceae","Ephedra","Fabaceae Undif.","Fern","Hyphaene t.","Indeterminable","Loranthaceae undif.","Malva undif.","Olea t.","Onagraceae","Persicaria t.","Petaloid monocot","Pinus undif.","Plantago","Poaceae","Podocarpus","Quercus deciduous","Randia","Ranunculaceae undif.","Riccia","Rumex t.","Tamarix","Tilia","Typha","Unknown","Unknown (monolete) undiff.","Unknown (monolete, psilate)","Unknown (trilete, psilate)"
"2889",NA,NA," 195",NA,"   0","   0","   2","  95","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  21","   0","   0","   0","   0","  34","   0","   1","   0","   8","   4","   0","   0","   1"," 289","   0","   0","   0","   3","   1","   0","   0","   1","   0","  23","   0","   1","   0"
"3958",NA,NA," 300",NA,"   0","   0","   1"," 137","   0","   0","   0","  10","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  41","   0","   0","   0","   1","   1","   0","   0","   4"," 229","   0","   0","   0","   0","   0","   0","   0","   0","   1","   8","   0","   0","   3"
"4110",NA,NA," 330",NA,"   0","   0","   0","   9","   1","   2","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 164","   0","   0","   1","   0","   6","   0","   0","   0","   1","   0","   0","   1","   0","  75","   1","   0","   0","   0","   0","   0","   1","   0","   2","   2","   0","   0","   0"
"4161",NA,NA," 340",NA,"   0","   0","   0","  21","   0","   0","   0","   6","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 115","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   2","   0","  88","   0","   1","   0","   0","   0","   1","   0","   0","   1","   3","   0","   8","   1"
"5280",NA,NA," 560","   1","   1","   2","   0","   4","   0","   2","   3","   3","   1","  20","   0","   1","   1","   1","   1","   1","   1","   2","   0","   1"," 176","   1","   1","   6","   1","  61","   1","   1","   1","   0","   1","   1","   3","   4"," 234","   3","   1","   1","   0","  10","   1","   1","   0","   4","  75","  14","  31","  22"
