"age_NA","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Aristolochia","Asteroideae undif.","Blechnum spicant","Brassicaceae","Caryophyllaceae undif.","Castanea","Chaetomium sp. (type 7A, HdV)","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Cytinus","Erica t.","Euphorbia t.","Fabaceae Undif.","Fern","Fern-Equisetophyta","Fungi (type 173, HdV)","Fungi (type 92, HdV)","Genisteae","Glomus cf. G. fasciculatum (type 207, HdV)","Lamiaceae undif.","Nerium","Ononis t.","Ophioglossum vulgatum-type","Paronychieae","Persicaria t.","Petaloid monocot","Pinus undif.","Poaceae","Populus","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Salix","Scrophulariaceae undif.","Unknown","Urtica t.","Viburnum","cf. Bryophyta","charcoal"
NA,NA,NA,"60"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0","12","36"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 3"," 0"," 0"," 0","25"
NA,NA,NA,"40"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","26","20"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","12"," 2"," 0"," 2"," 2"," 0"," 0"," 2"," 0"," 6"," 0"," 0"," 0","50"
NA,NA,NA,"100","  0","  0","  0","  0","  0","  0","  0","  0"," 56","260","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  2"," 16","  6","  4","  0","  0","  0","  0","  0","  2","  4","  0","  0","  0"," 90"
NA,NA,NA,"80"," 0"," 0"," 0"," 0"," 3"," 2"," 0"," 0","37","18"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0","11"," 6"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 9"," 0"," 0"," 0","18"
NA,NA,NA,"  20","   0","   0","   0","   0","   0","   0","   0","   0","  18","2745","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   4","   6","   0","   2","   0","   0","   0","   0","   0","  10","   2","   0","1525","3050"
NA,NA,NA,"  10","   4","   2","   6","   0","   0","   0","   0","   0"," 640","   0","   4","   2","   6","  12","   0","   0","   2","  10","   4","   8","   4","   8","   6","   0","   0","   0","   0","   2","   2","   0","   8","  54","  26","   2","   4","   0","   0","   2","   8","   4","  14","   4","   2","   0","3200"
NA,NA,NA,"   0","  10","   2","   4","   2","   2","   2","   4","   2","2218","   0","   6","   0","   2","   4","   4","   4","   0","   6","   4","  14","   0","   0","  16","   2","   0","   2","   2","   0","   0","   2","   2"," 240","  42","   0","  18","   6","   4","   0","  12","   6","  34","   8","   0","   0","1440"
