"Sample age (cal yr BP) [cal yr BP]","Sample name [undefined]","Acacia t.","Alnus","Amaranthaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Carpinus","Caryophyllaceae undif.","Ceratonia","Cistaceae","Convolvulaceae","Cupressaceae","Ephedra","Erica t.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Fraxinus","Indeterminable","Juglans","Lamiaceae undif.","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Salvadora","Scrophulariaceae undif.","Tamarix","Tilia","Typha","Ulmus t."
NA,"Gavr. 5","0","0","2","83","0","60","1","1","9","0","0","0","0","0","0","18","0","8","20","1","0","49","1","0","12","1","0","0","1","87","0","13","14","1","53","0","1","0","2","0"
"9000","Gavr. I","8","10","15","29","1","2","10","1","1","9","8","44","1","1","10","34","3","5","435","109","8","47","8","2","2","0","16","1","5","123","4","34","1","1","98","3","0","3","2","13"
