"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Aizoaceae t.","Algae","Alnus","Amaranthaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Betula","Brassicaceae","Buxus","Calicotome","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Chamaerops","Cistaceae","Corylus","Cosentinia","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fern","Fraxinus","Fungi","Genisteae","Indeterminable","Lamiaceae undif.","Lycopodium spike","Lycopodium tablets","Maytenus","Myrtus","Olea t.","Ononis t.","Osyris","Periploca","Petaloid monocot","Phillyrea","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Rhamnus","Riccia","Rosa t.","Salix","Tamarix","Taxus","Thymelaeaceae undif.","Typha","Ulmus t.","Vitis","Withania","Ziziphus/Paliurus","charcoal"
"1152",NA,NA," 20","0","0","0","4","29","0","0","50","0","5","8","1","12","0","0","9","1","0","1","2","24","0","0","43","1","5","2","0","0","0","23","8","7","7","111","0","0","0","29","2","0","0","0","0","0","20","7","14","259","3","0","6","8","0","8","0","4","0","2","0","1","0","1","2","0","0","0"
"1191",NA,NA," 22","3","1","2","2","8","0","3","26","1","12","3","2","2","3","2","4","2","0","0","0","6","0","0","20","4","2","2","0","0","4","38","11","9","5","170","0","0","0","15","0","1","2","0","0","5","78","6","9","100","7","25","12","32","6","5","18","1","0","2","0","4","0","0","1","2","2","0"
"1230",NA,NA," 24","1","0","3","0","9","0","2","33","1","20","1","0","1","2","4","6","0","0","1","0","5","1","0","15","2","0","4","0","0","2","19","8","10","6","178","0","2","0","18","1","1","2","0","0","7","88","3","7","100","10","28","14","27","7","4","12","2","0","2","0","1","0","1","0","3","1","0"
"1269",NA,NA," 26","2","1","6","0","12","0","0","41","1","13","3","1","4","3","7","4","3","0","0","0","4","2","0","13","0","2","3","0","0","5","12","4","19","4","188","0","1","0","13","3","1","2","0","0","6","83","6","11","90","9","22","8","17","9","3","8","1","0","1","0","1","3","0","1","4","2","0"
"1308",NA,NA," 28","1","0","2","2","13","0","3","28","2","18","4","3","2","0","3","1","1","0","3","0","4","0","0","9","2","0","3","1","0","3","31","9","12","2","190","0","1","0","12","0","1","4","0","0","5","85","4","8","87","11","29","13","21","8","5","15","0","0","3","0","2","0","0","0","3","4","0"
"1347",NA,NA," 30","0","0","2","3","10","0","0","37","3","15","1","0","2","4","5","3","5","0","0","1","3","0","0","19","4","2","2","0","0","4","38","7","7","3","170","0","1","0","17","0","0","5","0","0","5","90","9","10","88","4","21","8","14","5","6","10","0","1","1","0","2","2","1","0","5","3","0"
"1386",NA,NA," 32","1","0","5","2","11","0","4","32","0","22","2","3","3","3","2","2","1","0","2","0","4","6","0","10","3","2","1","0","0","2","27","7","4","2","176","0","0","0","13","1","0","7","0","2","7","98","7","8","83","13","28","14","18","7","3","9","2","1","1","0","4","1","0","1","4","3","0"
"1425",NA,NA," 34","1","1","9","0","10","0","0","34","2","21","1","2","3","5","6","2","2","0","0","0","3","3","1","12","2","1","2","0","0","5","19","9","5","3","177","0","1","0","15","1","1","1","0","0","4","100","5","7","84","7","20","14","16","5","4","7","1","0","1","0","2","0","0","0","3","4","0"
"1464",NA,NA," 36","0","0","7","0","13","0","1","20","1","12","5","0","3","0","2","3","4","0","0","0","4","4","0","6","0","0","2","0","0","2","34","10","4","5","188","0","0","0","9","1","0","3","0","0","6","119","5","6","80","11","12","8","14","8","8","16","0","0","2","0","3","1","1","1","3","3","0"
"1503",NA,NA," 38","1","0","10","1","9","0","1","28","1","23","2","5","1","4","1","2","2","1","0","0","4","2","0","11","0","1","3","0","0","3","20","2","6","2","189","0","0","0","10","2","0","1","0","0","7","111","3","8","77","6","19","7","17","3","5","5","0","0","1","0","3","3","0","0","4","2","0"
"1542",NA,NA," 40","0","2","8","0","14","0","0","17","2","20","2","0","1","3","2","1","0","0","0","0","1","4","0","3","6","2","8","1","0","1","26","6","7","4","190","0","0","0","5","0","0","5","1","1","4","131","6","5","70","12","18","15","15","2","3","9","0","0","2","0","0","1","1","0","3","3","0"
"1581",NA,NA," 42","4","0","6","0","15","0","0","29","1","12","1","1","1","2","1","0","1","0","0","0","1","0","0","12","2","0","5","0","0","0","22","6","12","3","171","0","0","0","10","0","0","3","0","0","5","121","7","8","72","5","22","11","9","8","7","14","0","1","1","1","1","5","0","1","5","1","0"
"1611",NA,NA," 44","0","0","6","0","10","0","5","26","2","11","5","5","0","4","0","1","4","0","0","0","1","3","0","6","3","0","5","0","0","2","34","3","10","5","176","0","1","0","12","2","0","3","0","5","7","142","5","9","52","10","19","12","12","6","0","8","1","2","1","0","1","0","1","0","0","0","0"
"1632",NA,NA," 46","2","0","10","0","11","0","0","35","1","10","0","0","1","0","0","0","0","0","0","0","3","0","1","5","5","1","5","0","0","0","19","4","15","5","171","0","0","0","5","1","0","7","0","2","4","133","4","10","60","6","18","7","7","4","4","0","0","2","1","0","4","0","0","0","2","1","0"
"1653",NA,NA," 48","0","2","13","0","12","0","2","18","1","16","1","5","0","2","0","0","0","0","0","0","6","1","0","6","1","2","6","0","0","3","6","0","7","4","178","0","0","0","7","0","0","0","0","0","5","150","9","8","51","8","12","15","8","8","0","4","0","0","1","0","3","5","1","0","1","0","0"
"1674",NA,NA," 50","3","1","9","0","8","0","0","30","3","10","0","3","0","2","0","2","0","0","0","1","2","4","0","2","6","1","3","0","0","0","4","0","12","0","165","0","0","0","9","0","0","0","0","5","6","167","10","6","47","0","13","6","6","3","4","2","0","1","1","0","1","0","0","0","0","0","0"
"1695",NA,NA," 52","0","0","16","3","11","0","3","24","1","12","1","1","0","0","1","1","3","1","0","0","6","0","1","4","4","1","2","1","2","0","0","2","11","3","189","0","0","0","11","0","0","2","1","0","4","125","16","5","45","0","13","12","11","7","0","0","0","0","1","0","1","6","0","0","0","2","0"
"1716",NA,NA," 54","3","0","18","0","15","0","0","12","1","9","0","0","1","5","0","0","0","1","0","0","6","0","1","3","3","1","1","1","0","1","7","0","11","3","187","0","0","0","12","0","0","0","0","1","6","138","15","9","54","3","12","12","17","4","3","3","0","0","0","0","1","5","1","0","0","0","0"
"1746",NA,NA," 56","2","0","11","0","13","0","4","29","2","16","0","5","0","0","1","0","0","0","0","0","4","5","1","3","6","2","3","0","0","2","3","0","14","1","166","0","0","0","6","0","0","2","0","3","6","92","17","10","41","2","18","7","29","8","0","0","0","2","0","0","1","0","0","0","0","2","0"
"1804",NA,NA," 58","1","1","21","0","10","0","0","19","1","14","1","0","1","1","0","1","0","0","0","0","11","0","1","3","5","1","4","0","0","0","3","2","13","2","187","0","0","0","9","0","0","1","1","1","8","69","14","12","43","3","14","10","38","5","0","2","0","1","1","0","2","2","0","0","1","0","0"
"1862",NA,NA," 60","2","1","15","0","8","0","0","25","2","12","0","5","0","1","0","0","0","0","0","0","4","0","0","1","9","1","1","0","0","0","5","0","8","6","190","0","0","0","7","0","0","0","1","4","5","108","17","11","47","0","12","11","21","9","0","0","0","0","0","0","2","0","0","0","0","2","0"
"1920",NA,NA," 62","0","0","21","0","10","0","1","18","1","16","0","0","0","0","1","0","0","0","0","2","6","1","0","2","4","3","2","0","0","0","3","1","9","4","169","0","0","1","6","0","0","0","0","1","4","57","8","6","44","2","12","12","42","4","0","2","0","1","1","0","1","3","1","0","0","1","0"
"1978",NA,NA," 64","3","1","20","3","11","0","0","28","1","9","1","4","0","2","0","1","3","1","0","0","6","0","0","3","3","2","5","1","0","0","2","0","12","3","190","0","0","0","5","0","0","0","0","2","2","113","9","7","44","0","14","8","23","4","3","3","0","0","0","0","2","2","2","0","0","1","0"
"2035",NA,NA," 66","0","0","29","0","12","0","1","14","1","20","0","4","0","2","1","0","0","0","0","0","2","0","0","3","6","0","5","0","0","0","5","0","13","6","188","0","0","0","6","0","0","0","0","2","8","45","11","9","42","3","16","17","17","8","0","0","0","0","0","0","1","0","0","0","0","3","0"
"2093",NA,NA," 68","5","0","21","0","13","0","0","19","1","15","1","1","0","0","0","0","2","0","0","0","5","0","0","3","4","1","2","0","1","4","0","3","11","5","180","0","0","0","7","0","1","1","0","0","7","101","5","6","36","1","18","5","30","7","3","3","0","0","0","1","0","1","0","0","0","0","0"
"2151",NA,NA," 70","0","0","17","0","10","0","1","23","0","18","0","0","0","3","0","2","0","0","0","0","4","1","0","2","8","1","6","0","0","1","2","0","10","4","180","0","5","0","5","0","0","0","0","3","3","92","10","7","44","1","16","11","12","7","1","1","0","3","0","0","0","3","2","0","1","2","0"
"2209",NA,NA," 72","1","0","17","1","14","0","0","21","0","15","0","3","0","0","1","0","0","0","0","0","3","3","1","2","5","0","1","0","0","0","1","0","7","1","178","0","0","0","8","0","0","1","0","0","4","55","11","4","44","0","22","6","33","3","0","3","0","0","0","0","1","2","0","0","1","0","0"
"2267",NA,NA," 74","0","0","15","1","8","0","5","19","1","21","1","2","1","3","0","0","0","0","0","0","1","0","1","3","2","1","6","1","0","0","2","0","9","3","176","0","0","0","10","0","0","0","2","0","5","102","5","5","41","2","33","15","19","9","0","0","0","0","1","0","0","7","0","0","0","1","0"
